Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ABHD14B	BYSL;ENHA_THAP1	0.294885607313626	4.7650267060348604e-21	False	(array([-0.30559785,  0.82452398]), (1.1333333333333335, 0.8999999999999999))	False
ABHD14B	ENHA_THAP1;POLR2L	0.294588444863063	1.2506333963592e-21	False	((1.1333333333333335, 0.8999999999999999), array([-0.6680908 , -0.76323557]))	False
ABHD14B	ENHA_ZBTB7B;MORF4L2	0.322062704361964	4.3654914226053e-13	False	((1.1333333333333335, 0.9857142857142858), array([-0.8158274 , -0.27952177]))	False
ABHD14B	ENHA_THAP1;MORF4L2	0.295467216993216	7.575186071717429e-22	False	((1.1333333333333335, 0.8999999999999999), array([-0.8158274 , -0.27952177]))	False
ABHD14B	EIF1AD;ENHA_STAT1	0.488090186995135	7.786168850389061e-15	False	(array([-0.53689386,  0.70747103]), (1.1333333333333335, 0.7285714285714286))	False
ABHD14B	ENHA_JDP2;JUND	0.275006567452122	2.2721824138202403e-09	False	((1.1333333333333335, -0.3857142857142858), array([-0.84775626,  0.13983226]))	False
ABHD14B	CEP70;ENHA_ZNF136	0.432807194309797	2.80438117894825e-13	False	(array([-0.78530958, -0.60282579]), (1.1333333333333335, 1.0714285714285716))	False
ABHD14B	COMMD1;ENHA_RELA	0.416853544113604	4.52737893880079e-13	False	(array([-0.79815244,  0.35826739]), (1.1333333333333335, 0.30000000000000004))	False
ABHD14B	COMMD8;ENHA_RELA	0.416853544113604	4.52737893880079e-13	False	(array([-0.60637317, -0.8448097 ]), (1.1333333333333335, 0.30000000000000004))	False
ABHD14B	COMMD4;ENHA_RELA	0.416853544113604	4.52737893880079e-13	False	(array([-0.65530524,  0.74094547]), (1.1333333333333335, 0.30000000000000004))	False
ABHD14B	COMMD6;ENHA_RELA	0.416853544113604	4.52737893880079e-13	False	(array([-0.89565715, -0.35772979]), (1.1333333333333335, 0.30000000000000004))	False
ABHD14B	ENHA_JDP2;PGR	0.418869620522886	2.1077147523119199e-16	False	((1.1333333333333335, -0.3857142857142858), array([ 0.9640206 , -0.15786347]))	False
ABHD14B	ENHA_THAP1;PPIG	0.353625769064049	2.21465019877191e-24	False	((1.1333333333333335, 0.8999999999999999), array([ 0.45301842, -0.77954914]))	False
ABHD14B	ENHA_ZBTB7C;SREBF1	0.406362800250933	1.66257240453344e-13	False	((1.1666666666666667, 1.0142857142857142), array([-0.91591184,  0.41432784]))	False
ABHD14B	ENHA_POU2F2;HMGA1	0.544366357029454	6.8991796522900494e-12	False	((1.1666666666666667, 0.24285714285714288), array([-0.39956465,  0.83278304]))	False
ABHD14B	ENHA_STAT1;PRKCD	0.491049811456793	2.446420913641e-19	False	((1.1333333333333335, 0.7285714285714286), array([-0.95836506, -0.09866466]))	False
ABHD14B	E2F1;ENHA_STAT1	0.589966305952337	5.87596842032414e-09	False	(array([ 0.82805733, -0.53096896]), (1.1333333333333335, 0.7285714285714286))	False
ABHD14B	ENHA_SRF;NFYA	0.481782064447397	6.11404301227403e-12	False	((1.1, 0.7000000000000002), array([-0.9679837 ,  0.23656288]))	False
ABHD14B	BRCA1;ENHA_STAT1	0.441201943810184	2.94419121101273e-25	False	(array([-0.68981898, -0.61820635]), (1.1333333333333335, 0.7285714285714286))	False
ABHD14B	BRCA1;ENHA_JUNB	0.437010304148165	1.5983063612646602e-20	False	(array([-0.68981898, -0.61820635]), (1.1666666666666667, -0.3571428571428572))	False
ABHD14B	ATF2;ENHA_JDP2	0.26541095651835	2.2562117878145403e-09	False	(array([ 0.14415157, -0.94364956]), (1.1333333333333335, -0.3857142857142858))	True
ABHD14B	ATF2;ENHA_JUNB	0.471708404606986	4.94744468124264e-06	False	(array([ 0.14415157, -0.94364956]), (1.1666666666666667, -0.3571428571428572))	False
ABHD14B	ENHA_RELA;SUZ12	0.435590577318228	1.32353253249446e-08	False	((1.1333333333333335, 0.30000000000000004), array([0.5587897 , 0.69274007]))	False
ABHD14B	ENHA_HSF2;PRMT1	0.42596897428326	1.49645395242708e-06	False	((1.1, -0.5), array([ 0.54251406, -0.66545528]))	False
ABHD14B	ENHA_STAT1;PRMT1	0.598634623874929	0.0006178972104308	False	((1.1333333333333335, 0.7285714285714286), array([ 0.54251406, -0.66545528]))	False
ABHD14B	ENHA_RELA;PRMT1	0.571026987421206	0.0292215835602712	False	((1.1333333333333335, 0.30000000000000004), array([ 0.54251406, -0.66545528]))	False
ABHD14B	ENHA_RELA;RUVBL2	0.459003329202969	9.97229408120903e-06	False	((1.1333333333333335, 0.30000000000000004), array([-0.97571466, -0.0080275 ]))	False
ABHD14B	ENHA_POU2F1;SP4	0.674391130670216	0.0465819117389357	False	((1.1333333333333335, 0.2142857142857144), array([0.97473537, 0.05312463]))	False
ABHD14B	ENHA_SOX4;SDCBP	0.454962186348348	5.68506167857687e-14	False	((1.1666666666666667, 0.5857142857142859), array([-0.68460713,  0.69936646]))	False
ABHD14B	ENHA_TP53;RPS7	0.416192376601446	7.33698241468827e-17	False	((1.1666666666666667, 0.9285714285714288), array([ 0.93054789, -0.30920939]))	False
ABHD14B	ENHA_TP53;RPS7	0.416192376601446	7.33698241468827e-17	False	((1.1666666666666667, 0.9285714285714288), array([ 0.93054789, -0.30920939]))	False
ABHD14B	ENHA_TP53;MAD2L1BP	0.416192376601446	7.33698241468827e-17	False	((1.1666666666666667, 0.9285714285714288), array([0.67535405, 0.64381174]))	False
ABHD14B	ENHA_TP53;MAD2L1BP	0.416192376601446	7.33698241468827e-17	False	((1.1666666666666667, 0.9285714285714288), array([0.67535405, 0.64381174]))	False
ABHD14B	ENHA_NFYA;SREBF2	0.391526605582549	9.03312956682029e-19	False	((1.1666666666666667, -0.10000000000000009), array([ 0.68147112, -0.6304113 ]))	False
ABHD14B	CEBPB;ENHA_HSF1	0.343720273752924	6.0873187692784e-28	False	(array([-0.47932508,  0.84591449]), (1.1666666666666667, -0.5285714285714286))	False
ABHD14B	CEBPB;ENHA_SRF	0.418395783760151	2.04285710862993e-18	False	(array([-0.47932508,  0.84591449]), (1.1, 0.7000000000000002))	False
ABHD14B	CEBPB;ENHA_SRF	0.418395783760151	2.04285710862993e-18	False	(array([-0.47932508,  0.84591449]), (1.1, 0.7000000000000002))	False
ABHD14B	ENHA_E2F6;TFDP2	0.479383849746048	8.99988570623903e-16	False	((1.1333333333333335, -0.9857142857142858), array([-0.50009675,  0.87921972]))	False
ABHD14B	ENHA_IRF3;RBL2	0.437442425695176	7.13516678171416e-13	False	((1.1666666666666667, -0.44285714285714284), array([-0.19649592, -0.90523911]))	False
ABHD14B	CDK2;ENHA_TP53	0.387362259870652	1.48946590936258e-24	False	(array([0.96189984, 0.01949529]), (1.1666666666666667, 0.9285714285714288))	False
ABHD14B	CDK2;ENHA_TP53	0.387362259870652	1.48946590936258e-24	False	(array([0.96189984, 0.01949529]), (1.1666666666666667, 0.9285714285714288))	False
ABHD14B	CDK2;ENHA_NFYA	0.417479742906771	5.81632180648905e-18	False	(array([0.96189984, 0.01949529]), (1.1666666666666667, -0.10000000000000009))	False
ABHD14B	ENHA_TCF4;GLRX3	0.393006959599009	5.15192150052736e-32	False	((1.1333333333333335, 0.8142857142857143), array([-0.87027524, -0.1205006 ]))	False
ABHD14B	EEF1D;ENHA_RELA	0.461982566935074	0.0013624190695441	False	(array([ 0.89728738, -0.36012383]), (1.1333333333333335, 0.30000000000000004))	False
ABHD14B	EEF1D;ENHA_ELF3	0.41336643927448	1.23032762744986e-10	False	(array([ 0.89728738, -0.36012383]), (1.1333333333333335, -0.9000000000000001))	False
ABHD14B	ENHA_SRF;TEAD1	0.368130605526878	3.99585048800483e-06	False	((1.1, 0.7000000000000002), array([-0.87032255,  0.56010649]))	False
ABHD14B	ENHA_SRF;TEAD1	0.368130605526878	3.99585048800483e-06	False	((1.1, 0.7000000000000002), array([-0.87032255,  0.56010649]))	False
ABHD14B	ENHA_TP53;TAF1	0.328722708821859	8.969523740273461e-09	False	((1.1666666666666667, 0.9285714285714288), array([0.22657774, 0.9682311 ]))	False
ABHD14B	ENHA_TP53;TAF1	0.328722708821859	8.969523740273461e-09	False	((1.1666666666666667, 0.9285714285714288), array([0.22657774, 0.9682311 ]))	False
ABHD14B	ENHA_TP53;SMARCA5	0.435956386333244	3.97200347738892e-06	False	((1.1666666666666667, 0.9285714285714288), array([-0.71090009, -0.69790014]))	False
ABHD14B	ENHA_TP53;SMARCA5	0.435956386333244	3.97200347738892e-06	False	((1.1666666666666667, 0.9285714285714288), array([-0.71090009, -0.69790014]))	False
ABHD14B	ENHA_TP53;XRCC1	0.377164166837281	2.58618242428557e-06	False	((1.1666666666666667, 0.9285714285714288), array([0.92564563, 0.32738506]))	False
ABHD14B	ENHA_TP53;XRCC1	0.377164166837281	2.58618242428557e-06	False	((1.1666666666666667, 0.9285714285714288), array([0.92564563, 0.32738506]))	False
ABHD14B	ENHA_TP53;FOXK1	0.332593044075777	1.26372170699595e-08	False	((1.1666666666666667, 0.9285714285714288), array([-0.84860779,  0.51366685]))	False
ABHD14B	ENHA_TP53;FOXK1	0.332593044075777	1.26372170699595e-08	False	((1.1666666666666667, 0.9285714285714288), array([-0.84860779,  0.51366685]))	False
ABHD14B	ENHA_TP53;OTUB1	0.429435419094037	2.20907435777558e-18	False	((1.1666666666666667, 0.9285714285714288), array([0.41401671, 0.89053001]))	False
ABHD14B	ENHA_TP53;OTUB1	0.429435419094037	2.20907435777558e-18	False	((1.1666666666666667, 0.9285714285714288), array([0.41401671, 0.89053001]))	False
ABHD14B	ENHA_SIX1;EYA2	0.385843066833202	4.72665357163951e-12	False	((1.1666666666666667, 0.5), array([-0.69913993, -0.79303435]))	False
ABHD14B	ENHA_TCF4;PRKAA2	0.38801190349249	8.515664922473219e-33	False	((1.1333333333333335, 0.8142857142857143), array([-0.90359554, -0.44951557]))	False
ABHD14B	ENHA_HSF1;HSP90AA1	0.40513235766598	6.91395031168372e-23	False	((1.1666666666666667, -0.5285714285714286), array([ 0.94476493, -0.03675968]))	False
ABHD14B	ENHA_IRF3;HSP90AA1	0.387514046500476	3.2134044074079704e-23	False	((1.1666666666666667, -0.44285714285714284), array([ 0.94476493, -0.03675968]))	False
ABHD14B	ENHA_TCF3;PARP1	0.332959749980101	2.72906232363589e-44	False	((1.1, 0.7857142857142858), array([-0.8400845 , -0.50150683]))	False
ABHD14B	BCOR;ENHA_TCF3	0.405967455743582	2.4226944483808897e-30	False	(array([0.08007388, 0.97379281]), (1.1, 0.7857142857142858))	False
ABHD14B	ENHA_NFYB;NFYC	0.457000354062794	2.66875425286446e-13	False	((1.1, -0.0714285714285714), array([ 0.65252827, -0.71512823]))	False
ABHD14B	ENHA_STAT1;PPARG	0.458882159457937	6.453470060146461e-23	False	((1.1333333333333335, 0.7285714285714286), array([ 0.58680836, -0.33640381]))	False
ABHD14B	ENHA_RELA;PPARG	0.492432356477043	7.56346971155005e-10	False	((1.1333333333333335, 0.30000000000000004), array([ 0.58680836, -0.33640381]))	False
ABHD14B	ENHA_TCF4;PPARG	0.383195565898885	2.21112971167999e-34	False	((1.1333333333333335, 0.8142857142857143), array([ 0.58680836, -0.33640381]))	False
ABHD14B	ENHA_CREB3L1;RUNX1T1	0.386477730464282	2.51085353793474e-09	False	((1.1, -1.0142857142857145), array([ 0.11933488, -0.95246407]))	False
ABHD14B	ENHA_TCF4;RUNX1T1	0.419569344011998	1.2468334681252799e-28	False	((1.1333333333333335, 0.8142857142857143), array([ 0.11933488, -0.95246407]))	False
ABHD14B	CCNA2;ENHA_TP73	0.376715907862218	5.49959701336944e-21	False	(array([-0.84989895, -0.57118097]), (1.1, 0.9571428571428573))	False
ABHD14B	ENHA_E2F6;YAF2	0.445718430948917	1.87026619699336e-08	False	((1.1333333333333335, -0.9857142857142858), array([-0.78420466,  0.51635   ]))	False
ABHD14B	ENHA_TP53;RYBP	0.372861777548821	6.98387429752326e-24	False	((1.1666666666666667, 0.9285714285714288), array([ 0.11606885, -0.99336248]))	False
ABHD14B	ENHA_TP53;RYBP	0.372861777548821	6.98387429752326e-24	False	((1.1666666666666667, 0.9285714285714288), array([ 0.11606885, -0.99336248]))	False
ABHD14B	ENHA_E2F6;RYBP	0.422551714128098	5.571078328820401e-15	False	((1.1333333333333335, -0.9857142857142858), array([ 0.11606885, -0.99336248]))	False
ABHD14B	ACTL6A;ENHA_TCF4	0.49960513020956	3.96958441502385e-12	False	(array([-0.64321427,  0.80578273]), (1.1333333333333335, 0.8142857142857143))	False
ABHD14B	ENHA_TCF4;SMARCE1	0.375634821830156	3.9772085013023497e-29	False	((1.1333333333333335, 0.8142857142857143), array([-0.11512095, -0.91157537]))	False
ABHD14B	ENHA_TCF4;SMARCC2	0.384463299703782	3.27113655363708e-27	False	((1.1333333333333335, 0.8142857142857143), array([-0.72848852,  0.59317342]))	False
ABHD14B	CSNK2A1;ENHA_THAP1	0.301357167887034	1.2600645739708499e-26	False	(array([-0.64770327, -0.1596351 ]), (1.1333333333333335, 0.8999999999999999))	False
ABHD14B	CSNK2A1;ENHA_RELA	0.455476509450223	9.35552978665395e-12	False	(array([-0.64770327, -0.1596351 ]), (1.1333333333333335, 0.30000000000000004))	False
ABHD14B	CSNK2A1;ENHA_TP53	0.375042467620387	1.1601977865065201e-23	False	(array([-0.64770327, -0.1596351 ]), (1.1666666666666667, 0.9285714285714288))	False
ABHD14B	CSNK2A1;ENHA_TP53	0.375042467620387	1.1601977865065201e-23	False	(array([-0.64770327, -0.1596351 ]), (1.1666666666666667, 0.9285714285714288))	False
ABHD14B	CSNK2A1;ENHA_TP73	0.355444287056629	6.97957155199222e-20	False	(array([-0.64770327, -0.1596351 ]), (1.1, 0.9571428571428573))	False
ABHD14B	CSNK2A1;ENHA_NFYA	0.430019464861068	1.1872627199116501e-15	False	(array([-0.64770327, -0.1596351 ]), (1.1666666666666667, -0.10000000000000009))	False
ABHD14B	ENHA_MYC;MCM7	0.444755042969118	1.76885814950369e-13	False	((1.1333333333333335, -0.2142857142857143), array([-0.858718  , -0.29560547]))	False
ABHD14B	ENHA_TP53;HUWE1	0.424837419735852	6.59436931885607e-20	False	((1.1666666666666667, 0.9285714285714288), array([0.45132521, 0.81648206]))	False
ABHD14B	ENHA_TP53;HUWE1	0.424837419735852	6.59436931885607e-20	False	((1.1666666666666667, 0.9285714285714288), array([0.45132521, 0.81648206]))	False
ABHD14B	ENHA_MYC;HUWE1	0.431595915190425	8.6575182958817e-13	False	((1.1333333333333335, -0.2142857142857143), array([0.45132521, 0.81648206]))	False
ABHD14B	ENHA_ZNF24;KAT5	0.433777603497224	8.52982712400695e-19	False	((1.1666666666666667, 1.1), array([-0.76018533, -0.00249659]))	False
ABHD14B	ENHA_RELA;KAT5	0.447318932695047	1.12215979642626e-14	False	((1.1333333333333335, 0.30000000000000004), array([-0.76018533, -0.00249659]))	False
ABHD14B	ENHA_TP53;KAT5	0.334584056238285	3.06276466514671e-35	False	((1.1666666666666667, 0.9285714285714288), array([-0.76018533, -0.00249659]))	False
ABHD14B	ENHA_ZEB1;KAT5	0.313116985452624	6.2356218082947996e-49	False	((1.1, 1.0428571428571431), array([-0.76018533, -0.00249659]))	False
ABHD14B	ENHA_ETV6;KAT5	0.269118431543489	1.46460343894115e-20	False	((1.1, -0.6714285714285715), array([-0.76018533, -0.00249659]))	False
ABHD14B	ENHA_TP53;KAT5	0.334584056238285	3.06276466514671e-35	False	((1.1666666666666667, 0.9285714285714288), array([-0.76018533, -0.00249659]))	False
ABHD14B	ENHA_MYC;KAT5	0.384944823254327	8.04070987114415e-19	False	((1.1333333333333335, -0.2142857142857143), array([-0.76018533, -0.00249659]))	False
ABHD14B	CTNNB1;ENHA_TCF7	0.442890232236081	3.87539046085749e-14	False	(array([ 0.14467022, -0.5413335 ]), (1.1666666666666667, 0.842857142857143))	False
ABHD14B	CTNNB1;ENHA_TCF7	0.442890232236081	3.87539046085749e-14	False	(array([ 0.14467022, -0.5413335 ]), (1.1666666666666667, 0.842857142857143))	False
ABHD14B	CTNNB1;ENHA_LEF1	0.516274230706846	1.6837076346205697e-11	False	(array([ 0.14467022, -0.5413335 ]), (1.1, -0.3285714285714286))	False
ABHD14B	CTNNB1;ENHA_TCF4	0.333521006887135	3.57429689694692e-44	False	(array([ 0.14467022, -0.5413335 ]), (1.1333333333333335, 0.8142857142857143))	False
ABHD14B	CTNNB1;ENHA_MYC	0.380782926109843	2.27810985622415e-19	False	(array([ 0.14467022, -0.5413335 ]), (1.1333333333333335, -0.2142857142857143))	False
ABHD14B	ENHA_MYC;PSMD2	0.401072339594103	8.10178887471396e-16	False	((1.1333333333333335, -0.2142857142857143), array([-0.89302509, -0.40595185]))	False
ABHD14B	ENHA_RELA;KPNA2	0.435898169179608	3.50440025982584e-10	False	((1.1333333333333335, 0.30000000000000004), array([ 0.20016575, -0.85810035]))	False
ABHD14B	ENHA_MYC;KPNA2	0.480100237073996	4.05564419647531e-08	False	((1.1333333333333335, -0.2142857142857143), array([ 0.20016575, -0.85810035]))	False
ABHD14B	ATAD2;ENHA_MYC	0.374329982882554	2.3738532710564e-13	False	(array([ 0.45285404, -0.89374551]), (1.1333333333333335, -0.2142857142857143))	False
ABHD14B	ENHA_STAT1;XPO1	0.489769859361726	3.87832695069506e-16	False	((1.1333333333333335, 0.7285714285714286), array([-0.54579903,  0.77471671]))	False
ABHD14B	ENHA_IRF3;XPO1	0.413202648668889	1.2984008279462602e-15	False	((1.1666666666666667, -0.44285714285714284), array([-0.54579903,  0.77471671]))	False
ABHD14B	ENHA_MYC;XPO1	0.400879266100716	1.54092760850093e-12	False	((1.1333333333333335, -0.2142857142857143), array([-0.54579903,  0.77471671]))	False
ABHD14B	CDK4;ENHA_MYC	0.396523333287038	1.3749736646678898e-11	False	(array([-0.83272311,  0.42920874]), (1.1333333333333335, -0.2142857142857143))	False
ABHD14B	CDK6;ENHA_HSF1	0.373040638226237	5.51029963228753e-24	False	(array([0.02486445, 0.90673253]), (1.1666666666666667, -0.5285714285714286))	False
ABHD14B	CDK6;ENHA_SOX10	0.49534288614781	3.56113267899861e-13	False	(array([0.02486445, 0.90673253]), (1.1, 0.5285714285714287))	False
ABHD14B	CDK6;ENHA_MYC	0.422637623308163	2.97992699508924e-14	False	(array([0.02486445, 0.90673253]), (1.1333333333333335, -0.2142857142857143))	False
ABHD14B	ENHA_STAT3;RPA2	0.200626894342382	1.0630047250282999e-23	False	((1.1666666666666667, 0.7571428571428571), array([0.68141537, 0.75446959]))	False
ABHD14B	ENHA_TP53;RPA2	0.30466357433799	3.7923717767600704e-14	False	((1.1666666666666667, 0.9285714285714288), array([0.68141537, 0.75446959]))	False
ABHD14B	ENHA_TP53;RPA2	0.30466357433799	3.7923717767600704e-14	False	((1.1666666666666667, 0.9285714285714288), array([0.68141537, 0.75446959]))	False
ABHD14B	ENHA_STAT3;RPA2	0.200626894342382	1.0630047250282999e-23	False	((1.1666666666666667, 0.7571428571428571), array([0.68141537, 0.75446959]))	False
ABHD14B	ENHA_MAX;RPA2	0.352348419702879	4.4456616094182e-13	False	((1.1666666666666667, -0.27142857142857146), array([0.68141537, 0.75446959]))	False
ABHD14B	ENHA_HSF2;WDR5	0.392793712851704	3.10645704532031e-14	False	((1.1, -0.5), array([0.10815536, 0.96240316]))	False
ABHD14B	ENHA_TP53;WDR5	0.363040258912869	2.20037007766273e-26	False	((1.1666666666666667, 0.9285714285714288), array([0.10815536, 0.96240316]))	False
ABHD14B	ENHA_TP53;WDR5	0.363040258912869	2.20037007766273e-26	False	((1.1666666666666667, 0.9285714285714288), array([0.10815536, 0.96240316]))	False
ABHD14B	ENHA_E2F6;WDR5	0.450365854684101	3.15002148816045e-15	False	((1.1333333333333335, -0.9857142857142858), array([0.10815536, 0.96240316]))	False
