Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ACAA2	ENHA_TCF4;GLRX3	0.393006959599009	5.15192150052736e-32	False	((1.1333333333333335, 0.6416666666666666), array([-0.94883243, -0.33136814]))	False
ACAA2	GLRX3;PROM_ZNF148	0.543054486091353	5.261724013564521e-15	False	(array([-0.94883243, -0.33136814]), (-1.1666666666666667, 1.1))	False
ACAA2	ENHA_GLIS3;SUFU	0.395480615873485	6.51350267530097e-07	False	((1.1333333333333335, -0.7333333333333334), array([-0.30381954, -0.5425837 ]))	False
ACAA2	BTRC;ENHA_REST	0.421166227652927	1.72852384377128e-26	False	(array([-0.47700585,  0.74616893]), (1.1666666666666667, 0.18333333333333335))	False
ACAA2	ENHA_RUNX2;SMAD1	0.448735548574511	7.5809574988065e-10	False	((1.1, 0.2749999999999999), array([-0.82401563,  0.05615414]))	False
ACAA2	ENHA_RARA;SKI	0.563557992122415	2.57612201265295e-05	False	((1.1333333333333335, 0.09166666666666679), array([0.44262011, 0.91965372]))	False
ACAA2	PROM_GLI3;SUFU	0.48688943675788	2.43106390217162e-05	False	((-1.1, -0.2574468085106383), array([-0.30381954, -0.5425837 ]))	False
ACAA2	BTRC;PROM_GLI3	1.03096268516163	0.737177082432947	False	(array([-0.47700585,  0.74616893]), (-1.1, -0.2574468085106383))	False
ACAA2	PROM_GLI3;SMAD1	0.741923265517569	0.0092788922673298	False	((-1.1, -0.2574468085106383), array([-0.82401563,  0.05615414]))	False
ACAA2	PROM_GLI3;SKI	0.593942351870436	8.18995589837626e-05	False	((-1.1, -0.2574468085106383), array([0.44262011, 0.91965372]))	False
ACAA2	ENHA_ZEB1;KAT5	0.313116985452624	6.2356218082947996e-49	False	((1.1333333333333335, 0.9166666666666665), array([-0.47141065, -0.51684175]))	False
ACAA2	ENHA_ZNF24;KAT5	0.433777603497224	8.52982712400695e-19	False	((1.1666666666666667, 1.0083333333333333), array([-0.47141065, -0.51684175]))	False
ACAA2	KAT5;PROM_ETV6	0.936005730880516	0.657578674131367	False	(array([-0.47141065, -0.51684175]), (-1.1333333333333335, -0.35106382978723405))	False
ACAA2	AURKA;ENHA_TP73	0.365213260983019	1.82020420866561e-20	False	(array([ 0.97106486, -0.20026779]), (1.1, 0.8250000000000002))	False
ACAA2	KAT5;PROM_KLF4	1.14065041804313	0.11435178471555	False	(array([-0.47141065, -0.51684175]), (-1.1, 0.16382978723404262))	False
