Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ADARB2	ENHA_PPARD;RANBP9	0.402436826505129	0.0013950547303958	False	((1.1666666666666667, 0.20625000000000004), array([-0.94652468, -0.29259445]))	False
ADARB2	ENHA_POU2F1;SP4	1.38406928572677	0.107602481095566	False	((1.1333333333333335, 0.171875), array([-0.76575367, -0.50755566]))	False
ADARB2	ENHA_EGR1;NFATC1	1.46377671393605	9.00103677422235e-05	False	((1.1666666666666667, -0.9281250000000001), array([-0.31927   ,  0.81826093]))	False
ADARB2	ENHA_EGR1;JUND	1.46859887750802	7.33034059605349e-05	False	((1.1666666666666667, -0.9281250000000001), array([-0.47627989,  0.87467807]))	False
ADARB2	ENHA_EGR1;NFATC2	1.08879956875614	0.414525704936821	False	((1.1666666666666667, -0.9281250000000001), array([-0.94296315,  0.29840127]))	False
ADARB2	ENHA_IRF7;MAFB	0.63586570331196	0.181119547489748	False	((1.1, -0.48125000000000007), array([-0.739023, -0.612249]))	False
ADARB2	ENHA_STAT1;ISG15	0.754471655155069	0.0595044798074746	False	((1.1333333333333335, 0.6875), array([-0.49841211,  0.75741602]))	False
ADARB2	CEP70;ENHA_ZNF136	0.939161535738469	0.664617219960707	False	(array([0.72251025, 0.39071441]), (1.1, 1.0656250000000003))	False
ADARB2	ENHA_GATA6;KPNA3	1.17563318512201	0.221922866252932	False	((1.1333333333333335, -0.55), array([-0.91619064, -0.24906798]))	False
ADARB2	ENHA_SNAI1;NOTCH1	1.5216984010879	4.49966955561194e-05	False	((1.1666666666666667, 0.4125000000000001), array([ 0.63258417, -0.6315325 ]))	False
ADARB2	ENHA_CEBPD;XPO1	1.11084941144257	0.421465575466352	False	((1.1666666666666667, -1.03125), array([-0.88936376,  0.46911807]))	False
ADARB2	ENHA_STAT1;XPO1	1.07196877554134	0.51020527177467	False	((1.1333333333333335, 0.6875), array([-0.88936376,  0.46911807]))	False
ADARB2	ENHA_GATA2;TRIM23	1.02811675074943	0.910380020984688	False	((1.1, -0.5843750000000001), array([-0.44103228,  0.84964097]))	False
ADARB2	ENHA_PPARD;HSP90AA1	1.01026467068842	0.953258837242889	False	((1.1666666666666667, 0.20625000000000004), array([-0.94577886, -0.09569331]))	False
ADARB2	CCNDBP1;ENHA_ZNF136	0.837251761359199	0.377912254300587	False	(array([ 0.77990947, -0.55917727]), (1.1, 1.0656250000000003))	False
ADARB2	ENHA_E2F6;RING1	1.39991079321194	0.0009286522014641	False	((1.1333333333333335, -0.9625000000000001), array([-0.94064117,  0.32593367]))	False
ADARB2	ENHA_SNAI1;RING1	1.74242845750772	1.38606280265101e-08	False	((1.1666666666666667, 0.4125000000000001), array([-0.94064117,  0.32593367]))	False
ADARB2	ARID2;ENHA_EGR1	0.946232139264009	0.856994041133538	False	(array([-0.7349137 , -0.56007782]), (1.1666666666666667, -0.9281250000000001))	False
ADARB2	ENHA_NR2C2;RXRB	0.817669460691254	0.381931559924773	False	((1.1333333333333335, 0.06875000000000009), array([ 0.16833392, -0.89975382]))	False
ADARB2	ENHA_PPARD;RXRB	1.03262830458583	0.86982432716235	False	((1.1666666666666667, 0.20625000000000004), array([ 0.16833392, -0.89975382]))	True
ADARB2	ENHA_GATA2;PSMA3	1.21056150026976	0.083684290526433	False	((1.1, -0.5843750000000001), array([0.50861617, 0.75363495]))	False
ADARB2	ENHA_EGR1;PSMA3	1.17145518637489	0.128487555784276	False	((1.1666666666666667, -0.9281250000000001), array([0.50861617, 0.75363495]))	False
ADARB2	ENHA_GATA2;TRIM33	0.802758945108674	0.206154910115755	False	((1.1, -0.5843750000000001), array([-0.86715474, -0.31878406]))	False
ADARB2	CDK6;ENHA_KLF10	1.16617532495472	0.127854279091158	False	(array([ 0.46140348, -0.61463233]), (1.1333333333333335, -0.446875))	False
ADARB2	ENHA_ETV1;PRKDC	0.732722083322668	0.0168189867745578	False	((1.1333333333333335, -0.7562500000000001), array([0.96217768, 0.16527425]))	False
