Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
AP3S2	EGFR;ENHA_STAT1	0.534720437963965	0.0003458314942514	False	(array([-0.49213175,  0.7176453 ]), (1.1333333333333335, 0.6672131147540985))	False
AP3S2	ENHA_EGR1;SREBF2	0.415306745773025	3.9076133037346697e-22	False	((1.1666666666666667, -0.9196721311475411), array([-0.66871206, -0.64776167]))	False
AP3S2	ENHA_ETV6;SUMO1	0.273559563256077	3.1604994210551505e-15	False	((1.1, -0.7754098360655739), array([-0.6470685 ,  0.56574805]))	False
AP3S2	ENHA_PRDM1;SUMO1	0.427581436230438	1.7598075821162902e-25	False	((1.1, 0.0901639344262295), array([-0.6470685 ,  0.56574805]))	False
AP3S2	ENHA_STAT3;MAPKAPK2	0.451723822022413	1.01364750640278e-09	False	((1.1666666666666667, 0.7032786885245903), array([-0.8415786 , -0.02061649]))	False
AP3S2	DAXX;ENHA_STAT3	0.260104795364251	1.61579878659169e-20	False	(array([-0.77999177, -0.59255797]), (1.1666666666666667, 0.7032786885245903))	False
AP3S2	ENHA_STAT1;XPO1	0.489769859361726	3.87832695069506e-16	False	((1.1333333333333335, 0.6672131147540985), array([0.45416595, 0.901162  ]))	False
AP3S2	ENHA_ELF1;REL	0.380114390214201	4.09867274217566e-13	False	((1.1, -0.8836065573770493), array([0.80780614, 0.60490676]))	False
AP3S2	ENHA_NFKB2;REL	0.490184498911827	3.95739047101324e-08	False	((1.1333333333333335, -0.0901639344262295), array([0.80780614, 0.60490676]))	False
AP3S2	ENHA_TEAD1;MEF2C	0.331992958117367	8.20877390941214e-30	False	((1.1333333333333335, 0.7754098360655739), array([-0.92499538, -0.23736296]))	False
AP3S2	ENHA_SP1;MEF2C	0.340853388907615	1.42552182726944e-30	False	((1.1666666666666667, 0.4868852459016393), array([-0.92499538, -0.23736296]))	False
AP3S2	E2F1;ENHA_STAT1	0.589966305952337	5.87596842032414e-09	False	(array([ 0.53943533, -0.74808208]), (1.1333333333333335, 0.6672131147540985))	False
AP3S2	E2F1;ENHA_SP1	0.544598482629359	8.55159158600001e-10	False	(array([ 0.53943533, -0.74808208]), (1.1666666666666667, 0.4868852459016393))	False
AP3S2	ENHA_TEAD1;SRF	0.285674884590579	5.17138749732013e-23	False	((1.1333333333333335, 0.7754098360655739), array([0.42730703, 0.84978648]))	False
AP3S2	ENHA_RFX3;TRIP6	0.292028103622491	5.17745027471048e-05	False	((1.1666666666666667, 0.2704918032786885), array([0.93159715, 0.37554094]))	False
AP3S2	ENHA_ZBTB14;TXN2	0.332611289265841	0.0003879498637916	False	((1.1, 0.9557377049180329), array([-0.94741516, -0.10042816]))	False
AP3S2	CSNK2A1;ENHA_IRF2	0.321636535080377	6.01208618543068e-21	False	(array([ 0.84775552, -0.51609679]), (1.1333333333333335, -0.6311475409836066))	False
