edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ECSIT;ENHA_MYC	6.09748016171757	2.56427660801581e-34	False	(array([-0.28531602,  0.85676676]), (1.1666666666666667, -0.016582914572864427))	False
ENHA_MYC;TXN	5.59600458302144	1.34718117996949e-31	False	((1.1666666666666667, -0.016582914572864427), array([-0.64377111, -0.75813019]))	False
ENHA_MYC;PSMA1	6.09436031401925	1.43411955996163e-32	False	((1.1666666666666667, -0.016582914572864427), array([-0.86439693, -0.34793016]))	False
ENHA_MYC;PSMA4	8.27293345865488	2.00732852852939e-16	False	((1.1666666666666667, -0.016582914572864427), array([-0.82494444,  0.14927685]))	False
ENHA_MYC;H2AFX	8.27293345865488	2.00732852852939e-16	False	((1.1666666666666667, -0.016582914572864427), array([-0.19444513,  0.86742479]))	False
ENHA_MYC;PSMA7	8.27293345865488	2.00732852852939e-16	False	((1.1666666666666667, -0.016582914572864427), array([-0.57720357,  0.79478168]))	False
ENHA_MYC;EPC1	7.68153413487986	1.03641349812713e-51	False	((1.1666666666666667, -0.016582914572864427), array([-0.956433 ,  0.2215731]))	False
ENHA_MYC;GTF3C1	9.48839062719694	1.30340562977439e-56	False	((1.1666666666666667, -0.016582914572864427), array([-0.79816061,  0.28332865]))	False
ENHA_MYC;PNO1	9.48839062719694	1.30340562977439e-56	False	((1.1666666666666667, -0.016582914572864427), array([-0.75346816, -0.61401039]))	False
ENHA_MYC;PSMD2	9.81859522666542	9.23107446469914e-68	False	((1.1666666666666667, -0.016582914572864427), array([0.48182717, 0.89645231]))	False
ENHA_ZBTB14;NAA10	3.75989861265513	1.67574698922681e-06	False	((1.1333333333333335, 0.9673366834170856), array([0.7716912 , 0.66160572]))	False
ENHA_THAP1;MORF4L2	7.79300113867413	3.72330507827625e-54	False	((1.1333333333333335, 0.8678391959798994), array([-0.65390044,  0.74102551]))	False
ENHA_ZBTB14;MORF4L2	4.71913163786453	3.65567382753883e-21	False	((1.1333333333333335, 0.9673366834170856), array([-0.65390044,  0.74102551]))	False
BYSL;ENHA_THAP1	7.67146410467738	1.05368448298469e-52	False	(array([-0.94078034, -0.14292462]), (1.1333333333333335, 0.8678391959798994))	False
