Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ARHGAP44	ENHA_MYB;LEF1	1.69062220841253	0.0457237225556354	False	((1.1333333333333335, 0.0), array([-0.95836067, -0.29090355]))	False
ARHGAP44	CBX5;ENHA_KLF11	1.11446906939512	0.252471620461823	False	(array([-0.64641293, -0.76787683]), (1.1, -0.33255813953488367))	False
ARHGAP44	CBX5;PROM_ZNF460	1.41938704973562	0.000193002194486	False	(array([-0.64641293, -0.76787683]), (-1.1666666666666667, 1.1))	False
ARHGAP44	ENHA_KLF10;KDM5B	1.37219677678548	0.0009788679914065	False	((1.1666666666666667, -0.35813953488372097), array([-0.57246458,  0.80216901]))	False
ARHGAP44	ENHA_GATA2;PSMA3	1.42304881930008	0.0006236777660234	False	((1.1666666666666667, -0.5883720930232559), array([-0.82870707,  0.20686207]))	False
ARHGAP44	ENHA_EGR1;PSMA3	2.04034021569294	7.41146734360732e-14	False	((1.1, -0.8697674418604652), array([-0.82870707,  0.20686207]))	False
ARHGAP44	ENHA_KLF2;PSME3	1.7618119367348	3.67209505379403e-05	False	((1.1, -0.2558139534883721), array([-0.70192919,  0.57190194]))	False
ARHGAP44	AXIN1;ENHA_ZBTB26	2.80116927923318	4.98472507970313e-13	False	(array([0.75970919, 0.67295464]), (1.1333333333333335, 0.9976744186046513))	False
ARHGAP44	ENHA_MYB;HIPK2	3.29028978242976	8.19436639361412e-05	False	((1.1333333333333335, 0.0), array([-0.649272  ,  0.75101941]))	False
ARHGAP44	ENHA_MYB;TRAF6	2.25727433738579	0.000325443712878	False	((1.1333333333333335, 0.0), array([-0.94075631, -0.19147606]))	False
ARHGAP44	ENHA_JUN;KPNA2	1.78950698068594	8.73621610476871e-06	False	((1.1666666666666667, -0.43488372093023253), array([ 0.64299348, -0.61372273]))	False
ARHGAP44	EBP;ENHA_CREB3	2.17597178697388	0.17377336863893	False	(array([0.35944835, 0.88386796]), (1.1666666666666667, -0.972093023255814))	False
ARHGAP44	BCL11B;ENHA_NR2F1	2.28367961975947	9.735275098161e-18	False	(array([0.95423776, 0.34288457]), (1.1, 0.2813953488372094))	False
ARHGAP44	ENHA_KLF9;PGR	2.47241064560896	1.39119933621354e-19	False	((1.1, -0.17906976744186043), array([ 0.90833016, -0.38291298]))	False
ARHGAP44	ENHA_SP1;PGR	2.61569382270882	6.877141121636511e-19	False	((1.1666666666666667, 0.6395348837209303), array([ 0.90833016, -0.38291298]))	False
ARHGAP44	ENHA_JDP2;PGR	1.36995516409235	0.002858471875313	False	((1.1333333333333335, -0.46046511627906983), array([ 0.90833016, -0.38291298]))	False
ARHGAP44	ENHA_CREB1;POU2F1	1.5024973217023	1.37840137412651e-05	False	((1.1333333333333335, -0.9976744186046512), array([-0.06884081, -0.97543452]))	False
ARHGAP44	ATF7IP;ENHA_SP1	1.52712512508419	6.81271778442127e-06	False	(array([ 0.14735007, -0.93939563]), (1.1666666666666667, 0.6395348837209303))	False
ARHGAP44	ATF7IP;ENHA_CREB1	1.55541747125257	2.0333425679562e-06	False	(array([ 0.14735007, -0.93939563]), (1.1333333333333335, -0.9976744186046512))	False
ARHGAP44	ENHA_SP1;NFYA	1.66010518174616	6.09194345622792e-08	False	((1.1666666666666667, 0.6395348837209303), array([0.46755924, 0.767758  ]))	False
ARHGAP44	ENHA_CREB1;NFYA	1.59992239883865	1.37276026792098e-06	False	((1.1333333333333335, -0.9976744186046512), array([0.46755924, 0.767758  ]))	False
ARHGAP44	ENHA_ATF2;TPI1	1.57275685016996	1.0415007221706e-05	False	((1.1333333333333335, -1.0744186046511628), array([ 0.76674217, -0.48241206]))	False
ARHGAP44	ATP5O;ENHA_ATF2	1.17855438987372	0.196697628296142	False	(array([-0.96905875,  0.0728391 ]), (1.1333333333333335, -1.0744186046511628))	False
ARHGAP44	ANKRD17;ENHA_CREB1	1.75302722261041	0.0760566954241604	False	(array([0.84457092, 0.27535574]), (1.1333333333333335, -0.9976744186046512))	False
ARHGAP44	ANKRD17;ENHA_FOS	1.81301136036492	0.0025069777439438	False	(array([0.84457092, 0.27535574]), (1.1666666666666667, -0.6651162790697676))	False
