Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
BMI1	ENHA_IRF3;SMC1A	2.09802053774403	1.44277484826393e-08	False	((1.1, -0.5197802197802198), array([-0.97471771, -0.2913146 ]))	False
BMI1	EHMT2;ENHA_RELB	3.47667084285156	2.24414159513831e-34	False	(array([-0.62967223, -0.79853991]), (1.1666666666666667, 0.25384615384615383))	False
BMI1	ENHA_NFYA;ZHX1	2.918976351544	2.2517378871765e-05	False	((1.1, -0.012087912087912045), array([-0.33600892,  0.82858899]))	False
BMI1	ENHA_TEAD1;YAP1	4.03843220973018	1.1622917947719901e-59	False	((1.1333333333333335, 0.7373626373626374), array([-0.97537422,  0.25311062]))	False
BMI1	ENHA_RUNX2;YAP1	4.29463597626079	1.62353585700873e-64	False	((1.1666666666666667, 0.3263736263736263), array([-0.97537422,  0.25311062]))	False
BMI1	ENHA_FOXK1;RNPS1	2.1435521725331	4.7700700933193196e-11	False	((1.1333333333333335, -0.7131868131868133), array([0.42639218, 0.927985  ]))	False
BMI1	ENHA_SOX4;SDCBP	3.16956505153593	1.4762628115599598e-36	False	((1.1, 0.4956043956043956), array([0.74238   , 0.69857692]))	False
BMI1	ENHA_REL;SDCBP	3.02798439499389	1.55311296620806e-23	False	((1.1, 0.20549450549450543), array([0.74238   , 0.69857692]))	False
BMI1	ENHA_REL;EPM2AIP1	3.23353429613183	2.442724899643e-25	False	((1.1, 0.20549450549450543), array([-0.7343333 ,  0.68257402]))	False
BMI1	ENHA_REL;POLR2L	3.05732610087202	5.14646749574001e-24	False	((1.1, 0.20549450549450543), array([-0.95655127, -0.20049626]))	False
BMI1	ENHA_AR;NONO	2.06748730227259	4.57173065367357e-06	False	((1.1, -1.1), array([ 0.61490646, -0.68594664]))	False
BMI1	ENHA_AR;TAF1	1.90474040697448	4.35830933241949e-06	False	((1.1, -1.1), array([0.43359426, 0.86438014]))	False
BMI1	ENHA_RELA;FUS	2.37992348445661	2.86706589547125e-07	False	((1.1333333333333335, 0.22967032967032952), array([0.96442195, 0.32175093]))	False
BMI1	ENHA_AR;SPOP	2.45874622006785	1.13056512250758e-13	False	((1.1, -1.1), array([-0.52713172,  0.8047872 ]))	False
BMI1	ENHA_REL;GRB2	2.46753566408799	2.16496615952076e-13	False	((1.1, 0.20549450549450543), array([-0.96994682, -0.08908273]))	False
BMI1	ENHA_IRF3;RBL2	2.76555920532044	1.21226521910834e-25	False	((1.1, -0.5197802197802198), array([ 0.92016378, -0.35659951]))	False
BMI1	ENHA_FOXK1;RBL2	2.10609148925664	3.16924434812933e-11	False	((1.1333333333333335, -0.7131868131868133), array([ 0.92016378, -0.35659951]))	False
BMI1	ENHA_FOXO3;TRRAP	2.26829596891754	1.12433195442697e-14	False	((1.1, -0.6648351648351649), array([-0.97269733,  0.27747646]))	False
BMI1	ENHA_RARA;UBE3A	1.35474892532325	0.0492147187322047	False	((1.1666666666666667, 0.18131868131868134), array([-0.10934256, -0.97726234]))	False
BMI1	ENHA_AR;UBE3A	1.41371158344148	0.0658673477071761	False	((1.1, -1.1), array([-0.10934256, -0.97726234]))	False
BMI1	ENHA_NR4A1;VHL	3.44438334399754	1.87763719365786e-46	False	((1.1, 0.06043956043956045), array([0.33887124, 0.19856424]))	False
BMI1	ENHA_KLF4;VHL	3.37188775543131	3.22674379272924e-45	False	((1.1, -0.37472527472527484), array([0.33887124, 0.19856424]))	False
BMI1	ENHA_AR;VHL	3.4037915327143	1.30880309402244e-41	False	((1.1, -1.1), array([0.33887124, 0.19856424]))	False
BMI1	CUL2;ENHA_RELA	4.07196672963279	9.776267994828499e-12	False	(array([ 0.8111541 , -0.38377523]), (1.1333333333333335, 0.22967032967032952))	False
BMI1	BPTF;ENHA_FOXK2	2.79494291171078	1.01351973664952e-24	False	(array([-0.98211552,  0.13665155]), (1.1666666666666667, -0.689010989010989))	False
BMI1	ENHA_FOXK2;NFYC	2.24142411160145	2.55429344286187e-17	False	((1.1666666666666667, -0.689010989010989), array([0.97712905, 0.14214611]))	False
BMI1	ENHA_RARA;NR1H2	1.76590716359392	0.0002150285144551	False	((1.1666666666666667, 0.18131868131868134), array([ 0.75679466, -0.6767256 ]))	False
BMI1	ENHA_FOXO3;NR1H2	1.81224073913802	0.0026974297440307	False	((1.1, -0.6648351648351649), array([ 0.75679466, -0.6767256 ]))	False
BMI1	ENHA_YY1;NR1H2	1.92531796886558	0.0001159475480294	False	((1.1666666666666667, 0.9065934065934065), array([ 0.75679466, -0.6767256 ]))	False
BMI1	ENHA_RORA;RUVBL1	1.4264812985522	0.0409619728683596	False	((1.1, 0.2780219780219779), array([ 0.95260281, -0.25508646]))	False
