Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CAPG	CTBP2;ENHA_ZBTB18	0.36688216751096	1.80316906433101e-10	False	(array([-0.64082052,  0.22266099]), (1.1, 0.676923076923077))	False
CAPG	CTBP2;PROM_KLF3	1.11659631574105	0.323786564352707	False	(array([-0.64082052,  0.22266099]), (-1.1333333333333335, -0.2828571428571429))	False
CAPG	ENHA_E2F6;TFDP2	0.424623930162016	3.58845014866308e-11	False	((1.1, -1.1), array([-0.64005813, -0.45014649]))	False
CAPG	ENHA_SP1;PML	1.21139093152509	0.108932586667903	False	((1.1, 0.1692307692307693), array([-0.59301294,  0.74775598]))	False
CAPG	PROM_E2F4;TFDP2	0.515967632004246	4.82919309533257e-07	False	((-1.1666666666666667, -0.9742857142857144), array([-0.64005813, -0.45014649]))	False
CAPG	PML;PROM_E2F4	1.17784268376194	0.126246638396924	False	(array([-0.59301294,  0.74775598]), (-1.1666666666666667, -0.9742857142857144))	False
CAPG	ENHA_SP1;HCFC1	1.29812096325086	0.0376459123754079	False	((1.1, 0.1692307692307693), array([-0.82131619,  0.07885259]))	False
CAPG	HCFC1;PROM_E2F4	1.22040691108078	0.0647192141805824	False	(array([-0.82131619,  0.07885259]), (-1.1666666666666667, -0.9742857142857144))	False
CAPG	ENHA_TFAP2A;RB1	0.588821335842871	7.30239456840913e-07	False	((1.1333333333333335, 0.5076923076923077), array([0.41982027, 0.87690744]))	False
CAPG	PROM_E2F4;RB1	1.02990418757503	0.791942323674891	False	((-1.1666666666666667, -0.9742857142857144), array([0.41982027, 0.87690744]))	False
CAPG	PROM_TFDP1;RB1	0.99454833747755	1.0	False	((-1.1666666666666667, 0.9114285714285715), array([0.41982027, 0.87690744]))	False
CAPG	BANP;ENHA_SP2	1.10995989968149	0.339267316199534	False	(array([0.27278936, 0.26674745]), (1.1333333333333335, 0.25384615384615383))	False
CAPG	ENHA_SP1;POU2F1	1.45346687673308	0.001172644101445	False	((1.1, 0.1692307692307693), array([-0.70068064,  0.65861085]))	False
CAPG	BANP;PROM_SP4	1.30716606624015	0.0124298345411507	False	(array([0.27278936, 0.26674745]), (-1.1666666666666667, 0.7228571428571429))	False
CAPG	POU2F1;PROM_SP4	1.65310295489449	2.16635681411059e-06	False	(array([-0.70068064,  0.65861085]), (-1.1666666666666667, 0.7228571428571429))	False
CAPG	AR;ENHA_SP1	1.4730024819952	0.0015708986048098	False	(array([ 0.93347101, -0.27733513]), (1.1, 0.1692307692307693))	False
CAPG	ENHA_SP1;MDM2	0.908342487286985	0.419774341068625	False	((1.1, 0.1692307692307693), array([ 0.62535199, -0.6830658 ]))	False
CAPG	ENHA_SP1;MAPK8	0.896492809661305	0.331069297529111	False	((1.1, 0.1692307692307693), array([0.5953062 , 0.71765376]))	False
CAPG	CHD8;ENHA_ZNF143	0.473498914591197	6.98985346115503e-07	False	(array([-0.83403689,  0.4598487 ]), (1.1333333333333335, 0.7615384615384615))	False
CAPG	CHD8;PROM_CTCF	0.534547299671388	6.98511467029811e-05	False	(array([-0.83403689,  0.4598487 ]), (-1.1333333333333335, -1.0371428571428571))	False
CAPG	ENHA_ZNF148;SIAH1	0.936752869805546	0.556419965392434	False	((1.1666666666666667, 0.8461538461538463), array([ 0.7075104 , -0.65037536]))	False
CAPG	ENHA_TFAP2C;KDM5B	0.762408600763544	0.0163734895044452	False	((1.1666666666666667, 0.5923076923076924), array([-0.94273561,  0.23980252]))	False
CAPG	KDM5B;PROM_CTCF	0.718941401370689	0.0317127941658987	False	(array([-0.94273561,  0.23980252]), (-1.1333333333333335, -1.0371428571428571))	False
CAPG	PROM_KLF10;SIAH1	1.49411329459733	0.0002224714258098	False	((-1.1, -0.5342857142857144), array([ 0.7075104 , -0.65037536]))	False
CAPG	KDM5B;PROM_KLF10	1.30408482827975	0.0167704612173982	False	(array([-0.94273561,  0.23980252]), (-1.1, -0.5342857142857144))	False
CAPG	EHMT2;ENHA_REST	0.868832386575953	0.211571477531994	False	(array([ 0.0218046 , -0.98063337]), (1.1333333333333335, 0.0))	False
CAPG	EHMT2;PROM_KLF3	1.28657648726187	0.0224377909319494	False	(array([ 0.0218046 , -0.98063337]), (-1.1333333333333335, -0.2828571428571429))	False
CAPG	EHMT2;PROM_KLF6	1.46236762443923	0.0005006667871373	False	(array([ 0.0218046 , -0.98063337]), (-1.1333333333333335, -0.0942857142857143))	False
