Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CARD14	ENHA_MITF;PATZ1	0.525175191286661	1.99733038143358e-05	False	((1.1, -0.25384615384615383), array([-0.96787267, -0.31730453]))	False
CARD14	ENHA_RBPJ;PATZ1	0.68749876437194	0.004656887515548	False	((1.1333333333333335, 0.1410256410256412), array([-0.96787267, -0.31730453]))	False
CARD14	ENHA_MAFF;PROM_BACH2	1.14897425589487	0.630094798454247	False	((1.1, -0.42307692307692313), (-1.1333333333333335, -0.7857142857142858))	False
CARD14	PATZ1;PROM_BACH2	1.63085772398435	0.0106281134631935	False	(array([-0.96787267, -0.31730453]), (-1.1333333333333335, -0.7857142857142858))	False
CARD14	ENHA_NR4A2;SMARCA2	1.4441688134697	0.21562748343499	False	((1.1333333333333335, -0.028205128205128105), array([-0.55450163,  0.80098774]))	False
CARD14	EED;ENHA_TFAP2A	0.383866740571571	3.65994606845763e-21	False	(array([-0.97612715,  0.19603295]), (1.1333333333333335, 0.6487179487179489))	False
CARD14	ENHA_SNAI1;LATS2	0.87329302688359	0.757497252784144	False	((1.1333333333333335, 0.31025641025641026), array([0.4434582 , 0.88456572]))	False
CARD14	ENHA_CREB1;JUND	0.369030783610415	1.52639927305323e-22	False	((1.1333333333333335, -1.0435897435897437), array([0.88333308, 0.2888633 ]))	False
CARD14	ENHA_CREB1;ZNF451	1.17982422035245	0.556970995177512	False	((1.1333333333333335, -1.0435897435897437), array([-0.62577024, -0.84542607]))	False
CARD14	CHD8;ENHA_CTCF	0.421729175294615	6.86095593476388e-14	False	(array([-0.7052543 ,  0.68928227]), (1.1666666666666667, -0.8179487179487179))	False
CARD14	CHD8;ENHA_CREB1	0.425535222374988	2.5384047761606202e-15	False	(array([-0.7052543 ,  0.68928227]), (1.1333333333333335, -1.0435897435897437))	False
CARD14	ENHA_PPARG;RB1	0.438844848360543	2.3670600863720197e-13	False	((1.1666666666666667, 0.028205128205128327), array([ 0.61457753, -0.69378566]))	False
CARD14	ENHA_TFAP2A;RB1	0.339379871867666	1.65135236497441e-35	False	((1.1333333333333335, 0.6487179487179489), array([ 0.61457753, -0.69378566]))	False
CARD14	ENHA_PPARG;NCOA4	1.33775295188926	0.43467342819884	False	((1.1666666666666667, 0.028205128205128327), array([0.54596654, 0.75720097]))	False
CARD14	EGFR;ENHA_PPARG	0.891113500998012	0.672929442766159	False	(array([-0.92456432,  0.39440724]), (1.1666666666666667, 0.028205128205128327))	False
CARD14	EGFR;ENHA_STAT1	1.56589335495718	0.0032725137144311	False	(array([-0.92456432,  0.39440724]), (1.1333333333333335, 0.47948717948717956))	False
CARD14	ENHA_PPARG;PIAS1	0.40894640576736	4.80650110082744e-14	False	((1.1666666666666667, 0.028205128205128327), array([-0.3132828 ,  0.78067677]))	False
CARD14	ENHA_STAT1;PIAS1	0.53511923053196	9.30957142534447e-13	False	((1.1333333333333335, 0.47948717948717956), array([-0.3132828 ,  0.78067677]))	False
CARD14	ENHA_CREB1;PIAS1	0.399393571862196	1.39137452204459e-20	False	((1.1333333333333335, -1.0435897435897437), array([-0.3132828 ,  0.78067677]))	False
CARD14	ENHA_RBPJ;SART3	1.53154693095767	0.124020971450913	False	((1.1333333333333335, 0.1410256410256412), array([-0.95605659, -0.17583389]))	False
CARD14	ENHA_SNAI1;KDM1A	0.455147459875185	3.65496238866338e-15	False	((1.1333333333333335, 0.31025641025641026), array([ 0.77904934, -0.59501461]))	False
CARD14	ENHA_RBPJ;KDM1A	0.620457214341136	1.00099046483078e-05	False	((1.1333333333333335, 0.1410256410256412), array([ 0.77904934, -0.59501461]))	False
CARD14	ENHA_RBPJ;LCOR	0.276643571802424	1.59503082881888e-18	False	((1.1333333333333335, 0.1410256410256412), array([-0.19802087, -0.96237749]))	False
CARD14	ENHA_RBPJ;JMJD1C	1.53154693095767	0.124020971450913	False	((1.1333333333333335, 0.1410256410256412), array([-0.96692597,  0.25171885]))	False
CARD14	ENHA_NR4A1;GADD45GIP1	0.776789722019809	0.151860891686066	False	((1.1, -0.08461538461538454), array([ 0.02316191, -0.99520684]))	False
CARD14	ENHA_REST;SMARCE1	0.471111821746208	3.6129158189405503e-14	False	((1.1666666666666667, 0.19743589743589762), array([0.76649169, 0.36642573]))	False
