Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CCDC6	CCND1;ENHA_AR	0.369564910902257	5.758602492019651e-14	False	(array([-0.2104198 ,  0.88911527]), (1.1, -1.1))	False
CCDC6	ENHA_TFAP2A;RB1	0.339379871867666	1.65135236497441e-35	False	((1.1666666666666667, 0.8250000000000002), array([-0.82851459, -0.44235292]))	False
CCDC6	ENHA_AR;RB1	0.56484402108943	4.0562338550562e-08	False	((1.1, -1.1), array([-0.82851459, -0.44235292]))	False
CCDC6	ENHA_AR;NCOA3	0.625669342791498	5.95248875282431e-05	False	((1.1, -1.1), array([-0.84807594, -0.14704132]))	False
CCDC6	ENHA_FOXA1;HOXB9	0.981610475440447	0.941018403227806	False	((1.1333333333333335, -0.8800000000000001), array([-0.53004668,  0.85205162]))	False
CCDC6	ENHA_RBPJ;HOXB9	0.689751884181866	0.127660788740672	False	((1.1333333333333335, 0.1100000000000001), array([-0.53004668,  0.85205162]))	False
CCDC6	ENHA_FOXA1;RCC1	0.904516621386078	0.613507361349617	False	((1.1333333333333335, -0.8800000000000001), array([-0.84070638,  0.19734282]))	False
CCDC6	ENHA_RBPJ;RCC1	0.697923791973337	0.204817835119965	False	((1.1333333333333335, 0.1100000000000001), array([-0.84070638,  0.19734282]))	False
CCDC6	ENHA_FOXA1;TFAP4	0.902526949194508	0.605903173511868	False	((1.1333333333333335, -0.8800000000000001), array([-0.81222303, -0.54133732]))	False
CCDC6	ENHA_RBPJ;TFAP4	0.560367979209555	0.0702420422616113	False	((1.1333333333333335, 0.1100000000000001), array([-0.81222303, -0.54133732]))	False
CCDC6	ENHA_FOXA1;PBX1	0.865302047321205	0.320502308954386	False	((1.1333333333333335, -0.8800000000000001), array([0.4335575, 0.9376227]))	False
CCDC6	ENHA_RBPJ;PBX1	0.780773525023289	0.198541064524965	False	((1.1333333333333335, 0.1100000000000001), array([0.4335575, 0.9376227]))	False
CCDC6	ENHA_FOXA1;SATB2	1.01056855996333	0.944396806795133	False	((1.1333333333333335, -0.8800000000000001), array([-0.65768141,  0.65542909]))	False
CCDC6	ENHA_RBPJ;SATB2	0.610584639094934	0.0205999983171531	False	((1.1333333333333335, 0.1100000000000001), array([-0.65768141,  0.65542909]))	False
CCDC6	ENHA_AR;SART3	0.813681580224488	0.539563277041677	False	((1.1, -1.1), array([0.78838238, 0.66056205]))	False
CCDC6	ENHA_RBPJ;SART3	1.53154693095767	0.124020971450913	False	((1.1333333333333335, 0.1100000000000001), array([0.78838238, 0.66056205]))	False
CCDC6	ENHA_AR;JMJD1C	0.813681580224488	0.539563277041677	False	((1.1, -1.1), array([-0.64437924, -0.80344212]))	False
CCDC6	ENHA_RBPJ;JMJD1C	1.53154693095767	0.124020971450913	False	((1.1333333333333335, 0.1100000000000001), array([-0.64437924, -0.80344212]))	False
CCDC6	ENHA_TFAP2A;EYA2	0.481842843612088	0.0013680696321816	False	((1.1666666666666667, 0.8250000000000002), array([-0.673227  ,  0.74981528]))	False
CCDC6	EYA2;PROM_SIX1	1.36997186244775	0.332309999764442	False	(array([-0.673227  ,  0.74981528]), (-1.1666666666666667, 0.48888888888888893))	False
CCDC6	AES;ENHA_AR	0.654800269602246	0.002007279728944	False	(array([ 0.9684352 , -0.18633402]), (1.1, -1.1))	False
CCDC6	AES;PROM_SIX1	1.44063800205452	0.271024403672833	False	(array([ 0.9684352 , -0.18633402]), (-1.1666666666666667, 0.48888888888888893))	False
CCDC6	EGFR;ENHA_AR	1.00412263845448	1.0	False	(array([ 0.68100639, -0.62134766]), (1.1, -1.1))	False
CCDC6	CEBPA;ENHA_NFATC4	0.49163075219173	7.78848856909789e-08	False	(array([0.4189537 , 0.87219679]), (1.1333333333333335, -0.385))	False
CCDC6	ENHA_TFAP2A;MYC	0.381157102732491	6.50337715179005e-27	False	((1.1666666666666667, 0.8250000000000002), array([0.97372935, 0.312972  ]))	False
CCDC6	ENHA_YY1;MYC	0.506433064756606	1.5755478979218402e-09	False	((1.1666666666666667, 0.9900000000000002), array([0.97372935, 0.312972  ]))	False
CCDC6	ENHA_RBPJ;MYC	0.566452656910623	2.68202771165953e-08	False	((1.1333333333333335, 0.1100000000000001), array([0.97372935, 0.312972  ]))	False
CCDC6	AKT1;ENHA_AR	1.07925220693501	0.592281240118451	False	(array([-0.95998433, -0.09255616]), (1.1, -1.1))	False
CCDC6	ENHA_TFAP2A;TP53	0.321981990388523	7.52089204638752e-39	False	((1.1666666666666667, 0.8250000000000002), array([ 0.83765172, -0.47528718]))	False
CCDC6	ENHA_YY1;TP53	0.503474952241956	2.1251593633678697e-11	False	((1.1666666666666667, 0.9900000000000002), array([ 0.83765172, -0.47528718]))	False
CCDC6	ENHA_RBPJ;TP53	0.511042341036604	2.2184282404817398e-11	False	((1.1333333333333335, 0.1100000000000001), array([ 0.83765172, -0.47528718]))	False
CCDC6	ENHA_SP1;PGR	0.158183348224583	1.26973709580713e-94	False	((1.1333333333333335, 0.6050000000000002), array([-0.96917722,  0.26157062]))	False
CCDC6	PGR;PROM_KLF9	0.258649143779541	3.5388112783380996e-50	False	(array([-0.96917722,  0.26157062]), (-1.1666666666666667, -0.24444444444444446))	False
CCDC6	ENHA_MZF1;FHL3	0.395940786048042	3.12198946573636e-13	False	((1.1, -0.43999999999999995), array([ 0.33330301, -0.88127682]))	False
