Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CDC16	ENHA_TEAD2;INTS3	2.78442445633272	1.0109350919949801e-23	False	((1.1666666666666667, 0.7015748031496063), array([-0.96787912, -0.30167886]))	False
CDC16	ENHA_TEAD2;USP11	2.34810158046287	7.36361523843761e-14	False	((1.1666666666666667, 0.7015748031496063), array([-0.67802382, -0.7541343 ]))	False
CDC16	ENHA_TCF4;USP11	2.24142721511644	7.23519978442989e-13	False	((1.1, 0.6669291338582677), array([-0.67802382, -0.7541343 ]))	False
CDC16	ENHA_TEAD2;ORC4	2.82289087217934	5.14840313946061e-17	False	((1.1666666666666667, 0.7015748031496063), array([-0.85447786,  0.17172695]))	False
CDC16	ENHA_TCF4;ORC4	1.61012593985407	0.005053402829944	False	((1.1, 0.6669291338582677), array([-0.85447786,  0.17172695]))	False
CDC16	ENHA_JUN;TRIM33	3.10642695320096	4.0900603704209703e-19	False	((1.1, -0.5283464566929135), array([-0.60653449,  0.79049628]))	False
CDC16	ENHA_TCF4;TRIM33	2.03188830770309	9.950697185685451e-09	False	((1.1, 0.6669291338582677), array([-0.60653449,  0.79049628]))	False
CDC16	ENHA_JUN;ETS2	1.40066831357318	0.136811859682748	False	((1.1, -0.5283464566929135), array([-0.97907707,  0.21252844]))	False
CDC16	CSNK2B;ENHA_CLOCK	2.70164140123578	3.6824322924522203e-17	False	(array([-0.75025599,  0.4396992 ]), (1.1333333333333335, -1.0307086614173229))	False
CDC16	CSNK2B;ENHA_TFAP2A	2.08432962836948	3.04484700365332e-07	False	(array([-0.75025599,  0.4396992 ]), (1.1, 0.7188976377952754))	False
CDC16	ENHA_PKNOX1;HMGB2	1.31193803955182	0.355956322849553	False	((1.1, 0.14724409448818898), array([0.72108193, 0.71769629]))	False
CDC16	ENHA_MXI1;SMC3	1.61051720001729	0.0601091356249012	False	((1.1, -0.1645669291338584), array([-0.73242113,  0.68137773]))	False
CDC16	ENHA_TEAD2;SMC3	2.12550983649747	1.94134821784162e-06	False	((1.1666666666666667, 0.7015748031496063), array([-0.73242113,  0.68137773]))	False
CDC16	ENHA_CLOCK;PPP1CB	2.54275035025386	0.0001154442614763	False	((1.1333333333333335, -1.0307086614173229), array([-0.95585878, -0.17932932]))	False
CDC16	ENHA_MAX;PPP1CB	1.93859308331156	0.0029993559487118	False	((1.1666666666666667, -0.2858267716535434), array([-0.95585878, -0.17932932]))	False
CDC16	ENHA_JUN;LIG3	1.85944637051511	0.0016858478488774	False	((1.1, -0.5283464566929135), array([ 0.57553041, -0.68058794]))	False
CDC16	ENHA_MAX;LIG3	1.76577448626029	0.0271251529948363	False	((1.1666666666666667, -0.2858267716535434), array([ 0.57553041, -0.68058794]))	False
CDC16	ENHA_JUN;TUBA1A	2.04377806198185	0.0005392235528805	False	((1.1, -0.5283464566929135), array([0.43680263, 0.85928142]))	True
CDC16	ENHA_MAX;TUBA1A	1.76577448626029	0.0271251529948363	False	((1.1666666666666667, -0.2858267716535434), array([0.43680263, 0.85928142]))	False
CDC16	ENHA_SREBF2;PIAS2	2.03570778551063	5.08346948223488e-07	False	((1.1333333333333335, 0.5803149606299212), array([0.93749267, 0.39488771]))	False
CDC16	ENHA_JUN;PIAS2	1.51853356405341	0.0606799143483475	False	((1.1, -0.5283464566929135), array([0.93749267, 0.39488771]))	False
CDC16	ENHA_MYC;PIAS2	2.03310935539887	0.0016094160469231	False	((1.1666666666666667, -0.1299212598425198), array([0.93749267, 0.39488771]))	False
CDC16	ENHA_TEAD2;PDS5A	1.98904696248676	4.49742063765978e-05	False	((1.1666666666666667, 0.7015748031496063), array([-0.96610394, -0.07742809]))	False
CDC16	ENHA_MYC;PDS5A	2.1321980884899	0.043202298933145	False	((1.1666666666666667, -0.1299212598425198), array([-0.96610394, -0.07742809]))	False
CDC16	ADNP;ENHA_TEAD2	2.11707467084022	5.71960699806384e-05	False	(array([ 0.91396272, -0.37260221]), (1.1666666666666667, 0.7015748031496063))	False
CDC16	ADNP;ENHA_MYC	2.20904824056513	0.0057702409703102	False	(array([ 0.91396272, -0.37260221]), (1.1666666666666667, -0.1299212598425198))	False
CDC16	ENHA_TEAD2;TRIP12	2.11707467084022	5.71960699806384e-05	False	((1.1666666666666667, 0.7015748031496063), array([-0.53153272, -0.81956733]))	False
CDC16	ENHA_MYC;TRIP12	2.1321980884899	0.043202298933145	False	((1.1666666666666667, -0.1299212598425198), array([-0.53153272, -0.81956733]))	False
CDC16	ENHA_TEAD1;MEF2C	3.60641674342361	9.5087814949064e-50	False	((1.1333333333333335, 0.684251968503937), array([-0.81383042, -0.50467432]))	False
CDC16	ENHA_SP1;MEF2C	3.39654371216013	3.41739106597037e-46	False	((1.1333333333333335, 0.47637795275590533), array([-0.81383042, -0.50467432]))	False
CDC16	ENHA_ELF3;NFKB1	2.40413514806959	1.7513170831114198e-22	False	((1.1333333333333335, -0.8228346456692914), array([0.31188778, 0.81933816]))	False
CDC16	ENHA_NFKB2;NFKB1	2.52501170466908	1.3047378811234202e-10	False	((1.1333333333333335, -0.04330708661417337), array([0.31188778, 0.81933816]))	True
CDC16	ENHA_SP1;NFKB1	2.22777646876541	2.6272785890468503e-20	False	((1.1333333333333335, 0.47637795275590533), array([0.31188778, 0.81933816]))	False
CDC16	BAZ1A;ENHA_ZBTB7A	2.69495802148889	2.12856959780542e-17	False	(array([ 0.56512048, -0.43249237]), (1.1, 0.9787401574803147))	False
CDC16	BAZ1A;ENHA_TEAD2	2.31451260980647	6.78528011719529e-16	False	(array([ 0.56512048, -0.43249237]), (1.1666666666666667, 0.7015748031496063))	False
CDC16	BAZ1A;ENHA_MAX	2.63009335909352	8.86355579765081e-25	False	(array([ 0.56512048, -0.43249237]), (1.1666666666666667, -0.2858267716535434))	False
CDC16	BAZ1A;ENHA_ZBTB7A	2.69495802148889	2.12856959780542e-17	False	(array([ 0.56512048, -0.43249237]), (1.1, 0.9787401574803147))	False
CDC16	ENHA_ZBTB33;SF3B1	4.09170940013403	1.52574927563709e-07	False	((1.1666666666666667, 0.9614173228346456), array([0.9795957 , 0.11487231]))	False
CDC16	ENHA_ZBTB14;TXN2	2.44913346218703	3.32132800882377e-05	False	((1.1, 0.926771653543307), array([-0.76687641,  0.63238239]))	False
CDC16	ENHA_NR3C1;TXN2	2.9514650554094	6.17960378089409e-29	False	((1.1666666666666667, 0.07795275590551176), array([-0.76687641,  0.63238239]))	False
CDC16	CDKN1A;ENHA_STAT3	2.21425850853062	1.85766405399747e-13	False	(array([ 0.9615444 , -0.21439029]), (1.1, 0.6149606299212598))	False
CDC16	CDKN1A;ENHA_TCF4	2.39790566127335	2.00986580563539e-14	False	(array([ 0.9615444 , -0.21439029]), (1.1, 0.6669291338582677))	False
CDC16	CDKN1A;ENHA_STAT3	2.21425850853062	1.85766405399747e-13	False	(array([ 0.9615444 , -0.21439029]), (1.1, 0.6149606299212598))	False
CDC16	ENHA_ZBTB7A;KHDRBS1	2.54811337746832	3.7697379479315004e-10	False	((1.1, 0.9787401574803147), array([0.91154274, 0.33261382]))	False
CDC16	ENHA_STAT3;KHDRBS1	2.88666059969981	2.2451874272329001e-26	False	((1.1, 0.6149606299212598), array([0.91154274, 0.33261382]))	False
