Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CDC5L	ENHA_EGR1;FOSL2	2.56150610579543	2.24918103324254e-17	False	((1.1, -0.937704918032787), array([-0.96722823, -0.26430011]))	False
CDC5L	CSNK2B;ENHA_CLOCK	2.70164140123578	3.6824322924522203e-17	False	(array([-0.64564508, -0.76772018]), (1.1666666666666667, -1.0098360655737706))	False
CDC5L	ENHA_EGR1;JUNB	2.73948964977946	9.703207421884009e-28	False	((1.1, -0.937704918032787), array([-0.749503  ,  0.39117141]))	False
CDC5L	ATR;ENHA_ETV1	1.77821869394256	6.41746414768593e-06	False	(array([-0.34195562,  0.8337495 ]), (1.1333333333333335, -0.8114754098360657))	False
CDC5L	ENHA_RARA;FOXA1	1.92733419378469	3.78255749384287e-08	False	((1.1, 0.3065573770491803), array([-0.67941101,  0.45371049]))	False
CDC5L	ENHA_BACH1;PABPN1	1.25525313612889	0.566706181416912	False	((1.1, -1.1), array([0.44587798, 0.91785087]))	False
CDC5L	ENHA_POU2F1;GAPDH	0.885380729959305	0.798650738015993	False	((1.1, 0.2524590163934426), array([0.76291681, 0.67386657]))	False
CDC5L	ENHA_ZBTB7B;GRB2	2.521940834526	1.4460314927372399e-11	False	((1.1666666666666667, 0.9918032786885247), array([-0.70183602,  0.70902771]))	False
CDC5L	ENHA_ZBTB7C;SREBF1	2.91331890861735	9.76268536646997e-27	False	((1.1, 1.0098360655737704), array([ 0.9833693 , -0.07466469]))	False
CDC5L	ENHA_SP1;SREBF1	2.88552230781881	1.2837371479791199e-30	False	((1.1333333333333335, 0.540983606557377), array([ 0.9833693 , -0.07466469]))	False
CDC5L	DROSHA;ENHA_BCL6	2.30537451542229	5.2605872386479905e-15	False	(array([0.4050552 , 0.87623221]), (1.1666666666666667, -1.0639344262295083))	False
CDC5L	DROSHA;ENHA_SP1	2.49927585614176	2.49927458868712e-16	False	(array([0.4050552 , 0.87623221]), (1.1333333333333335, 0.540983606557377))	False
CDC5L	CCNA2;ENHA_SP1	2.53836219132143	4.0880995420580905e-20	False	(array([0.95645524, 0.34697907]), (1.1333333333333335, 0.540983606557377))	False
CDC5L	CCNA2;ENHA_TP73	3.15084272434692	1.36834510923837e-37	False	(array([0.95645524, 0.34697907]), (1.1666666666666667, 0.8836065573770493))	False
CDC5L	ENHA_POU2F1;SP4	1.37840927176522	0.061895574265257	False	((1.1, 0.2524590163934426), array([-0.95592554, -0.08201421]))	False
CDC5L	ENHA_CEBPA;NFATC4	0.735972535066232	0.585071725041684	False	((1.1, -1.0459016393442624), array([-0.38390167, -0.88526378]))	False
CDC5L	ENHA_ELK4;SIRT7	3.5873340012202	4.53000724554221e-32	False	((1.1333333333333335, -0.8655737704918034), array([-0.78587506, -0.52943069]))	False
CDC5L	ENHA_ELK4;SIRT7	3.5873340012202	4.53000724554221e-32	False	((1.1333333333333335, -0.8655737704918034), array([-0.78587506, -0.52943069]))	False
CDC5L	CCND1;ENHA_STAT3	3.44249567436295	2.8168523662890698e-40	False	(array([-0.04865757, -0.97340887]), (1.1333333333333335, 0.6491803278688526))	False
CDC5L	CCND1;ENHA_STAT3	3.44249567436295	2.8168523662890698e-40	False	(array([-0.04865757, -0.97340887]), (1.1333333333333335, 0.6491803278688526))	False
CDC5L	ENHA_STAT3;HIC1	1.90893743461742	0.0006208927637287	False	((1.1333333333333335, 0.6491803278688526), array([0.18855373, 0.62964625]))	False
CDC5L	ENHA_HIC2;HIC1	1.65163835009571	0.0051248774139893	False	((1.1666666666666667, -0.5229508196721312), array([0.18855373, 0.62964625]))	False
CDC5L	ENHA_STAT3;HIC1	1.90893743461742	0.0006208927637287	False	((1.1333333333333335, 0.6491803278688526), array([0.18855373, 0.62964625]))	False
CDC5L	ENHA_HIC2;HIC1	1.65163835009571	0.0051248774139893	False	((1.1666666666666667, -0.5229508196721312), array([0.18855373, 0.62964625]))	False
CDC5L	ENHA_E2F1;XIAP	2.15624712640369	0.0112010363952546	False	((1.1, -0.9918032786885247), array([-0.97166528,  0.10640668]))	False
CDC5L	ENHA_RELB;KPNA2	2.80041103267683	1.19589150435048e-19	False	((1.1333333333333335, 0.3245901639344262), array([0.98069094, 0.08240018]))	False
CDC5L	BIRC2;ENHA_E2F1	2.37879666631794	1.3264340375885102e-09	False	(array([ 0.76038968, -0.66652981]), (1.1, -0.9918032786885247))	False
CDC5L	CCNG1;ENHA_NFATC4	2.10010856718058	3.39104800508225e-12	False	(array([-0.77571326,  0.60936681]), (1.1, -0.0180327868852459))	False
CDC5L	ENHA_KLF10;KDM5B	3.75643585423996	1.36366374134535e-53	False	((1.1, -0.3426229508196722), array([0.7548403 , 0.54899634]))	False
CDC5L	ENHA_STAT3;SIAH1	3.95663295685133	1.2170606826915198e-56	False	((1.1333333333333335, 0.6491803278688526), array([0.93720331, 0.2377443 ]))	False
CDC5L	ENHA_ZNF148;SIAH1	5.63666019255817	2.7639381358055204e-85	False	((1.1666666666666667, 1.0459016393442622), array([0.93720331, 0.2377443 ]))	False
CDC5L	ENHA_BCL6;SIAH1	2.36895546601056	2.59470819609076e-15	False	((1.1666666666666667, -1.0639344262295083), array([0.93720331, 0.2377443 ]))	False
CDC5L	ENHA_STAT3;SIAH1	3.95663295685133	1.2170606826915198e-56	False	((1.1333333333333335, 0.6491803278688526), array([0.93720331, 0.2377443 ]))	False
CDC5L	ENHA_KLF10;SIAH1	5.33910548446863	4.4427745516755696e-83	False	((1.1, -0.3426229508196722), array([0.93720331, 0.2377443 ]))	False
CDC5L	ENHA_ZNF148;SIAH1	5.63666019255817	2.7639381358055204e-85	False	((1.1666666666666667, 1.0459016393442622), array([0.93720331, 0.2377443 ]))	False
CDC5L	ENHA_THAP1;RBM39	2.14255449008871	3.03432504236703e-05	False	((1.1666666666666667, 0.8295081967213116), array([-0.05587044,  0.98960885]))	False
CDC5L	CALR;ENHA_ELF3	1.49917894816507	0.0161727534745046	False	(array([0.61117767, 0.66350022]), (1.1, -0.8836065573770493))	False
CDC5L	CALR;ENHA_ELF3	1.49917894816507	0.0161727534745046	False	(array([0.61117767, 0.66350022]), (1.1, -0.8836065573770493))	False
CDC5L	CALR;ENHA_ELF3	1.49917894816507	0.0161727534745046	False	(array([0.61117767, 0.66350022]), (1.1, -0.8836065573770493))	False
