protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
ENHA_TEAD3	True	False	False	1.1	0.7591549295774649	3	-1.73704433724737	3.162597211463e-40	False											5.10675044158887	6.30527449709525e-32
ENHA_NR2F2	True	False	False	1.1666666666666667	0.19107981220657289	3	1.53748819540803	3.79515510981433e-47	False											5.63613854033263	1.0315918742425799e-36
ENHA_AR	True	False	False	1.1	-1.1	54	0.367597826345658	8.286257086481861e-10	False											8.27497023690783	3.4317446654173327e-56
ENHA_EHF	True	False	False	1.1333333333333335	-0.8417840375586856	3	1.88526498951326	2.4863645701402698e-185	False											18.7914650259479	4.54000863808723e-60
ENHA_IRF9	True	False	False	1.1666666666666667	-0.3356807511737089	1	-4.72276745596063	2.67135164718135e-225	False											4.85510285214224	1.38861829028788e-20
ENHA_HOXA5	True	False	False	1.1	-0.4802816901408451	1	0.226079275894766	0.66960623720912	False											7.17627272958737	1.33296551187361e-35
ENHA_ZBTB26	True	False	False	1.1666666666666667	0.9657276995305164	2	-0.0532896782270238	0.821792475560156	False											6.79820414851583	4.76818971904982e-31
ENHA_STAT3	True	False	False	1.1333333333333335	0.6765258215962442	25	-0.13163942522722	0.0914843663541713	False											7.8891731993627	3.7951735538462095e-56
ENHA_MAZ	True	False	False	1.1	-0.13943661971830978	6	1.17636897308062	2.95636464524114e-88	False											9.46785356365601	6.033218199932441e-55
ENHA_RFX3	True	False	False	1.1333333333333335	0.42863849765258233	3	1.29518564494931	2.61532881750928e-09	False											8.36246731975799	7.53828297541665e-59
ENHA_GATA6	True	False	False	1.1	-0.5732394366197183	2	-1.40403062398768	1.91110113852165e-08	False											5.01134215279864	3.624847492580931e-26
ENHA_TEAD1	True	False	False	1.1333333333333335	0.7384976525821598	4	-3.09819901379961	1.5394834772998e-296	False											11.613864993263501	7.574061349792315e-71
ENHA_KLF4	True	False	False	1.1333333333333335	-0.22206572769953048	10	-4.0236383329462	1.2985292682091302e-211	False											33.2571128961372	7.455391418937302e-53
ENHA_MSX1	True	False	False	1.1666666666666667	-0.0568075117370892	3	4.2854018223603	4.47639393498334e-27	False											6.41563738671665	2.83697206891733e-21
ENHA_NFIC	True	False	False	1.1666666666666667	0.06713615023474184	1	1.96587754562413	4.1547395769726297e-128	False											6.87589954200461	6.9740423121671e-38
ENHA_TBX3	True	False	False	1.1666666666666667	0.6868544600938968	1	4.85416731525128	0.0	False											5.39230081278379	4.30822428211726e-36
ENHA_CEBPB	True	False	False	1.1	-1.0070422535211268	16	-1.24764079331658	9.42804687986243e-41	False											9.886068964214175	2.7530509327099684e-50
ENHA_MYC	True	False	False	1.1	-0.015492957746478853	65	0.678826795642739	2.0942350848026002e-26	False											7.36288986108044	1.85905976413008e-49
ENHA_THRB	True	False	False	1.1333333333333335	0.8624413145539909	9	1.21953043880219	8.56338194398239e-20	False											7.76775562869528	3.83568563578646e-56
ENHA_FOXP1	True	False	False	1.1333333333333335	-0.6248826291079812	3	1.23058638748909	9.34625524205785e-17	False											20.1245487053702	3.22390024835718e-45
ENHA_ZNF143	True	False	False	1.1666666666666667	1.0276995305164323	1	0.199771136687369	0.27348045140562	False											5.51819613156313	3.98754671360877e-39
ENHA_EGR1	True	False	False	1.1	-0.8521126760563381	18	-3.04567725393117	0.0	False											10.334265819725896	3.2508575847117845e-50
ENHA_HOXC8	True	False	False	1.1	-0.4183098591549296	1	-5.08696555845238	1.47367990589142e-07	False											6.10114700290772	8.556692730344951e-14
