Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CFAP20	ENHA_ELF3;XRCC6	0.530546954015443	7.46299494897924e-09	False	((1.1, -0.89375), array([-0.9626513 , -0.27469217]))	False
CFAP20	ENHA_TFAP2A;XRCC6	0.601679676462145	2.03955625964613e-06	False	((1.1, 0.7562500000000001), array([-0.9626513 , -0.27469217]))	False
CFAP20	ENHA_POU2F1;XRCC6	0.336788061766733	1.42020035159831e-12	False	((1.1, 0.13749999999999996), array([-0.9626513 , -0.27469217]))	False
CFAP20	ENHA_KLF11;SIN3A	1.10975392523303	0.364519570266418	False	((1.1666666666666667, -0.515625), array([-0.65476844,  0.46381895]))	False
CFAP20	ENHA_KLF10;SIN3A	0.98578653422591	0.954638720606972	False	((1.1333333333333335, -0.55), array([-0.65476844,  0.46381895]))	False
CFAP20	ENHA_STAT3;SIN3A	0.349527649600459	9.04766366405419e-13	False	((1.1, 0.653125), array([-0.65476844,  0.46381895]))	False
CFAP20	ENHA_CTCF;SMC1A	0.350151411919192	0.0024148856209223	False	((1.1, -1.1), array([-0.79861512, -0.57906755]))	False
CFAP20	ENHA_STAT3;MAPK9	0.236039037997795	3.7003959253757795e-11	False	((1.1, 0.653125), array([0.44106553, 0.8936591 ]))	False
CFAP20	DCTN1;ENHA_STAT1	0.0814862644568354	6.18732377058905e-08	False	(array([-0.69044562,  0.58055806]), (1.1666666666666667, 0.6187500000000001))	False
CFAP20	ENHA_ELF1;REL	0.299235240520669	2.2624503602964302e-09	False	((1.1666666666666667, -0.9281250000000001), array([-0.69150499,  0.68108957]))	False
CFAP20	CREB1;ENHA_POU2F1	0.22514741141313	6.51170735317728e-10	False	(array([-0.92746917, -0.23817021]), (1.1, 0.13749999999999996))	False
CFAP20	ENHA_ETV1;RFWD2	0.205698419687451	1.9409407675161e-14	False	((1.1333333333333335, -0.859375), array([ 0.71640247, -0.5589406 ]))	False
CFAP20	ENHA_CTCF;YBX1	0.21515641943418	9.22394305902165e-15	False	((1.1, -1.1), array([0.4474435 , 0.83088125]))	False
CFAP20	ENHA_STAT3;TRIM28	0.138573338966686	1.9214067790396998e-19	False	((1.1, 0.653125), array([-0.93264451,  0.34910988]))	False
CFAP20	ENHA_POU5F1;WDR5	0.378135749427471	4.38701565513439e-10	False	((1.1333333333333335, 0.171875), array([-0.34929561,  0.85189447]))	False
CFAP20	ENHA_REST;KDM5C	0.639805883750954	4.35740926404975e-05	False	((1.1666666666666667, 0.30937499999999996), array([ 0.87974797, -0.44804151]))	False
CFAP20	ENHA_PRDM1;PIAS1	0.448765553804174	5.0859188396227104e-14	False	((1.1666666666666667, 0.20625000000000004), array([-0.96832708,  0.13675271]))	False
CFAP20	ENHA_SP3;PIAS1	0.821906760355832	0.0656048452442378	False	((1.1666666666666667, 0.515625), array([-0.96832708,  0.13675271]))	False
CFAP20	ENHA_STAT1;PIAS1	0.324928334057864	2.4501632799965902e-23	False	((1.1666666666666667, 0.6187500000000001), array([-0.96832708,  0.13675271]))	False
CFAP20	ENHA_TCF3;MAPKAPK2	0.466418776637974	1.97466380843988e-05	False	((1.1333333333333335, 0.6875), array([ 0.26631941, -0.92299215]))	False
CFAP20	ENHA_STAT3;MAPKAPK2	0.32407986204144	1.73476559632348e-08	False	((1.1, 0.653125), array([ 0.26631941, -0.92299215]))	False
CFAP20	BHLHE40;ENHA_TCF3	0.48575795527961	1.99048089103968e-05	False	(array([0.58109346, 0.22903462]), (1.1333333333333335, 0.6875))	False
