Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CMC2	ENHA_TCF4;GLRX3	12.9884199766787	5.28733751688443e-125	False	((1.1333333333333335, 0.6686274509803922), array([-0.9878573 , -0.23031638]))	False
CMC2	ENHA_TCF4;GLRX3	12.9884199766787	5.28733751688443e-125	False	((1.1333333333333335, 0.6686274509803922), array([-0.9878573 , -0.23031638]))	False
CMC2	ENHA_SNAI1;LATS2	1.72979759630604	0.0456503177014421	False	((1.1666666666666667, 0.3666666666666667), array([-0.87675803, -0.3775917 ]))	False
CMC2	ENHA_TCF4;FLNA	2.62721432653174	6.983307032371249e-27	False	((1.1333333333333335, 0.6686274509803922), array([-0.79827198,  0.35529695]))	False
CMC2	ENHA_TCF4;FLNA	2.62721432653174	6.983307032371249e-27	False	((1.1333333333333335, 0.6686274509803922), array([-0.79827198,  0.35529695]))	False
CMC2	ENHA_TCF4;RNF6	2.08922530268765	2.6979623099304e-09	False	((1.1333333333333335, 0.6686274509803922), array([-0.43093569,  0.79899193]))	False
CMC2	ENHA_TCF4;RNF6	2.08922530268765	2.6979623099304e-09	False	((1.1333333333333335, 0.6686274509803922), array([-0.43093569,  0.79899193]))	False
CMC2	ENHA_GATA2;PSMA3	2.49287501633165	4.31076818927377e-24	False	((1.1666666666666667, -0.5392156862745098), array([-0.98296405,  0.21483853]))	False
CMC2	ENHA_SOX4;SDCBP	3.16956505153593	1.4762628115599598e-36	False	((1.1666666666666667, 0.4313725490196081), array([-0.78911379, -0.60270136]))	False
CMC2	ENHA_HMBOX1;MFAP1	2.03822774576378	1.6754042220556e-05	False	((1.1333333333333335, -0.49607843137254903), array([-0.7435655 ,  0.54650408]))	False
CMC2	ENHA_HMBOX1;SNRPB2	2.03822774576378	1.6754042220556e-05	False	((1.1333333333333335, -0.49607843137254903), array([0.74815425, 0.6872614 ]))	False
CMC2	BYSL;ENHA_HMBOX1	1.95075306143038	4.38899366345538e-05	False	(array([-0.66759502, -0.7984658 ]), (1.1333333333333335, -0.49607843137254903))	False
CMC2	ENHA_HMBOX1;ZMAT2	2.03822774576378	1.6754042220556e-05	False	((1.1333333333333335, -0.49607843137254903), array([-0.67904163,  0.74572572]))	False
CMC2	ENHA_MYB;SKI	2.05139091128755	1.54538789485952e-05	False	((1.1666666666666667, -0.021568627450980316), array([ 0.98191806, -0.04829023]))	False
CMC2	ENHA_RARA;SKI	2.25067164339853	4.0704948209489394e-12	False	((1.1333333333333335, 0.21568627450980404), array([ 0.98191806, -0.04829023]))	False
CMC2	ENHA_ZNF449;SCAND1	2.25003962276049	1.67562832760975e-07	False	((1.1333333333333335, 1.0568627450980395), array([-0.95306027,  0.36336498]))	False
CMC2	ENHA_ZNF24;SCAND1	1.9478949113538	9.96943775931886e-07	False	((1.1, 1.0352941176470591), array([-0.95306027,  0.36336498]))	False
CMC2	PROM_ZNF449;SCAND1	2.11900479194592	1.97551371271126e-10	False	((-1.1, 0.9842105263157896), array([-0.95306027,  0.36336498]))	False
CMC2	ENHA_HOXC4;SUV39H1	2.09740050608399	0.0005269576885065	False	((1.1333333333333335, -0.43137254901960786), array([ 0.89435149, -0.39989472]))	False
CMC2	PROM_ZKSCAN5;SUV39H1	2.10309934458584	6.54640374972984e-06	False	((-1.1333333333333335, 0.868421052631579), array([ 0.89435149, -0.39989472]))	False
CMC2	ENHA_HMBOX1;ZBTB24	2.41526747311261	1.03077947715493e-09	False	((1.1333333333333335, -0.49607843137254903), array([-0.96599293,  0.29860269]))	False
CMC2	CCNG1;ENHA_HMBOX1	1.6995366932938	0.0008714435784555	False	(array([-0.83839319, -0.46268158]), (1.1333333333333335, -0.49607843137254903))	False
CMC2	ENHA_RARA;MED25	2.70923045755327	8.24620291671976e-05	False	((1.1333333333333335, 0.21568627450980404), array([-0.05328562, -0.97876782]))	False
CMC2	ENHA_TP73;MED15	2.28279424998436	5.55044060362688e-05	False	((1.1, 0.9058823529411768), array([0.50222311, 0.73881342]))	False
CMC2	CCND3;ENHA_MYB	2.36110457308339	1.2053216363633e-06	False	(array([-0.95618622, -0.17823587]), (1.1666666666666667, -0.021568627450980316))	False
CMC2	CCND3;ENHA_RARA	1.6032490923337	0.0003310652953916	False	(array([-0.95618622, -0.17823587]), (1.1333333333333335, 0.21568627450980404))	False
CMC2	ENHA_GATA2;ZBTB16	0.977345511821574	1.0	False	((1.1666666666666667, -0.5392156862745098), array([ 0.76773169, -0.46893761]))	False
CMC2	ENHA_ZNF24;ZBTB16	1.11891863422403	0.564188412249564	False	((1.1, 1.0352941176470591), array([ 0.76773169, -0.46893761]))	False
CMC2	ENHA_RARA;ZBTB16	1.10234359916023	0.546900645708608	False	((1.1333333333333335, 0.21568627450980404), array([ 0.76773169, -0.46893761]))	False
CMC2	ENHA_TFAP2A;PRKAA2	5.26793701130872	2.4082364330820002e-76	False	((1.1, 0.7764705882352942), array([0.75256903, 0.4474382 ]))	False
