Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CTNS	ENHA_GLI3;SPOP	1.98407648955826	1.06843669674121e-07	False	((1.1333333333333335, -0.5148936170212767), array([-0.96498287, -0.22112652]))	False
CTNS	ENHA_AR;SPOP	2.45874622006785	1.13056512250758e-13	False	((1.1, -1.1), array([-0.96498287, -0.22112652]))	False
CTNS	ENHA_RBPJ;KIF2C	3.50098771857581	2.81385786138711e-05	False	((1.1, 0.23404255319148937), array([-0.77178344,  0.33295714]))	False
CTNS	CLU;ENHA_FOS	3.07252855816223	8.72552938179372e-28	False	(array([-0.52691285,  0.68403789]), (1.1666666666666667, -0.7021276595744681))	False
CTNS	ENHA_EGR1;NFATC1	4.64795324930545	9.764637743193809e-70	False	((1.1333333333333335, -0.9361702127659575), array([-0.75493117,  0.39866284]))	False
CTNS	ENHA_RBPJ;NFATC1	3.86130457543995	1.5409447521812699e-55	False	((1.1, 0.23404255319148937), array([-0.75493117,  0.39866284]))	False
CTNS	ENHA_FOS;NFATC1	2.95764232839573	1.41920153341447e-33	False	((1.1666666666666667, -0.7021276595744681), array([-0.75493117,  0.39866284]))	True
CTNS	ENHA_EGR1;NFATC2	3.94340811149773	1.2423517460609799e-57	False	((1.1333333333333335, -0.9361702127659575), array([-0.7788543 , -0.57799095]))	False
CTNS	ENHA_FOS;NFATC2	3.07887889700614	1.6471802188556802e-35	False	((1.1666666666666667, -0.7021276595744681), array([-0.7788543 , -0.57799095]))	False
CTNS	AGTRAP;ENHA_PBX3	2.13980875208279	8.407517555003661e-09	False	(array([0.45433216, 0.91484054]), (1.1666666666666667, 0.1404255319148937))	False
CTNS	ENHA_POU5F1;WDR5	2.09252063093818	7.96995023870745e-15	False	((1.1333333333333335, 0.18723404255319154), array([-0.63062007, -0.80049364]))	False
CTNS	CHD8;ENHA_ZBTB7A	2.94482923465705	1.5039235389104699e-30	False	(array([-0.66237326,  0.74163929]), (1.1333333333333335, 0.9595744680851066))	False
CTNS	CHD8;ENHA_AR	2.35441552435311	4.22813793385608e-14	False	(array([-0.66237326,  0.74163929]), (1.1, -1.1))	False
CTNS	ENHA_AR;VHL	3.4037915327143	1.30880309402244e-41	False	((1.1, -1.1), array([ 0.98546067, -0.03381026]))	False
CTNS	ENHA_AR;LCOR	3.27148227489389	1.6235640079031999e-31	False	((1.1, -1.1), array([ 0.48828396, -0.76041672]))	False
CTNS	ENHA_RBPJ;LCOR	3.57874820097526	3.38162276256423e-39	False	((1.1, 0.23404255319148937), array([ 0.48828396, -0.76041672]))	False
CTNS	ENHA_THAP1;TCEA2	3.14627811970993	8.30639427430784e-24	False	((1.1333333333333335, 0.8191489361702129), array([-0.91184381,  0.4115536 ]))	False
CTNS	ENHA_AR;RNF6	2.64104444982731	2.69151270560795e-16	False	((1.1, -1.1), array([0.95521205, 0.35097065]))	False
CTNS	ENHA_RBPJ;OGT	2.67947969544233	2.3209928069916e-22	False	((1.1, 0.23404255319148937), array([-0.47714015,  0.82238333]))	False
CTNS	AQP1;ENHA_FOS	2.38511909677008	1.88785672919555e-12	False	(array([-0.9499198 , -0.01777601]), (1.1666666666666667, -0.7021276595744681))	False
CTNS	BCL6;ENHA_ZBTB7A	3.05442654846096	1.47531399945014e-29	False	(array([ 0.91547459, -0.34975508]), (1.1333333333333335, 0.9595744680851066))	False
CTNS	ENHA_AR;RUVBL1	1.91011563557824	4.89923845537233e-06	False	((1.1, -1.1), array([-0.35532415, -0.88801378]))	False
CTNS	ENHA_THAP1;PPIG	3.79368221957732	6.74109286572372e-52	False	((1.1333333333333335, 0.8191489361702129), array([-0.93842586,  0.31875779]))	False
CTNS	ENHA_SP1;PPIG	3.06586600194692	1.43222603397513e-37	False	((1.1666666666666667, 0.49148936170212765), array([-0.93842586,  0.31875779]))	False
CTNS	ENHA_THAP1;MORF4L2	3.49645898566482	5.1344268400066e-38	False	((1.1333333333333335, 0.8191489361702129), array([-0.02026365, -0.96410071]))	False
CTNS	BYSL;ENHA_THAP1	3.46743774988195	1.94917486601386e-36	False	(array([ 0.25870991, -0.90418391]), (1.1333333333333335, 0.8191489361702129))	False
CTNS	ENHA_THAP1;POLR2L	3.36501587179406	2.26319167564638e-35	False	((1.1333333333333335, 0.8191489361702129), array([0.50781965, 0.7569435 ]))	False
CTNS	ENHA_MAX;TRRAP	2.95561938563732	4.8867536475963796e-33	False	((1.1333333333333335, -0.09361702127659566), array([ 0.78261624, -0.42218955]))	False
CTNS	ENHA_SOX9;MED12	1.94634346620993	9.84413352020797e-06	False	((1.1333333333333335, 0.46808510638297873), array([0.21744222, 0.47282608]))	False
CTNS	ENHA_MAZ;MAPK14	3.20369560550509	8.65481833765261e-42	False	((1.1666666666666667, -0.07021276595744674), array([ 0.76171455, -0.65893482]))	False
CTNS	ENHA_MAX;MAPK14	3.48036628646716	5.35481472632164e-48	False	((1.1333333333333335, -0.09361702127659566), array([ 0.76171455, -0.65893482]))	False
CTNS	ENHA_EGR1;YAP1	3.80029114203655	2.24311251362369e-54	False	((1.1333333333333335, -0.9361702127659575), array([-0.69405415,  0.69726887]))	False
CTNS	ENHA_RUNX1;YAP1	2.60274812111723	6.05567890096262e-20	False	((1.1666666666666667, 0.35106382978723416), array([-0.69405415,  0.69726887]))	False
CTNS	ENHA_RUNX2;YAP1	4.29463597626079	1.62353585700873e-64	False	((1.1, 0.3744680851063831), array([-0.69405415,  0.69726887]))	False
CTNS	ENHA_MAX;FUS	1.94663198018556	1.84249157341426e-08	False	((1.1333333333333335, -0.09361702127659566), array([0.69980695, 0.64235672]))	False
CTNS	ENHA_RELB;USP11	2.27228863012669	1.59370370793261e-10	False	((1.1666666666666667, 0.2808510638297872), array([ 0.86245927, -0.23325475]))	False
CTNS	ENHA_TCF4;USP11	2.24142721511644	7.23519978442989e-13	False	((1.1666666666666667, 0.7021276595744681), array([ 0.86245927, -0.23325475]))	False
CTNS	ENHA_RELB;NEK6	2.84747218979216	2.94384410694316e-14	False	((1.1666666666666667, 0.2808510638297872), array([-0.06257644,  0.98899745]))	False
CTNS	ENHA_TCF4;NEK6	2.23070558573545	5.60044307006262e-10	False	((1.1666666666666667, 0.7021276595744681), array([-0.06257644,  0.98899745]))	False
CTNS	ENHA_MAX;TWIST1	2.68154655779081	1.12026778676169e-27	False	((1.1333333333333335, -0.09361702127659566), array([0.6469316 , 0.62823731]))	False
CTNS	ENHA_TCF4;TWIST1	2.50736907788488	6.47585099382607e-24	False	((1.1666666666666667, 0.7021276595744681), array([0.6469316 , 0.62823731]))	False
CTNS	ENHA_RBPJ;MECP2	2.53139782203276	1.5329420596466798e-18	False	((1.1, 0.23404255319148937), array([-0.57557262,  0.84614427]))	False
CTNS	ENHA_MAX;MECP2	2.22259272007097	1.76544249039814e-14	False	((1.1333333333333335, -0.09361702127659566), array([-0.57557262,  0.84614427]))	False
CTNS	BCOR;ENHA_TCF3	14.7119505756473	6.55994857525792e-126	False	(array([-0.66798092,  0.426041  ]), (1.1333333333333335, 0.6787234042553192))	False
CTNS	BCOR;ENHA_SP1	8.73705619707203	5.58099572689183e-99	False	(array([-0.66798092,  0.426041  ]), (1.1666666666666667, 0.49148936170212765))	False
CTNS	ENHA_CEBPB;HMGA1	4.23348784661214	6.63422982799885e-62	False	((1.1666666666666667, -1.0531914893617023), array([-0.96702338,  0.19950582]))	False
CTNS	ENHA_SP1;HMGA1	9.99223920085419	6.201042339249071e-97	False	((1.1666666666666667, 0.49148936170212765), array([-0.96702338,  0.19950582]))	False
CTNS	ENHA_POU2F2;HMGA1	2.06808233997723	4.31879393851905e-17	False	((1.1, 0.16382978723404262), array([-0.96702338,  0.19950582]))	False
CTNS	ENHA_FOXA1;HMGA1	3.55715789232981	5.55423262875256e-47	False	((1.1333333333333335, -0.6553191489361703), array([-0.96702338,  0.19950582]))	False
CTNS	ENHA_SP1;HMGA1	9.99223920085419	6.201042339249071e-97	False	((1.1666666666666667, 0.49148936170212765), array([-0.96702338,  0.19950582]))	False
CTNS	ENHA_MAX;EPAS1	4.2572908204297	1.0817727482367201e-63	False	((1.1333333333333335, -0.09361702127659566), array([0.95563886, 0.21253651]))	False
CTNS	ENHA_SP1;EPAS1	3.17998488581502	1.81938787587391e-41	False	((1.1666666666666667, 0.49148936170212765), array([0.95563886, 0.21253651]))	False
CTNS	ENHA_RBPJ;NACC1	3.24383932429718	6.29431371798705e-38	False	((1.1, 0.23404255319148937), array([-0.86162482,  0.57041085]))	False
CTNS	ENHA_FOXA1;NACC1	3.23838523251161	1.4754218224823898e-42	False	((1.1333333333333335, -0.6553191489361703), array([-0.86162482,  0.57041085]))	False
CTNS	CEBPA;ENHA_MAX	3.62796315070934	2.69255894677488e-50	False	(array([0.23201217, 0.98495282]), (1.1333333333333335, -0.09361702127659566))	False
CTNS	CEBPA;ENHA_KLF5	3.27763228282391	1.42997820361104e-41	False	(array([0.23201217, 0.98495282]), (1.1, -0.18723404255319143))	False
CTNS	ENHA_SP1;POGZ	10.746163779452	2.7795574226064e-94	False	((1.1666666666666667, 0.49148936170212765), array([0.90835909, 0.40856621]))	False
CTNS	ENHA_SP1;POGZ	10.746163779452	2.7795574226064e-94	False	((1.1666666666666667, 0.49148936170212765), array([0.90835909, 0.40856621]))	False
CTNS	ENHA_NFYA;POGZ	3.10988019115208	9.59071894430045e-32	False	((1.1666666666666667, 0.0), array([0.90835909, 0.40856621]))	False
CTNS	ENHA_SP1;POGZ	10.746163779452	2.7795574226064e-94	False	((1.1666666666666667, 0.49148936170212765), array([0.90835909, 0.40856621]))	False
CTNS	CSNK2A1;ENHA_THAP1	3.22784209922649	1.02696240474341e-37	False	(array([0.38729594, 0.92104842]), (1.1333333333333335, 0.8191489361702129))	False
CTNS	CSNK2A1;ENHA_FOS	2.71929403780703	6.70612610519575e-26	False	(array([0.38729594, 0.92104842]), (1.1666666666666667, -0.7021276595744681))	False
CTNS	CSNK2A1;ENHA_RELA	3.10988019115208	9.59071894430045e-32	False	(array([0.38729594, 0.92104842]), (1.1333333333333335, 0.2574468085106383))	False
CTNS	CSNK2A1;ENHA_NFYA	2.75373277679305	2.17088449572693e-28	False	(array([0.38729594, 0.92104842]), (1.1666666666666667, 0.0))	False
CTNS	CCND1;ENHA_AR	2.92861296577626	4.92331998390317e-29	False	(array([-0.72500257, -0.74105123]), (1.1, -1.1))	False
CTNS	CCND1;ENHA_RELA	3.28039046246711	8.479355357904431e-32	False	(array([-0.72500257, -0.74105123]), (1.1333333333333335, 0.2574468085106383))	False
CTNS	ATAD2;ENHA_E2F4	2.88753269097316	2.59931437855409e-25	False	(array([-0.94716177, -0.28311592]), (1.1666666666666667, -0.9829787234042554))	False
CTNS	ATAD2;ENHA_E2F1	2.95682235279916	4.85507610419444e-27	False	(array([-0.94716177, -0.28311592]), (1.1333333333333335, -1.0063829787234044))	False
CTNS	ENHA_FOXK1;RBL2	2.10609148925664	3.16924434812933e-11	False	((1.1, -0.6085106382978724), array([0.06907295, 0.98439738]))	False
CTNS	ENHA_E2F4;RBL2	1.71873609176337	0.0078325338287775	False	((1.1666666666666667, -0.9829787234042554), array([0.06907295, 0.98439738]))	False
CTNS	ENHA_TFDP1;RBL2	1.90843547550387	0.0147727053964129	False	((1.1, 0.795744680851064), array([0.06907295, 0.98439738]))	False
CTNS	ENHA_GLI3;SMAD1	2.24336649350239	6.60426232254592e-12	False	((1.1333333333333335, -0.5148936170212767), array([ 0.76559488, -0.50325745]))	False
CTNS	ENHA_AR;SMAD1	2.55790188964846	1.9672815093819902e-15	False	((1.1, -1.1), array([ 0.76559488, -0.50325745]))	False
CTNS	ENHA_RUNX2;SMAD1	2.27091427729781	4.03517752124272e-14	False	((1.1, 0.3744680851063831), array([ 0.76559488, -0.50325745]))	False
CTNS	ENHA_SMAD3;SMAD1	2.338091487661	9.15803908577646e-05	False	((1.1333333333333335, 0.397872340425532), array([ 0.76559488, -0.50325745]))	False
CTNS	ENHA_SMAD3;SKI	2.03151641940614	0.0006607561923496	False	((1.1333333333333335, 0.397872340425532), array([0.81364282, 0.55356335]))	False
CTNS	BTRC;ENHA_REST	3.42716599474717	1.40632037409395e-45	False	(array([ 0.06544614, -0.93682741]), (1.1, 0.30425531914893633))	False
CTNS	BTRC;ENHA_RELA	3.47527569562123	3.78872887744034e-37	False	(array([ 0.06544614, -0.93682741]), (1.1333333333333335, 0.2574468085106383))	False
CTNS	BTRC;ENHA_NFKB1	4.54160438573683	3.97935994643464e-59	False	(array([ 0.06544614, -0.93682741]), (1.1333333333333335, -0.023404255319148914))	False
CTNS	BPTF;ENHA_MAZ	2.3235904393238	2.17363414744228e-06	False	(array([-0.80093723,  0.49075096]), (1.1666666666666667, -0.07021276595744674))	False
CTNS	BPTF;ENHA_FOXK2	2.79494291171078	1.01351973664952e-24	False	(array([-0.80093723,  0.49075096]), (1.1333333333333335, -0.5851063829787234))	False
CTNS	ENHA_MAZ;OTUB1	2.03328332253044	1.7133572185251003e-10	False	((1.1666666666666667, -0.07021276595744674), array([-0.61011539,  0.83643372]))	False
CTNS	ENHA_SMAD3;OTUB1	2.60196936713478	3.19655207494654e-12	False	((1.1333333333333335, 0.397872340425532), array([-0.61011539,  0.83643372]))	False
CTNS	ENHA_CEBPB;NR3C1	1.85101238480785	4.64229869143592e-06	False	((1.1666666666666667, -1.0531914893617023), array([ 0.14212337, -0.90848628]))	False
CTNS	ENHA_RELA;NR3C1	2.01628537134144	2.26729181730997e-06	False	((1.1333333333333335, 0.2574468085106383), array([ 0.14212337, -0.90848628]))	False
CTNS	ENHA_NFKB1;NR3C1	2.25053633690928	5.3052726276719204e-21	False	((1.1333333333333335, -0.023404255319148914), array([ 0.14212337, -0.90848628]))	False
CTNS	ENHA_SMAD3;NR3C1	1.53706760067476	0.0139210296346527	False	((1.1333333333333335, 0.397872340425532), array([ 0.14212337, -0.90848628]))	False
CTNS	APPBP2;ENHA_NFYA	3.52710262403063	1.14734870424444e-38	False	(array([-0.72305394,  0.6020448 ]), (1.1666666666666667, 0.0))	False
CTNS	ENHA_TFAP2C;IKBKB	3.50514095875003	2.5729238861587e-48	False	((1.1666666666666667, 0.7723404255319151), array([0.91315397, 0.46830386]))	False
CTNS	ENHA_RELA;IKBKB	2.74482782518928	5.44064599585016e-23	False	((1.1333333333333335, 0.2574468085106383), array([0.91315397, 0.46830386]))	False
CTNS	ENHA_NFKB1;IKBKB	3.91074927629005	4.87395352104787e-53	False	((1.1333333333333335, -0.023404255319148914), array([0.91315397, 0.46830386]))	True
CTNS	ENHA_CEBPB;SRF	2.40465706009309	1.50073368931732e-19	False	((1.1666666666666667, -1.0531914893617023), array([-0.88450174, -0.11629922]))	False
CTNS	ENHA_NFYA;SRF	2.58766500024327	4.90768260196197e-16	False	((1.1666666666666667, 0.0), array([-0.88450174, -0.11629922]))	False
CTNS	ENHA_SP1;MEF2C	3.39654371216013	3.41739106597037e-46	False	((1.1666666666666667, 0.49148936170212765), array([0.25807457, 0.91325994]))	False
CTNS	ENHA_SP1;MEF2C	3.39654371216013	3.41739106597037e-46	False	((1.1666666666666667, 0.49148936170212765), array([0.25807457, 0.91325994]))	False
CTNS	ENHA_SP1;MEF2C	3.39654371216013	3.41739106597037e-46	False	((1.1666666666666667, 0.49148936170212765), array([0.25807457, 0.91325994]))	False
CTNS	CDKN2A;ENHA_EGR1	2.45355623567435	8.08006313533211e-17	False	(array([-0.45900372, -0.89730343]), (1.1333333333333335, -0.9361702127659575))	False
CTNS	CDKN2A;ENHA_YY1	3.6958323753272	4.04706771339181e-51	False	(array([-0.45900372, -0.89730343]), (1.1, 0.8659574468085107))	False
CTNS	ENHA_SMAD3;JUNB	2.30436830748169	1.96195999714188e-09	False	((1.1333333333333335, 0.397872340425532), array([0.64763773, 0.57953089]))	False
