Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CWC27	ENHA_KLF5;ESR2	0.18587019640965	1.30111076233063e-58	False	((1.1, -0.32352941176470584), array([-0.94127966, -0.38262938]))	False
CWC27	ENHA_SP1;ESR2	0.14325519998667	1.61799202652071e-90	False	((1.1666666666666667, 0.5823529411764707), array([-0.94127966, -0.38262938]))	False
CWC27	ENHA_KLF5;WWP1	0.103515052655234	1.52672274263604e-87	False	((1.1, -0.32352941176470584), array([-0.60467923, -0.73103301]))	False
CWC27	ENHA_YY1;NR1H2	0.727850443597601	0.17143735438625	False	((1.1, 1.0352941176470591), array([-0.47739574,  0.71740634]))	False
CWC27	CEBPA;ENHA_KLF5	0.276011966266278	1.37594449085996e-27	False	(array([-0.56596445,  0.78211607]), (1.1, -0.32352941176470584))	False
CWC27	ENHA_YY1;MCRS1	1.25688940743074	0.366777293250706	False	((1.1, 1.0352941176470591), array([-0.96903292,  0.18911214]))	False
CWC27	ENHA_YY1;SAP30	1.23214734793648	0.492532798915635	False	((1.1, 1.0352941176470591), array([-0.51123533, -0.38424851]))	False
CWC27	APP;ENHA_SP2	0.239646504925538	1.22014837621022e-59	False	(array([-0.3149708 , -0.29367716]), (1.1, 0.6470588235294119))	False
CWC27	APP;ENHA_MXI1	0.542422906317142	1.1451449886523299e-11	False	(array([-0.3149708 , -0.29367716]), (1.1666666666666667, 0.0))	False
CWC27	APP;ENHA_YY1	0.470069762650285	2.2125955346568102e-14	False	(array([-0.3149708 , -0.29367716]), (1.1, 1.0352941176470591))	False
CWC27	ENHA_MAFK;NFE2L2	0.874795488540008	0.258770585214917	False	((1.1, -0.12941176470588234), array([-0.40254457, -0.47250278]))	False
CWC27	ENHA_MAFG;NFE2L2	0.919858292349191	0.622253701288829	False	((1.1666666666666667, -0.1941176470588235), array([-0.40254457, -0.47250278]))	False
CWC27	ENHA_MAFF;NFE2L2	1.06117013213874	0.654224853027284	False	((1.1333333333333335, -0.2588235294117647), array([-0.40254457, -0.47250278]))	False
CWC27	ENHA_YY1;NFE2L2	0.683839242476063	0.0318251989572618	False	((1.1, 1.0352941176470591), array([-0.40254457, -0.47250278]))	False
CWC27	ENHA_KLF5;SMAD2	0.224456521538932	6.61337760191544e-62	False	((1.1, -0.32352941176470584), array([ 0.8642377 , -0.23402022]))	False
CWC27	ENHA_SP1;SMAD2	0.169813196958065	3.24128219746191e-86	False	((1.1666666666666667, 0.5823529411764707), array([ 0.8642377 , -0.23402022]))	False
CWC27	ENHA_YY1;SMAD2	0.431390620254417	1.0222636301007e-15	False	((1.1, 1.0352941176470591), array([ 0.8642377 , -0.23402022]))	False
CWC27	BAP1;ENHA_KLF5	0.346050573678633	9.96582491102594e-14	False	(array([ 0.59697415, -0.50743558]), (1.1, -0.32352941176470584))	False
CWC27	BAP1;ENHA_YY1	0.256643029115955	1.18494012473935e-27	False	(array([ 0.59697415, -0.50743558]), (1.1, 1.0352941176470591))	False
CWC27	ENHA_KLF5;SMURF2	0.363998148878422	4.40278595888353e-11	False	((1.1, -0.32352941176470584), array([0.54551915, 0.75953449]))	False
CWC27	ENHA_YY1;SMURF2	0.23800264598278	1.34975990975599e-29	False	((1.1, 1.0352941176470591), array([0.54551915, 0.75953449]))	False
CWC27	ENHA_TEAD1;MEF2C	0.439041255553727	3.94055046037546e-15	False	((1.1, 0.8411764705882354), array([0.89898534, 0.268081  ]))	False
CWC27	ENHA_SP1;MEF2C	0.288102627469803	7.3950135206826995e-31	False	((1.1666666666666667, 0.5823529411764707), array([0.89898534, 0.268081  ]))	False
CWC27	ENHA_TEAD1;MEF2C	0.439041255553727	3.94055046037546e-15	False	((1.1, 0.8411764705882354), array([0.89898534, 0.268081  ]))	False
CWC27	ENHA_SP1;MEF2C	0.288102627469803	7.3950135206826995e-31	False	((1.1666666666666667, 0.5823529411764707), array([0.89898534, 0.268081  ]))	False
CWC27	ENHA_GATA1;PML	0.68831285265152	0.0019981007556582	False	((1.1333333333333335, -0.8411764705882354), array([-0.61130749, -0.25684745]))	False
CWC27	ENHA_GATA2;PML	0.65375218504539	2.14749056243801e-05	False	((1.1666666666666667, -0.7764705882352942), array([-0.61130749, -0.25684745]))	False
CWC27	ENHA_MYB;PML	0.559105491146355	1.83171906062504e-06	False	((1.1, 0.06470588235294117), array([-0.61130749, -0.25684745]))	False
CWC27	ENHA_SP1;PML	0.205057193005574	6.07011587948227e-72	False	((1.1666666666666667, 0.5823529411764707), array([-0.61130749, -0.25684745]))	False
CWC27	ENHA_HSF2;NUP62	0.518979803958291	5.03336612553093e-08	False	((1.1, -0.5176470588235295), array([-0.52584918, -0.74448408]))	False
CWC27	ENHA_SP1;NUP62	0.214998811640869	5.28021710196954e-51	False	((1.1666666666666667, 0.5823529411764707), array([-0.52584918, -0.74448408]))	False
CWC27	AR;ENHA_JUND	0.556544184597682	9.300179539397651e-09	False	(array([-0.09066495, -0.99835332]), (1.1333333333333335, -0.4529411764705883))	False
CWC27	AR;ENHA_SP1	0.183823042160837	1.3994250760224099e-81	False	(array([-0.09066495, -0.99835332]), (1.1666666666666667, 0.5823529411764707))	False
CWC27	EGR1;ENHA_JUND	2.33815452354082	1.33799099745884e-06	False	(array([0.7526977, 0.3958723]), (1.1333333333333335, -0.4529411764705883))	False
CWC27	EGR1;ENHA_SP1	1.56962222261586	0.004756145390964	False	(array([0.7526977, 0.3958723]), (1.1666666666666667, 0.5823529411764707))	False
CWC27	ENHA_KLF5;FBXW7	0.157783268591828	1.13202425455994e-77	False	((1.1, -0.32352941176470584), array([-0.63628633, -0.67220784]))	False
