Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
DHX8	ENHA_KLF5;SMAD2	0.224456521538932	6.61337760191544e-62	False	((1.1, -0.47142857142857153), array([-0.97561592, -0.29372156]))	False
DHX8	ENHA_SP1;SMAD2	0.169813196958065	3.24128219746191e-86	False	((1.1, 0.15714285714285703), array([-0.97561592, -0.29372156]))	False
DHX8	ENHA_TP53;SMAD2	0.643792393819815	3.20341661179546e-06	False	((1.1333333333333335, 0.8904761904761904), array([-0.97561592, -0.29372156]))	False
DHX8	PROM_ETV4;SMAD2	0.899831236481123	0.342739039427502	False	((-1.1, -0.231578947368421), array([-0.97561592, -0.29372156]))	False
DHX8	CCND3;ENHA_MYB	0.614333737828144	0.0553081191646356	False	(array([-0.32084337,  0.82552373]), (1.1, -0.15714285714285725))	False
DHX8	ENHA_NFKB2;UBA52	0.326036136887086	2.9205329926337404e-31	False	((1.1666666666666667, 0.05238095238095242), array([-0.6805728 ,  0.42229128]))	True
DHX8	ENHA_KLF5;UBA52	0.214547051133454	1.06499435110784e-54	False	((1.1, -0.47142857142857153), array([-0.6805728 ,  0.42229128]))	False
DHX8	ENHA_TP53;UBA52	0.547996533325803	8.04168867591954e-10	False	((1.1333333333333335, 0.8904761904761904), array([-0.6805728 ,  0.42229128]))	False
DHX8	ENHA_TP53;PRKDC	0.964745990624684	0.847669454956394	False	((1.1333333333333335, 0.8904761904761904), array([-0.77182409, -0.62939505]))	False
DHX8	ATR;ENHA_CREB1	0.541827938320401	0.0008923609232247	False	(array([0.51856766, 0.87876644]), (1.1, -1.1))	False
DHX8	ATR;ENHA_TP53	0.676550034987815	0.0280619500499155	False	(array([0.51856766, 0.87876644]), (1.1333333333333335, 0.8904761904761904))	False
DHX8	CCND3;PROM_ETV1	0.742358244499487	0.0517358865317629	False	(array([-0.32084337,  0.82552373]), (-1.1333333333333335, -0.34736842105263155))	False
DHX8	PROM_ETV1;UBA52	0.931651362123653	0.594062420055945	False	((-1.1333333333333335, -0.34736842105263155), array([-0.6805728 ,  0.42229128]))	False
DHX8	PRKDC;PROM_ETV1	0.933303829880115	0.622987979454114	False	(array([-0.77182409, -0.62939505]), (-1.1333333333333335, -0.34736842105263155))	False
DHX8	ATR;PROM_ETV1	0.764212732807261	0.074673111914819	False	(array([0.51856766, 0.87876644]), (-1.1333333333333335, -0.34736842105263155))	False
DHX8	ENHA_MYB;SIN3A	0.519009497066567	2.64289595640108e-06	False	((1.1, -0.15714285714285725), array([-0.61412636, -0.84694398]))	False
DHX8	BAP1;ENHA_KLF5	0.346050573678633	9.96582491102594e-14	False	(array([-0.70810545,  0.70950663]), (1.1, -0.47142857142857153))	False
DHX8	DAXX;ENHA_CREB1	0.562769807944024	9.47384852097332e-06	False	(array([-0.89418017, -0.3596875 ]), (1.1, -1.1))	False
DHX8	ENHA_CREB1;MEIS1	0.617818601939438	0.0425385624996619	False	((1.1, -1.1), array([ 0.95934143, -0.22810829]))	False
DHX8	ENHA_TP53;RFWD2	0.800186235348215	0.0726357366370591	False	((1.1333333333333335, 0.8904761904761904), array([ 0.73410384, -0.41972115]))	False
DHX8	PROM_ETV1;RFWD2	0.808661495414485	0.114248548009507	False	((-1.1333333333333335, -0.34736842105263155), array([ 0.73410384, -0.41972115]))	False
DHX8	PROM_ETV5;RFWD2	0.822740264492517	0.11812641059841	False	((-1.1333333333333335, -0.17368421052631577), array([ 0.73410384, -0.41972115]))	False
DHX8	ENHA_NFKB2;MEN1	0.399843834286192	3.72186164904412e-16	False	((1.1666666666666667, 0.05238095238095242), array([-0.94735409,  0.36783407]))	False
DHX8	ENHA_NFKB1;MEN1	0.422183622961156	6.15020426006131e-20	False	((1.1333333333333335, -0.05238095238095242), array([-0.94735409,  0.36783407]))	False
DHX8	MEN1;PROM_FOXN3	1.22256781689635	0.57275821177158	False	(array([-0.94735409,  0.36783407]), (-1.1333333333333335, 0.0))	False
DHX8	ENHA_NFKB2;IKBKE	0.932131214895904	0.774678978581643	False	((1.1666666666666667, 0.05238095238095242), array([-0.9566873 , -0.17626854]))	False
DHX8	CHUK;ENHA_NFKB2	0.631412680784616	0.0011251412979496	False	(array([ 0.8321656 , -0.52544419]), (1.1666666666666667, 0.05238095238095242))	False
DHX8	CHUK;ENHA_NFKB1	0.598752114623996	5.75574368348259e-06	False	(array([ 0.8321656 , -0.52544419]), (1.1333333333333335, -0.05238095238095242))	False
DHX8	ENHA_TP53;PROM_FOXO3	0.714083546110465	0.672407953281875	False	((1.1333333333333335, 0.8904761904761904), (-1.1666666666666667, 0.05789473684210522))	False
DHX8	IKBKE;PROM_FOXO3	1.11413241673367	0.750361614094648	False	(array([-0.9566873 , -0.17626854]), (-1.1666666666666667, 0.05789473684210522))	False
DHX8	CHUK;PROM_FOXO3	1.0812339057451	0.754704107843618	False	(array([ 0.8321656 , -0.52544419]), (-1.1666666666666667, 0.05789473684210522))	False
DHX8	ENHA_TFAP2C;RARA	0.363830249534717	1.56839867194336e-28	False	((1.1, 0.7857142857142856), array([-0.66561158, -0.68396793]))	False
DHX8	ENHA_KLF5;RARA	0.185145826971242	8.71560512958276e-72	False	((1.1, -0.47142857142857153), array([-0.66561158, -0.68396793]))	False
DHX8	ENHA_SP1;RARA	0.168960312852152	9.19361740547139e-89	False	((1.1, 0.15714285714285703), array([-0.66561158, -0.68396793]))	False
DHX8	CITED2;ENHA_TFAP2C	0.282692021352253	8.51944002018445e-39	False	(array([-0.07287773, -0.97196987]), (1.1, 0.7857142857142856))	False
DHX8	CITED2;ENHA_TFAP2A	0.269605645467635	7.26772568383015e-47	False	(array([-0.07287773, -0.97196987]), (1.1666666666666667, 0.680952380952381))	False
DHX8	ENHA_CREB1;YY1	0.466171339563232	1.14101818130056e-14	False	((1.1, -1.1), array([0.71370075, 0.53360672]))	False
DHX8	ENHA_TFAP2A;YY1	0.456838730801043	7.754908918350141e-15	False	((1.1666666666666667, 0.680952380952381), array([0.71370075, 0.53360672]))	False
DHX8	ENHA_EGR1;YAP1	0.287258927908725	1.3124092678184499e-30	False	((1.1333333333333335, -0.9952380952380954), array([ 0.62017257, -0.64869954]))	False
DHX8	ENHA_MAZ;JUN	0.321821277094409	6.833292729960771e-35	False	((1.1666666666666667, -0.261904761904762), array([ 0.28629864, -0.37290526]))	False
DHX8	ENHA_CREB1;JUN	0.470100903167139	1.44594210623674e-14	False	((1.1, -1.1), array([ 0.28629864, -0.37290526]))	False
DHX8	ENHA_TFAP2A;JUN	0.327351630694688	1.00144701689599e-37	False	((1.1666666666666667, 0.680952380952381), array([ 0.28629864, -0.37290526]))	False
DHX8	ENHA_SP1;JUN	0.208875275747848	6.16047823360691e-69	False	((1.1, 0.15714285714285703), array([ 0.28629864, -0.37290526]))	False
DHX8	ENHA_TP53;VDR	1.21601531955484	0.415161209978358	False	((1.1333333333333335, 0.8904761904761904), array([0.98785206, 0.048727  ]))	False
DHX8	PROM_RUNX1;YAP1	1.92106997937236	0.128782827206744	False	((-1.1333333333333335, 0.6947368421052633), array([ 0.62017257, -0.64869954]))	False
DHX8	JUN;PROM_RUNX1	1.9225250890634	0.0973635266588099	False	(array([ 0.28629864, -0.37290526]), (-1.1333333333333335, 0.6947368421052633))	False
DHX8	PROM_RUNX1;VDR	1.83198993311748	0.18417659040057	False	((-1.1333333333333335, 0.6947368421052633), array([0.98785206, 0.048727  ]))	False
DHX8	ENHA_NFKB1;NOTCH1	0.461320822013561	3.75406657128295e-15	False	((1.1333333333333335, -0.05238095238095242), array([-0.29925758,  0.55589799]))	False
DHX8	NOTCH1;PROM_RUNX1	1.70637249331392	0.226977573879552	False	(array([-0.29925758,  0.55589799]), (-1.1333333333333335, 0.6947368421052633))	False
DHX8	ABL1;ENHA_TP53	0.979313691321657	1.0	False	(array([-0.05055324, -0.94378751]), (1.1333333333333335, 0.8904761904761904))	False
DHX8	ENHA_TP53;TADA3	1.09753509341036	0.583104560314714	False	((1.1333333333333335, 0.8904761904761904), array([ 0.95108404, -0.28280816]))	False
DHX8	NOTCH1;PROM_RFX1	0.940113193309927	0.913981720685482	False	(array([-0.29925758,  0.55589799]), (-1.1666666666666667, 0.5789473684210527))	False
DHX8	ABL1;PROM_RFX1	0.703479830101164	0.292886755924136	False	(array([-0.05055324, -0.94378751]), (-1.1666666666666667, 0.5789473684210527))	False
DHX8	PROM_RFX1;TADA3	0.920273169431045	0.80808034397169	False	((-1.1666666666666667, 0.5789473684210527), array([ 0.95108404, -0.28280816]))	False
DHX8	ENHA_MAX;PROM_FOXK1	0.98214018851436	1.0	False	((1.1333333333333335, -0.3666666666666667), (-1.1, -0.05789473684210522))	False
DHX8	ENHA_TP53;PROM_FOXK1	0.858220659598203	1.0	False	((1.1333333333333335, 0.8904761904761904), (-1.1, -0.05789473684210522))	False
DHX8	PROM_FOXK1;SIN3A	1.35706821907653	0.277759623828834	False	((-1.1, -0.05789473684210522), array([-0.61412636, -0.84694398]))	False
DHX8	BAP1;PROM_FOXK1	1.41871253880811	0.252466824448181	False	(array([-0.70810545,  0.70950663]), (-1.1, -0.05789473684210522))	False
DHX8	BRD7;ENHA_TP53	1.97244863677882	0.0152137736249026	False	(array([-0.4108448 ,  0.90166735]), (1.1333333333333335, 0.8904761904761904))	False
DHX8	BRD7;PROM_IRF2	1.54748139934821	0.131862057962915	False	(array([-0.4108448 ,  0.90166735]), (-1.1666666666666667, 0.2315789473684211))	False
DHX8	ENHA_TP53;KDM1A	0.906404749921254	0.351362151847041	False	((1.1333333333333335, 0.8904761904761904), array([0.88103004, 0.12373934]))	False
DHX8	ENHA_SP3;PIAS1	0.285779015101877	1.07202963933934e-41	False	((1.1666666666666667, 0.3666666666666667), array([-0.51375819,  0.49645518]))	False
DHX8	ENHA_CREB1;PIAS1	0.399393571862196	1.39137452204459e-20	False	((1.1, -1.1), array([-0.51375819,  0.49645518]))	False
DHX8	ENHA_TP53;PIAS1	0.678083368013477	4.35794850636147e-05	False	((1.1333333333333335, 0.8904761904761904), array([-0.51375819,  0.49645518]))	False
DHX8	KDM1A;PROM_PRDM1	1.32756978568911	0.008932402674992	False	(array([0.88103004, 0.12373934]), (-1.1, 0.4631578947368422))	False
DHX8	PIAS1;PROM_PRDM1	1.29919578574561	0.0175064329111189	False	(array([-0.51375819,  0.49645518]), (-1.1, 0.4631578947368422))	False
DHX8	ENHA_MAZ;FOS	0.31848532981287	9.34352666221538e-32	False	((1.1666666666666667, -0.261904761904762), array([0.70284082, 0.00371386]))	False
