promoter	protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
DR1	ENHA_ZNF460	True	False	False	1.1666666666666667	1.1	1	1.21538597859962	5.59628789323162e-05	False											0.442938974526703	7.42828882027444e-25
DR1	ENHA_NFIA	True	False	False	1.1333333333333335	-0.25384615384615383	2	0.998049400634477	1.5762301134787202e-19	False											0.656243451853679	0.30576348387286695
DR1	ENHA_SMAD3	True	False	False	1.1333333333333335	0.25384615384615383	32	-2.16165222493266	8.320005204690681e-58	False											0.4306139974877975	3.795441052302125e-06
DR1	ENHA_NR3C1	True	False	False	1.1333333333333335	0.0	16	-6.23960996901591	1.08927040904652e-119	False											0.422869664543765	4.632794399177281e-19
DR1	ENHA_NR2F1	True	False	False	1.1	-0.08461538461538476	2	2.15204275920652	0.261152651338228	False											0.530962456873716	1.1797659477372127e-12
DR1	ENHA_ESR2	True	False	False	1.1666666666666667	-0.9307692307692308	7	3.10191642117498	0.0302281855584287	False											0.43370372861295	1.61817774858806e-18
DR1	ENHA_KLF4	True	False	False	1.1333333333333335	-0.5076923076923078	10	-4.0236383329462	1.2985292682091302e-211	False											0.389598062031289	1.3504849408100796e-32
DR1	ENHA_TP53	True	False	False	1.1	0.676923076923077	69	0.19430270080352	0.0080827699159202	False											0.356059706039594	1.48946590936258e-24
DR1	ENHA_AR	True	False	False	1.1	-1.1	38	0.367597826345658	8.286257086481861e-10	False											0.3719487875313695	5.675693466296585e-21
DR1	ENHA_TP73	True	False	False	1.1333333333333335	0.7615384615384615	16	0.984521247569377	0.0018736401375279	False											0.3460468195652395	3.031001996052234e-21
DR1	ENHA_KLF9	True	False	False	1.1666666666666667	-0.42307692307692313	1	0.780085327606089	4.63130065865619e-16	False											0.444949487937972	4.2936351353876e-25
DR1	ENHA_TFAP2A	True	False	False	1.1666666666666667	0.5923076923076924	12	-3.2635472309405	5.28479283829799e-135	False											0.429048987607916	7.186767852708414e-27
DR1	ENHA_REL	True	False	False	1.1666666666666667	0.08461538461538454	14	-2.46080604113086	7.93735410976565e-55	False											0.3629926804085205	3.3923768239701355e-14
DR1	ENHA_HINFP	True	False	False	1.1	-0.8461538461538463	1	-0.181229002166889	0.339807468547872	False											0.393905836063336	3.76662495402574e-05
DR1	ENHA_RELA	True	False	False	1.1	0.1692307692307693	39	-0.0830794465946176	0.417800025186821	False											0.425064507073082	4.52737893880079e-13
DR1	ENHA_IRF1	True	False	False	1.1333333333333335	-0.7615384615384616	12	-4.0231535461388	8.02847625817727e-85	False											0.41882328298592497	4.735686625878846e-26
DR1	ENHA_SP1	True	False	False	1.1	0.42307692307692313	36	-0.733707104214519	4.5131323926585794e-18	False											0.5057382879702945	3.4165802171291537e-15
DR1	ENHA_YY1	True	False	False	1.1333333333333335	1.0153846153846153	21	-0.538679781895407	1.62040735838636e-12	False											0.430895725032753	3.0785029979618e-18
DR1	ENHA_KLF2	True	False	False	1.1666666666666667	-0.676923076923077	6	2.91214006178269	1.1394009815664e-06	False											0.3363981205612335	1.2484867174998003e-36
DR1	ENHA_EGR1	True	False	False	1.1333333333333335	-1.0153846153846156	11	-3.04567725393117	0.0	False											0.371828665477678	7.38756654698035e-32
DR1	ENHA_SP2	True	False	False	1.1333333333333335	0.5076923076923077	3	-0.0147266859935625	0.930346069146716	False											0.426225343152894	1.26006914180161e-27
DR1	ENHA_VDR	True	False	False	1.1	0.9307692307692306	9	-1.31491948990578	3.43338619897588e-16	False											0.333309202955537	5.9102998820974295e-28
DR1	ENHA_NFKB1	True	False	False	1.1666666666666667	-0.1692307692307693	34	-1.14746090520674	3.71257051919243e-33	False											0.466791324812874	1.7471298821041814e-16
DR1	ENHA_SMAD5	True	False	False	1.1666666666666667	0.33846153846153837	10	-0.55191037181361	1.07120145141059e-09	False											0.500835738930012	0.00016199725735645
DR1	ENHA_KLF3	True	False	False	1.1	-0.5923076923076924	1	-1.197333279171	1.34181289785449e-37	False											0.314391932419709	6.798019564131009e-40
DR1	ENHA_MAFK	True	False	False	1.1	-0.3384615384615385	1	0.564777982067179	2.74057634209247e-08	False											0.554742173736445	5.5690305435204504e-14
DR1	ENHA_USF2	True	False	False	1.1666666666666667	0.8461538461538463	3	1.05894712497317	3.42859503696686e-32	False											0.320141231037757	2.1380381634866297e-36
DR1	PROM_TFAP2A	False	True	False	-1.1333333333333335	0.7243902439024392	12	-3.2635472309405	5.28479283829799e-135	False											0.7697550866913174	0.0008837200418016
