Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
EIF4EBP3	ENHA_FOXK2;NFYC	0.455924905938405	5.53083365064976e-13	False	((1.1333333333333335, -0.673134328358209), array([-0.96583003, -0.31464499]))	False
EIF4EBP3	ENHA_SP1;NFYC	0.51323782956295	4.51919999468837e-13	False	((1.1666666666666667, 0.44328358208955243), array([-0.96583003, -0.31464499]))	False
EIF4EBP3	ENHA_SNAI1;RING1	0.336397399282695	4.978136467059429e-34	False	((1.1, 0.27910447761194046), array([-0.73666951, -0.38740756]))	False
EIF4EBP3	ENHA_FOXK1;RBL2	0.565366460987415	1.02108768919524e-05	False	((1.1, -0.7059701492537314), array([-0.53088975,  0.85133915]))	False
EIF4EBP3	DDX3X;ENHA_NFKB2	0.444317450143758	2.1706326974507602e-23	False	(array([-0.97471282,  0.25684679]), (1.1666666666666667, -0.04925373134328348))	False
EIF4EBP3	BRCA1;ENHA_STAT1	0.441201943810184	2.94419121101273e-25	False	(array([-0.84012233, -0.51860045]), (1.1, 0.574626865671642))	False
EIF4EBP3	ENHA_STAT1;PRKCD	0.491049811456793	2.446420913641e-19	False	((1.1, 0.574626865671642), array([-0.59259049,  0.70366995]))	False
EIF4EBP3	E2F1;ENHA_STAT1	0.589966305952337	5.87596842032414e-09	False	(array([0.78985957, 0.63799035]), (1.1, 0.574626865671642))	False
EIF4EBP3	ENHA_TEAD2;POU2F1	0.313774944936836	2.92526567153898e-27	False	((1.1666666666666667, 0.738805970149254), array([-0.69625286,  0.72929894]))	False
EIF4EBP3	ENHA_SREBF1;MED6	0.386501245647035	2.2150199353494402e-23	False	((1.1333333333333335, 0.5089552238805972), array([ 0.96502949, -0.15927736]))	False
EIF4EBP3	ENHA_TEAD2;NFATC1	0.274884679852998	9.15094034246293e-33	False	((1.1666666666666667, 0.738805970149254), array([ 0.55904693, -0.70276759]))	False
EIF4EBP3	CEBPB;ENHA_NFKB1	0.399025136358129	1.53865205418268e-31	False	(array([0.40551084, 0.84593036]), (1.1333333333333335, -0.08208955223880587))	False
EIF4EBP3	ENHA_STAT1;ISG15	0.486666966822996	5.271542148214141e-09	False	((1.1, 0.574626865671642), array([0.95165714, 0.35424067]))	False
EIF4EBP3	ENHA_TEAD2;SMC3	0.378956321286549	3.53698738819386e-06	False	((1.1666666666666667, 0.738805970149254), array([-0.61191201,  0.73652404]))	False
EIF4EBP3	ENHA_NFKB2;REL	0.490184498911827	3.95739047101324e-08	False	((1.1666666666666667, -0.04925373134328348), array([-0.95798454, -0.15463597]))	False
EIF4EBP3	ENHA_TEAD2;ORC4	0.27188582092195	1.35216627457077e-13	False	((1.1666666666666667, 0.738805970149254), array([ 0.76924381, -0.59628202]))	False
EIF4EBP3	CHAF1A;ENHA_TEAD2	0.312083766875935	5.10705688293102e-13	False	(array([-0.31047839, -0.91939366]), (1.1666666666666667, 0.738805970149254))	False
EIF4EBP3	ENHA_KLF9;PGR	0.444949487937972	4.2936351353876e-25	False	((1.1666666666666667, -0.4432835820895522), array([-0.74477292, -0.60407767]))	False
EIF4EBP3	ENHA_SP1;PGR	0.589275532246016	3.55146733224357e-11	False	((1.1666666666666667, 0.44328358208955243), array([-0.74477292, -0.60407767]))	False
EIF4EBP3	ENHA_KLF9;PGR	0.444949487937972	4.2936351353876e-25	False	((1.1666666666666667, -0.4432835820895522), array([-0.74477292, -0.60407767]))	False
