Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
EXPH5	ENHA_TP53;PSME3	1.07863665400588	0.487107950266641	False	((1.1, 0.926771653543307), array([-0.96768847, -0.31351328]))	False
EXPH5	ENHA_TP53;TRAF6	2.36260596774209	0.0001622245095684	False	((1.1, 0.926771653543307), array([-0.71164089, -0.72882951]))	False
EXPH5	CCNG1;ENHA_NFATC4	1.38321690110362	0.0080976002931338	False	(array([-0.86289243, -0.41590292]), (1.1, 0.04330708661417315))	False
EXPH5	CCNG1;ENHA_TP53	1.93900480306076	0.0470657478721223	False	(array([-0.86289243, -0.41590292]), (1.1, 0.926771653543307))	False
EXPH5	ENHA_RBPJ;L3MBTL3	1.65190289797608	0.18244233942543	False	((1.1, 0.40708661417322833), array([-0.60486946,  0.79200042]))	False
EXPH5	ARID2;ENHA_NFYC	1.2341222805308	0.115115475365218	False	(array([-0.98035609,  0.22656322]), (1.1666666666666667, 0.18188976377952737))	False
EXPH5	ENHA_TP53;HUWE1	1.19868400928556	0.0706772210666096	False	((1.1, 0.926771653543307), array([-0.78695012, -0.61052993]))	False
EXPH5	APPBP2;ENHA_NFYA	0.926829930240847	0.585241632189062	False	(array([0.42785815, 0.91553286]), (1.1, 0.14724409448818898))	False
EXPH5	ENHA_E2F6;TFDP2	1.37691348440801	0.000990792127408	False	((1.1333333333333335, -0.9267716535433072), array([-0.67052501, -0.80111164]))	False
EXPH5	ENHA_TP53;OTUB1	1.29027710897531	0.0116599806347519	False	((1.1, 0.926771653543307), array([-0.69824878,  0.72244649]))	False
EXPH5	ENHA_TP53;GTF2H1	1.21653447369918	0.0919116156125356	False	((1.1, 0.926771653543307), array([-0.96361983, -0.16908267]))	False
EXPH5	ENHA_TP53;PRKAB2	1.43995817522215	0.0001879447603367	False	((1.1, 0.926771653543307), array([ 0.97604293, -0.05301581]))	True
EXPH5	APPL1;ENHA_TP53	1.411210656948	0.0004760268151685	False	(array([ 0.62835454, -0.66937368]), (1.1, 0.926771653543307))	False
