Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
FAM104A	ENHA_VDR;SRC	0.787325228328006	0.248848798978895	False	((1.1333333333333335, 0.9472222222222224), array([-0.97222239, -0.26530316]))	False
FAM104A	ANXA1;ENHA_MEIS2	0.882395773730122	0.872025350638472	False	(array([-0.62795722, -0.78895009]), (1.1, -0.18333333333333335))	False
FAM104A	ENHA_TEAD2;USF2	1.44633809158036	0.206281039071653	False	((1.1333333333333335, 0.7638888888888888), array([-0.54716547,  0.71350502]))	False
FAM104A	ENHA_TEAD2;HUWE1	1.26351689656829	0.0394623601765368	False	((1.1333333333333335, 0.7638888888888888), array([-0.58643186,  0.80207169]))	False
FAM104A	ENHA_REST;KDM5C	1.59262606722937	1.28679069756527e-06	False	((1.1, 0.2749999999999999), array([-0.81331234,  0.29884353]))	False
FAM104A	ENHA_TEAD2;INTS3	1.27714987144266	0.054603952954591	False	((1.1333333333333335, 0.7638888888888888), array([-0.72299139, -0.66763217]))	False
FAM104A	ENHA_HOXC4;HTT	0.845813780036421	0.393817458521681	False	((1.1333333333333335, -0.7027777777777778), array([-0.63946912,  0.63608925]))	False
FAM104A	ENHA_SP1;HTT	0.739227300573644	0.373230283602591	False	((1.1, 0.4583333333333335), array([-0.63946912,  0.63608925]))	False
FAM104A	ENHA_TEAD2;NFATC1	1.37070256731843	0.0032379003748447	False	((1.1333333333333335, 0.7638888888888888), array([-0.61963481, -0.82791634]))	False
FAM104A	ENHA_IRF3;MAPK9	0.364971354781068	7.65056437368769e-08	False	((1.1, -0.6416666666666667), array([-0.94535119, -0.20476833]))	False
FAM104A	ENHA_NR2F2;NR3C1	0.898497213882076	0.46602066271277	False	((1.1, 0.09166666666666679), array([ 0.58450688, -0.69915402]))	False
FAM104A	ENHA_TEAD2;NR3C1	1.21797940386069	0.12928186414602	False	((1.1333333333333335, 0.7638888888888888), array([ 0.58450688, -0.69915402]))	False
FAM104A	ENHA_CEBPB;NR3C1	0.738162118948504	0.124132717315357	False	((1.1, -1.0083333333333333), array([ 0.58450688, -0.69915402]))	False
FAM104A	ENHA_IRF3;RBL2	1.05724044471629	0.663617307366531	False	((1.1, -0.6416666666666667), array([-0.93071142,  0.39798753]))	False
FAM104A	ENHA_NFKB2;IKBKE	1.00229907899113	1.0	False	((1.1666666666666667, -0.030555555555555447), array([-0.51148836,  0.80702574]))	False
FAM104A	ENHA_IRF3;IKBKE	1.3863178172712	0.0494990145813725	False	((1.1, -0.6416666666666667), array([-0.51148836,  0.80702574]))	False
FAM104A	CEBPD;ENHA_CEBPB	1.46834137607681	0.0021353918504218	False	(array([-0.96116056, -0.06473612]), (1.1, -1.0083333333333333))	False
FAM104A	DCTN1;ENHA_IRF3	0.568215050061342	0.022423752659263	False	(array([ 0.90459956, -0.38962079]), (1.1, -0.6416666666666667))	False
FAM104A	ENHA_IRF3;HSP90AA1	1.08960732580984	0.428880256951797	False	((1.1, -0.6416666666666667), array([-0.37047883, -0.89726126]))	False
FAM104A	ENHA_SP1;HSP90AA1	1.97543848663939	7.02425913011266e-12	False	((1.1, 0.4583333333333335), array([-0.37047883, -0.89726126]))	False
FAM104A	ENHA_CEBPB;HMGA1	1.52517633622778	1.18250628391881e-05	False	((1.1, -1.0083333333333333), array([-0.96005552,  0.2867076 ]))	False
FAM104A	ENHA_SP1;HMGA1	2.76381369407708	9.01417989491611e-22	False	((1.1, 0.4583333333333335), array([-0.96005552,  0.2867076 ]))	False
