Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
FANCG	ENHA_TP53;RPS7	0.416192376601446	7.33698241468827e-17	False	((1.1666666666666667, 0.935), array([-0.96905295, -0.31808953]))	False
FANCG	ENHA_TP53;MAD2L1BP	0.416192376601446	7.33698241468827e-17	False	((1.1666666666666667, 0.935), array([-0.64414516, -0.78780697]))	False
FANCG	CDKN2A;ENHA_YY1	0.430895725032753	9.93967726046976e-19	False	(array([-0.83990644, -0.45421949]), (1.1666666666666667, 1.0175))	False
FANCG	ENHA_MYC;PSMD2	0.401072339594103	8.10178887471396e-16	False	((1.1666666666666667, -0.05499999999999994), array([-0.59206879,  0.8105617 ]))	False
FANCG	ENHA_MYC;NFYB	0.689587833219883	0.360364247546066	False	((1.1666666666666667, -0.05499999999999994), array([-0.95835309,  0.31322221]))	False
FANCG	ENHA_TP53;PRKAB2	0.389038619180058	3.68369329979729e-23	False	((1.1666666666666667, 0.935), array([-0.82990506,  0.27872615]))	True
FANCG	APPL1;ENHA_TP53	0.391601395187976	9.99900110105296e-23	False	(array([-0.75808838, -0.64636029]), (1.1666666666666667, 0.935))	False
FANCG	ENHA_MGA;ZMYND8	0.385684954335809	1.32504080189421e-14	False	((1.1, -0.10999999999999999), array([-0.64522433,  0.64896327]))	False
FANCG	CHD3;ENHA_MAFG	0.368572276271818	3.5588904667897604e-23	False	(array([0.79790396, 0.59618154]), (1.1, -0.275))	False
FANCG	CHD3;ENHA_TP53	0.333401174443699	1.49410500257784e-07	False	(array([0.79790396, 0.59618154]), (1.1666666666666667, 0.935))	False
FANCG	DROSHA;ENHA_TP53	0.52969989274849	0.0566988828111347	False	(array([-0.66035162,  0.76539703]), (1.1666666666666667, 0.935))	False
FANCG	ENHA_TP53;FBXO11	0.70274136203437	0.554604866361451	False	((1.1666666666666667, 0.935), array([-0.96143484, -0.1752666 ]))	False
FANCG	EIF4ENIF1;ENHA_MYC	0.633092272514131	0.600431520583268	False	(array([ 0.9781065 , -0.12903538]), (1.1666666666666667, -0.05499999999999994))	False
FANCG	ENHA_POU5F1;ETS2	0.381661614478865	0.0001668000582931	False	((1.1, 0.4675), array([0.47927134, 0.82275843]))	False
FANCG	ENHA_TP53;ETS2	0.190929884272645	8.15617604933072e-06	False	((1.1666666666666667, 0.935), array([0.47927134, 0.82275843]))	False
FANCG	AXIN1;ENHA_TP53	0.121219560645175	8.97423606942618e-07	False	(array([-0.93534948,  0.41550311]), (1.1666666666666667, 0.935))	False
