Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
FZR1	ENHA_PLAG1;KPNA2	2.44707063205648	1.2734013500415501e-21	False	((1.1666666666666667, 0.11458333333333326), array([-0.95891108, -0.28285815]))	False
FZR1	ENHA_RELA;KPNA2	2.94250137063828	4.49276588876647e-24	False	((1.1666666666666667, 0.25208333333333344), array([-0.95891108, -0.28285815]))	False
FZR1	ENHA_TEAD1;YAP1	4.03843220973018	1.1622917947719901e-59	False	((1.1666666666666667, 0.6645833333333333), array([-0.81794574,  0.25252247]))	False
FZR1	ENHA_TEAD3;YAP1	2.8078664046435	2.06584840773189e-28	False	((1.1, 0.6875), array([-0.81794574,  0.25252247]))	False
FZR1	ENHA_EGR1;YAP1	3.80029114203655	2.24311251362369e-54	False	((1.1333333333333335, -0.8020833333333334), array([-0.81794574,  0.25252247]))	False
FZR1	ARID2;ENHA_NFYC	2.34770631451906	1.62583245574901e-14	False	(array([-0.96133144,  0.24862654]), (1.1333333333333335, 0.022916666666666696))	False
FZR1	ARID2;ENHA_EGR1	2.12722006751926	5.99232047888332e-08	False	(array([-0.96133144,  0.24862654]), (1.1333333333333335, -0.8020833333333334))	False
FZR1	CDKN2A;ENHA_EGR1	2.45355623567435	8.08006313533211e-17	False	(array([-0.78914985, -0.5728962 ]), (1.1333333333333335, -0.8020833333333334))	False
FZR1	CDKN2A;ENHA_YY1	3.6958323753272	4.04706771339181e-51	False	(array([-0.78914985, -0.5728962 ]), (1.1333333333333335, 0.9166666666666665))	False
FZR1	ENHA_YY1;RUVBL2	2.37898197040604	4.06898917567676e-16	False	((1.1333333333333335, 0.9166666666666665), array([-0.7791223 ,  0.48448599]))	False
FZR1	ENHA_NFKB1;RUVBL2	2.50758251698348	1.62975408264942e-25	False	((1.1333333333333335, -0.04583333333333339), array([-0.7791223 ,  0.48448599]))	False
FZR1	BYSL;ENHA_THAP1	3.46743774988195	1.94917486601386e-36	False	(array([-0.69253864, -0.74966835]), (1.1333333333333335, 0.7791666666666668))	False
FZR1	BYSL;ENHA_ZBTB14	3.43588961887695	4.26115825109082e-16	False	(array([-0.69253864, -0.74966835]), (1.1666666666666667, 0.9395833333333332))	False
FZR1	ENHA_TCF3;MAPKAPK2	2.27280560776615	9.84781275014615e-15	False	((1.1, 0.6187500000000001), array([ 0.68962509, -0.56935873]))	False
FZR1	ENHA_STAT3;MAPKAPK2	2.54591270750202	2.8034967175472598e-18	False	((1.1333333333333335, 0.5729166666666667), array([ 0.68962509, -0.56935873]))	False
FZR1	ENHA_E2F6;YAF2	2.73902215457195	1.8766588605475097e-18	False	((1.1666666666666667, -0.8479166666666668), array([0.93502462, 0.3883999 ]))	False
FZR1	ENHA_YY1;YAF2	3.39072748065901	6.4497865267013394e-43	False	((1.1333333333333335, 0.9166666666666665), array([0.93502462, 0.3883999 ]))	False
FZR1	CDK4;ENHA_CEBPA	2.53867474357757	1.54053822116892e-21	False	(array([-0.4613319 ,  0.83339063]), (1.1, -0.9625000000000001))	False
FZR1	ENHA_CEBPA;XRCC6	2.8677181147095	2.56426808347107e-33	False	((1.1, -0.9625000000000001), array([ 0.90018909, -0.37900978]))	False
FZR1	ENHA_TFAP2A;XRCC6	4.76194246484228	1.55608098197138e-63	False	((1.1333333333333335, 0.7104166666666667), array([ 0.90018909, -0.37900978]))	False
FZR1	ENHA_STAT3;KHDRBS1	2.88666059969981	2.2451874272329001e-26	False	((1.1333333333333335, 0.5729166666666667), array([-0.95620934,  0.2847094 ]))	False
FZR1	ATF6;ENHA_NFYC	1.36818570265692	0.0799919076400396	False	(array([-0.79013707, -0.51536619]), (1.1333333333333335, 0.022916666666666696))	False
FZR1	ENHA_RELA;RPS6KA5	1.63074037211865	0.0092344925885262	False	((1.1666666666666667, 0.25208333333333344), array([-0.0592115 , -0.96332322]))	False
FZR1	BAP1;ENHA_KLF5	2.66771671323115	2.67454823552126e-22	False	(array([ 0.18072761, -0.92099181]), (1.1666666666666667, -0.3666666666666667))	False
FZR1	BAP1;ENHA_YY1	3.63743958365407	9.01742269207855e-48	False	(array([ 0.18072761, -0.92099181]), (1.1333333333333335, 0.9166666666666665))	False
FZR1	ENHA_KLF5;SMURF2	2.65503497089997	7.7638309302125e-20	False	((1.1666666666666667, -0.3666666666666667), array([-0.9409888 , -0.17814913]))	False
FZR1	ENHA_YY1;SMURF2	3.65967701766105	4.5755651166892896e-48	False	((1.1333333333333335, 0.9166666666666665), array([-0.9409888 , -0.17814913]))	False
FZR1	CDC5L;ENHA_THAP1	2.25587999270705	3.05215132664875e-08	False	(array([ 0.78531408, -0.41076066]), (1.1333333333333335, 0.7791666666666668))	False
FZR1	APPBP2;ENHA_KLF11	2.6133093716893	1.3644473628386199e-18	False	(array([-0.96823858,  0.12450491]), (1.1666666666666667, -0.5041666666666667))	False
FZR1	APPBP2;ENHA_NFYA	3.52710262403063	1.14734870424444e-38	False	(array([-0.96823858,  0.12450491]), (1.1666666666666667, -0.022916666666666696))	False
FZR1	ENHA_THAP1;TCEA2	3.14627811970993	8.30639427430784e-24	False	((1.1333333333333335, 0.7791666666666668), array([ 0.76793513, -0.64300876]))	False
FZR1	ENHA_TCF4;TCEA2	2.39851902765283	2.6543168763997102e-14	False	((1.1333333333333335, 0.6416666666666666), array([ 0.76793513, -0.64300876]))	False
FZR1	ENHA_ELK1;PSEN1	2.59988674849205	4.232914256678821e-09	False	((1.1, -0.7562500000000001), array([ 0.95518084, -0.19841831]))	False
FZR1	ENHA_TCF4;PSEN1	2.44706179843006	4.66137193813881e-21	False	((1.1333333333333335, 0.6416666666666666), array([ 0.95518084, -0.19841831]))	False
FZR1	ACTL6A;ENHA_YY1	2.6488016256623	1.16086526529358e-19	False	(array([0.62237086, 0.71608044]), (1.1333333333333335, 0.9166666666666665))	False
FZR1	ACTL6A;ENHA_TCF4	2.58172180318517	1.1478917840067202e-25	False	(array([0.62237086, 0.71608044]), (1.1333333333333335, 0.6416666666666666))	False
FZR1	CDKN1A;ENHA_CEBPA	2.61664223547753	6.09653499736157e-19	False	(array([0.91022454, 0.32745575]), (1.1, -0.9625000000000001))	False
FZR1	CDKN1A;ENHA_STAT3	2.21425850853062	1.85766405399747e-13	False	(array([0.91022454, 0.32745575]), (1.1333333333333335, 0.5729166666666667))	False
FZR1	CDKN1A;ENHA_TCF4	2.39790566127335	2.00986580563539e-14	False	(array([0.91022454, 0.32745575]), (1.1333333333333335, 0.6416666666666666))	False
FZR1	ENHA_TEAD1;MEF2C	3.60641674342361	9.5087814949064e-50	False	((1.1666666666666667, 0.6645833333333333), array([ 0.74877538, -0.53679741]))	False
FZR1	ENHA_SP1;MEF2C	3.39654371216013	3.41739106597037e-46	False	((1.1333333333333335, 0.4354166666666668), array([ 0.74877538, -0.53679741]))	False
FZR1	ENHA_THAP1;NUP62	3.70201779356668	2.74786556847824e-50	False	((1.1333333333333335, 0.7791666666666668), array([-0.06504754,  0.9913885 ]))	False
FZR1	ENHA_SP1;NUP62	4.25522529736274	6.1566197261071e-63	False	((1.1333333333333335, 0.4354166666666668), array([-0.06504754,  0.9913885 ]))	False
FZR1	ENHA_THAP1;PPIG	3.79368221957732	6.74109286572372e-52	False	((1.1333333333333335, 0.7791666666666668), array([0.57819803, 0.69075886]))	False
FZR1	ENHA_SP1;PPIG	3.06586600194692	1.43222603397513e-37	False	((1.1333333333333335, 0.4354166666666668), array([0.57819803, 0.69075886]))	False
FZR1	ENHA_THAP1;U2AF2	3.08418521123398	5.7856932223247e-17	False	((1.1333333333333335, 0.7791666666666668), array([-0.6098493 ,  0.82938148]))	False
FZR1	ENHA_THAP1;MORF4L2	3.49645898566482	5.1344268400066e-38	False	((1.1333333333333335, 0.7791666666666668), array([-0.69205972,  0.24016963]))	False
FZR1	ENHA_ZBTB14;MORF4L2	3.3848481834076	2.03883371282093e-22	False	((1.1666666666666667, 0.9395833333333332), array([-0.69205972,  0.24016963]))	False
FZR1	ENHA_ZBTB7B;MORF4L2	3.00181505771036	1.34355096175685e-21	False	((1.1333333333333335, 0.9854166666666666), array([-0.69205972,  0.24016963]))	False
FZR1	ENHA_REL;SDCBP	3.02798439499389	1.55311296620806e-23	False	((1.1333333333333335, 0.22916666666666674), array([-0.9748568 ,  0.20589423]))	False
FZR1	ENHA_REL;EPM2AIP1	3.23353429613183	2.442724899643e-25	False	((1.1333333333333335, 0.22916666666666674), array([-0.87811757,  0.03667823]))	False
FZR1	ENHA_THAP1;POLR2L	3.36501587179406	2.26319167564638e-35	False	((1.1333333333333335, 0.7791666666666668), array([ 0.91727492, -0.16303678]))	False
FZR1	ENHA_ZBTB14;POLR2L	3.27907585089717	9.63252848904904e-18	False	((1.1666666666666667, 0.9395833333333332), array([ 0.91727492, -0.16303678]))	False
FZR1	ENHA_REL;POLR2L	3.05732610087202	5.14646749574001e-24	False	((1.1333333333333335, 0.22916666666666674), array([ 0.91727492, -0.16303678]))	False
FZR1	ENHA_TCF3;NEDD9	2.2190153879217	1.6640964577029e-08	False	((1.1, 0.6187500000000001), array([0.93816753, 0.26315949]))	False
FZR1	ENHA_REL;NEDD9	2.52984746447137	8.106749363673689e-12	False	((1.1333333333333335, 0.22916666666666674), array([0.93816753, 0.26315949]))	False
FZR1	ENHA_TCF3;TWIST1	2.4534486581297	1.15011921046466e-24	False	((1.1, 0.6187500000000001), array([-0.8018387 ,  0.66697608]))	False
FZR1	ENHA_STAT3;TWIST1	2.62372985323415	4.1777828940489e-24	False	((1.1333333333333335, 0.5729166666666667), array([-0.8018387 ,  0.66697608]))	False
FZR1	ENHA_RELA;TWIST1	3.0063995002567	1.9565403527102e-22	False	((1.1666666666666667, 0.25208333333333344), array([-0.8018387 ,  0.66697608]))	False
FZR1	ENHA_TCF4;TWIST1	2.50736907788488	6.47585099382607e-24	False	((1.1333333333333335, 0.6416666666666666), array([-0.8018387 ,  0.66697608]))	False
FZR1	ENHA_TCF3;TWIST1	2.4534486581297	1.15011921046466e-24	False	((1.1, 0.6187500000000001), array([-0.8018387 ,  0.66697608]))	False
