Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
GTF3C1	APPBP2;ENHA_NFYA	0.359275823258429	5.2787518045738504e-17	False	(array([-0.54645332,  0.70706953]), (1.1333333333333335, -0.04230769230769238))	False
GTF3C1	ENHA_SMAD3;MAPK1	0.425837219176884	3.29700430819624e-06	False	((1.1, 0.55), array([-0.80590324, -0.49418003]))	False
GTF3C1	CLU;ENHA_FOS	0.373913311863091	3.8132478359202303e-14	False	(array([-0.85797409,  0.01995885]), (1.1333333333333335, -0.9307692307692308))	False
GTF3C1	ENHA_SMAD3;TCF12	0.597440090291854	0.0237720563664212	False	((1.1, 0.55), array([-0.55315131,  0.82310158]))	False
GTF3C1	ENHA_MZF1;SCAND1	0.370070413199988	7.934841346926911e-09	False	((1.1333333333333335, -0.2961538461538462), array([-0.84226686,  0.14435922]))	False
GTF3C1	PROM_ZNF449;SCAND1	0.577209600304572	6.41284317852931e-05	False	((-1.1666666666666667, 1.0435897435897439), array([-0.84226686,  0.14435922]))	False
GTF3C1	ENHA_TWIST1;ETS2	0.304250806198724	0.011811901519168	False	((1.1333333333333335, 0.9730769230769232), array([-0.63905807,  0.64172496]))	False
GTF3C1	ENHA_HIF1A;MTA1	0.565685011677481	0.18291742208453	False	((1.1333333333333335, -0.8038461538461539), array([-0.60964031, -0.83955495]))	False
GTF3C1	ABL1;ENHA_RFX1	0.197200796100857	1.38740138243617e-06	False	(array([-0.67348149,  0.73545473]), (1.1666666666666667, 0.38076923076923075))	False
GTF3C1	ENHA_SMAD5;SMURF1	0.465570114653895	0.0002209686605034	False	((1.1333333333333335, 0.5923076923076924), array([ 0.46062114, -0.49468877]))	False
GTF3C1	ENHA_JUNB;SMURF1	0.442649470686867	2.25032163454027e-14	False	((1.1666666666666667, -0.6346153846153847), array([ 0.46062114, -0.49468877]))	False
GTF3C1	ENHA_RUNX2;SMURF1	0.391358512980785	2.38090679121275e-21	False	((1.1666666666666667, 0.5076923076923077), array([ 0.46062114, -0.49468877]))	False
GTF3C1	ENHA_SMAD3;SMURF1	0.386458356325982	3.28687070215537e-06	False	((1.1, 0.55), array([ 0.46062114, -0.49468877]))	False
GTF3C1	ENHA_JUND;RFWD2	0.323619545083981	1.57232411499999e-15	False	((1.1, -0.5923076923076924), array([-0.40370012,  0.70467578]))	False
GTF3C1	ENHA_FOSL2;RFWD2	0.446896208577829	1.7684942704556702e-09	False	((1.1666666666666667, -0.8884615384615385), array([-0.40370012,  0.70467578]))	False
GTF3C1	ENHA_JUNB;RFWD2	0.387597598544311	1.5481920379475e-12	False	((1.1666666666666667, -0.6346153846153847), array([-0.40370012,  0.70467578]))	False
GTF3C1	ENHA_FOS;RFWD2	0.259726076227965	4.62754900513524e-17	False	((1.1333333333333335, -0.9307692307692308), array([-0.40370012,  0.70467578]))	False
GTF3C1	ENHA_HIF1A;HIF1AN	0.473610303200297	0.0001943805153263	False	((1.1333333333333335, -0.8038461538461539), array([ 0.92354992, -0.35634765]))	False
GTF3C1	ENHA_HIF1A;IKBKG	0.425720720123438	4.88667586746303e-06	False	((1.1333333333333335, -0.8038461538461539), array([-0.40098381, -0.88795677]))	False
GTF3C1	BTRC;ENHA_TFAP4	0.362139206265119	3.32641826969179e-23	False	(array([-0.94073034,  0.34083613]), (1.1666666666666667, 0.7615384615384615))	False
GTF3C1	BTRC;ENHA_TWIST1	0.338885797422661	2.3828834663510502e-23	False	(array([-0.94073034,  0.34083613]), (1.1333333333333335, 0.9730769230769232))	False
GTF3C1	ENHA_TFAP4;FBXW11	0.356372987628121	4.8578098437719505e-21	False	((1.1666666666666667, 0.7615384615384615), array([-0.03120656, -0.98489583]))	False
