Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
HGFAC	ENHA_MYC;SUZ12	0.668024305597641	0.0129443487583376	False	((1.1, -0.3666666666666667), array([-0.89416223, -0.32889813]))	False
HGFAC	ENHA_MYC;YBX1	0.521170157253476	5.13042452859699e-05	False	((1.1, -0.3666666666666667), array([-0.40783355, -0.89131841]))	False
HGFAC	ENHA_MYC;POLR2A	0.49438520289212	2.10312426583266e-05	False	((1.1, -0.3666666666666667), array([-0.64273491, -0.63038235]))	False
HGFAC	PROM_CTCF;SUZ12	0.636295511677164	0.0003527949119891	False	((-1.1, -1.1), array([-0.89416223, -0.32889813]))	False
HGFAC	PROM_CTCF;YBX1	0.763995309612572	0.0167205168556388	False	((-1.1, -1.1), array([-0.40783355, -0.89131841]))	False
HGFAC	POLR2A;PROM_CTCF	0.610723443955951	0.0003518651303492	False	(array([-0.64273491, -0.63038235]), (-1.1, -1.1))	False
HGFAC	ENHA_E2F6;WDR5	0.510746102747066	1.55376539655371e-09	False	((1.1333333333333335, -0.9777777777777779), array([-0.45999955,  0.80824369]))	False
HGFAC	ENHA_MYC;WDR5	0.255275913962438	4.1091499097708404e-19	False	((1.1, -0.3666666666666667), array([-0.45999955,  0.80824369]))	False
HGFAC	ENHA_E2F6;EPC1	0.534503152898681	2.15279853489184e-05	False	((1.1333333333333335, -0.9777777777777779), array([-0.90989348,  0.13507063]))	False
HGFAC	ENHA_MYC;EPC1	0.261702431641561	6.88549383754827e-18	False	((1.1, -0.3666666666666667), array([-0.90989348,  0.13507063]))	False
HGFAC	ENHA_MYC;SMAD3	0.53019555851794	4.30899669895636e-08	False	((1.1, -0.3666666666666667), array([-0.68472813, -0.26087235]))	False
HGFAC	PROM_CTCF;SMAD3	0.817953153301978	0.0599950700075936	False	((-1.1, -1.1), array([-0.68472813, -0.26087235]))	False
HGFAC	PROM_PLAG1;SMAD3	0.643889072779571	1.15532297061944e-06	False	((-1.1, -0.04400000000000004), array([-0.68472813, -0.26087235]))	False
HGFAC	ENHA_MYC;KPNA2	0.320084810364973	3.55465834451038e-12	False	((1.1, -0.3666666666666667), array([0.51862668, 0.63335623]))	False
HGFAC	KPNA2;PROM_PLAG1	0.449089929508878	2.28725955933933e-13	False	(array([0.51862668, 0.63335623]), (-1.1, -0.04400000000000004))	False
HGFAC	ENHA_MYC;HUWE1	0.26256530256122	6.9031773564279e-20	False	((1.1, -0.3666666666666667), array([-0.37431759,  0.73755924]))	False
HGFAC	HUWE1;PROM_KLF4	0.391175876294658	5.0486100337609405e-25	False	(array([-0.37431759,  0.73755924]), (-1.1, -0.5720000000000001))	False
HGFAC	ENHA_MYC;JUN	0.483390921379028	1.28848214103694e-09	False	((1.1, -0.3666666666666667), array([-0.57533818, -0.81767858]))	False
HGFAC	JUN;PROM_MAZ	0.388220974101846	7.977865071572239e-28	False	(array([-0.57533818, -0.81767858]), (-1.1333333333333335, -0.484))	False
HGFAC	ENHA_MYC;MAPK3	0.46238828370817	3.3495729709101e-07	False	((1.1, -0.3666666666666667), array([-0.53327302, -0.38014125]))	False
HGFAC	MAPK3;PROM_SPIB	1.14426796623371	0.277300459576059	False	(array([-0.53327302, -0.38014125]), (-1.1, 0.484))	False
HGFAC	ENHA_MYC;MAPK8	0.525762801934801	5.80475304509471e-06	False	((1.1, -0.3666666666666667), array([ 0.70478036, -0.61838975]))	False
HGFAC	MAPK8;PROM_SPIB	1.08996544898416	0.460809498400419	False	(array([ 0.70478036, -0.61838975]), (-1.1, 0.484))	False
HGFAC	ENHA_MYC;SKP2	0.442496830279112	4.8268770748554106e-09	False	((1.1, -0.3666666666666667), array([0.50985374, 0.78943673]))	False
HGFAC	PROM_GABPA;SKP2	0.954097506415925	0.675878851257132	False	((-1.1666666666666667, -0.66), array([0.50985374, 0.78943673]))	False
HGFAC	ENHA_MYC;MED1	0.692393687639852	0.0086532944125767	False	((1.1, -0.3666666666666667), array([0.89677564, 0.45023443]))	False
HGFAC	MED1;PROM_GABPA	1.14289338108609	0.185406150827642	False	(array([0.89677564, 0.45023443]), (-1.1666666666666667, -0.66))	False
HGFAC	ENHA_MYC;XRCC6	0.598102412949027	0.0012063582820693	False	((1.1, -0.3666666666666667), array([0.00638791, 0.41309129]))	False
