Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
HIGD2B	ENHA_RUNX2;FHL2	0.474271188233267	4.1910851591913097e-16	False	((1.1, 0.6285714285714286), array([-0.93196887, -0.33379697]))	False
HIGD2B	ENHA_KLF9;PGR	0.256659244576034	2.94338370854669e-53	False	((1.1333333333333335, -0.10476190476190483), array([-0.63409162, -0.68451745]))	False
HIGD2B	ENHA_JDP2;PGR	0.552650788291886	1.7578822086702e-07	False	((1.1333333333333335, -0.261904761904762), array([-0.63409162, -0.68451745]))	False
HIGD2B	ENHA_NFE2L2;PRKCD	0.474073649888478	4.63239368016238e-12	False	((1.1666666666666667, 0.4190476190476189), array([-0.54808828,  0.78125192]))	False
HIGD2B	ENHA_HSF1;HSP90AA1	0.456284869823977	7.631455473340671e-15	False	((1.1, -0.3142857142857144), array([-0.80787503, -0.14452092]))	False
HIGD2B	ENHA_FOS;PSMC5	0.583850608542152	5.28057112167798e-07	False	((1.1333333333333335, -0.7333333333333334), array([0.52887517, 0.84132072]))	False
HIGD2B	BTRC;ENHA_NFE2L1	0.64380309465411	0.000187762773321	False	(array([-0.32249434,  0.73067088]), (1.1333333333333335, 0.3666666666666667))	False
HIGD2B	BTRC;ENHA_NFE2L2	0.592556175730477	2.22668589846841e-06	False	(array([-0.32249434,  0.73067088]), (1.1666666666666667, 0.4190476190476189))	False
HIGD2B	ENHA_HSF1;FKBP4	1.67934086311779	0.0071124152400411	False	((1.1, -0.3142857142857144), array([-0.60393244, -0.83505148]))	False
HIGD2B	ENHA_HSF1;PLK1	0.618178573819767	4.81636374658787e-05	False	((1.1, -0.3142857142857144), array([-0.6593086 ,  0.69954454]))	False
HIGD2B	ENHA_HSF1;MAPK1	0.525814913071384	1.4889486895208102e-09	False	((1.1, -0.3142857142857144), array([-0.8626001 , -0.37981441]))	False
HIGD2B	ENHA_SREBF2;MAPK1	0.330869840062376	4.93130429288026e-20	False	((1.1, 0.7857142857142856), array([-0.8626001 , -0.37981441]))	False
HIGD2B	ARRB1;ENHA_BACH2	0.887297571518185	0.470707430312055	False	(array([ 0.69770898, -0.57378533]), (1.1333333333333335, -1.0476190476190477))	False
HIGD2B	ARRB1;ENHA_SREBF2	0.892029338825118	0.565736012734241	False	(array([ 0.69770898, -0.57378533]), (1.1, 0.7857142857142856))	False
HIGD2B	ATF6;ENHA_SREBF2	0.651585974923414	0.0601114059754829	False	(array([-0.92719592,  0.29928933]), (1.1, 0.7857142857142856))	False
HIGD2B	ENHA_SREBF2;NFYC	0.565620368985346	0.001543148004681	False	((1.1, 0.7857142857142856), array([0.96922367, 0.26475127]))	False
HIGD2B	ENHA_FOS;TBP	0.682874226255539	0.0001912822284454	False	((1.1333333333333335, -0.7333333333333334), array([-0.67274335,  0.59911135]))	False
HIGD2B	AHCY;ENHA_FOS	1.54852747125568	0.321810132474312	False	(array([-0.91578575, -0.22175818]), (1.1333333333333335, -0.7333333333333334))	False
HIGD2B	BRCA1;ENHA_JUND	0.606644094745881	3.01968719041548e-07	False	(array([ 0.47679307, -0.33576989]), (1.1, -0.15714285714285725))	False
HIGD2B	BRCA1;ENHA_JUNB	0.609441247770342	2.22491249648838e-07	False	(array([ 0.47679307, -0.33576989]), (1.1666666666666667, -0.20952380952380956))	False
HIGD2B	AR;ENHA_JUND	0.556544184597682	9.300179539397651e-09	False	(array([-0.41171331, -0.52686968]), (1.1, -0.15714285714285725))	False
HIGD2B	CHD3;ENHA_MYB	0.643399055562191	0.001760515419202	False	(array([-0.05475617, -0.98515222]), (1.1, 0.3142857142857143))	False
HIGD2B	ENHA_MAFK;HIF1A	0.412227892112958	1.4804425092395e-24	False	((1.1, 0.0), array([-0.663636  , -0.28676731]))	False
HIGD2B	ENHA_RUNX2;HIF1A	0.485205607606348	6.5430281186340105e-15	False	((1.1, 0.6285714285714286), array([-0.663636  , -0.28676731]))	False
HIGD2B	ENHA_MAFK;HIF1A	0.412227892112958	1.4804425092395e-24	False	((1.1, 0.0), array([-0.663636  , -0.28676731]))	False
HIGD2B	BCL11B;ENHA_NR2F1	0.350260236418065	8.8215712467223e-33	False	(array([ 0.43492456, -0.65079213]), (1.1, 0.4714285714285713))	False
