Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
HOMEZ	ENHA_TP53;PSME3	3.90029230539782	6.17834704702786e-53	False	((1.1333333333333335, 0.8768115942028989), array([-0.97482526, -0.27319965]))	False
HOMEZ	ENHA_TP53;MDM4	2.67493520794262	9.41728485028572e-23	False	((1.1333333333333335, 0.8768115942028989), array([-0.66726303, -0.75853729]))	False
HOMEZ	ENHA_TP53;GTF2H1	2.5524207557027	2.0992554841922702e-21	False	((1.1333333333333335, 0.8768115942028989), array([-0.87571846, -0.35890848]))	False
HOMEZ	ENHA_TP53;PHB	2.50223249020861	6.38327744970486e-21	False	((1.1333333333333335, 0.8768115942028989), array([-0.85928084,  0.14544338]))	False
HOMEZ	ENHA_TP53;RPS7	3.25146495370549	1.3902128745915e-38	False	((1.1333333333333335, 0.8768115942028989), array([-0.34035957,  0.84168301]))	False
HOMEZ	ENHA_TP53;MAD2L1BP	3.25146495370549	1.3902128745915e-38	False	((1.1333333333333335, 0.8768115942028989), array([-0.57766012,  0.81830236]))	False
HOMEZ	ENHA_TP53;RPS3	2.09643941059197	1.5756515584374e-12	False	((1.1333333333333335, 0.8768115942028989), array([-0.97553303,  0.23309528]))	False
HOMEZ	ENHA_PBX2;SMYD3	2.12075710012808	4.08628675795787e-07	False	((1.1666666666666667, 0.22318840579710164), array([-0.76898999, -0.62094378]))	False
HOMEZ	ENHA_TP53;PSMD11	2.22883610772939	4.90693479300363e-10	False	((1.1333333333333335, 0.8768115942028989), array([0.41646205, 0.93227249]))	False
HOMEZ	ENHA_TP53;NFKBIA	2.03327250204352	1.7086272115099399e-12	False	((1.1333333333333335, 0.8768115942028989), array([-0.78778203,  0.47656785]))	True
HOMEZ	ENHA_TP53;TSC22D3	2.06137537325087	1.4646235235187498e-12	False	((1.1333333333333335, 0.8768115942028989), array([0.76195251, 0.67877903]))	False
HOMEZ	ENHA_MAZ;OTUB1	2.03328332253044	1.7133572185251003e-10	False	((1.1333333333333335, -0.17536231884057962), array([-0.73924642,  0.67426861]))	False
HOMEZ	ENHA_TP53;OTUB1	3.65260519115355	8.02600837484596e-50	False	((1.1333333333333335, 0.8768115942028989), array([-0.73924642,  0.67426861]))	False
HOMEZ	ENHA_TP53;S100A4	1.98316858211021	1.95734463000026e-08	False	((1.1333333333333335, 0.8768115942028989), array([-0.96236272, -0.12830395]))	False
HOMEZ	ENHA_MGA;L3MBTL2	3.11630391578195	1.322504323157e-27	False	((1.1666666666666667, -0.1115942028985506), array([ 0.56908851, -0.71913615]))	False
HOMEZ	ENHA_MGA;PCGF6	3.11630391578195	1.322504323157e-27	False	((1.1666666666666667, -0.1115942028985506), array([0.43162763, 0.86872004]))	False
HOMEZ	ENHA_MGA;ZMYND8	2.49238613193686	1.8476433398377e-19	False	((1.1666666666666667, -0.1115942028985506), array([-0.93692406,  0.39784517]))	False
HOMEZ	ENHA_KLF5;ESR2	5.52055702878925	1.08865959269051e-83	False	((1.1333333333333335, -0.2710144927536231), array([-0.48129367,  0.83234584]))	False
HOMEZ	ENHA_SP1;ESR2	6.86317531481527	7.69548093303744e-86	False	((1.1666666666666667, 0.510144927536232), array([-0.48129367,  0.83234584]))	False
HOMEZ	ENHA_IRF3;RBL2	2.76555920532044	1.21226521910834e-25	False	((1.1333333333333335, -0.4144927536231884), array([-0.32301281, -0.90977901]))	False
HOMEZ	ENHA_NR3C1;TXN2	2.9514650554094	6.17960378089409e-29	False	((1.1333333333333335, 0.1594202898550725), array([-0.81121776, -0.49230344]))	False
HOMEZ	ENHA_NR3C1;HDAC6	1.08770620965634	0.664763851846807	False	((1.1333333333333335, 0.1594202898550725), array([-0.05664915, -0.97581505]))	False
HOMEZ	ENHA_IRF3;IKBKE	1.71899723878896	0.0001259667198316	False	((1.1333333333333335, -0.4144927536231884), array([ 0.1890194 , -0.92932539]))	False
HOMEZ	ENHA_MEF2A;MEF2D	3.15382368785226	2.20947636436493e-41	False	((1.1666666666666667, -0.1594202898550724), array([-0.95443448, -0.16294043]))	False
HOMEZ	ENHA_HIF1A;NAA10	3.02915703952858	3.27030641509339e-17	False	((1.1, -0.4782608695652174), array([-0.98189464,  0.10687627]))	False
HOMEZ	ENHA_SP3;STK19	3.124341999112	9.964065327131511e-17	False	((1.1333333333333335, 0.5420289855072467), array([0.97664202, 0.13656409]))	False
HOMEZ	ENHA_BHLHE40;STK19	3.74316700763078	1.16437351957802e-32	False	((1.1, -1.0043478260869565), array([0.97664202, 0.13656409]))	False
HOMEZ	ENHA_ELK1;SNCA	2.87452586770625	2.09564005397701e-07	False	((1.1333333333333335, -0.7492753623188406), array([-0.37115607, -0.83874831]))	False
HOMEZ	ARNTL;ENHA_HIF1A	2.84818916151127	0.0112710643388866	False	(array([ 0.95334218, -0.24657707]), (1.1, -0.4782608695652174))	False
HOMEZ	ENHA_NFKB2;HIF1AN	1.68287994167193	0.0200022845507719	False	((1.1, 0.04782608695652191), array([0.92156218, 0.30498543]))	False
HOMEZ	ENHA_HIF1A;HIF1AN	2.0444407329105	9.43919848262889e-06	False	((1.1, -0.4782608695652174), array([0.92156218, 0.30498543]))	False
HOMEZ	ENHA_NFKB1;HIF1AN	1.81763716889747	0.0004298486568205	False	((1.1666666666666667, 0.03188405797101468), array([0.92156218, 0.30498543]))	False
HOMEZ	ENHA_E2F6;TFDP2	4.13850870502777	6.297837870606821e-61	False	((1.1, -0.8608695652173913), array([-0.06380222,  0.99751872]))	False
HOMEZ	ENHA_E2F4;TFDP2	3.50061665744766	4.81596396843856e-39	False	((1.1666666666666667, -0.8768115942028987), array([-0.06380222,  0.99751872]))	False
HOMEZ	BCL11B;ENHA_NR2F1	8.61277325653458	1.23085943183088e-97	False	(array([-0.62048898,  0.83208935]), (1.1, 0.14347826086956528))	False
HOMEZ	BCL11B;ENHA_SP1	5.46869722127225	1.5510930151776899e-81	False	(array([-0.62048898,  0.83208935]), (1.1666666666666667, 0.510144927536232))	False
