Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
HOXC-AS1	CCND1;ENHA_STAT3	3.44249567436295	2.8168523662890698e-40	False	(array([-0.45392636,  0.7805918 ]), (1.1, 0.7149999999999999))	False
HOXC-AS1	ENHA_NFATC2;PRKCZ	2.24331965074285	6.92143465782034e-07	False	((1.1333333333333335, -0.03666666666666685), array([-0.88733118, -0.36245489]))	False
HOXC-AS1	ENHA_SP1;PRKCZ	1.67979597807699	0.0373278482028937	False	((1.1666666666666667, 0.5866666666666667), array([-0.88733118, -0.36245489]))	False
HOXC-AS1	ENHA_TEAD2;SMC3	2.12550983649747	1.94134821784162e-06	False	((1.1, 0.825), array([-0.52921959,  0.83219248]))	False
HOXC-AS1	CARM1;ENHA_CEBPB	2.74379355457366	2.48261061248687e-26	False	(array([-0.97751172,  0.23332603]), (1.1333333333333335, -0.9716666666666668))	False
HOXC-AS1	BIRC2;ENHA_NFKB2	3.13266785135555	1.5165278466371699e-34	False	(array([-0.79049085, -0.61107524]), (1.1, 0.05499999999999994))	False
HOXC-AS1	ENHA_TCF7L2;XIAP	2.46998813968216	4.35091630767551e-14	False	((1.1333333333333335, 0.7883333333333333), array([0.74252734, 0.66192284]))	False
HOXC-AS1	ENHA_ESR2;MSH2	2.22529605597286	2.90619298561065e-12	False	((1.1, -0.77), array([-0.68707964,  0.72210029]))	False
HOXC-AS1	ENHA_POU2F1;SP4	1.37840927176522	0.061895574265257	False	((1.1333333333333335, 0.23833333333333329), array([ 0.96706132, -0.06312107]))	False
HOXC-AS1	DDX3X;ENHA_NFKB2	5.71519203079877	2.5098623605130298e-83	False	(array([ 0.60709504, -0.67642799]), (1.1, 0.05499999999999994))	False
HOXC-AS1	DDX3X;ENHA_SP1	3.97641459695988	1.04436534148304e-57	False	(array([ 0.60709504, -0.67642799]), (1.1666666666666667, 0.5866666666666667))	False
HOXC-AS1	ENHA_TEAD1;MEF2C	3.60641674342361	9.5087814949064e-50	False	((1.1666666666666667, 0.8066666666666666), array([-0.91651397,  0.43467523]))	False
HOXC-AS1	ENHA_SP1;MEF2C	3.39654371216013	3.41739106597037e-46	False	((1.1666666666666667, 0.5866666666666667), array([-0.91651397,  0.43467523]))	False
HOXC-AS1	ENHA_MEF2A;MEF2C	3.10662227351971	3.709230639238169e-40	False	((1.1, -0.16500000000000004), array([-0.91651397,  0.43467523]))	False
HOXC-AS1	ENHA_TEAD1;MEF2C	3.60641674342361	9.5087814949064e-50	False	((1.1666666666666667, 0.8066666666666666), array([-0.91651397,  0.43467523]))	False
HOXC-AS1	ENHA_MEF2A;MEF2C	3.10662227351971	3.709230639238169e-40	False	((1.1, -0.16500000000000004), array([-0.91651397,  0.43467523]))	False
HOXC-AS1	ENHA_SP1;MEF2C	3.39654371216013	3.41739106597037e-46	False	((1.1666666666666667, 0.5866666666666667), array([-0.91651397,  0.43467523]))	False
HOXC-AS1	ENHA_TCF7L2;FOXM1	2.81400584851083	3.55654505558462e-29	False	((1.1333333333333335, 0.7883333333333333), array([-0.51391505,  0.79901903]))	False
HOXC-AS1	ENHA_SP1;FOXM1	2.99761283036604	3.82284514137605e-21	False	((1.1666666666666667, 0.5866666666666667), array([-0.51391505,  0.79901903]))	False
HOXC-AS1	ENHA_TFCP2;PPIG	2.05613420127627	1.1069012479703e-08	False	((1.1333333333333335, 0.8983333333333332), array([ 0.84129205, -0.48474029]))	False
HOXC-AS1	ENHA_SP1;PPIG	3.06586600194692	1.43222603397513e-37	False	((1.1666666666666667, 0.5866666666666667), array([ 0.84129205, -0.48474029]))	False
HOXC-AS1	ENHA_JUN;KPNA2	2.56003573871791	3.58344739387454e-16	False	((1.1666666666666667, -0.40333333333333343), array([-0.96238894,  0.30078903]))	False
HOXC-AS1	CSNK2B;ENHA_CLOCK	2.70164140123578	3.6824322924522203e-17	False	(array([-0.76620368, -0.58988033]), (1.1, -0.935))	False
HOXC-AS1	ENHA_CLOCK;PPP1CB	2.54275035025386	0.0001154442614763	False	((1.1, -0.935), array([ 0.15882648, -0.93718359]))	False
HOXC-AS1	ENHA_MAX;PPP1CB	1.93859308331156	0.0029993559487118	False	((1.1333333333333335, -0.20166666666666677), array([ 0.15882648, -0.93718359]))	False
