Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
HSD11B2	ENHA_ATF2;NCOA6	0.224934179944708	1.93687555230067e-06	False	((1.1, -1.1), array([-0.94360366, -0.30146341]))	False
HSD11B2	BIRC3;ENHA_IRF1	0.358767474649287	1.99388512821643e-14	False	(array([-0.62755772, -0.78624253]), (1.1666666666666667, -0.66))	False
HSD11B2	ENHA_ATF2;RUVBL2	0.109050372233355	1.00211275628676e-16	False	((1.1, -1.1), array([-0.63097896, -0.55008722]))	False
HSD11B2	CDKN1B;ENHA_IRF1	0.245486554911278	1.6851892824720601e-15	False	(array([-0.4763455 ,  0.73036514]), (1.1666666666666667, -0.66))	False
HSD11B2	CSNK2A1;ENHA_ATF2	0.246233753331365	1.6465254486919201e-15	False	(array([-0.45158629,  0.84847343]), (1.1, -1.1))	False
HSD11B2	ENHA_IRF1;YBX1	0.309225001305624	7.47610968342275e-19	False	((1.1666666666666667, -0.66), array([-0.95040168,  0.19605446]))	False
HSD11B2	ATM;ENHA_ATF2	0.168779410044089	8.14441210740841e-12	False	(array([-0.65258281,  0.2250501 ]), (1.1, -1.1))	False
HSD11B2	ENHA_MEF2D;SKP2	0.254298471036839	6.92819301614292e-26	False	((1.1, 0.05500000000000016), array([0.45052118, 0.89688516]))	False
HSD11B2	ENHA_IRF1;STAT1	0.529084162555496	4.63989521098897e-08	False	((1.1666666666666667, -0.66), array([-0.75994626,  0.45367284]))	False
HSD11B2	ENHA_ATF2;PHB	0.248448822302504	3.71587266682971e-10	False	((1.1, -1.1), array([0.8467958, 0.5449239]))	False
HSD11B2	ENHA_MEF2A;MAPKAPK3	0.393008063127621	1.96321355517461e-10	False	((1.1333333333333335, -0.05499999999999994), array([-0.67465848,  0.69479289]))	False
HSD11B2	ATP5O;ENHA_ATF2	0.220371554074564	5.06203059675723e-13	False	(array([-0.90566854, -0.26729448]), (1.1, -1.1))	False
HSD11B2	ENHA_ATF2;MAPK1	0.21008375604475	1.8171742752745e-18	False	((1.1, -1.1), array([ 0.98182494, -0.16999911]))	False
HSD11B2	ENHA_IRF1;KEAP1	0.897440664620767	0.317376502113052	False	((1.1666666666666667, -0.66), array([ 0.64306434, -0.687631  ]))	False
HSD11B2	ENHA_ATF2;TLE1	0.203754224899792	4.33926143530295e-13	False	((1.1, -1.1), array([0.43997615, 0.84086495]))	False
HSD11B2	ENHA_ZBTB26;UBE2I	0.305622843355068	1.6519824151959e-19	False	((1.1666666666666667, 0.9900000000000002), array([0.39448977, 0.2158799 ]))	False
HSD11B2	ENHA_MEF2A;UBE2I	0.302576638407064	3.88119136240002e-29	False	((1.1333333333333335, -0.05499999999999994), array([0.39448977, 0.2158799 ]))	False
HSD11B2	ENHA_ATF2;UBE2I	0.197636770177826	1.94378165755651e-23	False	((1.1, -1.1), array([0.39448977, 0.2158799 ]))	False
HSD11B2	CEBPA;ENHA_ATF2	0.256045436151713	4.6212983752093e-14	False	(array([-0.46997628,  0.79681593]), (1.1, -1.1))	False
HSD11B2	CEBPG;ENHA_ATF2	0.271918535730698	7.34123691873119e-13	False	(array([-0.93979105, -0.06994841]), (1.1, -1.1))	False
HSD11B2	ENHA_MAFK;HIF1A	0.638352079789348	2.58205817318221e-05	False	((1.1, -0.10999999999999999), array([-0.32561062, -0.91779929]))	False
HSD11B2	ENHA_MAFG;HIF1A	0.330971691768512	4.23152464469933e-18	False	((1.1666666666666667, -0.16499999999999992), array([-0.32561062, -0.91779929]))	False
HSD11B2	ENHA_IRF1;NPM1	0.525842085924454	4.240380834876831e-09	False	((1.1666666666666667, -0.66), array([-0.60254568, -0.73271072]))	False
HSD11B2	ENHA_ATF2;YY1	0.220768157962725	1.04218937162809e-17	False	((1.1, -1.1), array([ 0.08535242, -0.99149854]))	False
HSD11B2	ENHA_ATF2;TPI1	0.246193755348698	7.08876151485461e-18	False	((1.1, -1.1), array([ 0.25560708, -0.93351113]))	False
HSD11B2	ENHA_MEF2D;NFATC2	0.342863637773944	7.34720183064634e-21	False	((1.1, 0.05500000000000016), array([0.5157455 , 0.72932569]))	False
HSD11B2	ENHA_ATF2;JUNB	0.23343861921408	7.69794271194576e-16	False	((1.1, -1.1), array([-0.8405967 , -0.43268319]))	False
HSD11B2	ENHA_ATF2;FOSL2	0.227324136795968	2.82921510239755e-15	False	((1.1, -1.1), array([ 0.73699363, -0.55716186]))	False
HSD11B2	ENHA_RBPJ;PATZ1	0.175651041524312	4.0124488399447704e-15	False	((1.1666666666666667, 0.33000000000000007), array([ 0.5634462 , -0.53656617]))	False
HSD11B2	ENHA_RBPJ;NFIC	0.166743796882317	3.02316477614776e-16	False	((1.1666666666666667, 0.33000000000000007), array([ 0.99440453, -0.01937773]))	False
HSD11B2	ENHA_RBPJ;NFIX	0.138336833187725	1.9575106355356602e-19	False	((1.1666666666666667, 0.33000000000000007), array([ 0.72252005, -0.73863896]))	False
HSD11B2	ENHA_RBPJ;NFIA	0.182513971541254	2.14749774902866e-14	False	((1.1666666666666667, 0.33000000000000007), array([-0.76504046,  0.56375254]))	False
HSD11B2	ENHA_RFX3;FHL3	0.372678844571546	1.53524003980471e-09	False	((1.1333333333333335, 0.44000000000000017), array([ 0.95696531, -0.28883844]))	False
HSD11B2	ENHA_ATF2;HSPB1	0.0856575475274349	1.11948155460001e-13	False	((1.1, -1.1), array([0.65905858, 0.67193894]))	False
HSD11B2	ENHA_RBPJ;HSPB1	0.230750209436131	2.21263339996767e-05	False	((1.1666666666666667, 0.33000000000000007), array([0.65905858, 0.67193894]))	False
