Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
IER5L	ENHA_E2F6;TFDP2	0.424623930162016	3.58845014866308e-11	False	((1.1, -0.5720000000000001), array([-0.96354384, -0.26954294]))	False
IER5L	PROM_E2F4;TFDP2	0.515967632004246	4.82919309533257e-07	False	((-1.1333333333333335, -1.0333333333333334), array([-0.96354384, -0.26954294]))	False
IER5L	CDK6;ENHA_HSF1	0.410535964765965	5.300548088295179e-11	False	(array([-0.77583245, -0.52568711]), (1.1, -0.30800000000000005))	False
IER5L	CDK6;ENHA_SOX10	0.361348557226542	9.29068197352267e-13	False	(array([-0.77583245, -0.52568711]), (1.1666666666666667, 0.6600000000000001))	False
IER5L	COMMD1;ENHA_NFKB1	0.575708056056991	2.37587797910316e-07	False	(array([-0.61555279,  0.76645291]), (1.1, -0.04400000000000004))	False
IER5L	COMMD8;ENHA_NFKB1	0.575708056056991	2.37587797910316e-07	False	(array([-0.8396557 ,  0.06364617]), (1.1, -0.04400000000000004))	False
IER5L	COMMD4;ENHA_NFKB1	0.575708056056991	2.37587797910316e-07	False	(array([-0.74648711, -0.63346174]), (1.1, -0.04400000000000004))	False
IER5L	COMMD6;ENHA_NFKB1	0.575708056056991	2.37587797910316e-07	False	(array([0.40761868, 0.93051052]), (1.1, -0.04400000000000004))	False
IER5L	ENHA_E2F6;PROM_TFDP1	0.47765679014776	0.0041906848697117	False	((1.1, -0.5720000000000001), (-1.1333333333333335, 0.7666666666666666))	False
IER5L	CDK6;PROM_TFDP1	0.949667183318079	0.668512004899352	False	(array([-0.77583245, -0.52568711]), (-1.1333333333333335, 0.7666666666666666))	False
IER5L	COMMD1;PROM_TFDP1	0.783915316309048	0.0351665931018104	False	(array([-0.61555279,  0.76645291]), (-1.1333333333333335, 0.7666666666666666))	False
IER5L	COMMD8;PROM_TFDP1	0.727171063631608	0.0062384644693124	False	(array([-0.8396557 ,  0.06364617]), (-1.1333333333333335, 0.7666666666666666))	False
IER5L	COMMD4;PROM_TFDP1	0.727171063631608	0.0062384644693124	False	(array([-0.74648711, -0.63346174]), (-1.1333333333333335, 0.7666666666666666))	False
IER5L	COMMD6;PROM_TFDP1	0.734409481027225	0.0095605660018893	False	(array([0.40761868, 0.93051052]), (-1.1333333333333335, 0.7666666666666666))	False
IER5L	ENHA_ATF3;STAT1	0.0669606175849598	1.01771861663267e-09	False	((1.1333333333333335, -1.012), array([-0.50084581, -0.89490249]))	False
IER5L	ENHA_ATF2;PHB	0.248448822302504	3.71587266682971e-10	False	((1.1, -1.1), array([-0.92754212, -0.23254766]))	False
IER5L	ENHA_NFKB1;PROM_E2F1	0.837762295181385	0.245301136356617	False	((1.1, -0.04400000000000004), (-1.1, -1.1))	False
IER5L	PROM_E2F1;STAT1	0.994288736089168	1.0	False	((-1.1, -1.1), array([-0.50084581, -0.89490249]))	False
IER5L	PHB;PROM_E2F1	0.337660353350212	6.762675057663219e-12	False	(array([-0.92754212, -0.23254766]), (-1.1, -1.1))	False
IER5L	ENHA_E2F6;KDM5C	0.559380053434862	6.45313944879171e-06	False	((1.1, -0.5720000000000001), array([ 0.63276113, -0.64808289]))	False
IER5L	ENHA_REST;KDM5C	0.639805883750954	4.35740926404975e-05	False	((1.1666666666666667, 0.39600000000000013), array([ 0.63276113, -0.64808289]))	False
IER5L	ENHA_REST;PLK1	0.312188809731009	1.87089622976207e-16	False	((1.1666666666666667, 0.39600000000000013), array([-0.9219017 ,  0.39908795]))	False
IER5L	ENHA_HSF1;PLK1	0.288453107409397	5.61526496172099e-13	False	((1.1, -0.30800000000000005), array([-0.9219017 ,  0.39908795]))	False
IER5L	BTRC;ENHA_REST	0.424595037867718	1.7172786473852102e-14	False	(array([0.96831959, 0.34115548]), (1.1666666666666667, 0.39600000000000013))	False
IER5L	BTRC;ENHA_NFKB1	0.348104243711217	5.78171750207922e-22	False	(array([0.96831959, 0.34115548]), (1.1, -0.04400000000000004))	False
IER5L	ENHA_REST;FBXW11	0.373222732128595	4.511111201150949e-16	False	((1.1666666666666667, 0.39600000000000013), array([-0.46900558,  0.82461044]))	False
IER5L	ENHA_NFKB1;FBXW11	0.395823287261637	7.9039717175527e-16	False	((1.1, -0.04400000000000004), array([-0.46900558,  0.82461044]))	False
IER5L	ENHA_ATF2;MAPK14	0.223325560892358	4.17113439675092e-18	False	((1.1, -1.1), array([-0.95113277, -0.09834612]))	False
IER5L	ENHA_ATF7;FOS	0.0848413756529842	9.45025163686248e-11	False	((1.1666666666666667, -0.924), array([-0.15978696, -0.94668576]))	True
IER5L	ENHA_RUNX2;FOS	0.402534741522177	6.75414766584964e-14	False	((1.1333333333333335, 0.5720000000000001), array([-0.15978696, -0.94668576]))	False
IER5L	ENHA_ATF2;FOS	0.193848982192903	4.9450254953262303e-20	False	((1.1, -1.1), array([-0.15978696, -0.94668576]))	True
