Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ITGA8	ENHA_NFKB2;MEN1	0.377398073568495	4.965814649494589e-22	False	((1.1, -0.2081081081081082), array([-0.97415324, -0.26384567]))	False
ITGA8	ENHA_NFKB1;MEN1	0.468104556300469	1.09219482516654e-19	False	((1.1666666666666667, -0.2675675675675676), array([-0.97415324, -0.26384567]))	False
ITGA8	ATF6;ENHA_SRF	0.485203997881859	3.092735064709e-06	False	(array([-0.73946719, -0.59740953]), (1.1333333333333335, 0.5648648648648649))	False
ITGA8	ENHA_NFKB1;IKBKB	0.507748329731714	1.12224748237543e-17	False	((1.1666666666666667, -0.2675675675675676), array([-0.75026445,  0.3400091 ]))	True
ITGA8	AURKA;ENHA_NFKB1	0.493302383743754	1.23325416735905e-19	False	(array([-0.55976891,  0.81529087]), (1.1666666666666667, -0.2675675675675676))	False
ITGA8	DDX3X;ENHA_NFKB2	0.444317450143758	2.1706326974507602e-23	False	(array([-0.96804321,  0.21841668]), (1.1, -0.2081081081081082))	False
ITGA8	ENHA_NR3C1;HSP90AA1	0.445673050335799	1.80305723836808e-18	False	((1.1666666666666667, -0.08918918918918917), array([-0.75703211, -0.64341568]))	False
ITGA8	ENHA_SRF;PML	0.438107653442252	1.1711812672032399e-18	False	((1.1333333333333335, 0.5648648648648649), array([0.50971024, 0.89393551]))	False
ITGA8	ENHA_SOX4;SDCBP	0.454962186348348	5.68506167857687e-14	False	((1.1666666666666667, 0.2675675675675675), array([0.86273482, 0.55487757]))	False
ITGA8	ENHA_NR3C1;TXN2	0.418340239590524	7.96539088369108e-14	False	((1.1666666666666667, -0.08918918918918917), array([-0.50132629, -0.90852154]))	False
ITGA8	ENHA_MEIS2;PBX1	0.47170591062997	0.0023717490530885	False	((1.1333333333333335, -0.5054054054054055), array([-0.94592241, -0.19082465]))	False
ITGA8	ENHA_NR3C1;TRIM28	0.396995903842303	1.74453716568153e-14	False	((1.1666666666666667, -0.08918918918918917), array([ 0.97648149, -0.23770979]))	False
ITGA8	ENHA_ZNF274;TRIM28	0.321498068201948	5.86050506575531e-15	False	((1.1666666666666667, 0.981081081081081), array([ 0.97648149, -0.23770979]))	False
ITGA8	BIRC3;ENHA_NFKB1	0.439891083004931	2.27033576030843e-15	False	(array([0.56019469, 0.79233928]), (1.1666666666666667, -0.2675675675675676))	False
ITGA8	ENHA_NR3C1;TEAD2	0.438371077292413	1.17984607782277e-08	False	((1.1666666666666667, -0.08918918918918917), array([-0.93275509,  0.37803321]))	False
ITGA8	ENHA_LEF1;SMAD3	0.522313356319256	2.02945037334267e-11	False	((1.1, -0.7432432432432433), array([-0.40184465,  0.84385069]))	False
ITGA8	ENHA_NR3C1;SMAD3	0.412340946883294	3.7632520604916e-22	False	((1.1666666666666667, -0.08918918918918917), array([-0.40184465,  0.84385069]))	False
