Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
IWS1	ENHA_LEF1;NLK	1.22176647313291	0.302788410818581	False	((1.1333333333333335, -0.5823529411764706), array([-0.96175352, -0.26078329]))	False
IWS1	ENHA_IRF7;IRAK1	0.885099573135669	0.589297973873506	False	((1.1, -0.711764705882353), array([-0.57507204, -0.72958255]))	False
IWS1	ENHA_RXRB;NCOA1	0.857143384526291	0.372884232585237	False	((1.1, 0.4529411764705884), array([-0.45162441,  0.74390918]))	False
IWS1	ENHA_RXRB;PPARD	1.14664078304077	0.742108806496751	False	((1.1, 0.4529411764705884), array([-0.56567573,  0.79692599]))	True
IWS1	ENHA_TCF7L2;HIC1	0.573374888933621	0.0374148359101802	False	((1.1666666666666667, 0.7117647058823531), array([-0.83098182,  0.08992336]))	False
IWS1	ENHA_MEF2A;MAPKAPK3	0.559755346737863	1.47101002351005e-07	False	((1.1, -0.32352941176470584), array([0.43868562, 0.91464619]))	False
IWS1	CHD3;ENHA_MAFG	0.651349027199416	3.41160600626918e-05	False	(array([-0.77229625,  0.45342353]), (1.1666666666666667, -0.4529411764705883))	False
IWS1	ENHA_TFAP4;FOXA1	0.681206279780991	0.0294924273784764	False	((1.1333333333333335, 0.9705882352941178), array([-0.75970602,  0.51292399]))	False
IWS1	DAXX;ENHA_TCF7L2	0.837256868699314	0.213188147424395	False	(array([-0.89343663, -0.32743274]), (1.1666666666666667, 0.7117647058823531))	False
IWS1	ENHA_TFAP4;FBXW11	0.585976147326504	2.32413007440067e-06	False	((1.1333333333333335, 0.9705882352941178), array([ 0.94923896, -0.30363583]))	False
IWS1	ENHA_TFAP2A;XRCC6	0.376621147101376	2.25880866723329e-28	False	((1.1, 0.8411764705882354), array([0.30914737, 0.43240924]))	False
IWS1	ENHA_TCF7L2;XRCC6	0.604486430901069	6.08005226627621e-06	False	((1.1666666666666667, 0.7117647058823531), array([0.30914737, 0.43240924]))	False
IWS1	ENHA_TFAP2A;XRCC5	0.339273921255733	4.93898609178035e-35	False	((1.1, 0.8411764705882354), array([-0.94983692,  0.27106038]))	False
IWS1	ENHA_TCF7L2;XRCC5	0.607016757510391	7.9897297734606e-06	False	((1.1666666666666667, 0.7117647058823531), array([-0.94983692,  0.27106038]))	False
IWS1	ENHA_LEF1;SMAD7	0.623220123889725	0.0355539116644792	False	((1.1333333333333335, -0.5823529411764706), array([0.93892554, 0.42205218]))	False
IWS1	ENHA_TCF7L2;MAD2L2	0.599473262914455	0.0008674961728319	False	((1.1666666666666667, 0.7117647058823531), array([-0.5840194 ,  0.72999836]))	False
IWS1	ENHA_RXRB;GTF2H1	0.371048904614349	1.95266601909233e-08	False	((1.1, 0.4529411764705884), array([-0.92023911, -0.21146191]))	False
IWS1	ENHA_TCF7L2;XIAP	0.443432514978024	1.49516425896098e-06	False	((1.1666666666666667, 0.7117647058823531), array([ 0.8729898 , -0.50126045]))	False
IWS1	ENHA_E2F6;RING1	0.352005247890223	4.5237734548277104e-23	False	((1.1, -1.1), array([-0.95289277,  0.23957972]))	False
IWS1	ENHA_RXRB;SIAH1	0.358537696135296	1.87780770303144e-14	False	((1.1, 0.4529411764705884), array([-0.44626124, -0.83187799]))	False
IWS1	ACTR5;ENHA_YY1	0.327747250706853	1.81229521913948e-24	False	(array([-0.00270382, -0.99366569]), (1.1666666666666667, 1.1))	False
IWS1	CDC5L;ENHA_RXRB	0.373076610767617	1.66013933795021e-05	False	(array([0.16577602, 0.42220331]), (1.1, 0.4529411764705884))	False
IWS1	ENHA_TFAP2A;RB1	0.339379871867666	1.65135236497441e-35	False	((1.1, 0.8411764705882354), array([-0.77118227, -0.53923251]))	False
IWS1	ENHA_E2F6;TFDP2	0.33701830651397	4.37332836910629e-24	False	((1.1, -1.1), array([ 0.67301185, -0.60551274]))	False
IWS1	ENHA_YY1;MECP2	0.778858844539298	0.117116287110884	False	((1.1666666666666667, 1.1), array([-0.94939762, -0.09889074]))	False
IWS1	ENHA_LEF1;STAT5A	1.30651400566097	0.160177820024314	False	((1.1333333333333335, -0.5823529411764706), array([ 0.84826837, -0.10115365]))	False
IWS1	DDB1;ENHA_MEF2A	1.10540609149727	0.425487588762312	False	(array([ 1.        , -0.05843002]), (1.1, -0.32352941176470584))	False
IWS1	ACTN4;ENHA_MEF2A	1.09092454268993	0.462332639045639	False	(array([ 0.71531784, -0.74942706]), (1.1, -0.32352941176470584))	False
IWS1	ATF3;ENHA_MEF2A	1.18222388282389	0.0802364749300284	False	(array([-0.77157709,  0.58768927]), (1.1, -0.32352941176470584))	False
IWS1	ENHA_TFAP2A;UBE2I	0.329314127402041	6.04207457389006e-37	False	((1.1, 0.8411764705882354), array([-0.3253942, -0.7750462]))	False
IWS1	ENHA_MEF2A;UBE2I	0.602793494671935	9.549462094531261e-09	False	((1.1, -0.32352941176470584), array([-0.3253942, -0.7750462]))	False
IWS1	ENHA_TCF7L2;UBE2I	0.683502310553814	0.0003392019362664	False	((1.1666666666666667, 0.7117647058823531), array([-0.3253942, -0.7750462]))	False
IWS1	ENHA_YY1;PRMT1	0.674083320715142	0.0163669154724042	False	((1.1666666666666667, 1.1), array([ 0.93937911, -0.36134376]))	False
IWS1	ENHA_TFAP4;FOXK2	0.563696845283849	4.67898308819188e-07	False	((1.1333333333333335, 0.9705882352941178), array([0.87091632, 0.39570454]))	False
IWS1	ENHA_YY1;FOXJ2	0.47401047004729	5.712966815730711e-14	False	((1.1666666666666667, 1.1), array([0.97721735, 0.07862188]))	False
IWS1	FOXK2;PROM_NRF1	0.60220264669043	1.6070770841019e-08	False	(array([0.87091632, 0.39570454]), (-1.1, 0.07857142857142874))	False
IWS1	FOXJ2;PROM_NRF1	0.449328271785826	1.30457545715523e-19	False	(array([0.97721735, 0.07862188]), (-1.1, 0.07857142857142874))	False
IWS1	ENHA_MAFG;HIF1A	0.543377391633439	1.93736548449752e-10	False	((1.1666666666666667, -0.4529411764705883), array([-0.373365 ,  0.8960528]))	False
IWS1	ENHA_MEF2A;MEF2D	0.49550816812007	1.93221712760917e-13	False	((1.1, -0.32352941176470584), array([-0.07136855,  0.9774684 ]))	False
IWS1	ENHA_TCF7L2;FOXM1	0.563696845283849	4.67898308819188e-07	False	((1.1666666666666667, 0.7117647058823531), array([0.8894131 , 0.18373357]))	False
IWS1	CTBP1;ENHA_TCF7L2	0.563018760681958	3.94228283454607e-07	False	(array([-0.49116268,  0.88237356]), (1.1666666666666667, 0.7117647058823531))	False
IWS1	CTBP1;PROM_KLF3	0.409322542761491	1.13289966134027e-21	False	(array([-0.49116268,  0.88237356]), (-1.1, -0.3928571428571428))	False
IWS1	ENHA_YY1;HDAC2	0.508454708876793	2.3556168436094197e-12	False	((1.1666666666666667, 1.1), array([-0.20301553, -0.88679992]))	False
IWS1	ENHA_E2F6;MAX	0.371779075788055	6.09232354584827e-24	False	((1.1, -1.1), array([ 0.79531403, -0.15062373]))	False
IWS1	ENHA_TFAP2A;MAX	0.34322986491601	7.863721658175709e-33	False	((1.1, 0.8411764705882354), array([ 0.79531403, -0.15062373]))	False
IWS1	ENHA_MAFG;NFE2L2	0.919858292349191	0.622253701288829	False	((1.1666666666666667, -0.4529411764705883), array([-0.93063504,  0.15731177]))	False
IWS1	ENHA_YY1;NFE2L2	0.683839242476063	0.0318251989572618	False	((1.1666666666666667, 1.1), array([-0.93063504,  0.15731177]))	False
IWS1	ENHA_LEF1;SMAD2	0.802170284546971	0.034031258694785	False	((1.1333333333333335, -0.5823529411764706), array([-0.3822942 , -0.48941759]))	False
