Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
KCTD10	ENHA_MGA;ZMYND8	0.385684954335809	1.32504080189421e-14	False	((1.1, -0.13414634146341464), array([-0.95965721, -0.34615485]))	False
KCTD10	ENHA_STAT3;KHDRBS1	0.350119701213705	7.11452546587996e-17	False	((1.1333333333333335, 0.7243902439024392), array([-0.80285386, -0.51354759]))	False
KCTD10	BAZ1A;ENHA_MAX	0.413663350371053	1.0912090434286001e-15	False	(array([-0.75530492, -0.3962792 ]), (1.1666666666666667, -0.348780487804878))	False
KCTD10	ENHA_NFKB1;NFKBIB	0.495592547893804	3.38203501597082e-16	False	((1.1333333333333335, 0.08048780487804885), array([-0.9782668,  0.2446544]))	False
KCTD10	ENHA_NFKB1;IKBKB	0.507748329731714	1.12224748237543e-17	False	((1.1333333333333335, 0.08048780487804885), array([-0.74432325, -0.12714132]))	True
KCTD10	ENHA_SREBF2;PSMD4	0.445429446667698	2.81351673013212e-08	False	((1.1666666666666667, 0.6170731707317074), array([0.46466855, 0.91047573]))	False
KCTD10	ENHA_STAT3;MAPKAPK2	0.451723822022413	1.01364750640278e-09	False	((1.1333333333333335, 0.7243902439024392), array([-0.79277795,  0.47793312]))	False
KCTD10	BHLHE40;ENHA_STAT3	0.317441957624619	8.25340436275408e-16	False	(array([0.87549609, 0.50130226]), (1.1333333333333335, 0.7243902439024392))	False
KCTD10	CDC5L;ENHA_THAP1	0.298649664069734	2.37893452542598e-09	False	(array([-0.69253063, -0.78039795]), (1.1333333333333335, 0.8853658536585367))	False
KCTD10	ENHA_THAP1;TCEA2	0.356897672565398	1.0301949079721099e-11	False	((1.1333333333333335, 0.8853658536585367), array([-0.93553761, -0.25187502]))	False
KCTD10	CDKN1A;ENHA_STAT3	0.321137513107482	1.38513435081879e-16	False	(array([ 0.96492811, -0.19269863]), (1.1333333333333335, 0.7243902439024392))	False
KCTD10	ENHA_STAT3;TWIST1	0.322607382411576	4.4936045358688e-22	False	((1.1333333333333335, 0.7243902439024392), array([ 0.59934901, -0.70180079]))	False
KCTD10	ENHA_MAX;TWIST1	0.372631230462325	4.7829759879246805e-21	False	((1.1666666666666667, -0.348780487804878), array([ 0.59934901, -0.70180079]))	False
KCTD10	ENHA_STAT3;MAPK9	0.28388315018034	5.582709299892409e-18	False	((1.1333333333333335, 0.7243902439024392), array([0.48741717, 0.83477898]))	False
KCTD10	ENHA_THAP1;RBM39	0.270565250354966	1.16754672507438e-06	False	((1.1333333333333335, 0.8853658536585367), array([-0.94243477,  0.39625885]))	False
KCTD10	ENHA_THAP1;POLR2L	0.294588444863063	1.2506333963592e-21	False	((1.1333333333333335, 0.8853658536585367), array([0.95787128, 0.34383185]))	False
KCTD10	ENHA_THAP1;MORF4L1	0.504678622641946	0.0298171430770244	False	((1.1333333333333335, 0.8853658536585367), array([-0.5004352 ,  0.82143252]))	False
KCTD10	ENHA_NR1D2;TRIM27	0.571866372210282	0.0026393485535603	False	((1.1666666666666667, 0.13414634146341475), array([ 0.7754808 , -0.58942896]))	False
KCTD10	ENHA_STAT3;NFKB2	0.68383529572478	0.212513279066245	False	((1.1333333333333335, 0.7243902439024392), array([-0.30753135, -0.92555148]))	False
