Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
LINC01424	BANP;ENHA_TP53	0.648344293634412	3.36344864947633e-06	False	(array([-0.42170798,  0.64055703]), (1.1, 0.8621621621621622))	False
LINC01424	BANP;PROM_SP2	0.372689726078636	9.657644765242368e-30	False	(array([-0.42170798,  0.64055703]), (-1.1, 0.55))	False
LINC01424	BIRC3;ENHA_IRF1	0.587463149222757	9.57296373577607e-08	False	(array([-0.82356354, -0.48534655]), (1.1333333333333335, -0.5054054054054055))	False
LINC01424	ENHA_SRF;TRIP4	0.458878637505497	2.24050620028683e-07	False	((1.1333333333333335, 0.38648648648648654), array([-0.49954965,  0.85634774]))	False
LINC01424	ENHA_TP53;NFKBIA	0.759176457570465	0.0219374308081354	False	((1.1, 0.8621621621621622), array([-0.97757709,  0.23552641]))	True
LINC01424	ENHA_TP53;IKBKB	0.700131272767469	0.0053852243397653	False	((1.1, 0.8621621621621622), array([-0.85966926,  0.05859082]))	True
LINC01424	CDK9;ENHA_TP53	0.80576686081029	0.0680905327601395	False	(array([-0.78357643, -0.6223134 ]), (1.1, 0.8621621621621622))	False
LINC01424	BTRC;ENHA_TP53	0.74771240132361	0.0025375158001713	False	(array([0.3912808 , 0.92968016]), (1.1, 0.8621621621621622))	False
LINC01424	ENHA_TP53;ETS1	0.7855287272876	0.0571317554309598	False	((1.1, 0.8621621621621622), array([-0.74903152,  0.54477048]))	False
LINC01424	ENHA_TP53;RPS3	0.700131272767469	0.0053852243397653	False	((1.1, 0.8621621621621622), array([0.83237209, 0.55435239]))	False
LINC01424	ENHA_TP53;TSC22D3	0.731471874967054	0.0114767024787935	False	((1.1, 0.8621621621621622), array([-0.6116952 , -0.85114979]))	False
LINC01424	AURKA;ENHA_FOXP1	0.586152075810004	5.62110287185171e-10	False	(array([-0.65858064,  0.75282903]), (1.1333333333333335, -0.6837837837837839))	False
LINC01424	AURKA;ENHA_TP53	0.677955731929984	3.38711645217756e-05	False	(array([-0.65858064,  0.75282903]), (1.1, 0.8621621621621622))	False
LINC01424	AURKA;ENHA_TP73	0.405551401491978	4.92363897660909e-14	False	(array([-0.65858064,  0.75282903]), (1.1333333333333335, 0.9216216216216218))	False
LINC01424	CHUK;ENHA_TP73	0.438835468973933	4.57303155365392e-07	False	(array([ 0.6558524 , -0.64300108]), (1.1333333333333335, 0.9216216216216218))	False
LINC01424	ENHA_TP53;PPP1CA	1.02579099246422	0.861548889022225	False	((1.1, 0.8621621621621622), array([0.40876787, 0.86259524]))	False
LINC01424	CSNK1E;ENHA_TP53	0.612921584574582	0.245885681616004	False	(array([-0.94168981,  0.3892063 ]), (1.1, 0.8621621621621622))	False
LINC01424	ENHA_TP53;PPP1CC	1.02579099246422	0.861548889022225	False	((1.1, 0.8621621621621622), array([0.95354364, 0.32323518]))	False
LINC01424	CSNK2B;ENHA_TFAP2A	0.427433375794856	3.73447355553159e-05	False	(array([-0.52474864,  0.79504082]), (1.1666666666666667, 0.8027027027027027))	False
LINC01424	CSNK2B;ENHA_TP53	0.612921584574582	0.245885681616004	False	(array([-0.52474864,  0.79504082]), (1.1, 0.8621621621621622))	False
LINC01424	ENHA_MEF2A;MEF2D	0.49550816812007	1.93221712760917e-13	False	((1.1, -0.38648648648648654), array([-0.29123683, -0.93708753]))	False
LINC01424	ENHA_IRF3;SMAD4	0.656772789074848	1.59592060583814e-05	False	((1.1666666666666667, -0.44594594594594605), array([-0.6561889 , -0.70285709]))	False
LINC01424	ENHA_CEBPD;SMAD4	0.629422958773797	2.36925199228061e-05	False	((1.1666666666666667, -0.9810810810810812), array([-0.6561889 , -0.70285709]))	False
LINC01424	ENHA_CEBPB;SMAD4	0.384029785684392	4.32252433769985e-25	False	((1.1333333333333335, -1.0405405405405406), array([-0.6561889 , -0.70285709]))	False
LINC01424	ENHA_STAT1;PRKCD	0.462386056597553	2.06982865805738e-18	False	((1.1666666666666667, 0.44594594594594605), array([-0.92333598, -0.30840156]))	False
LINC01424	ENHA_SRF;NFYA	0.444341065976143	1.8675938726019e-11	False	((1.1333333333333335, 0.38648648648648654), array([ 0.78361312, -0.39423622]))	False
LINC01424	ENHA_SRF;RXRA	0.416801216095552	4.56337625143292e-16	False	((1.1333333333333335, 0.38648648648648654), array([-0.98086224,  0.1257055 ]))	False
LINC01424	ENHA_STAT1;RXRA	0.489527163313552	2.66482918517156e-16	False	((1.1666666666666667, 0.44594594594594605), array([-0.98086224,  0.1257055 ]))	False
LINC01424	ENHA_TEAD2;POU2F1	0.474990164517733	3.1256741445663494e-11	False	((1.1, 0.6837837837837837), array([0.97574985, 0.03998049]))	False
LINC01424	ENHA_CEBPD;IPO4	0.839235971044867	0.556899754623121	False	((1.1666666666666667, -0.9810810810810812), array([ 0.74929935, -0.68382654]))	False
LINC01424	ENHA_IRF3;PRDX1	0.80146945674579	0.279116310946077	False	((1.1666666666666667, -0.44594594594594605), array([-0.72177836,  0.68063258]))	False
LINC01424	ENHA_IRF3;TRIM21	0.607279647454487	0.0344543923560169	False	((1.1666666666666667, -0.44594594594594605), array([-0.16309726, -0.94414501]))	False
LINC01424	ENHA_IRF3;PSMA5	0.550586524559965	0.0089737774613718	False	((1.1666666666666667, -0.44594594594594605), array([ 0.93299398, -0.30295821]))	False
LINC01424	ENHA_CEBPA;PPP2CA	0.721665566590604	0.0654177994181375	False	((1.1, -1.1), array([0.94789929, 0.14928439]))	False
LINC01424	CDKN1B;ENHA_IRF1	0.793245660746431	0.0419379989357179	False	(array([ 0.72219951, -0.57162826]), (1.1333333333333335, -0.5054054054054055))	False
LINC01424	ENHA_IRF1;YBX1	0.940103528916205	0.522985344341192	False	((1.1333333333333335, -0.5054054054054055), array([-0.40445729,  0.89716685]))	False
LINC01424	ENHA_IRF1;KAT2A	1.02964364182627	0.770303303220022	False	((1.1333333333333335, -0.5054054054054055), array([-0.07428594,  0.98228294]))	False
LINC01424	ENHA_CEBPB;KAT2A	0.659224537151984	0.001460935001498	False	((1.1333333333333335, -1.0405405405405406), array([-0.07428594,  0.98228294]))	False
LINC01424	ENHA_IRF1;TRIM28	1.09052147100843	0.334609185612488	False	((1.1333333333333335, -0.5054054054054055), array([0.70834644, 0.53577849]))	False
LINC01424	ENHA_CEBPB;TRIM28	0.639787142350664	4.75438469483727e-05	False	((1.1333333333333335, -1.0405405405405406), array([0.70834644, 0.53577849]))	False
LINC01424	ENHA_STAT1;TRIM28	1.06787282989897	0.517048018300394	False	((1.1666666666666667, 0.44594594594594605), array([0.70834644, 0.53577849]))	False
LINC01424	ENHA_SRF;GTF2I	0.628948348435704	0.0174959691846074	False	((1.1333333333333335, 0.38648648648648654), array([-0.55898644,  0.86243339]))	False
LINC01424	ENHA_TEAD2;PDS5A	0.480774165767132	0.0029122298898936	False	((1.1, 0.6837837837837837), array([0.40110851, 0.6643415 ]))	False
LINC01424	ADNP;ENHA_TEAD2	0.500113942935089	0.0111968158734747	False	(array([-0.05925284, -0.92627802]), (1.1, 0.6837837837837837))	False
LINC01424	ENHA_TEAD2;TRIP12	0.500113942935089	0.0111968158734747	False	((1.1, 0.6837837837837837), array([ 0.95830884, -0.0248845 ]))	False
LINC01424	ENHA_TEAD2;SMC3	0.519124171389643	0.0030302984760896	False	((1.1, 0.6837837837837837), array([-1.        ,  0.14393956]))	False
LINC01424	PROM_MXI1;SMC3	0.562401654583589	0.0078056250358826	False	((-1.1333333333333335, -0.18333333333333335), array([-1.        ,  0.14393956]))	False
LINC01424	ENHA_CEBPB;MED23	0.61199471198907	0.0001675265806877	False	((1.1333333333333335, -1.0405405405405406), array([ 0.89005618, -0.38162473]))	False
LINC01424	ENHA_CEBPA;SMARCA4	0.514982434468409	4.6272603172295494e-11	False	((1.1, -1.1), array([0.95905076, 0.08977347]))	False
LINC01424	ENHA_IRF1;SMARCA4	0.519018502970287	3.41980415314159e-13	False	((1.1333333333333335, -0.5054054054054055), array([0.95905076, 0.08977347]))	False
LINC01424	ENHA_STAT1;SMARCA4	0.569154505094684	6.054091173627139e-11	False	((1.1666666666666667, 0.44594594594594605), array([0.95905076, 0.08977347]))	False
LINC01424	ENHA_STAT1;MBD1	0.765999621818563	0.157866224764256	False	((1.1666666666666667, 0.44594594594594605), array([-0.86082608,  0.60170022]))	False
LINC01424	CHD4;ENHA_TEAD2	0.619989095056227	0.0110304045956267	False	(array([0.21792028, 0.9783861 ]), (1.1, 0.6837837837837837))	False
LINC01424	CDC27;ENHA_TEAD2	0.768332786022119	0.264142545176301	False	(array([-0.66479738, -0.75527007]), (1.1, 0.6837837837837837))	False
LINC01424	ENHA_TEAD2;H2AFY	0.668801280950276	0.0287239290771061	False	((1.1, 0.6837837837837837), array([0.92096204, 0.34498793]))	False
LINC01424	ENHA_TEAD2;RECQL	0.664246103106498	0.0085703987774052	False	((1.1, 0.6837837837837837), array([-0.88191453,  0.48165607]))	False
LINC01424	ENHA_TEAD2;MECP2	0.654013780553098	0.003656551367943	False	((1.1, 0.6837837837837837), array([0.33889087, 0.92824712]))	False
LINC01424	ENHA_TEAD2;SMARCA1	0.583925607538906	0.0083432216630398	False	((1.1, 0.6837837837837837), array([ 0.36463823, -0.91062067]))	False
LINC01424	ENHA_TEAD2;NR2F2	0.587619315826749	0.11247313553384	False	((1.1, 0.6837837837837837), array([-0.7347714 , -0.77407784]))	False
LINC01424	ENHA_TEAD2;SATB2	0.721557758594117	0.133149927468182	False	((1.1, 0.6837837837837837), array([-0.95207594, -0.36471474]))	False
LINC01424	EED;ENHA_TFAP2A	0.383866740571571	3.65994606845763e-21	False	(array([ 0.94023883, -0.06598703]), (1.1666666666666667, 0.8027027027027027))	False
LINC01424	ENHA_TP53;S100A4	0.899449280877983	0.488460481896981	False	((1.1, 0.8621621621621622), array([0.01866044, 0.93999508]))	False
LINC01424	ENHA_TP53;SMARCC1	1.00538531745562	0.952542754601175	False	((1.1, 0.8621621621621622), array([-0.88145746, -0.42501122]))	False
LINC01424	ENHA_TP53;PATZ1	1.06416174380167	0.601737678936222	False	((1.1, 0.8621621621621622), array([0.04837664, 0.98497418]))	False
LINC01424	ENHA_TP53;HSP90AB1	0.747112056339106	0.0151446597508913	False	((1.1, 0.8621621621621622), array([ 0.19334412, -0.97921558]))	False
LINC01424	ENHA_STAT1;HSP90AB1	0.627587031041746	6.43971908750337e-06	False	((1.1666666666666667, 0.44594594594594605), array([ 0.19334412, -0.97921558]))	False
LINC01424	ENHA_TP53;KPNA4	0.870821378958529	0.642062134505095	False	((1.1, 0.8621621621621622), array([ 0.69809778, -0.66979238]))	False
LINC01424	ENHA_TP53;HSPB1	1.0831625945237	0.662735915023299	False	((1.1, 0.8621621621621622), array([ 0.84517242, -0.41015722]))	False
LINC01424	ENHA_IRF3;HSP90AA1	0.549258888105596	4.52651478602386e-09	False	((1.1666666666666667, -0.44594594594594605), array([0.82232617, 0.50452669]))	False
LINC01424	ENHA_TP53;HSP90AA1	1.23279284813335	0.108853673018707	False	((1.1, 0.8621621621621622), array([0.82232617, 0.50452669]))	False
LINC01424	ENHA_TP53;MTA1	1.03832533543721	0.846330386386358	False	((1.1, 0.8621621621621622), array([ 0.18054955, -0.94449689]))	False
LINC01424	DAXX;ENHA_TP53	1.20822012602924	0.157008555565602	False	(array([-0.87556961, -0.54990666]), (1.1, 0.8621621621621622))	False
LINC01424	ENHA_TP53;HSPA8	1.18278195427974	0.228480536274655	False	((1.1, 0.8621621621621622), array([-0.82961485, -0.63255264]))	False
LINC01424	ENHA_TP53;PLK1	0.782294896307218	0.0317208228637385	False	((1.1, 0.8621621621621622), array([-0.83846641,  0.44365725]))	False
LINC01424	ENHA_TEAD3;STUB1	0.756793486135842	0.043521312544142	False	((1.1333333333333335, 0.7432432432432432), array([-0.49140555,  0.45092685]))	False
LINC01424	ENHA_IRF1;STUB1	1.05683174308215	0.53358823417378	False	((1.1333333333333335, -0.5054054054054055), array([-0.49140555,  0.45092685]))	False
LINC01424	ENHA_TP53;STUB1	1.25310644822723	0.0443630885818737	False	((1.1, 0.8621621621621622), array([-0.49140555,  0.45092685]))	False
LINC01424	ENHA_TP53;MAPK3	0.822653646861579	0.0724486089374911	False	((1.1, 0.8621621621621622), array([ 0.28560995, -0.86450889]))	False
LINC01424	ENHA_IRF3;MAPK8	0.552781609402071	3.75217961619864e-09	False	((1.1666666666666667, -0.44594594594594605), array([-0.05380978,  0.47440699]))	False
LINC01424	ENHA_CEBPA;MAPK8	0.491947908969555	5.57777049412868e-12	False	((1.1, -1.1), array([-0.05380978,  0.47440699]))	False
LINC01424	ENHA_TP53;MAPK8	0.950398605306429	0.655677420910075	False	((1.1, 0.8621621621621622), array([-0.05380978,  0.47440699]))	False
LINC01424	CITED2;ENHA_TFAP2A	0.269605645467635	7.26772568383015e-47	False	(array([-0.82709201,  0.23039352]), (1.1666666666666667, 0.8027027027027027))	False
LINC01424	ENHA_CEBPA;RARA	0.501707168447082	3.14660141010149e-10	False	((1.1, -1.1), array([0.89179701, 0.4897452 ]))	False
LINC01424	ENHA_SRF;RARA	0.444490040212404	2.01957240764769e-13	False	((1.1333333333333335, 0.38648648648648654), array([0.89179701, 0.4897452 ]))	False
LINC01424	ENHA_STAT1;RARA	0.520027434396083	9.603828028408961e-14	False	((1.1666666666666667, 0.44594594594594605), array([0.89179701, 0.4897452 ]))	False
LINC01424	ENHA_TEAD3;WWTR1	1.1471016018084	0.79549490194762	False	((1.1333333333333335, 0.7432432432432432), array([-0.67738222, -0.4769347 ]))	False
LINC01424	ENHA_TEAD2;WWTR1	1.247525427056	0.596293071537028	False	((1.1, 0.6837837837837837), array([-0.67738222, -0.4769347 ]))	False
LINC01424	ENHA_TEAD2;SMC1A	0.649249169741918	0.0134365158583731	False	((1.1, 0.6837837837837837), array([0.28271338, 0.89521115]))	False
LINC01424	ENHA_IRF3;SMC1A	0.767863757147112	0.113505423342153	False	((1.1666666666666667, -0.44594594594594605), array([0.28271338, 0.89521115]))	False
LINC01424	ENHA_TEAD2;HUWE1	0.365413738658641	7.51695543675191e-16	False	((1.1, 0.6837837837837837), array([-0.45554184, -0.92875032]))	False
LINC01424	ENHA_TP53;HUWE1	0.53941160465408	1.28330468977675e-09	False	((1.1, 0.8621621621621622), array([-0.45554184, -0.92875032]))	False
LINC01424	ENHA_HOXA10;NFATC1	0.747061323139917	0.0076176968163853	False	((1.1, -0.5648648648648649), array([0.06261158, 0.54011492]))	False
LINC01424	ENHA_TEAD2;NFATC1	0.46772307618375	8.49695734732639e-12	False	((1.1, 0.6837837837837837), array([0.06261158, 0.54011492]))	False
LINC01424	ENHA_TP53;NFATC1	1.33616671366368	0.059377530649125	False	((1.1, 0.8621621621621622), array([0.06261158, 0.54011492]))	False
LINC01424	ENHA_TEAD2;NR3C1	0.641770120995211	0.0006248660410196	False	((1.1, 0.6837837837837837), array([-0.3394013 ,  0.94647584]))	False
LINC01424	ENHA_CEBPB;NR3C1	0.513509835886922	0.0001826131052306	False	((1.1333333333333335, -1.0405405405405406), array([-0.3394013 ,  0.94647584]))	False
LINC01424	ENHA_TP53;NR3C1	0.81833494292698	0.0831436534251	False	((1.1, 0.8621621621621622), array([-0.3394013 ,  0.94647584]))	False
LINC01424	ENHA_TEAD2;SMARCA5	0.723760449736461	0.0482143915832502	False	((1.1, 0.6837837837837837), array([ 0.21360323, -0.60121546]))	False
LINC01424	ENHA_TP53;SMARCA5	1.23822048283291	0.18306844842931	False	((1.1, 0.8621621621621622), array([ 0.21360323, -0.60121546]))	False
LINC01424	ENHA_MEF2A;MEF2C	0.470092973066217	2.32960720922135e-14	False	((1.1, -0.38648648648648654), array([0.55257789, 0.25724762]))	False
LINC01424	ENHA_TEAD1;MEF2C	0.439041255553727	3.94055046037546e-15	False	((1.1666666666666667, 0.6243243243243244), array([0.55257789, 0.25724762]))	False
LINC01424	ENHA_TEAD3;YAP1	0.48361686859434	1.08479929134816e-09	False	((1.1333333333333335, 0.7432432432432432), array([-0.44457334, -0.44171684]))	False
