Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
MED29	ENHA_MGA;L3MBTL2	0.47081690537139	3.21374913319679e-09	False	((1.1666666666666667, -0.07674418604651168), array([-0.93854394, -0.36943504]))	False
MED29	ENHA_MGA;PCGF6	0.47081690537139	3.21374913319679e-09	False	((1.1666666666666667, -0.07674418604651168), array([-0.55623625, -0.85025497]))	False
MED29	ENHA_MAX;TRRAP	0.376568205937722	1.76381134346783e-20	False	((1.1, -0.17906976744186043), array([-0.66563595, -0.47907536]))	False
MED29	ENHA_KLF5;ESR2	0.429213460217954	5.97363943858326e-24	False	((1.1333333333333335, -0.43488372093023253), array([-0.50764765,  0.82828735]))	False
MED29	ENHA_SP1;ESR2	0.545106488428212	9.49835103651208e-15	False	((1.1333333333333335, 0.48604651162790713), array([-0.50764765,  0.82828735]))	False
MED29	ENHA_MAX;EPAS1	0.454292480664445	2.84544312121606e-20	False	((1.1, -0.17906976744186043), array([-0.84808569,  0.03310701]))	False
MED29	ENHA_SP1;EPAS1	0.556052556741514	3.2933338209265894e-11	False	((1.1333333333333335, 0.48604651162790713), array([-0.84808569,  0.03310701]))	False
MED29	ENHA_MAZ;MAPK14	0.397344603865027	1.45824854793e-23	False	((1.1333333333333335, -0.12790697674418605), array([0.44330066, 0.89799642]))	False
MED29	ENHA_MAX;MAPK14	0.415502703878173	3.0224845725899798e-22	False	((1.1, -0.17906976744186043), array([0.44330066, 0.89799642]))	False
MED29	ENHA_ELF3;NFKB1	0.501858530643804	1.5662011179809799e-12	False	((1.1666666666666667, -0.844186046511628), array([0.70793348, 0.67283816]))	False
MED29	ENHA_SP1;NFKB1	0.538134221236014	5.78748222644254e-12	False	((1.1333333333333335, 0.48604651162790713), array([0.70793348, 0.67283816]))	False
MED29	ENHA_EHF;XRCC6	0.439433975092843	3.2487269494007e-25	False	((1.1333333333333335, -0.8953488372093024), array([-0.77029241,  0.57854391]))	False
MED29	ENHA_TFAP2A;XRCC6	0.428502216100438	7.45782579149526e-27	False	((1.1666666666666667, 0.844186046511628), array([-0.77029241,  0.57854391]))	False
MED29	ENHA_ELF3;XRCC6	0.365926658833324	1.67926630049606e-34	False	((1.1666666666666667, -0.844186046511628), array([-0.77029241,  0.57854391]))	False
MED29	CEP70;ENHA_ZNF136	0.432807194309797	2.80438117894825e-13	False	(array([ 0.97329641, -0.13706247]), (1.1666666666666667, 0.9976744186046513))	False
MED29	CEP70;ENHA_ZNF148	0.318549800600709	1.12325241545081e-09	False	(array([ 0.97329641, -0.13706247]), (1.1, 1.048837209302326))	False
MED29	ENHA_SREBF1;PLK1	0.374069966714861	5.675250943146951e-19	False	((1.1666666666666667, 0.6906976744186049), array([0.95113656, 0.3455161 ]))	False
MED29	CHD3;ENHA_MAFG	0.368572276271818	3.5588904667897604e-23	False	(array([-0.57822287,  0.72686751]), (1.1333333333333335, -0.2813953488372093))	False
MED29	ENHA_MAX;MECP2	0.416249159251861	2.40975114229005e-12	False	((1.1, -0.17906976744186043), array([ 0.86451556, -0.49349844]))	False
MED29	ENHA_SREBF1;MAPK3	0.371075792418115	7.10851065954444e-21	False	((1.1666666666666667, 0.6906976744186049), array([-0.40565139, -0.89185075]))	False
MED29	AR;ENHA_ELF3	0.423670407133052	1.0161516357131299e-26	False	(array([-0.94186772,  0.30077359]), (1.1666666666666667, -0.844186046511628))	False
MED29	AR;ENHA_SREBF1	0.395657676071978	1.83053268325456e-21	False	(array([-0.94186772,  0.30077359]), (1.1666666666666667, 0.6906976744186049))	False
MED29	AR;ENHA_SP1	0.548550587145557	2.01715462988517e-13	False	(array([-0.94186772,  0.30077359]), (1.1333333333333335, 0.48604651162790713))	False
MED29	BANP;ENHA_SP2	0.426225343152894	1.26006914180161e-27	False	(array([-0.5223138 , -0.73003705]), (1.1666666666666667, 0.5372093023255815))	False
MED29	BANP;ENHA_MAX	0.439395494116538	2.22936015836795e-21	False	(array([-0.5223138 , -0.73003705]), (1.1, -0.17906976744186043))	False
MED29	BANP;ENHA_SP4	0.294088554669032	1.3584982904159e-40	False	(array([-0.5223138 , -0.73003705]), (1.1333333333333335, 0.6395348837209303))	False
