Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
MIB1	ENHA_SREBF2;PIAS2	2.03570778551063	5.08346948223488e-07	False	((1.1666666666666667, 0.6654320987654323), array([-0.97216356, -0.29788206]))	False
MIB1	ENHA_CEBPA;SKP2	2.57557250741644	3.61784302971385e-24	False	((1.1666666666666667, -1.0456790123456792), array([-0.84606643, -0.43988818]))	False
MIB1	ENHA_NR3C1;TXN2	2.9514650554094	6.17960378089409e-29	False	((1.1666666666666667, 0.09506172839506188), array([-0.31582197,  0.85103072]))	False
MIB1	ENHA_NR3C1;HSP90AA1	2.88217380610113	1.28034588527676e-34	False	((1.1666666666666667, 0.09506172839506188), array([-0.57628467,  0.82389415]))	False
MIB1	ENHA_SP1;HSP90AA1	5.51971075878571	2.58584511096198e-72	False	((1.1333333333333335, 0.5567901234567902), array([-0.57628467,  0.82389415]))	False
MIB1	CEP70;ENHA_ZNF410	2.6879912705607	1.2331357798133801e-20	False	(array([-0.82994757,  0.25775935]), (1.1666666666666667, 1.0728395061728397))	False
MIB1	ENHA_HEY1;NONO	1.97653309992843	6.04974353444862e-05	False	((1.1, -0.6925925925925926), array([-0.75211147,  0.54845858]))	False
MIB1	ENHA_HEY1;RPL11	2.10076816932683	3.17315846245993e-05	False	((1.1, -0.6925925925925926), array([0.70970362, 0.73568948]))	False
MIB1	ENHA_SOX10;NMI	2.19256450869606	3.603438711249e-06	False	((1.1, 0.5296296296296297), array([-0.70829028,  0.72076208]))	False
MIB1	ENHA_ATF4;LDOC1	1.61887673932952	0.0095674946476844	False	((1.1, -1.1), array([ 0.98642095, -0.03747671]))	False
MIB1	CHD4;ENHA_NR4A1	1.87945366862333	1.10744493745622e-06	False	(array([ 0.55335535, -0.7307283 ]), (1.1, 0.12222222222222223))	False
MIB1	BCL2;ENHA_NR4A1	1.97550361954097	5.16888429899935e-05	False	(array([-0.94638791,  0.38877287]), (1.1, 0.12222222222222223))	False
MIB1	CEBPG;ENHA_ATF4	2.90029178449656	4.9384119728636695e-28	False	(array([0.961201  , 0.33584871]), (1.1, -1.1))	False
MIB1	ENHA_NR4A1;GADD45GIP1	2.20868435788694	7.92178911962816e-09	False	((1.1, 0.12222222222222223), array([-0.51912469,  0.81598642]))	False
MIB1	ENHA_SREBF2;NFYC	2.35189758267455	7.82363953517876e-11	False	((1.1666666666666667, 0.6654320987654323), array([-0.97158537, -0.06482707]))	False
MIB1	ENHA_NFYB;NFYC	3.22225789831004	1.0746626723112e-36	False	((1.1, -0.040740740740740744), array([-0.97158537, -0.06482707]))	False
MIB1	ENHA_NFYA;NFYC	1.86656863020966	0.0006208262303351	False	((1.1666666666666667, -0.06790123456790109), array([-0.97158537, -0.06482707]))	False
MIB1	ENHA_ATF4;JUNB	2.70124981525266	8.01291243491285e-26	False	((1.1, -1.1), array([-0.97943324,  0.25411491]))	False
MIB1	CCND1;ENHA_RELA	3.28039046246711	8.479355357904431e-32	False	(array([-0.8070948 , -0.51405388]), (1.1666666666666667, 0.33950617283950635))	False
MIB1	BIRC2;ENHA_NFKB2	3.13266785135555	1.5165278466371699e-34	False	(array([ 0.19087688, -0.930143  ]), (1.1333333333333335, -0.09506172839506166))	False
MIB1	ENHA_THAP11;PHF8	2.98917389706175	1.09833897077347e-32	False	((1.1, 0.8555555555555556), array([ 0.62467015, -0.62318599]))	False
MIB1	ENHA_RARA;PHF8	3.00723466326798	1.70329046480222e-33	False	((1.1, 0.2851851851851852), array([ 0.62467015, -0.62318599]))	False
MIB1	ENHA_THAP11;PCBP1	2.1384607190197	2.8971135837099604e-09	False	((1.1, 0.8555555555555556), array([0.84248608, 0.28454623]))	False
MIB1	ENHA_E2F6;EPC1	2.5668047397075	1.13207045584351e-17	False	((1.1, -0.9370370370370371), array([ 0.76404947, -0.66303732]))	False
MIB1	ENHA_EGR1;PSMD2	2.37173554605938	4.75423174980772e-18	False	((1.1333333333333335, -0.9098765432098765), array([-0.28729968, -0.89922133]))	False
MIB1	ENHA_EGR1;PSMA3	2.69876355826673	2.66977339493792e-30	False	((1.1333333333333335, -0.9098765432098765), array([ 0.96070622, -0.20943076]))	False
MIB1	ENHA_REL;NDUFAF3	2.8473339046465	8.70959713820672e-08	False	((1.1333333333333335, 0.3123456790123458), array([0.92522094, 0.30029025]))	False
MIB1	ENHA_RELA;SUZ12	2.86614409082598	1.01946916922253e-19	False	((1.1666666666666667, 0.33950617283950635), array([ 0.75137176, -0.54729756]))	False
MIB1	ENHA_RELA;PRKDC	2.63268607028535	2.08844514747161e-17	False	((1.1666666666666667, 0.33950617283950635), array([-0.41904263,  0.9054017 ]))	False
MIB1	ENHA_RELA;SNRNP70	3.50575497501678	7.57251953718978e-14	False	((1.1666666666666667, 0.33950617283950635), array([-0.08832191,  0.99848828]))	False
MIB1	ENHA_CEBPA;PPP2CA	2.03630523884172	2.71474970947675e-07	False	((1.1666666666666667, -1.0456790123456792), array([0.64602798, 0.63419468]))	False
MIB1	ENHA_RELA;PPP2CA	3.06483702873849	4.1428318508938696e-11	False	((1.1666666666666667, 0.33950617283950635), array([0.64602798, 0.63419468]))	False
MIB1	CALM1;ENHA_RELA	3.01370897995332	1.04499400370772e-10	False	(array([-0.62130015,  0.83634047]), (1.1666666666666667, 0.33950617283950635))	False
MIB1	AKAP8L;ENHA_RELA	3.28539205534319	8.04044605691293e-11	False	(array([-0.41722635,  0.757515  ]), (1.1666666666666667, 0.33950617283950635))	False
MIB1	ENHA_RELA;SIRT6	2.80755656744255	2.9196441946098e-11	False	((1.1666666666666667, 0.33950617283950635), array([-0.37273735, -0.84174293]))	False
MIB1	DNAJA3;ENHA_RELA	3.18846467971257	5.9626110723555e-13	False	(array([0.96741124, 0.10408175]), (1.1666666666666667, 0.33950617283950635))	False
MIB1	ENHA_RARA;TDG	1.9688963671046	2.80119445420018e-08	False	((1.1, 0.2851851851851852), array([-0.99165046,  0.20294403]))	False
MIB1	CDK6;ENHA_SOX10	2.49110400330504	1.14097667302765e-24	False	(array([-0.73020904, -0.0614123 ]), (1.1, 0.5296296296296297))	False
MIB1	CDK6;ENHA_KLF10	4.26035371398952	5.71721751291468e-64	False	(array([-0.73020904, -0.0614123 ]), (1.1666666666666667, -0.5567901234567901))	False
MIB1	ENHA_NFYB;GRB2	2.4317212078549	6.24200579816635e-14	False	((1.1, -0.040740740740740744), array([0.95435706, 0.2167888 ]))	False
MIB1	ENHA_ZBTB7B;GRB2	2.521940834526	1.4460314927372399e-11	False	((1.1666666666666667, 0.9913580246913583), array([0.95435706, 0.2167888 ]))	False
MIB1	ENHA_REL;GRB2	2.46753566408799	2.16496615952076e-13	False	((1.1333333333333335, 0.3123456790123458), array([0.95435706, 0.2167888 ]))	False
MIB1	ENHA_REL;TBK1	1.20430594021387	0.367591724979441	False	((1.1333333333333335, 0.3123456790123458), array([0.27946082, 0.98063094]))	False
MIB1	ENHA_RELA;TBK1	1.51490427035766	0.0293430617844055	False	((1.1666666666666667, 0.33950617283950635), array([0.27946082, 0.98063094]))	False
MIB1	ENHA_KLF10;KDM5B	3.75643585423996	1.36366374134535e-53	False	((1.1666666666666667, -0.5567901234567901), array([-0.59904848, -0.79080192]))	False
MIB1	ENHA_KLF2;WWP1	6.57494090581677	8.35370132759062e-99	False	((1.1333333333333335, -0.5024691358024691), array([-0.80862568,  0.59877889]))	False
MIB1	ENHA_KLF2;WWP1	6.57494090581677	8.35370132759062e-99	False	((1.1333333333333335, -0.5024691358024691), array([-0.80862568,  0.59877889]))	False
MIB1	ENHA_KLF5;WWP1	8.26139464854561	1.4181125640709401e-117	False	((1.1333333333333335, -0.4209876543209876), array([-0.80862568,  0.59877889]))	False
MIB1	ENHA_SIX1;EYA2	2.7376605342086	2.52845582289088e-20	False	((1.1, 0.4481481481481482), array([-0.73561957, -0.76070398]))	False
MIB1	ENHA_TFAP2A;EYA2	2.60305706358228	1.04251839129126e-09	False	((1.1666666666666667, 0.7469135802469138), array([-0.73561957, -0.76070398]))	False
MIB1	EED;ENHA_NR2C2	3.81759933637385	3.33024262309523e-54	False	(array([0.95484055, 0.00137771]), (1.1666666666666667, 0.013580246913580396))	False
MIB1	EED;ENHA_TFAP2A	3.47034811706577	6.08919081159769e-48	False	(array([0.95484055, 0.00137771]), (1.1666666666666667, 0.7469135802469138))	False
MIB1	ENHA_REL;SDCBP	3.02798439499389	1.55311296620806e-23	False	((1.1333333333333335, 0.3123456790123458), array([-0.88833612, -0.41799904]))	False
MIB1	ENHA_REL;EPM2AIP1	3.23353429613183	2.442724899643e-25	False	((1.1333333333333335, 0.3123456790123458), array([0.16883054, 0.99002551]))	False
MIB1	BCL6;ENHA_ZBTB7A	3.05442654846096	1.47531399945014e-29	False	(array([ 0.05504765, -0.99026384]), (1.1333333333333335, 0.9641975308641979))	False
MIB1	BCL6;ENHA_ZBTB7B	2.61333413849162	5.6326522081469e-16	False	(array([ 0.05504765, -0.99026384]), (1.1666666666666667, 0.9913580246913583))	False
MIB1	BCL11B;ENHA_NR2F1	8.61277325653458	1.23085943183088e-97	False	(array([ 0.89852113, -0.28635599]), (1.1, 0.040740740740740744))	False
MIB1	BCL11B;ENHA_NR2F1	8.61277325653458	1.23085943183088e-97	False	(array([ 0.89852113, -0.28635599]), (1.1, 0.040740740740740744))	False
MIB1	BCL11B;ENHA_SP1	5.46869722127225	1.5510930151776899e-81	False	(array([ 0.89852113, -0.28635599]), (1.1333333333333335, 0.5567901234567902))	False
MIB1	ENHA_SP1;SREBF1	2.88552230781881	1.2837371479791199e-30	False	((1.1333333333333335, 0.5567901234567902), array([ 0.14907536, -0.93760076]))	False
MIB1	ENHA_ZBTB7C;SREBF1	2.91331890861735	9.76268536646997e-27	False	((1.1, 1.0185185185185186), array([ 0.14907536, -0.93760076]))	False
MIB1	ENHA_SP1;SREBF1	2.88552230781881	1.2837371479791199e-30	False	((1.1333333333333335, 0.5567901234567902), array([ 0.14907536, -0.93760076]))	False
MIB1	ENHA_THAP11;PSMC5	4.60767197424392	4.63363166937913e-70	False	((1.1, 0.8555555555555556), array([-0.77873167, -0.68162743]))	False
MIB1	ENHA_SP1;PSMC5	4.14525018035879	9.627029202010919e-57	False	((1.1333333333333335, 0.5567901234567902), array([-0.77873167, -0.68162743]))	False
MIB1	ENHA_KLF10;SIAH1	5.33910548446863	4.4427745516755696e-83	False	((1.1666666666666667, -0.5567901234567901), array([-0.83097966,  0.47831992]))	False
MIB1	ACTR5;ENHA_KLF5	9.77384770750394	9.55629576507963e-116	False	(array([-0.00292737, -0.99281366]), (1.1333333333333335, -0.4209876543209876))	False
MIB1	ENHA_NR2F1;FOS	4.83760231107949	3.81131965357778e-66	False	((1.1, 0.040740740740740744), array([-0.69515103,  0.79438129]))	False
MIB1	ENHA_MAF;FOS	2.94116218015801	2.1754513794386e-31	False	((1.1333333333333335, -0.3395061728395061), array([-0.69515103,  0.79438129]))	False
MIB1	ENHA_ATF4;FOS	2.51411895370706	2.66700769614817e-23	False	((1.1, -1.1), array([-0.69515103,  0.79438129]))	True
