promoter	protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
MIR1302-4	ENHA_STAT1	True	False	False	1.1666666666666667	0.7368932038834952	21	-4.62037343801228	3.18474888731901e-209	False											0.715913883229574	5.64663478479648e-05
MIR1302-4	ENHA_CEBPG	True	False	False	1.1666666666666667	-0.9932038834951458	1	-0.799638377875635	7.43142461235931e-28	False											2.27332663133357	0.11403294280684
MIR1302-4	ENHA_MSX1	True	False	False	1.1	-0.13883495145631064	1	4.2854018223603	4.47639393498334e-27	False											0.498119979227339	0.0046924449453045
MIR1302-4	ENHA_ESR2	True	False	False	1.1666666666666667	-0.8650485436893205	7	3.10191642117498	0.0302281855584287	False											0.752889891731612	4.59397779659746e-07
MIR1302-4	ENHA_MZF1	True	False	False	1.1	-0.07475728155339789	1	2.70523955303638	7.14341823529132e-60	False											0.387825292066567	1.96690454968587e-10
MIR1302-4	ENHA_RREB1	True	False	False	1.1	0.437864077669903	1	-0.0735253190793003	0.467070376592638	False											0.445857780203305	4.02596537180777e-16
MIR1302-4	ENHA_KLF4	True	False	False	1.1333333333333335	-0.3097087378640776	9	-4.0236383329462	1.2985292682091302e-211	False											0.382243523106936	1.03631201520688e-32
MIR1302-4	ENHA_TP53	True	False	False	1.1333333333333335	0.9718446601941748	24	0.19430270080352	0.0080827699159202	False											0.45211781260309447	1.719515508138713e-06
MIR1302-4	ENHA_HOXB5	True	False	False	1.1	-0.5233009708737865	1	3.21396516689864	0.0255479346407262	False											0.562098498177558	0.0124588752967166
MIR1302-4	ENHA_TFAP2C	True	False	False	1.1	0.8864077669902914	3	-0.853382865494771	5.1225313213023e-10	False											0.464838932743563	2.51001739967874e-14
MIR1302-4	ENHA_IRF7	True	False	False	1.1	-0.4592233009708738	5	-3.83408099935248	6.50427053228451e-298	False											0.797823396805037	0.0485114842579952
MIR1302-4	ENHA_NFATC4	True	False	False	1.1333333333333335	-0.05339805825242716	3	-0.710503498140033	0.0854050478704199	False											0.88225451137888	0.307840288771623
MIR1302-4	ENHA_ZBTB7A	True	False	False	1.1666666666666667	1.0572815533980586	3	-0.0362829210068259	0.736088995669794	False											0.435492276898199	8.08074719866607e-13
MIR1302-4	ENHA_IRF1	True	False	False	1.1666666666666667	-0.48058252427184467	5	-4.0231535461388	8.02847625817727e-85	False											0.655953430052254	7.18923539772858e-05
MIR1302-4	ENHA_NR4A1	True	False	False	1.1666666666666667	0.1601941747572817	6	-0.313752055108596	0.111151395127448	False											0.6489593434039385	0.0002829128007239734
MIR1302-4	ENHA_KLF2	True	False	False	1.1	-0.33106796116504855	1	2.91214006178269	1.1394009815664e-06	False											0.504333688142741	4.33460206123292e-12
MIR1302-4	ENHA_FOSL2	True	False	False	1.1666666666666667	-0.8009708737864079	2	-3.0226820248758	1.8258994682084e-290	False											1.2197028163977854	0.00013440535277084304
MIR1302-4	ENHA_ZBTB26	True	False	False	1.1333333333333335	1.0359223300970877	2	-0.0532896782270238	0.821792475560156	False											0.582492771360353	1.00081207875347e-06
MIR1302-4	ENHA_THRB	True	False	False	1.1	0.9504854368932043	10	1.21953043880219	8.56338194398239e-20	False											0.474900987544563	1.39177655127613e-06
MIR1302-4	ENHA_FOXO3	True	False	False	1.1333333333333335	-0.6941747572815534	6	1.24156433831413	4.17412683231984e-59	False											0.6399088469586535	0.0005270160621993562
MIR1302-4	ENHA_NFKB1	True	False	False	1.1333333333333335	0.010679611650485477	7	-1.14746090520674	3.71257051919243e-33	False											0.64028954493746	1.91658642291024e-05
MIR1302-4	ENHA_GFI1	True	False	False	1.1	-0.587378640776699	3	-0.0375258764234129	0.981433505756066	False											0.527261055516099	3.32609385441201e-07
MIR1302-4	ENHA_POU2F1	True	False	False	1.1666666666666667	0.22427184466019434	16	-0.0730220925286118	0.627787826626805	False											0.9631954501065465	0.0638760286475426
MIR1302-4	ENHA_KLF5	True	False	False	1.1666666666666667	-0.28834951456310676	4	-5.67652439532414	1.21080876011697e-253	False											0.4062335663040355	3.3290909853109832e-15
MIR1302-4	ENHA_NFYA	True	False	False	1.1	0.05339805825242716	1	-0.0915135849268477	0.47203848786843	False											2.78897455425547	0.0174660023548396
MIR1302-4	ENHA_TFCP2	True	False	False	1.1333333333333335	0.9077669902912624	2	-8.52636521283684	2.76011374475008e-23	False											0.898759627395024	0.582834341748002
MIR1302-4	ENHA_LEF1	True	False	False	1.1	-0.2669902912621359	3	1.16070839588944	0.107054036289159	False											0.572275294545845	7.60092541373227e-06
MIR1302-4	ENHA_RBPJ	True	False	False	1.1666666666666667	0.3524271844660196	18	0.115047690168036	0.250723186308428	False											0.501606826313886	2.778978979090375e-06
MIR1302-4	ENHA_SOX4	True	False	False	1.1666666666666667	0.6087378640776699	12	1.48397070715163	3.93966068172735e-73	False											0.725819171007117	0.00312767907098
MIR1302-4	ENHA_SMAD3	True	False	False	1.1333333333333335	0.5233009708737866	34	-2.16165222493266	8.320005204690681e-58	False											0.727897237151163	0.0170869901439708
MIR1302-4	ENHA_ELF3	True	False	False	1.1	-0.9077669902912622	9	1.20019564579332	1.62568910285003e-17	False											0.481408299829683	9.743834557324892e-09
MIR1302-4	ENHA_FOXP1	True	False	False	1.1666666666666667	-0.6728155339805826	4	1.23058638748909	9.34625524205785e-17	False											0.3716965223659765	4.598799753439375e-16
MIR1302-4	ENHA_REST	True	False	False	1.1	0.37378640776699035	4	-0.26340778686432	0.01034300165799	False											0.34020294198822054	1.037950877086895e-14
MIR1302-4	ENHA_ATF2	True	False	False	1.1	-1.1	10	-1.17700877218428	6.62215113985468e-25	False											0.4946962498163845	2.23478271429963e-07
MIR1302-4	ENHA_BACH2	True	False	False	1.1666666666666667	-1.0572815533980584	2	-5.20526058244285	1.2125975345359101e-14	False											0.989648471839371	1.0
MIR1302-4	ENHA_ETV1	True	False	False	1.1333333333333335	-0.8223300970873787	2	8.80173078687327	1.15562626144965e-107	False											0.587633869785394	0.0009436725219700612
MIR1302-4	ENHA_TBX3	True	False	False	1.1333333333333335	0.7796116504854371	1	4.85416731525128	0.0	False											0.426748729115985	1.21339802698807e-09
MIR1302-4	ENHA_RUNX2	True	False	False	1.1666666666666667	0.4805825242718449	3	-0.861166876706292	0.0007117547549995	False											0.544816101425292	4.24319450481467e-09
MIR1302-4	ENHA_MITF	True	False	False	1.1666666666666667	-0.16019417475728148	2	-0.96082560983642	0.000310367907514	False											0.781869307130868	0.41631310019010803
MIR1302-4	ENHA_MYC	True	False	False	1.1666666666666667	-0.09611650485436884	17	0.678826795642739	2.0942350848026002e-26	False											0.44037337928792	5.93088974680482e-08
MIR1302-4	ENHA_TFAP2A	True	False	False	1.1666666666666667	0.8650485436893205	5	-3.2635472309405	5.28479283829799e-135	False											0.381772876192771	6.25360304953292e-22
MIR1302-4	ENHA_HEY1	True	False	False	1.1666666666666667	-0.5446601941747573	1	0.945706919884545	0.333707818802522	False											0.361130845789596	8.39745172440066e-13
MIR1302-4	ENHA_E2F6	True	False	False	1.1	-0.9718446601941748	4	-0.254228650675088	0.250420646955463	False											0.443946851075518	6.33365684521075e-16
MIR1302-4	ENHA_CEBPD	True	False	False	1.1333333333333335	-1.0145631067961165	3	-1.31700649745662	1.2755748215574602e-15	False											0.654433928792895	0.0008742480739494
MIR1302-4	ENHA_KLF10	True	False	False	1.1333333333333335	-0.37378640776699024	1	-1.93024821190597	1.00083757814832e-81	False											6.36931582354362	3.20501988480068e-10
MIR1302-4	ENHA_PRDM1	True	False	False	1.1	0.3097087378640777	10	-6.53099636690485	2.85150155789745e-13	False											0.5201363512471631	3.3837203044235812e-09
MIR1302-4	ENHA_NFYB	True	False	False	1.1333333333333335	0.07475728155339811	2	-0.98479218253161	7.82346285682545e-14	False											0.4357538785464302	0.01032492767143785
