Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
MIR3128	CTBP2;ENHA_KLF3	0.340446644681402	1.87145248304706e-22	False	(array([-0.44652294,  0.75155521]), (1.1, -0.17906976744186043))	False
MIR3128	ENHA_PAX9;KDM5B	0.298903472116156	2.52914755717816e-12	False	((1.1666666666666667, 0.38372093023255816), array([-0.54196686, -0.7485979 ]))	False
MIR3128	ENHA_AR;LATS2	0.713087292397213	0.233369937932441	False	((1.1, -1.1), array([0.01166634, 0.86416007]))	False
MIR3128	ENHA_AR;EZH2	0.494815873233749	1.6605334074435e-05	False	((1.1, -1.1), array([-0.40025489,  0.8902318 ]))	False
MIR3128	ENHA_AR;FLNA	0.41336643927448	1.23032762744986e-10	False	((1.1, -1.1), array([-0.99311215,  0.15752281]))	False
MIR3128	ENHA_AR;TRIM24	0.39588067470767	3.6722592117081e-11	False	((1.1, -1.1), array([-0.78274479,  0.34570974]))	False
MIR3128	AES;ENHA_AR	0.390043091957009	1.3478015810647799e-12	False	(array([-0.75853844, -0.64501171]), (1.1, -1.1))	False
MIR3128	ENHA_AR;RNF6	0.417606484280245	8.72815140118205e-09	False	((1.1, -1.1), array([0.51135946, 0.84637437]))	False
MIR3128	EED;ENHA_AR	0.402287999955058	2.7960339198109697e-18	False	(array([-0.60515781,  0.69129559]), (1.1, -1.1))	False
MIR3128	EGR1;ENHA_FOSL2	0.554134283520181	0.005911656296519	False	(array([0.4697239 , 0.60082209]), (1.1333333333333335, -0.8953488372093024))	False
MIR3128	ENHA_NFE2L1;GSK3B	0.41163098877147	2.36234171309552e-16	False	((1.1, 0.12790697674418605), array([-0.34141975, -0.27398132]))	False
MIR3128	ENHA_AR;GSK3B	0.371852331286152	1.37407368318667e-22	False	((1.1, -1.1), array([-0.34141975, -0.27398132]))	False
MIR3128	ENHA_NFKB1;GSK3B	0.431823806930423	7.89964806780765e-27	False	((1.1666666666666667, 0.23023255813953503), array([-0.34141975, -0.27398132]))	False
MIR3128	ENHA_NFKB1;GSK3B	0.431823806930423	7.89964806780765e-27	False	((1.1666666666666667, 0.23023255813953503), array([-0.34141975, -0.27398132]))	False
MIR3128	GSK3B;PROM_SNAI2	1.21449843715951	0.0743444747863192	False	(array([-0.34141975, -0.27398132]), (-1.1666666666666667, 0.12222222222222223))	False
MIR3128	ENHA_REST;SMARCE1	0.397402846431664	3.21260544110922e-24	False	((1.1, 0.5883720930232559), array([-0.68656867,  0.60193677]))	False
MIR3128	ENHA_AR;SMARCE1	0.406610902689191	8.244699735793911e-15	False	((1.1, -1.1), array([-0.68656867,  0.60193677]))	False
MIR3128	ENHA_FOS;SMARCE1	0.405360819832519	1.92471823187537e-13	False	((1.1, -0.9465116279069768), array([-0.68656867,  0.60193677]))	False
MIR3128	ENHA_FOS;SMARCE1	0.405360819832519	1.92471823187537e-13	False	((1.1, -0.9465116279069768), array([-0.68656867,  0.60193677]))	False
MIR3128	ENHA_REST;SMARCC2	0.411281121270703	5.25398447317701e-22	False	((1.1, 0.5883720930232559), array([-0.20639379,  0.89771681]))	False
MIR3128	ENHA_FOS;SMARCC2	0.423188478786282	3.38843517433007e-12	False	((1.1, -0.9465116279069768), array([-0.20639379,  0.89771681]))	False
MIR3128	ENHA_FOS;SMARCC2	0.423188478786282	3.38843517433007e-12	False	((1.1, -0.9465116279069768), array([-0.20639379,  0.89771681]))	False
MIR3128	AQP1;ENHA_FOS	0.431733717919639	6.50966972016728e-08	False	(array([-0.94996093, -0.03466905]), (1.1, -0.9465116279069768))	False
MIR3128	AQP1;ENHA_FOS	0.431733717919639	6.50966972016728e-08	False	(array([-0.94996093, -0.03466905]), (1.1, -0.9465116279069768))	False
MIR3128	ENHA_TP73;PIN1	0.371829168072877	9.44600186213598e-19	False	((1.1333333333333335, 0.9465116279069767), array([-0.14865343, -0.96142272]))	False
MIR3128	ENHA_NFIB;XRCC5	0.432458491477098	9.1074260711192e-26	False	((1.1333333333333335, 0.17906976744186043), array([-0.52278531, -0.78491466]))	False
MIR3128	ATM;ENHA_FOXO3	0.350220406014359	2.63260346044536e-10	False	(array([-0.07310888, -0.98652961]), (1.1666666666666667, -0.6906976744186046))	False
MIR3128	CTBP1;ENHA_FOXP1	0.562962847736488	1.99405672515332e-13	False	(array([-0.20673729,  0.38853614]), (1.1, -0.6395348837209303))	False
MIR3128	CTBP1;ENHA_KLF3	0.314391932419709	6.798019564131009e-40	False	(array([-0.20673729,  0.38853614]), (1.1, -0.17906976744186043))	False
MIR3128	CTBP1;ENHA_FOXP1	0.562962847736488	1.99405672515332e-13	False	(array([-0.20673729,  0.38853614]), (1.1, -0.6395348837209303))	False
MIR3128	CTBP1;ENHA_KLF4	0.402702381714601	4.3556767351811205e-31	False	(array([-0.20673729,  0.38853614]), (1.1333333333333335, -0.12790697674418605))	False
MIR3128	ENHA_AR;KAT5	0.35438871739808	7.230140791780769e-26	False	((1.1, -1.1), array([-0.45718811,  0.15628294]))	False
