edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CALR;ENHA_ATF2	5.35368119230009	2.4333616200495602e-20	False	(array([-0.29725829,  0.85876018]), (1.1333333333333335, -1.0854304635761591))	False
CALR;ENHA_JUN	4.88405244907346	2.07337602076479e-15	False	(array([-0.29725829,  0.85876018]), (1.1333333333333335, -0.4298013245033113))	False
COPS2;ENHA_JUN	3.05718950121771	0.0010447857497476	False	(array([-0.87191969, -0.37554654]), (1.1333333333333335, -0.4298013245033113))	False
EIF5A;ENHA_ATF2	6.40647143131791	2.23752668772195e-08	False	(array([-0.85607541,  0.13184859]), (1.1333333333333335, -1.0854304635761591))	False
ANXA1;ENHA_ATF2	6.19527630593403	3.47288092916872e-12	False	(array([-0.13034615,  0.88764757]), (1.1333333333333335, -1.0854304635761591))	False
DHX9;ENHA_JUN	5.24100311981978	5.96320069823368e-08	False	(array([-0.59892327,  0.78967762]), (1.1333333333333335, -0.4298013245033113))	False
ENHA_JUN;MTDH	5.24100311981978	5.96320069823368e-08	False	((1.1333333333333335, -0.4298013245033113), array([-0.9744969 ,  0.20996985]))	False
ENHA_ATF2;TPI1	12.2607713741905	2.10760321587457e-79	False	((1.1333333333333335, -1.0854304635761591), array([-0.81916797,  0.2433928 ]))	False
AGTRAP;ENHA_NFYB	3.54135913145541	5.84945340199753e-08	False	(array([-0.78430068, -0.60243601]), (1.1333333333333335, 0.13841059602649008))	False
AGTRAP;PROM_PBX3	3.10290648287728	3.20992882813925e-06	False	(array([-0.78430068, -0.60243601]), (-1.1666666666666667, 0.22916666666666674))	False
CLU;ENHA_FOS	10.7406846348809	6.1865708755357e-70	False	(array([0.76316047, 0.66898811]), (1.1666666666666667, -0.7649006622516556))	False
ENHA_POU2F1;STAT5B	3.63346377638576	7.26490741088318e-06	False	((1.1, 0.2986754966887417), array([-0.95541477, -0.16056649]))	False
ENHA_NFYB;GRB2	5.44209353097507	1.74428321509781e-29	False	((1.1333333333333335, 0.13841059602649008), array([ 0.98782891, -0.01870029]))	False
ENHA_FOSL2;RECQL5	2.9194663509011	2.44767852809436e-07	False	((1.1, -0.7503311258278147), array([0.45660409, 0.84576714]))	False
ANKRD17;ENHA_FOS	3.75625373491297	1.6764886222726501e-09	False	(array([-0.94967067,  0.34365201]), (1.1666666666666667, -0.7649006622516556))	False
ENHA_ATF2;MAPK10	5.8274519964393	7.739002549850749e-22	False	((1.1333333333333335, -1.0854304635761591), array([0.94512433, 0.3728599 ]))	False
ENHA_JUN;MAPK10	5.22990022056361	6.46497433658104e-17	False	((1.1333333333333335, -0.4298013245033113), array([0.94512433, 0.3728599 ]))	False
ENHA_JUND;MAPK10	4.6508221858805	3.82384115626067e-18	False	((1.1, -0.4006622516556292), array([0.94512433, 0.3728599 ]))	False
BCL3;ENHA_JUN	7.06358381063337	1.49344217988168e-37	False	(array([-0.96298057, -0.05851633]), (1.1333333333333335, -0.4298013245033113))	False
BCL3;ENHA_NFKB1	4.65560718073862	1.3578593702294499e-22	False	(array([-0.96298057, -0.05851633]), (1.1333333333333335, 0.09470198675496677))	False
BCL3;ENHA_FOS	6.98241259908785	5.77907880942909e-40	False	(array([-0.96298057, -0.05851633]), (1.1666666666666667, -0.7649006622516556))	False
ENHA_IRF7;IRF5	4.12126387551754	2.57553300869899e-06	False	((1.1333333333333335, -0.4735099337748345), array([-0.97013777,  0.24696712]))	False
ENHA_IRF7;TBK1	3.92040668240544	2.33779762042712e-10	False	((1.1333333333333335, -0.4735099337748345), array([-0.77134335, -0.5630644 ]))	False
ENHA_LEF1;PIAS4	4.79983126106329	2.42744687238309e-26	False	((1.1333333333333335, -0.2549668874172186), array([ 0.18799865, -0.93804485]))	False
ENHA_IRF7;PIAS4	5.36233422885608	1.37147814824552e-30	False	((1.1333333333333335, -0.4735099337748345), array([ 0.18799865, -0.93804485]))	False
ENHA_PBX2;MCRS1	2.42582201897227	0.0002083674887316	False	((1.1, 0.2549668874172186), array([-0.94058394, -0.22540145]))	False
ENHA_LEF1;STAT5A	1.92814689058894	0.0076126725072521	False	((1.1333333333333335, -0.2549668874172186), array([ 0.77953959, -0.45748135]))	False
ENHA_POU2F1;STAT5A	1.81250469026587	0.0113858041291877	False	((1.1, 0.2986754966887417), array([ 0.77953959, -0.45748135]))	False
ENHA_STAT1;STAT5A	1.65226710071726	0.0491964469480712	False	((1.1333333333333335, 0.6629139072847683), array([ 0.77953959, -0.45748135]))	False
ANKRA2;ENHA_RFX7	5.40549521651935	3.82414007367721e-07	False	(array([0.87464249, 0.14773451]), (1.1666666666666667, 0.45894039735099335))	False
ANKRA2;ENHA_RFX5	2.01828635375667	0.0972890599582656	False	(array([0.87464249, 0.14773451]), (1.1333333333333335, 0.4443708609271524))	False
ENHA_ATF2;EXOSC8	5.42899576837153	1.4296347499865001e-16	False	((1.1333333333333335, -1.0854304635761591), array([-0.78309643,  0.60411453]))	False
ENHA_TFAP4;EXOSC8	3.78882118364455	1.9712410853091597e-11	False	((1.1, 0.8231788079470199), array([-0.78309643,  0.60411453]))	False
ENHA_MITF;LEF1	4.12846465378145	1.45927386869223e-05	False	((1.1, -0.094701986754967), array([0.69231319, 0.64685082]))	False
ENHA_TCF7L2;LEF1	4.40330659327527	3.94341850764818e-06	False	((1.1666666666666667, 0.7649006622516556), array([0.69231319, 0.64685082]))	False
CEP70;ENHA_ZNF410	6.00441105733542	5.56420104580457e-38	False	(array([ 0.84232002, -0.38112244]), (1.1666666666666667, 1.0708609271523177))	False
ENHA_HOXC4;HTT	6.52549282042306	8.65036836928434e-33	False	((1.1333333333333335, -0.5172185430463576), array([0.64033002, 0.63449323]))	False
ENHA_KLF2;SMURF1	6.54117897817985	1.3733854764119201e-45	False	((1.1333333333333335, -0.3423841059602649), array([-0.11930526,  0.83645946]))	False
ENHA_JUNB;SMURF1	7.91790165783602	6.86001728612383e-57	False	((1.1666666666666667, -0.41523178807947025), array([-0.11930526,  0.83645946]))	False
ENHA_RUNX2;SMURF1	9.42959833291174	5.84038438620403e-65	False	((1.1333333333333335, 0.4880794701986755), array([-0.11930526,  0.83645946]))	False
ENHA_HMBOX1;UBE2Z	5.87654425612923	0.0006727775253751	False	((1.1333333333333335, -0.5609271523178808), array([-0.8484143 , -0.24482723]))	False
DPF2;ENHA_HMBOX1	6.50943230294085	4.526916051719041e-19	False	(array([ 0.90748262, -0.35223538]), (1.1333333333333335, -0.5609271523178808))	False
DYNLL2;ENHA_HMBOX1	6.48743977059164	9.91509216408534e-25	False	(array([0.94479734, 0.2515927 ]), (1.1333333333333335, -0.5609271523178808))	False
ENHA_HMBOX1;ZBTB24	7.44155774654107	5.89733499985392e-33	False	((1.1333333333333335, -0.5609271523178808), array([-0.86596364,  0.58190441]))	False
ENHA_YY1;TFCP2	3.31871849872969	3.90545585145102e-06	False	((1.1, 0.9543046357615896), array([-0.63577247, -0.76497543]))	False
ENHA_JDP2;HDAC6	4.28896268392397	2.41057245594105e-09	False	((1.1, -0.4443708609271524), array([-0.8493681 ,  0.52311814]))	False
ENHA_RELB;HDAC6	4.32289887498831	1.18852903985081e-08	False	((1.1, 0.3860927152317881), array([-0.8493681 ,  0.52311814]))	False
ENHA_NR3C1;HDAC6	4.90017352208741	9.70108443023843e-13	False	((1.1333333333333335, 0.18211920529801318), array([-0.8493681 ,  0.52311814]))	False
ENHA_ZNF24;LRIF1	3.04094509668952	6.96052405155695e-07	False	((1.1333333333333335, 1.056291390728477), array([-0.93980062, -0.36636528]))	False
ENHA_NR3C1;NRIP1	3.57627206262588	8.463055777193991e-10	False	((1.1333333333333335, 0.18211920529801318), array([0.9546808 , 0.05916696]))	False
CGGBP1;ENHA_RBPJ	3.80296992674754	1.43309104644718e-06	False	(array([0.17556679, 0.93263328]), (1.1333333333333335, 0.356953642384106))	False
ENHA_TFAP4;FOXA1	3.27752128103069	1.26848859403938e-11	False	((1.1, 0.8231788079470199), array([0.17744292, 0.97571599]))	False
ENHA_PBX1;FOXA1	3.04644098129522	9.71177555450801e-07	False	((1.1666666666666667, 0.24039735099337745), array([0.17744292, 0.97571599]))	False
ENHA_PBX1;MEIS1	4.38138113036604	8.91104917754773e-12	False	((1.1666666666666667, 0.24039735099337745), array([ 0.7039786 , -0.66756135]))	False
ENHA_RBPJ;OGT	5.29206305023128	2.16646646245291e-34	False	((1.1333333333333335, 0.356953642384106), array([ 0.87657809, -0.35419607]))	False
ENHA_RBPJ;KDM2A	3.39204007193574	9.06822328665111e-10	False	((1.1333333333333335, 0.356953642384106), array([0.7877419, 0.5845499]))	False
ENHA_SREBF1;MED6	12.5840321903278	1.77166428422255e-76	False	((1.1333333333333335, 0.619205298013245), array([-0.79500937, -0.64738166]))	False
ENHA_EGR1;MED6	5.09228882107848	1.2654565478252e-30	False	((1.1666666666666667, -0.852317880794702), array([-0.79500937, -0.64738166]))	False
ENHA_HSF1;KPNA3	5.55764670737022	7.8466109665711e-35	False	((1.1666666666666667, -0.5026490066225167), array([ 0.07594726, -0.9956767 ]))	False
EGFR;ENHA_FOS	3.76690378873191	5.81929958474929e-11	False	(array([-0.69807965,  0.77238142]), (1.1666666666666667, -0.7649006622516556))	False
EGFR;ENHA_NR3C1	2.98628949435374	6.701655392779651e-09	False	(array([-0.69807965,  0.77238142]), (1.1333333333333335, 0.18211920529801318))	False
