Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
MIRLET7B	ENHA_MAZ;OTUB1	0.326847700199287	1.44957990807258e-15	False	((1.1666666666666667, -0.32999999999999996), array([-0.97478861, -0.25100767]))	False
MIRLET7B	ENHA_TP53;OTUB1	0.429435419094037	2.20907435777558e-18	False	((1.1333333333333335, 0.7700000000000002), array([-0.97478861, -0.25100767]))	False
MIRLET7B	ENHA_TCF3;NEDD9	0.377532111895782	1.37613351269586e-07	False	((1.1, 0.385), array([-0.81089061,  0.28125703]))	False
MIRLET7B	ENHA_REL;NEDD9	0.432199662542809	1.82265810083152e-06	False	((1.1, 0.05500000000000016), array([-0.81089061,  0.28125703]))	False
MIRLET7B	ENHA_E2F6;TFDP2	0.479383849746048	8.99988570623903e-16	False	((1.1333333333333335, -1.0450000000000002), array([-0.94869817,  0.30787305]))	False
MIRLET7B	ENHA_GABPA;HCFC1	0.357295531677878	1.92191767800361e-32	False	((1.1, -0.77), array([-0.55717717, -0.28100874]))	False
MIRLET7B	ENHA_SP1;HCFC1	0.511067256191679	7.95781465664868e-16	False	((1.1, 0.2200000000000002), array([-0.55717717, -0.28100874]))	False
MIRLET7B	CDK2;ENHA_TP53	0.387362259870652	1.48946590936258e-24	False	(array([-0.64201951,  0.64762652]), (1.1333333333333335, 0.7700000000000002))	False
MIRLET7B	PROM_E2F4;TFDP2	0.553899388954023	2.69679105286753e-10	False	((-1.1666666666666667, -0.8755102040816327), array([-0.94869817,  0.30787305]))	False
MIRLET7B	HCFC1;PROM_E2F4	1.09887187905093	0.228448241738037	False	(array([-0.55717717, -0.28100874]), (-1.1666666666666667, -0.8755102040816327))	False
MIRLET7B	CDK2;PROM_E2F4	0.712161581982976	3.14070051343176e-05	False	(array([-0.64201951,  0.64762652]), (-1.1666666666666667, -0.8755102040816327))	False
MIRLET7B	ENHA_KLF9;PGR	0.444949487937972	4.2936351353876e-25	False	((1.1333333333333335, -0.385), array([-0.6655693 ,  0.74472381]))	False
MIRLET7B	ENHA_SP1;PGR	0.589275532246016	3.55146733224357e-11	False	((1.1, 0.2200000000000002), array([-0.6655693 ,  0.74472381]))	False
MIRLET7B	ENHA_TEAD1;MEF2C	0.331992958117367	8.20877390941214e-30	False	((1.1666666666666667, 0.4950000000000001), array([ 0.98250013, -0.08520381]))	False
MIRLET7B	ENHA_SP1;MEF2C	0.340853388907615	1.42552182726944e-30	False	((1.1, 0.2200000000000002), array([ 0.98250013, -0.08520381]))	False
MIRLET7B	DDX3X;ENHA_NFKB2	0.444317450143758	2.1706326974507602e-23	False	(array([ 0.66501933, -0.62448809]), (1.1666666666666667, -0.16499999999999992))	False
MIRLET7B	DDX3X;ENHA_SP1	0.449935539772638	1.3517963336889e-21	False	(array([ 0.66501933, -0.62448809]), (1.1, 0.2200000000000002))	False
MIRLET7B	BCOR;ENHA_TCF3	0.405967455743582	2.4226944483808897e-30	False	(array([-0.90202581,  0.45793654]), (1.1, 0.385))	False
MIRLET7B	BCOR;ENHA_SP1	0.491420043500977	1.00293269956699e-19	False	(array([-0.90202581,  0.45793654]), (1.1, 0.2200000000000002))	False
MIRLET7B	ENHA_KLF5;ESR2	0.429213460217954	5.97363943858326e-24	False	((1.1, -0.43999999999999995), array([-0.5106988 ,  0.80727411]))	False
MIRLET7B	ENHA_SP1;ESR2	0.545106488428212	9.49835103651208e-15	False	((1.1, 0.2200000000000002), array([-0.5106988 ,  0.80727411]))	False
MIRLET7B	CTBP2;ENHA_TEAD3	0.31578770350504	8.86717185536314e-18	False	(array([-0.90955281, -0.13556954]), (1.1333333333333335, 0.6050000000000002))	False
MIRLET7B	CTBP2;ENHA_ZEB1	0.40897378500891	2.35512990161083e-24	False	(array([-0.90955281, -0.13556954]), (1.1333333333333335, 0.935))	False
MIRLET7B	EHMT2;ENHA_REST	0.386327570306199	7.12472170714495e-28	False	(array([-0.94598987,  0.33104337]), (1.1666666666666667, 0.16500000000000004))	False
MIRLET7B	CTBP2;PROM_KLF3	0.636059822065124	7.35083204408692e-08	False	(array([-0.90955281, -0.13556954]), (-1.1333333333333335, -0.11224489795918369))	False
MIRLET7B	EHMT2;PROM_KLF3	0.565009154447054	4.70008043947768e-11	False	(array([-0.94598987,  0.33104337]), (-1.1333333333333335, -0.11224489795918369))	False
MIRLET7B	CTBP1;ENHA_ZEB1	0.348242679772515	2.40566806635944e-40	False	(array([ 0.18221553, -0.93429203]), (1.1333333333333335, 0.935))	False
MIRLET7B	CTBP1;ENHA_KLF4	0.402702381714601	4.3556767351811205e-31	False	(array([ 0.18221553, -0.93429203]), (1.1666666666666667, -0.495))	False
MIRLET7B	CTBP1;PROM_KLF3	0.907631693265391	0.223176911482568	False	(array([ 0.18221553, -0.93429203]), (-1.1333333333333335, -0.11224489795918369))	False
