Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
MT1A	ENHA_AR;TCF7L2	0.389959048871156	1.31024407403719e-05	False	((1.1, -1.1), array([-0.97579804, -0.27886887]))	False
MT1A	ENHA_AR;TRIM24	0.39588067470767	3.6722592117081e-11	False	((1.1, -1.1), array([-0.59062999, -0.82187668]))	False
MT1A	ENHA_AR;SMARCA2	0.511141283873618	0.0161043397028203	False	((1.1, -1.1), array([-0.85847297, -0.41192118]))	False
MT1A	DAP3;ENHA_AR	0.465436785867477	0.0640475828684025	False	(array([-0.8724049 ,  0.04233819]), (1.1, -1.1))	False
MT1A	ENHA_AR;PTGES3	0.465436785867477	0.0640475828684025	False	((1.1, -1.1), array([-0.57563362,  0.70246514]))	False
MT1A	ENHA_AR;FKBP5	0.465436785867477	0.0640475828684025	False	((1.1, -1.1), array([-0.63822694,  0.77387529]))	False
MT1A	ENHA_AR;TSG101	0.465436785867477	0.0640475828684025	False	((1.1, -1.1), array([-0.97229222,  0.26094068]))	False
MT1A	ENHA_AR;TGFB1I1	0.465436785867477	0.0640475828684025	False	((1.1, -1.1), array([-0.82805596,  0.27610094]))	False
MT1A	ENHA_AR;SMARCD1	0.431433978658693	0.0001410389428731	False	((1.1, -1.1), array([-0.78178361, -0.60962449]))	False
MT1A	DCAF6;ENHA_AR	0.465436785867477	0.0640475828684025	False	(array([0.44535854, 0.92976142]), (1.1, -1.1))	False
MT1A	ENHA_AR;TMF1	0.366297251074624	0.0020013947296923	False	((1.1, -1.1), array([-0.78529919,  0.48023137]))	False
MT1A	COPS6;ENHA_ZNF24	0.561938509941793	0.0432481993681586	False	(array([0.80013332, 0.63965515]), (1.1333333333333335, 1.0725000000000002))	False
MT1A	ENHA_PPARD;RANBP9	0.257855071559363	2.389906218974e-08	False	((1.1, 0.385), array([-0.94742158, -0.21589184]))	False
MT1A	ENHA_AR;RANBP9	0.352035087471701	1.55437718500299e-06	False	((1.1, -1.1), array([-0.94742158, -0.21589184]))	False
MT1A	ENHA_THRB;RANBP9	0.3518894683017	2.20062654524046e-06	False	((1.1, 0.9625000000000004), array([-0.94742158, -0.21589184]))	False
MT1A	ENHA_NFKB1;ETS1	0.427496786395054	3.90308892937808e-13	False	((1.1, 0.13750000000000018), array([0.47737389, 0.84663405]))	False
MT1A	ENHA_AR;ETS1	0.328983392607236	1.25239297271707e-12	False	((1.1, -1.1), array([0.47737389, 0.84663405]))	False
MT1A	ELF3;ENHA_NFKB1	0.555189276689991	3.76596641983902e-06	False	(array([-0.92667085,  0.42971261]), (1.1, 0.13750000000000018))	False
MT1A	ELF3;ENHA_AR	0.253386737118412	2.94225605790518e-14	False	(array([-0.92667085,  0.42971261]), (1.1, -1.1))	False
MT1A	ENHA_NFKB1;TRIP4	0.484954192970259	1.8566364293285402e-09	False	((1.1, 0.13750000000000018), array([0.98085998, 0.29053054]))	False
MT1A	ENHA_THRB;TRIP4	0.473828098833132	1.83351392916436e-07	False	((1.1, 0.9625000000000004), array([0.98085998, 0.29053054]))	False
MT1A	CDK8;ENHA_TBX3	0.369609457318791	0.0003555155582939	False	(array([-0.56400481,  0.77656235]), (1.1333333333333335, 0.8250000000000002))	False
