promoter	protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
NEAT1	ENHA_SNAI2	True	False	False	1.1666666666666667	0.33673469387755106	1	-7.39045172449115	2.3935402877077702e-54	False											0.355574727521873	1.55334406804426e-39
NEAT1	ENHA_RARA	True	False	False	1.1333333333333335	0.15714285714285725	20	-0.134025346348399	0.470907401425808	False											0.411647064618711	6.669954140557109e-16
NEAT1	ENHA_PBX2	True	False	False	1.1	0.11224489795918369	2	0.0108784421307743	0.927722010391981	False											0.4316408073033	3.7372523463473465e-06
NEAT1	ENHA_ZNF460	True	False	False	1.1	1.0551020408163265	1	1.21538597859962	5.59628789323162e-05	False											0.442938974526703	7.42828882027444e-25
NEAT1	ENHA_NFIB	True	False	False	1.1666666666666667	-0.06734693877551012	4	-0.456247574244742	5.1950932621203e-05	False											0.393707456166157	6.097860394960831e-16
NEAT1	ENHA_E2F1	True	False	False	1.1333333333333335	-0.9204081632653062	11	-1.58598313818408	1.07173313586322e-50	False											0.373740302158449	1.2091787128993901e-21
NEAT1	ENHA_THAP11	True	False	False	1.1333333333333335	0.8306122448979594	4	0.501776528639501	0.0004718146679075	False											0.37603926641677354	1.2538720298758403e-27
NEAT1	ENHA_STAT1	True	False	False	1.1666666666666667	0.606122448979592	17	-4.62037343801228	3.18474888731901e-209	False											0.441201943810184	2.94419121101273e-25
NEAT1	ENHA_BHLHE40	True	False	False	1.1333333333333335	-1.0551020408163265	11	-1.37363614579217	3.27551851152468e-34	False											0.323188511291461	8.713289033259609e-16
NEAT1	ENHA_FOXP1	True	False	False	1.1666666666666667	-0.6061224489795919	3	1.23058638748909	9.34625524205785e-17	False											0.533110361424171	6.40487273887354e-16
NEAT1	ENHA_NR2F1	True	False	False	1.1666666666666667	0.06734693877551012	2	2.15204275920652	0.261152651338228	False											0.530962456873716	1.1797659477372127e-12
