Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
NOD1	ENHA_TFAP4;FOXK2	1.69136661422619	5.23752023250141e-07	False	((1.1333333333333335, 0.736697247706422), array([-0.98192895, -0.23772132]))	False
NOD1	ENHA_TEAD1;YAP1	1.54327654366695	4.06199701107534e-06	False	((1.1333333333333335, 0.6761467889908257), array([-0.8677292 , -0.38673445]))	False
NOD1	ENHA_AR;ERCC3	2.29443042575731	2.18957528064778e-07	False	((1.1, -1.1), array([-0.44263878,  0.78507078]))	False
NOD1	ENHA_MYC;ERCC3	1.56701879784379	0.172082598055654	False	((1.1666666666666667, -0.15137614678899092), array([-0.44263878,  0.78507078]))	False
NOD1	ENHA_AR;TAF1	2.22858087679537	6.14496208516931e-08	False	((1.1, -1.1), array([-0.9796836 ,  0.21238404]))	False
NOD1	ENHA_MYC;TAF1	1.56701879784379	0.172082598055654	False	((1.1666666666666667, -0.15137614678899092), array([-0.9796836 ,  0.21238404]))	False
NOD1	ENHA_AR;NONO	1.82431187933631	0.0006468539103419	False	((1.1, -1.1), array([-0.79808634,  0.34644006]))	False
NOD1	ENHA_MYC;NONO	2.98460308340292	2.14729749444633e-10	False	((1.1666666666666667, -0.15137614678899092), array([-0.79808634,  0.34644006]))	False
NOD1	ENHA_AR;PIAS2	2.21354293195088	1.39295813687855e-07	False	((1.1, -1.1), array([-0.77945142, -0.60468713]))	False
NOD1	ENHA_MYC;PIAS2	2.29653005810979	0.0004887192992875	False	((1.1666666666666667, -0.15137614678899092), array([-0.77945142, -0.60468713]))	False
NOD1	CALM1;ENHA_AR	1.62057184446591	0.0054329457553984	False	(array([0.41365614, 0.92689033]), (1.1, -1.1))	True
NOD1	CALM1;ENHA_MYC	1.12608899084815	0.624723523729193	False	(array([0.41365614, 0.92689033]), (1.1666666666666667, -0.15137614678899092))	False
NOD1	ENHA_AR;PRPF6	1.82469731986236	0.0021993284274601	False	((1.1, -1.1), array([-0.76438864,  0.51781437]))	False
NOD1	ENHA_MYC;PRPF6	1.56701879784379	0.172082598055654	False	((1.1666666666666667, -0.15137614678899092), array([-0.76438864,  0.51781437]))	False
NOD1	ENHA_AR;WDR77	1.82469731986236	0.0021993284274601	False	((1.1, -1.1), array([0.72518695, 0.70312485]))	False
NOD1	ENHA_MYC;WDR77	1.56701879784379	0.172082598055654	False	((1.1666666666666667, -0.15137614678899092), array([0.72518695, 0.70312485]))	False
NOD1	BCOR;ENHA_TCF3	2.48695726243559	8.87886395017055e-21	False	(array([-0.66587721, -0.79113255]), (1.1666666666666667, 0.6357798165137614))	False
NOD1	ENHA_AR;TCF7L2	1.31331797367438	0.151734405031002	False	((1.1, -1.1), array([-0.9584838, -0.1589579]))	False
NOD1	CDKN2A;ENHA_YY1	1.21748794593398	0.0526988227986006	False	(array([ 0.97401745, -0.04173955]), (1.1666666666666667, 0.8779816513761469))	False
NOD1	ENHA_FOS;NFATC2	1.21394867292642	0.0726572054917709	False	((1.1666666666666667, -0.6963302752293579), array([-0.93856764,  0.39159142]))	False
NOD1	BIRC3;ENHA_IRF1	1.46562891123291	7.68271260584211e-05	False	(array([0.94083109, 0.3593365 ]), (1.1333333333333335, -0.4137614678899083))	False
NOD1	ENHA_SPIB;MAPK3	2.39663368169089	1.23284113230441e-20	False	((1.1, 0.5954128440366973), array([ 0.87518379, -0.42325564]))	False
NOD1	ENHA_ELK4;MAPK3	1.55138482320913	0.0004679672327939	False	((1.1666666666666667, -0.8174311926605505), array([ 0.87518379, -0.42325564]))	False
NOD1	ENHA_MYC;MAPK3	1.8696105258634	4.24718181811786e-07	False	((1.1666666666666667, -0.15137614678899092), array([ 0.87518379, -0.42325564]))	False
NOD1	ENHA_SPIB;MAPK3	2.39663368169089	1.23284113230441e-20	False	((1.1, 0.5954128440366973), array([ 0.87518379, -0.42325564]))	False
