Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
NSD3	ENHA_JUN;SMARCC2	3.35059801275837	2.4643738480858398e-30	False	((1.1, -0.46869565217391307), array([-0.98641805, -0.25565312]))	False
NSD3	ENHA_BACH2;MAFF	2.15123385574239	0.0041745047770602	False	((1.1666666666666667, -1.0043478260869565), array([-0.85055456, -0.43695043]))	False
NSD3	ENHA_BACH1;MAFF	2.21046818414975	0.0049298694535422	False	((1.1333333333333335, -1.0234782608695654), array([-0.85055456, -0.43695043]))	False
NSD3	ENHA_STAT3;KHDRBS1	2.88666059969981	2.2451874272329001e-26	False	((1.1666666666666667, 0.7173913043478262), array([-0.6720458 ,  0.74426724]))	False
NSD3	ENHA_STAT3;WDFY3	3.12439205122821	0.0006168859356566	False	((1.1666666666666667, 0.7173913043478262), array([-0.98648197,  0.21815678]))	False
NSD3	ENHA_MEIS2;PBX1	1.14534498306037	0.513592737422394	False	((1.1, -0.18173913043478263), array([-0.80731584, -0.58180276]))	False
NSD3	ENHA_BCL6;NACC1	2.23032666105405	7.964500885951569e-11	False	((1.1, -0.9852173913043479), array([-0.64396861,  0.62358529]))	False
NSD3	ENHA_BCL6;NACC1	2.23032666105405	7.964500885951569e-11	False	((1.1, -0.9852173913043479), array([-0.64396861,  0.62358529]))	False
NSD3	EIF1AD;ENHA_STAT1	4.23989182110991	1.25147282689949e-62	False	(array([0.75537909, 0.68370633]), (1.1333333333333335, 0.6982608695652175))	False
NSD3	ENHA_IRF3;RBL2	2.76555920532044	1.21226521910834e-25	False	((1.1333333333333335, -0.5069565217391304), array([-0.96907183, -0.13055561]))	False
NSD3	ENHA_IRF3;RBL2	2.76555920532044	1.21226521910834e-25	False	((1.1333333333333335, -0.5069565217391304), array([-0.96907183, -0.13055561]))	False
NSD3	CCNDBP1;ENHA_ZNF136	2.35494023854608	1.4372826073883802e-10	False	(array([ 0.98455461, -0.00466375]), (1.1, 1.0234782608695654))	False
NSD3	CEP70;ENHA_ZNF136	3.2734840222114	3.90381469475054e-35	False	(array([0.47893512, 0.83387386]), (1.1, 1.0234782608695654))	False
NSD3	ENHA_ZNF24;USP11	2.10787742995458	1.89773016726111e-10	False	((1.1, 1.0808695652173914), array([0.95105189, 0.35829883]))	False
NSD3	DDX6;ENHA_BCL6	1.92895434598547	4.20488593933789e-05	False	(array([-0.52164576,  0.81465999]), (1.1, -0.9852173913043479))	False
NSD3	DDX6;ENHA_BCL6	1.92895434598547	4.20488593933789e-05	False	(array([-0.52164576,  0.81465999]), (1.1, -0.9852173913043479))	False
NSD3	DDX6;ENHA_ZNF24	2.32064308903004	4.46797935150341e-12	False	(array([-0.52164576,  0.81465999]), (1.1, 1.0808695652173914))	False
NSD3	ENHA_RARA;PHF8	3.00723466326798	1.70329046480222e-33	False	((1.1666666666666667, 0.3730434782608696), array([ 0.91569896, -0.35890601]))	False
NSD3	ENHA_E2F1;PHF8	2.89008990798121	6.345387082156661e-19	False	((1.1333333333333335, -0.851304347826087), array([ 0.91569896, -0.35890601]))	False
NSD3	ENHA_RARA;PHF8	3.00723466326798	1.70329046480222e-33	False	((1.1666666666666667, 0.3730434782608696), array([ 0.91569896, -0.35890601]))	False
NSD3	CCNA2;ENHA_E2F1	1.51075864540831	0.194757458362366	False	(array([-0.9823391 ,  0.25325579]), (1.1333333333333335, -0.851304347826087))	False
NSD3	CCNA2;ENHA_SP1	2.53836219132143	4.0880995420580905e-20	False	(array([-0.9823391 ,  0.25325579]), (1.1333333333333335, 0.5834782608695654))	False
NSD3	CCNA2;ENHA_TP73	3.15084272434692	1.36834510923837e-37	False	(array([-0.9823391 ,  0.25325579]), (1.1, 0.9086956521739133))	False
NSD3	ENHA_AR;LCOR	3.27148227489389	1.6235640079031999e-31	False	((1.1, -1.1), array([0.50644334, 0.75504429]))	False
NSD3	ENHA_ESR2;SRRM2	2.73257902904566	1.66073052396606e-22	False	((1.1666666666666667, -0.7747826086956522), array([ 0.44659031, -0.58619711]))	False
NSD3	PROM_HINFP;SRRM2	2.7084021172799	9.91373787399886e-22	False	((-1.1, -0.7000000000000001), array([ 0.44659031, -0.58619711]))	False
NSD3	ENHA_POU2F2;HMGB2	1.37276820726851	0.147961461069327	False	((1.1, 0.2773913043478262), array([0.97661211, 0.1101648 ]))	False
NSD3	ENHA_JUN;SMARCE1	3.35059801275837	2.4643738480858398e-30	False	((1.1, -0.46869565217391307), array([ 0.76504259, -0.66068405]))	False
NSD3	ENHA_AR;SMARCE1	2.77894496328814	5.15030476532201e-26	False	((1.1, -1.1), array([ 0.76504259, -0.66068405]))	False
NSD3	ENHA_NR3C2;TRIM24	2.44930690741457	7.602402732778679e-11	False	((1.1, 0.16260869565217395), array([-0.28457605, -0.90496105]))	False
NSD3	ENHA_AR;TRIM24	2.2741075009946	2.63803539103225e-13	False	((1.1, -1.1), array([-0.28457605, -0.90496105]))	False
NSD3	ENHA_AR;RNF6	2.64104444982731	2.69151270560795e-16	False	((1.1, -1.1), array([ 0.95515415, -0.22923277]))	False
NSD3	ENHA_ATF4;NEK6	2.60139356598598	4.8503562887468e-15	False	((1.1, -1.042608695652174), array([0.9276888 , 0.27959588]))	False
NSD3	ENHA_ATF4;NEK6	2.60139356598598	4.8503562887468e-15	False	((1.1, -1.042608695652174), array([0.9276888 , 0.27959588]))	False
NSD3	BCL11B;ENHA_NR2F1	8.61277325653458	1.23085943183088e-97	False	(array([ 0.80104834, -0.44321308]), (1.1, 0.10521739130434793))	False
NSD3	BCL11B;ENHA_SP1	5.46869722127225	1.5510930151776899e-81	False	(array([ 0.80104834, -0.44321308]), (1.1333333333333335, 0.5834782608695654))	False
NSD3	ENHA_RARA;SRC	1.62049060173583	0.0001224835892859	False	((1.1666666666666667, 0.3730434782608696), array([-0.11674596,  0.99373385]))	False
NSD3	ENHA_RARA;SRC	1.62049060173583	0.0001224835892859	False	((1.1666666666666667, 0.3730434782608696), array([-0.11674596,  0.99373385]))	False
NSD3	ENHA_ESR2;SRC	1.68551275932729	4.0400782075861e-06	False	((1.1666666666666667, -0.7747826086956522), array([-0.11674596,  0.99373385]))	False
NSD3	ENHA_ESR2;PELP1	2.41721925632358	1.02719224691401e-20	False	((1.1666666666666667, -0.7747826086956522), array([0.56145782, 0.70394714]))	False
NSD3	ENHA_ZNF148;SIAH1	5.63666019255817	2.7639381358055204e-85	False	((1.1666666666666667, 1.0617391304347827), array([0.10541882, 0.33968483]))	False
