Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
OPHN1	ENHA_ESR2;MSH2	0.680109862566453	0.0083247356956503	False	((1.1333333333333335, -0.7857142857142858), array([-0.99263332, -0.20515337]))	False
OPHN1	ENHA_ESR2;MED12	0.427907005495054	6.075996455111251e-10	False	((1.1333333333333335, -0.7857142857142858), array([-0.65238851, -0.7972979 ]))	False
OPHN1	ENHA_MYB;SKI	0.373926457970463	8.98019062741112e-05	False	((1.1, -0.15714285714285703), array([-0.50722828, -0.63272301]))	False
OPHN1	ENHA_AR;SPOP	0.410121772916623	2.65441255985371e-07	False	((1.1, -1.1), array([-0.54122674,  0.82901888]))	False
OPHN1	ENHA_ZBTB18;PAK1	0.634346073226205	0.0164584216926562	False	((1.1333333333333335, 1.1), array([-0.86475809,  0.07574692]))	False
OPHN1	ENHA_PKNOX1;PBX1	0.762380023518283	0.0665777131012069	False	((1.1666666666666667, 0.23571428571428577), array([0.38991827, 0.91929847]))	False
OPHN1	ENHA_NR3C1;NR2F2	0.628033776160904	0.101180401680715	False	((1.1, 0.07857142857142874), array([0.90777141, 0.43717881]))	False
OPHN1	ENHA_AR;SART3	0.813681580224488	0.539563277041677	False	((1.1, -1.1), array([-0.59954539, -0.86938896]))	False
OPHN1	ENHA_AR;KDM1A	0.684046659766087	0.001924292649159	False	((1.1, -1.1), array([-0.72398838,  0.68753462]))	False
OPHN1	ENHA_AR;JMJD1C	0.813681580224488	0.539563277041677	False	((1.1, -1.1), array([-0.92032681, -0.30811632]))	False
OPHN1	APPBP2;ENHA_NFYA	0.24836032297575	6.49693650185162e-21	False	(array([ 0.96062652, -0.25804096]), (1.1333333333333335, -0.07857142857142851))	False
OPHN1	CHD3;ENHA_MYB	0.643399055562191	0.001760515419202	False	(array([0.45831656, 0.84713391]), (1.1, -0.15714285714285703))	False
OPHN1	ENHA_IRF3;RBL2	0.53454879538214	5.30309970037237e-07	False	((1.1, -0.6285714285714286), array([0.97767582, 0.26839007]))	False
