Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ORAOV1	ENHA_PPARG;VDR	4.0782547405422	3.72246893027736e-09	False	((1.1666666666666667, 0.22372881355932206), array([-0.96785742, -0.2633605 ]))	True
ORAOV1	CDK5;ENHA_PPARG	3.95367099152618	4.29660606723194e-06	False	(array([-0.6410414 , -0.77391052]), (1.1666666666666667, 0.22372881355932206))	False
ORAOV1	ENHA_PPARG;MUC1	3.37966902458732	2.98821239294114e-06	False	((1.1666666666666667, 0.22372881355932206), array([-0.87500429, -0.34885517]))	False
ORAOV1	ENHA_PPARG;MAP2K1	5.13273208177962	1.54860563993631e-13	False	((1.1666666666666667, 0.22372881355932206), array([-0.84427762,  0.17307954]))	False
ORAOV1	CCNA2;ENHA_SP1	6.64954501636327	3.5355370016557504e-45	False	(array([-0.16088459,  0.88198066]), (1.1333333333333335, 0.4847457627118643))	False
ORAOV1	CCNA2;ENHA_TP73	10.5826473143694	1.54551722375511e-71	False	(array([-0.16088459,  0.88198066]), (1.1, 0.9135593220338984))	False
ORAOV1	CRK;ENHA_ATF3	9.10743825606144	3.54578424026168e-54	False	(array([-0.77161551,  0.36942902]), (1.1333333333333335, -1.0813559322033899))	False
ORAOV1	ENHA_TCF7L2;ZBTB33	4.54559303530532	1.01715378153212e-05	False	((1.1, 0.6898305084745764), array([-0.69137937,  0.59864426]))	False
ORAOV1	CCND3;ENHA_VDR	2.99175887555973	1.30388603020667e-08	False	(array([0.73028243, 0.70653141]), (1.1666666666666667, 0.9508474576271189))	False
ORAOV1	ENHA_TCF7L2;XIAP	6.5262276991236	2.49154982042534e-36	False	((1.1, 0.6898305084745764), array([-0.65931797,  0.74682862]))	False
ORAOV1	ENHA_VDR;SQSTM1	5.55916015999284	7.410957552203731e-20	False	((1.1666666666666667, 0.9508474576271189), array([-0.95525551, -0.11633762]))	False
ORAOV1	ENHA_VDR;FOXO3	5.67888101834855	2.0653259614113197e-18	False	((1.1666666666666667, 0.9508474576271189), array([ 0.98828143, -0.01141158]))	False
ORAOV1	ENHA_TCF7L2;FOXM1	9.44121782712171	4.79401496994613e-66	False	((1.1, 0.6898305084745764), array([ 0.63627386, -0.66369754]))	False
ORAOV1	ENHA_SP1;FOXM1	6.50392338040519	9.72035271583861e-37	False	((1.1333333333333335, 0.4847457627118643), array([ 0.63627386, -0.66369754]))	False
ORAOV1	ENHA_TBX3;TOLLIP	2.27595305143518	0.0146367468292683	False	((1.1, 0.6338983050847458), array([-0.92345232,  0.40080503]))	False
ORAOV1	ENHA_MEF2C;MAPK7	1.94053871929435	0.0002802596043621	False	((1.1666666666666667, -0.16779661016949154), array([-0.53466874,  0.78701317]))	False
ORAOV1	ENHA_MEF2A;MAPK7	1.86169278248522	0.0011356024050771	False	((1.1333333333333335, -0.18644067796610175), array([-0.53466874,  0.78701317]))	False
ORAOV1	ENHA_CREB1;MEIS1	3.68067739130176	1.65423923901689e-09	False	((1.1666666666666667, -0.9508474576271188), array([-0.41983515, -0.87286752]))	False
ORAOV1	ENHA_CREB1;MEIS1	3.68067739130176	1.65423923901689e-09	False	((1.1666666666666667, -0.9508474576271188), array([-0.41983515, -0.87286752]))	False
ORAOV1	ENHA_CREM;SP100	6.78628678868678	1.19023864737666e-10	False	((1.1333333333333335, -0.9135593220338984), array([-0.7813285 , -0.53297246]))	False
ORAOV1	ENHA_CREM;SP100	6.78628678868678	1.19023864737666e-10	False	((1.1333333333333335, -0.9135593220338984), array([-0.7813285 , -0.53297246]))	False
ORAOV1	E2F3;ENHA_TFE3	6.36939060847148	5.59250979342749e-33	False	(array([-0.09339289, -0.97206956]), (1.1, 0.8016949152542372))	False
ORAOV1	ENHA_TCF3;MAPKAPK3	4.50614700897297	4.71804964841252e-26	False	((1.1333333333333335, 0.652542372881356), array([-0.94568324, -0.16211244]))	False
ORAOV1	ENHA_MEF2A;MAPKAPK3	3.59649983156918	6.2471929353018e-23	False	((1.1333333333333335, -0.18644067796610175), array([-0.94568324, -0.16211244]))	False
ORAOV1	ENHA_MEF2C;YWHAZ	2.92500134597425	2.9149626446682e-08	False	((1.1666666666666667, -0.16779661016949154), array([ 0.80857837, -0.4055264 ]))	False
ORAOV1	ENHA_NR2C2;S100A4	4.65444591481317	9.425359845659911e-15	False	((1.1, 0.13050847457627124), array([0.84989327, 0.24178497]))	False
ORAOV1	ENHA_TCF4;PIAS4	3.03097647079697	3.0217039568022e-13	False	((1.1666666666666667, 0.6711864406779662), array([ 0.76072466, -0.66888738]))	False
ORAOV1	ENHA_LEF1;PIAS4	4.79983126106329	2.42744687238309e-26	False	((1.1333333333333335, -0.2983050847457628), array([ 0.76072466, -0.66888738]))	False
ORAOV1	ENHA_LEF1;PIAS4	4.79983126106329	2.42744687238309e-26	False	((1.1333333333333335, -0.2983050847457628), array([ 0.76072466, -0.66888738]))	False
ORAOV1	ENHA_NR2C2;NR2C2AP	5.94120056057331	6.556483799228679e-40	False	((1.1, 0.13050847457627124), array([-0.26853809, -0.90485555]))	False
ORAOV1	EED;ENHA_NR2C2	9.95054146344627	5.90626163746385e-66	False	(array([ 0.94613326, -0.27787638]), (1.1, 0.13050847457627124))	False
ORAOV1	BCL6;ENHA_ZBTB7A	5.4943952023861	1.2997479787464598e-36	False	(array([0.68778414, 0.65522522]), (1.1666666666666667, 1.006779661016949))	False
ORAOV1	ENHA_HEY1;NONO	6.09501335857705	1.9780466334324602e-20	False	((1.1666666666666667, -0.5593220338983051), array([-0.42955992,  0.88341415]))	False
ORAOV1	ENHA_HEY1;RPL11	6.80138941768077	1.8130251487083702e-21	False	((1.1666666666666667, -0.5593220338983051), array([-0.05805274,  0.98750204]))	False
ORAOV1	ENHA_FOXA1;MSH3	4.76203036456333	5.634698708435751e-20	False	((1.1333333333333335, -0.6338983050847458), array([-0.64272475,  0.79955083]))	False
ORAOV1	ENHA_SREBF1;LMNA	6.22551767940185	2.87010791657896e-24	False	((1.1666666666666667, 0.5593220338983051), array([-0.24224181, -0.88756567]))	False
ORAOV1	ENHA_MEF2A;MEF2D	9.59255042435575	8.89763707351664e-60	False	((1.1333333333333335, -0.18644067796610175), array([0.96343368, 0.13389893]))	False
ORAOV1	ENHA_SP1;MEF2D	8.19277665546887	9.45078947448073e-59	False	((1.1333333333333335, 0.4847457627118643), array([0.96343368, 0.13389893]))	False
ORAOV1	ATF7IP;ENHA_CREB1	24.9493467564086	3.40891348616217e-88	False	(array([-0.97911721,  0.18420784]), (1.1666666666666667, -0.9508474576271188))	False
ORAOV1	ATF7IP;ENHA_SP1	6.52925376469624	7.038225473037001e-46	False	(array([-0.97911721,  0.18420784]), (1.1333333333333335, 0.4847457627118643))	False
ORAOV1	ATF7IP;ENHA_CREB1	24.9493467564086	3.40891348616217e-88	False	(array([-0.97911721,  0.18420784]), (1.1666666666666667, -0.9508474576271188))	False
ORAOV1	ATF7IP;ENHA_SP1	6.52925376469624	7.038225473037001e-46	False	(array([-0.97911721,  0.18420784]), (1.1333333333333335, 0.4847457627118643))	False
ORAOV1	ENHA_CREB3L1;PRKAB2	7.44561199474146	3.18377706663987e-37	False	((1.1, -0.9322033898305085), array([ 0.92964989, -0.2846297 ]))	False
ORAOV1	ENHA_SREBF1;MED14	3.15012491010036	2.51800394524894e-06	False	((1.1666666666666667, 0.5593220338983051), array([0.94660866, 0.24814129]))	False
ORAOV1	CDK8;ENHA_TBX3	3.09490596116549	1.07440840795232e-05	False	(array([-0.843063 ,  0.6103065]), (1.1, 0.6338983050847458))	False
ORAOV1	CDK8;ENHA_SREBF1	2.7075104064842	6.22010097096727e-05	False	(array([-0.843063 ,  0.6103065]), (1.1666666666666667, 0.5593220338983051))	False
ORAOV1	ENHA_TP73;MED15	2.55288581073506	0.0007945793125327	False	((1.1, 0.9135593220338984), array([0.29424652, 0.96731246]))	False
ORAOV1	ENHA_SREBF1;MED15	2.61402825413235	9.06571234451428e-05	False	((1.1666666666666667, 0.5593220338983051), array([0.29424652, 0.96731246]))	False
ORAOV1	ENHA_SREBF1;MED13	3.52998916778008	7.3101355625004e-05	False	((1.1666666666666667, 0.5593220338983051), array([-0.65480042, -0.74015176]))	False
ORAOV1	ARNT;ENHA_CREB1	4.78667227097145	2.11348367872533e-18	False	(array([0.91755128, 0.38087913]), (1.1666666666666667, -0.9508474576271188))	False
ORAOV1	ARNT;ENHA_HEY1	4.76691575906571	7.44868752586862e-17	False	(array([0.91755128, 0.38087913]), (1.1666666666666667, -0.5593220338983051))	False
ORAOV1	ARNT;ENHA_CREB1	4.78667227097145	2.11348367872533e-18	False	(array([0.91755128, 0.38087913]), (1.1666666666666667, -0.9508474576271188))	False
