protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
ENHA_TEAD3	True	False	False	1.1666666666666667	0.7552238805970153	1	-1.73704433724737	3.162597211463e-40	False											7.79638545985277	6.41556196276347e-56
ENHA_NR2F2	True	False	False	1.1666666666666667	-0.03283582089552217	5	1.53748819540803	3.79515510981433e-47	False											4.50171384589829	5.1902163916439105e-23
ENHA_NFIL3	True	False	False	1.1666666666666667	-0.13134328358208947	1	-3.02481289020188	6.77247507855608e-118	False											3.97823811532011	6.091038256650671e-09
ENHA_EHF	True	False	False	1.1	-0.9029850746268657	3	1.88526498951326	2.4863645701402698e-185	False											18.7914650259479	4.54000863808723e-60
ENHA_ZBTB26	True	False	False	1.1	0.9686567164179105	2	-0.0532896782270238	0.821792475560156	False											6.79820414851583	4.76818971904982e-31
ENHA_STAT3	True	False	False	1.1	0.6238805970149257	25	-0.13163942522722	0.0914843663541713	False											9.79159716132961	3.16760852576173e-64
ENHA_MAZ	True	False	False	1.1333333333333335	-0.344776119402985	4	1.17636897308062	2.95636464524114e-88	False											9.46785356365601	6.033218199932441e-55
ENHA_RFX3	True	False	False	1.1666666666666667	0.26268656716417915	3	1.29518564494931	2.61532881750928e-09	False											8.36246731975799	7.53828297541665e-59
ENHA_TEAD1	True	False	False	1.1	0.7223880597014927	4	-3.09819901379961	1.5394834772998e-296	False											11.613864993263501	7.574061349792315e-71
ENHA_NFIC	True	False	False	1.1333333333333335	-0.14776119402985066	3	1.96587754562413	4.1547395769726297e-128	False											3.71879404908307	8.693392400879521e-09
ENHA_KLF4	True	False	False	1.1666666666666667	-0.426865671641791	10	-4.0236383329462	1.2985292682091302e-211	False											33.2571128961372	7.455391418937302e-53
ENHA_MSX1	True	False	False	1.1333333333333335	-0.24626865671641784	2	4.2854018223603	4.47639393498334e-27	False											5.942366309161905	1.4184860525693155e-21
ENHA_TBX3	True	False	False	1.1333333333333335	0.6402985074626868	1	4.85416731525128	0.0	False											5.72797153072639	3.72949797582905e-41
ENHA_CEBPB	True	False	False	1.1333333333333335	-1.0343283582089553	18	-1.24764079331658	9.42804687986243e-41	False											8.39480530398387	4.1911577277126413e-47
ENHA_THRB	True	False	False	1.1666666666666667	0.8537313432835822	15	1.21953043880219	8.56338194398239e-20	False											6.13646405471035	9.247954552637549e-33
ENHA_FOXP1	True	False	False	1.1	-0.6567164179104478	3	1.23058638748909	9.34625524205785e-17	False											20.1245487053702	3.22390024835718e-45
ENHA_ZNF143	True	False	False	1.1	1.0179104477611944	2	0.199771136687369	0.27348045140562	False											4.77120589680214	3.4044598094247504e-20
ENHA_EGR1	True	False	False	1.1666666666666667	-0.9194029850746269	13	-3.04567725393117	0.0	False											14.276480275435	2.53340270091276e-60
ENHA_MTF1	True	False	False	1.1666666666666667	-0.22985074626865665	1	-1.1837624874014	1.8464260849660402e-19	False											6.36450438967742	2.1570095611521797e-40
ENHA_PRDM1	True	False	False	1.1333333333333335	0.14776119402985088	5	-6.53099636690485	2.85150155789745e-13	False											6.96662811660465	2.4015098210486e-38
ENHA_KLF11	True	False	False	1.1333333333333335	-0.4925373134328358	5	-0.441334750720284	0.0038049154602967	False											9.33796605524581	1.2458507419689801e-61
ENHA_SIX1	True	False	False	1.1	0.37761194029850764	1	-2.10531185326911	2.8941233227892204e-15	False											5.98139870703345	1.2042896719235399e-36
ENHA_KLF9	True	False	False	1.1333333333333335	-0.3940298507462686	1	0.780085327606089	4.63130065865619e-16	False											36.196301926546	4.97679309368354e-57
ENHA_MITF	True	False	False	1.1	-0.26268656716417904	3	-0.96082560983642	0.000310367907514	False											4.78775080793142	3.36752048299643e-30
ENHA_KLF15	True	False	False	1.1666666666666667	-0.4761194029850746	2	4.1833301961753	7.76478681528587e-34	False											5.08776641907958	5.887333417183223e-32
ENHA_FOXO3	True	False	False	1.1666666666666667	-0.673134328358209	18	1.24156433831413	4.17412683231984e-59	False											6.476641454353064	1.017368823412032e-46
ENHA_MGA	True	False	False	1.1666666666666667	-0.27910447761194024	8	-0.885909347777291	1.2751518779619201e-15	False											5.79891107785084	3.23594567549579e-39
ENHA_SMAD5	True	False	False	1.1666666666666667	0.41044776119403004	9	-0.55191037181361	1.07120145141059e-09	False											6.48957488949236	1.48107409969749e-29
ENHA_SRF	True	False	False	1.1333333333333335	0.5910447761194031	11	-0.846050153224634	1.6988848194520402e-17	False											8.08674293409616	7.46759463410868e-57
ENHA_ATF7	True	False	False	1.1333333333333335	-1.0835820895522388	5	-0.501987522519082	0.0001100704769483	False											8.24862728332585	9.482225548860539e-34
ENHA_HIC2	True	False	False	1.1	-0.6074626865671642	1	-0.742373387918475	0.0050959680607574	False											9.61194590150762	5.82610295555706e-58
ENHA_PKNOX1	True	False	False	1.1	0.0820895522388061	1	-0.101546903531367	0.592982576263575	False											2.46317930557769	2.50131685566621e-06
ENHA_FOXH1	True	False	False	1.1666666666666667	-0.7223880597014926	4	7.57122607202611	4.13043947126689e-28	False											5.15178587682256	8.060186605151856e-35
ENHA_ZNF148	True	False	False	1.1333333333333335	1.0343283582089557	6	-0.834924716402328	2.2398601186884702e-14	False											19.9130446093309	2.689251886084491e-64
ENHA_PRDM4	True	False	False	1.1666666666666667	0.1641791044776122	1	-1.11032437821805	2.54671140550143e-21	False											12.5654373985288	3.4350390548619898e-71
ENHA_ELF3	True	False	False	1.1333333333333335	-0.8865671641791045	9	1.20019564579332	1.62568910285003e-17	False											5.20283147471022	2.83656623683731e-31
ENHA_FOS	True	False	False	1.1666666666666667	-0.7716417910447761	32	0.498702747190724	0.0001190838470953	False											7.98549208714201	4.192090876152185e-56
ENHA_SP3	True	False	False	1.1	0.5253731343283583	1	-0.775224946273101	3.1953368976117602e-21	False											20.3520379401968	7.641440028217011e-67
ENHA_TP53	True	False	False	1.1	0.8701492537313436	89	0.19430270080352	0.0080827699159202	False											8.80235391527882	3.44419708820587e-62
ENHA_HSF1	True	False	False	1.1666666666666667	-0.5746268656716418	11	-0.517612617299572	3.01218728661796e-10	False											5.55764670737022	4.90660176246131e-38
ENHA_ATF2	True	False	False	1.1	-1.1	32	-1.17700877218428	6.62215113985468e-25	False											10.4357597274512	2.9035252486290996e-70
ENHA_NFYA	True	False	False	1.1333333333333335	-0.09850746268656696	8	-0.0915135849268477	0.47203848786843	False											10.486496534686449	1.7114604224373724e-69
ENHA_ZEB1	True	False	False	1.1666666666666667	1.0014925373134331	3	-0.292547712357605	0.878084518955477	False											35.228807526361	1.52224843710908e-57
ENHA_TFAP2C	True	False	False	1.1333333333333335	0.7880597014925375	7	-0.853382865494771	5.1225313213023e-10	False											10.6209025523755	2.5701375143443797e-55
ENHA_NR2C2	True	False	False	1.1333333333333335	-0.04925373134328348	8	1.21967989309265	1.37592237798234e-17	False											5.696089876811261	1.9969328038849866e-36
ENHA_NR2C1	True	False	False	1.1	-0.06567164179104479	3	-0.0506767330496537	0.792328041497245	False											6.49798529208241	1.49285401621424e-47
ENHA_SP2	True	False	False	1.1666666666666667	0.5089552238805972	3	-0.0147266859935625	0.930346069146716	False											45.2610301500114	1.2564655065809e-51
ENHA_MAX	True	False	False	1.1	-0.3611940298507462	25	0.371354138784978	0.0003333213229736	False											7.14606802665653	6.6390032216632204e-52
ENHA_CREB1	True	False	False	1.1666666666666667	-1.017910447761194	27	-0.600232504411478	4.5967343029176706e-09	False											18.7349185347601	1.39953004623383e-75
ENHA_GABPA	True	False	False	1.1333333333333335	-0.6402985074626866	6	1.45005565467442	2.0852722753028797e-36	False											14.688034657309965	2.2589221549105764e-60
ENHA_PPARG	True	False	False	1.1	0.13134328358208958	23	-1.40165572190257	4.78642753115274e-07	False											6.68554942770888	2.31394381468755e-47
ENHA_RFX7	True	False	False	1.1333333333333335	0.29552238805970177	2	-0.767990496749902	7.77967400123689e-10	False											6.752592790290225	1.912070036838605e-07
ENHA_SP1	True	False	False	1.1333333333333335	0.49253731343283613	52	-0.733707104214519	4.5131323926585794e-18	False											15.53063684529275	4.6050378519629447e-38
ENHA_STAT1	True	False	False	1.1666666666666667	0.6074626865671644	21	-4.62037343801228	3.18474888731901e-209	False											19.0521626326834	2.9462868815056803e-54
ENHA_FOXK1	True	False	False	1.1	-0.7059701492537314	9	0.574039276976994	4.44166865271061e-09	False											6.58244950726493	2.9282868398534404e-47
ENHA_POU2F2	True	False	False	1.1333333333333335	0.0985074626865674	4	0.0211567803891983	0.984168727472528	False											5.851701435236085	1.0394272304949682e-41
ENHA_NR3C2	True	False	False	1.1333333333333335	0.0	2	5.68499148783711	4.7048748250575004e-20	False											5.38393975346216	3.540702423509715e-19
ENHA_ZNF740	True	False	False	1.1666666666666667	1.1	1	0.193961958381287	0.0628387066614002	False											17.7531575312765	1.09409240080797e-63
ENHA_EBF3	True	False	False	1.1333333333333335	-0.9358208955223881	1	8.53327243505933	7.20678671088827e-08	False											6.27969973956908	8.06158011926766e-45
ENHA_MAFK	True	False	False	1.1666666666666667	-0.3776119402985074	1	0.564777982067179	2.74057634209247e-08	False											7.69962161330238	1.44187579755416e-32
