Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
PCBP4	ENHA_RUNX1;NOTCH1	0.295692572456944	1.28077897828249e-13	False	((1.1666666666666667, 0.3055555555555556), array([-0.94545851, -0.32556478]))	False
PCBP4	ENHA_NFKB1;NOTCH1	0.540499569163543	1.0157393191672499e-12	False	((1.1666666666666667, -0.4277777777777778), array([-0.94545851, -0.32556478]))	False
PCBP4	COMMD1;ENHA_E2F6	0.429668138327081	5.0951703085957605e-21	False	(array([-0.75002622, -0.56599972]), (1.1333333333333335, -1.038888888888889))	False
PCBP4	COMMD1;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.75002622, -0.56599972]), (1.1666666666666667, -0.4277777777777778))	False
PCBP4	COMMD8;ENHA_E2F6	0.440250375132628	1.89519220141771e-19	False	(array([-0.62240192,  0.5910717 ]), (1.1333333333333335, -1.038888888888889))	False
PCBP4	COMMD8;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.62240192,  0.5910717 ]), (1.1666666666666667, -0.4277777777777778))	False
PCBP4	COMMD4;ENHA_E2F6	0.440250375132628	1.89519220141771e-19	False	(array([-0.53727947,  0.81285185]), (1.1333333333333335, -1.038888888888889))	False
PCBP4	COMMD4;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.53727947,  0.81285185]), (1.1666666666666667, -0.4277777777777778))	False
PCBP4	COMMD6;ENHA_E2F6	0.435155209923257	3.12698561489909e-19	False	(array([-0.96830813,  0.15415758]), (1.1333333333333335, -1.038888888888889))	False
PCBP4	COMMD6;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.96830813,  0.15415758]), (1.1666666666666667, -0.4277777777777778))	False
PCBP4	ENHA_REL;SDCBP	0.301988047292042	1.7304331171736402e-15	False	((1.1666666666666667, 0.12222222222222223), array([-0.74919687, -0.63734089]))	False
PCBP4	ENHA_REL;EPM2AIP1	0.289581528707979	2.9409684936246202e-15	False	((1.1666666666666667, 0.12222222222222223), array([0.4498976 , 0.90459055]))	False
PCBP4	ENHA_NFKB1;NFKBIB	0.495592547893804	3.38203501597082e-16	False	((1.1666666666666667, -0.4277777777777778), array([-0.5566417 ,  0.37170089]))	False
PCBP4	ENHA_REL;NFKBIB	0.376876068189369	3.04620135819313e-10	False	((1.1666666666666667, 0.12222222222222223), array([-0.5566417 ,  0.37170089]))	False
PCBP4	ENHA_E2F6;MAX	0.421443044341967	1.68531130734718e-23	False	((1.1333333333333335, -1.038888888888889), array([0.81160698, 0.60212487]))	False
PCBP4	ENHA_SP1;SREBF2	0.507290972068589	1.09476908310607e-14	False	((1.1333333333333335, 0.4277777777777778), array([-0.63854202,  0.74624608]))	False
PCBP4	ENHA_SP1;YY1	0.467097584073155	3.95458830738893e-20	False	((1.1333333333333335, 0.4277777777777778), array([-0.83599167, -0.4230996 ]))	False
PCBP4	ATF7IP;ENHA_SP1	0.48520911440652	1.23747860171784e-16	False	(array([ 0.95980934, -0.24044712]), (1.1333333333333335, 0.4277777777777778))	False
PCBP4	ENHA_SP1;POU2F1	0.469235563001666	9.93618641523393e-22	False	((1.1333333333333335, 0.4277777777777778), array([ 0.64492882, -0.6742453 ]))	False
PCBP4	ENHA_REL;NR2C2AP	0.385350929009075	3.47996222250054e-10	False	((1.1666666666666667, 0.12222222222222223), array([0.43614152, 0.84809979]))	False
PCBP4	ENHA_E2F6;KDM5C	0.432998687695631	1.55148819019269e-18	False	((1.1333333333333335, -1.038888888888889), array([-0.9168618 ,  0.38730938]))	False
PCBP4	ENHA_NFKB1;FBXW11	0.432865720267386	2.88970126867887e-24	False	((1.1666666666666667, -0.4277777777777778), array([0.97090466, 0.30448909]))	False
PCBP4	ENHA_SP1;ESR2	0.545106488428212	9.49835103651208e-15	False	((1.1333333333333335, 0.4277777777777778), array([-0.49615683,  0.79400563]))	False
PCBP4	BCL11B;ENHA_NR2F1	0.57894034244019	2.35953186643725e-12	False	(array([-0.73588676, -0.22429022]), (1.1333333333333335, -0.3055555555555556))	False
PCBP4	BCL11B;ENHA_SP1	0.455280787172549	9.93531248363489e-22	False	(array([-0.73588676, -0.22429022]), (1.1333333333333335, 0.4277777777777778))	False
PCBP4	ENHA_RUNX1;MYC	0.32074733129952	6.07626071464095e-17	False	((1.1666666666666667, 0.3055555555555556), array([-0.36950985, -0.87999714]))	False
PCBP4	ENHA_SP1;MYC	0.543668928473896	6.0335691200954704e-15	False	((1.1333333333333335, 0.4277777777777778), array([-0.36950985, -0.87999714]))	False
PCBP4	ENHA_RORA;PSMC5	0.547713126169121	9.75561559088259e-08	False	((1.1333333333333335, 0.24444444444444446), array([-0.69339945, -0.65018155]))	False
PCBP4	ENHA_SP1;PSMC5	0.49190841335211	3.4716580023164103e-19	False	((1.1333333333333335, 0.4277777777777778), array([-0.69339945, -0.65018155]))	False
PCBP4	ENHA_SP1;STAT3	0.587543940224203	4.3252530515352494e-11	False	((1.1333333333333335, 0.4277777777777778), array([-0.03828962, -0.98748318]))	False
PCBP4	ENHA_NFKB1;STAT3	0.47854800943216	4.8369963374296904e-21	False	((1.1666666666666667, -0.4277777777777778), array([-0.03828962, -0.98748318]))	False
PCBP4	CTBP1;ENHA_FOXP1	0.562962847736488	1.99405672515332e-13	False	(array([ 0.0289925 , -0.88760599]), (1.1, -0.9166666666666667))	False
PCBP4	CTBP1;PROM_KLF3	0.907631693265391	0.223176911482568	False	(array([ 0.0289925 , -0.88760599]), (-1.1333333333333335, -0.34736842105263155))	False
PCBP4	ENHA_MSX1;TP53	0.389922990972112	1.53230523712363e-06	False	((1.1333333333333335, -0.48888888888888893), array([-0.40495674, -0.18213743]))	False
