Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
PCF11	ENHA_TEAD2;ORC4	2.82289087217934	5.14840313946061e-17	False	((1.1, 0.7857142857142858), array([-0.95673327, -0.28924136]))	False
PCF11	BAZ1A;ENHA_TEAD2	2.31451260980647	6.78528011719529e-16	False	(array([-0.63947882, -0.7633753 ]), (1.1, 0.7857142857142858))	False
PCF11	CDC27;ENHA_TEAD2	1.7407105725393	0.0019307989998885	False	(array([-0.85813381, -0.37145374]), (1.1, 0.7857142857142858))	False
PCF11	ENHA_MEF2A;MEF2D	3.15382368785226	2.20947636436493e-41	False	((1.1, -0.2918367346938776), array([-0.36170629,  0.82782649]))	False
PCF11	ENHA_TEAD1;MEF2C	3.60641674342361	9.5087814949064e-50	False	((1.1666666666666667, 0.763265306122449), array([-0.96510647,  0.2336152 ]))	False
PCF11	ENHA_MEF2A;MEF2C	3.10662227351971	3.709230639238169e-40	False	((1.1, -0.2918367346938776), array([-0.96510647,  0.2336152 ]))	False
PCF11	ENHA_TEAD3;YAP1	2.8078664046435	2.06584840773189e-28	False	((1.1333333333333335, 0.8081632653061226), array([-0.78369186, -0.5757862 ]))	False
PCF11	ENHA_TEAD2;YAP1	3.0999744643521	5.48511589843298e-36	False	((1.1, 0.7857142857142858), array([-0.78369186, -0.5757862 ]))	False
PCF11	ENHA_TEAD1;YAP1	4.03843220973018	1.1622917947719901e-59	False	((1.1666666666666667, 0.763265306122449), array([-0.78369186, -0.5757862 ]))	False
PCF11	ABL1;ENHA_TP53	1.48801979578111	0.0445810122768125	False	(array([0.48021758, 0.89888739]), (1.1666666666666667, 0.8979591836734695))	False
PCF11	ENHA_TP53;TADA3	1.41003669338356	0.0389834700903642	False	((1.1666666666666667, 0.8979591836734695), array([0.72555806, 0.71098774]))	False
PCF11	ENHA_TP53;RFWD2	2.32508127481908	1.37097158120182e-16	False	((1.1666666666666667, 0.8979591836734695), array([-0.62109541, -0.81022217]))	False
PCF11	ENHA_TP53;TRRAP	2.78051810308615	5.12630171307486e-29	False	((1.1666666666666667, 0.8979591836734695), array([-0.6681997 ,  0.74373343]))	False
PCF11	ENHA_TEAD2;HUWE1	3.23458700866572	4.97518614730324e-37	False	((1.1, 0.7857142857142858), array([-0.94686895, -0.13958911]))	False
PCF11	ENHA_TP53;HUWE1	3.92801637429481	1.7756989692720498e-56	False	((1.1666666666666667, 0.8979591836734695), array([-0.94686895, -0.13958911]))	False
PCF11	ENHA_TP53;PSME3	3.90029230539782	6.17834704702786e-53	False	((1.1666666666666667, 0.8979591836734695), array([ 0.97920579, -0.00396756]))	False
PCF11	ENHA_TP53;MDM4	2.67493520794262	9.41728485028572e-23	False	((1.1666666666666667, 0.8979591836734695), array([ 0.54522081, -0.72546621]))	False
PCF11	ENHA_TP53;GTF2H1	2.5524207557027	2.0992554841922702e-21	False	((1.1666666666666667, 0.8979591836734695), array([0.36430615, 0.89114464]))	False
PCF11	ENHA_TP53;PRKAB2	3.91520210565487	5.645097850773029e-56	False	((1.1666666666666667, 0.8979591836734695), array([-0.93769211,  0.36888021]))	True
PCF11	CRK;ENHA_TP53	3.82203424318812	1.59354102171185e-54	False	(array([0.95383592, 0.33656165]), (1.1666666666666667, 0.8979591836734695))	False
PCF11	APPL1;ENHA_TP53	3.93272756025158	2.5076226081765797e-56	False	(array([-0.49983542,  0.81283552]), (1.1666666666666667, 0.8979591836734695))	False
PCF11	ENHA_TP53;ZBTB17	4.15792861253828	1.0221493258823601e-60	False	((1.1666666666666667, 0.8979591836734695), array([-0.95290348, -0.09039658]))	False
PCF11	AGTRAP;ENHA_NFYB	1.72825951494426	0.0050613142961816	False	(array([ 0.88690053, -0.39348701]), (1.1, -0.0897959183673469))	False
PCF11	AGTRAP;ENHA_PBX3	2.13980875208279	8.407517555003661e-09	False	(array([ 0.88690053, -0.39348701]), (1.1, 0.11224489795918369))	False
PCF11	AGTRAP;PROM_PBX3	1.89268593332974	0.0009467695456956	False	(array([ 0.88690053, -0.39348701]), (-1.1, 0.14864864864864868))	False
PCF11	ENHA_SIX2;TLE1	2.20503860131682	3.13823804076361e-13	False	((1.1333333333333335, 0.33673469387755106), array([ 0.12847267, -0.92721547]))	False
PCF11	ENHA_ATF2;TLE1	2.48610200048649	1.6569138586233202e-17	False	((1.1333333333333335, -1.0775510204081633), array([ 0.12847267, -0.92721547]))	False
PCF11	ENHA_AR;SMARCE1	2.77894496328814	5.15030476532201e-26	False	((1.1, -1.1), array([ 0.72000155, -0.52747254]))	False
PCF11	ENHA_NR3C2;TRIM24	2.44930690741457	7.602402732778679e-11	False	((1.1333333333333335, 0.0), array([0.70121446, 0.44787449]))	False
PCF11	ENHA_AR;TRIM24	2.2741075009946	2.63803539103225e-13	False	((1.1, -1.1), array([0.70121446, 0.44787449]))	False
PCF11	ENHA_HSF1;HSPB1	1.75086556381764	1.59437968288307e-06	False	((1.1333333333333335, -0.6061224489795919), array([ 0.7488573 , -0.65951426]))	False
PCF11	ENHA_GATA1;HSPB1	1.57856399479949	0.0023762486553887	False	((1.1333333333333335, -0.7408163265306122), array([ 0.7488573 , -0.65951426]))	False
PCF11	ENHA_ATF2;HSPB1	1.73088950777411	1.98783201579686e-05	False	((1.1333333333333335, -1.0775510204081633), array([ 0.7488573 , -0.65951426]))	False
PCF11	ENHA_AR;SART3	1.83558055082076	0.0038361584657047	False	((1.1, -1.1), array([-0.27351171, -0.88919836]))	False
PCF11	ENHA_AR;JMJD1C	1.83558055082076	0.0038361584657047	False	((1.1, -1.1), array([ 0.95014056, -0.22287637]))	False
PCF11	ENHA_TEAD2;SMARCA5	2.01634847705086	4.0509764302303e-08	False	((1.1, 0.7857142857142858), array([0.65319846, 0.68699596]))	False
PCF11	ENHA_FOXK2;SMARCA5	1.90336674818085	2.29086868335814e-05	False	((1.1666666666666667, -0.7857142857142858), array([0.65319846, 0.68699596]))	False
PCF11	ENHA_FOXK2;KDM5A	2.32099387267031	6.11719506350911e-05	False	((1.1666666666666667, -0.7857142857142858), array([ 0.76792783, -0.50698583]))	False
PCF11	CUX1;ENHA_FOXK2	2.37462176671094	3.43130199894159e-05	False	(array([-0.44790862,  0.87934687]), (1.1666666666666667, -0.7857142857142858))	False
PCF11	ENHA_TEAD2;SMARCA1	2.24481504394428	6.44462562715163e-08	False	((1.1, 0.7857142857142858), array([-0.08261983,  0.98975504]))	False
PCF11	ENHA_FOXK2;SMARCA1	2.32099387267031	6.11719506350911e-05	False	((1.1666666666666667, -0.7857142857142858), array([-0.08261983,  0.98975504]))	False
PCF11	ENHA_FOXK2;PSIP1	1.89268593332974	0.0009467695456956	False	((1.1666666666666667, -0.7857142857142858), array([0.61846878, 0.65588258]))	False
