Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
PDGFRL	AQP1;ENHA_FOS	0.431733717919639	6.50966972016728e-08	False	(array([-0.43565522,  0.73565698]), (1.1666666666666667, -0.8853658536585367))	False
PDGFRL	AQP1;ENHA_TCF4	0.493040417156066	8.62844840871598e-05	False	(array([-0.43565522,  0.73565698]), (1.1, 0.7512195121951222))	False
PDGFRL	CLU;ENHA_FOS	0.373913311863091	3.8132478359202303e-14	False	(array([-0.68984817, -0.62553113]), (1.1666666666666667, -0.8853658536585367))	False
PDGFRL	ENHA_FOS;JUNB	0.240652470314701	2.95084855473909e-12	False	((1.1666666666666667, -0.8853658536585367), array([-0.81431713, -0.15575398]))	False
PDGFRL	ENHA_EGR1;JUNB	0.462814561563601	2.19178302782391e-13	False	((1.1, -1.0195121951219512), array([-0.81431713, -0.15575398]))	False
PDGFRL	ENHA_FOS;NFATC2	0.372203237136917	1.2356234601442001e-20	False	((1.1666666666666667, -0.8853658536585367), array([-0.52773369,  0.83962534]))	False
PDGFRL	ENHA_EGR1;NFATC2	0.417583516691266	2.86186733857229e-22	False	((1.1, -1.0195121951219512), array([-0.52773369,  0.83962534]))	False
PDGFRL	ENHA_GATA2;TRIM23	0.625726830580827	0.0231556379391934	False	((1.1333333333333335, -0.751219512195122), array([-0.74834089,  0.32523621]))	False
PDGFRL	ENHA_SP1;POU2F1	0.469235563001666	9.93618641523393e-22	False	((1.1, 0.5902439024390245), array([0.40569621, 0.93182073]))	False
PDGFRL	ENHA_TEAD2;POU2F1	0.313774944936836	2.92526567153898e-27	False	((1.1, 0.8317073170731708), array([0.40569621, 0.93182073]))	False
PDGFRL	ENHA_GATA2;TRIM33	0.369838695081586	2.4656195552568703e-10	False	((1.1333333333333335, -0.751219512195122), array([0.75707075, 0.67629661]))	False
PDGFRL	ENHA_FOS;PRKAA2	0.371058948463391	2.21694797018689e-20	False	((1.1666666666666667, -0.8853658536585367), array([-0.69739157, -0.78123122]))	False
PDGFRL	ENHA_TCF4;PRKAA2	0.38801190349249	8.515664922473219e-33	False	((1.1, 0.7512195121951222), array([-0.69739157, -0.78123122]))	False
PDGFRL	ENHA_TFAP2A;PRKAA2	0.419886447912513	1.5218873430340898e-26	False	((1.1666666666666667, 0.8853658536585367), array([-0.69739157, -0.78123122]))	False
PDGFRL	ENHA_RBPJ;OGT	0.429944716397356	6.44342288524311e-12	False	((1.1333333333333335, 0.21463414634146338), array([ 0.97280054, -0.20217809]))	False
PDGFRL	ENHA_CEBPB;NFKB1	0.381375517927539	3.14769553998448e-16	False	((1.1333333333333335, -1.0731707317073171), array([0.33943188, 0.87067026]))	False
PDGFRL	ENHA_SP1;NFKB1	0.538134221236014	5.78748222644254e-12	False	((1.1, 0.5902439024390245), array([0.33943188, 0.87067026]))	False
PDGFRL	ENHA_ELF3;NFKB1	0.501858530643804	1.5662011179809799e-12	False	((1.1333333333333335, -0.9926829268292684), array([0.33943188, 0.87067026]))	False
PDGFRL	ENHA_SP1;NFKB1	0.538134221236014	5.78748222644254e-12	False	((1.1, 0.5902439024390245), array([0.33943188, 0.87067026]))	False
PDGFRL	APPBP2;ENHA_NFYA	0.359275823258429	5.2787518045738504e-17	False	(array([0.96999963, 0.32024775]), (1.1666666666666667, -0.1609756097560976))	False
PDGFRL	CTBP2;ENHA_TEAD3	0.31578770350504	8.86717185536314e-18	False	(array([-0.77688133, -0.2852014 ]), (1.1333333333333335, 0.8585365853658538))	False
PDGFRL	CTBP2;ENHA_SOX13	0.413464073649852	3.32827631162135e-10	False	(array([-0.77688133, -0.2852014 ]), (1.1, 0.5097560975609756))	False
PDGFRL	ENHA_SP1;PSMC5	0.49190841335211	3.4716580023164103e-19	False	((1.1, 0.5902439024390245), array([-0.98069192,  0.17319858]))	False
