Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
PEX10	ENHA_IRF3;IKBKE	5.78968437114287	1.52418692047053e-26	False	((1.1666666666666667, -0.48782608695652174), array([-0.97207809, -0.28692531]))	False
PEX10	ATR;ENHA_ETV1	4.30563955861659	2.77749638469028e-20	False	(array([-0.67123436, -0.76498501]), (1.1666666666666667, -0.7747826086956522))	False
PEX10	ATR;ENHA_CREB1	3.88545840970461	4.23730378081824e-15	False	(array([-0.67123436, -0.76498501]), (1.1333333333333335, -1.0234782608695654))	False
PEX10	ATP5O;ENHA_ATF2	10.6794118314197	1.8188565219886198e-69	False	(array([-0.39210526,  0.80081245]), (1.1333333333333335, -1.0808695652173914))	False
PEX10	ENHA_IRF7;PIAS4	5.36233422885608	1.37147814824552e-30	False	((1.1, -0.46869565217391307), array([-0.75958112,  0.34448923]))	False
PEX10	ENHA_IRF3;PIAS4	5.52582853519906	7.96601070765611e-35	False	((1.1666666666666667, -0.48782608695652174), array([-0.75958112,  0.34448923]))	False
PEX10	ENHA_TCF4;PIAS4	3.03097647079697	3.0217039568022e-13	False	((1.1, 0.6791304347826088), array([-0.75958112,  0.34448923]))	False
PEX10	ENHA_IRF3;TRIM26	3.77386728763716	6.44412386999334e-09	False	((1.1666666666666667, -0.48782608695652174), array([0.4672083 , 0.89400992]))	False
PEX10	ENHA_RUNX2;SMAD1	4.42663633980616	2.12073782234568e-25	False	((1.1, 0.4495652173913045), array([0.72181705, 0.69914711]))	False
PEX10	ENHA_IRF3;RBL2	6.53694581137258	7.83671024696938e-46	False	((1.1666666666666667, -0.48782608695652174), array([-0.67934958, -0.79205089]))	False
PEX10	ENHA_ATF2;TPI1	12.2607713741905	2.10760321587457e-79	False	((1.1333333333333335, -1.0808695652173914), array([-0.68533118,  0.72273059]))	False
PEX10	ENHA_SP1;TPI1	5.0108844970514	1.48097924465621e-32	False	((1.1333333333333335, 0.5260869565217392), array([-0.68533118,  0.72273059]))	False
PEX10	ENHA_RUNX2;SMURF1	9.42959833291174	5.84038438620403e-65	False	((1.1, 0.4495652173913045), array([ 0.97672125, -0.08704119]))	False
PEX10	ENHA_ATF2;FOSL2	11.9286008162079	2.08233404528638e-78	False	((1.1333333333333335, -1.0808695652173914), array([ 0.50997769, -0.76272338]))	False
PEX10	ENHA_PKNOX1;PBX2	2.46317930557769	2.50131685566621e-06	False	((1.1666666666666667, 0.2008695652173913), array([-0.94703473,  0.35442202]))	False
PEX10	CDKN1A;ENHA_STAT3	5.9662424340182	5.86949307522938e-38	False	(array([0.94426308, 0.35129871]), (1.1333333333333335, 0.6408695652173915))	False
PEX10	CDKN1A;ENHA_TCF4	4.41510021483484	2.7771110227893603e-23	False	(array([0.94426308, 0.35129871]), (1.1, 0.6791304347826088))	False
PEX10	ENHA_STAT3;KHDRBS1	7.59025018676249	4.3735335858208e-52	False	((1.1333333333333335, 0.6408695652173915), array([-0.96625684, -0.07440575]))	False
PEX10	ENHA_EHF;XRCC6	18.7914650259479	4.54000863808723e-60	False	((1.1, -0.8704347826086958), array([-0.40573437, -0.89259627]))	False
PEX10	ENHA_TFAP2A;XRCC6	10.3830107519704	5.11372970011395e-47	False	((1.1, 0.7365217391304348), array([-0.40573437, -0.89259627]))	False
PEX10	BAP1;ENHA_KLF5	6.07835248979699	6.43321661352633e-41	False	(array([-0.76707221, -0.57857117]), (1.1666666666666667, -0.31565217391304345))	False
PEX10	BAP1;ENHA_YY1	11.3259247945656	7.52035623013615e-75	False	(array([-0.76707221, -0.57857117]), (1.1333333333333335, 0.927826086956522))	False
PEX10	ENHA_KLF5;SMURF2	5.04448156337688	2.43392891030708e-30	False	((1.1666666666666667, -0.31565217391304345), array([0.47331485, 0.75903529]))	False
PEX10	ENHA_YY1;SMURF2	11.2242172776852	1.77104501593701e-74	False	((1.1333333333333335, 0.927826086956522), array([0.47331485, 0.75903529]))	False
PEX10	ENHA_YY1;YAF2	6.35608768830874	1.27472513232774e-46	False	((1.1333333333333335, 0.927826086956522), array([-0.93933971, -0.2434038 ]))	False
PEX10	CDKN2A;ENHA_YY1	11.4991955769511	2.5821726479705802e-73	False	(array([ 0.23767406, -0.67310767]), (1.1333333333333335, 0.927826086956522))	False
PEX10	CDKN2A;ENHA_EGR1	5.4779526923788	8.276593584853e-34	False	(array([ 0.23767406, -0.67310767]), (1.1666666666666667, -0.8895652173913045))	False
PEX10	ENHA_ETV1;PSEN1	4.73261973252747	6.240262494335451e-31	False	((1.1666666666666667, -0.7747826086956522), array([0.67057723, 0.17247674]))	False
PEX10	ENHA_TCF4;PSEN1	3.20937387153957	3.7188914811996094e-18	False	((1.1, 0.6791304347826088), array([0.67057723, 0.17247674]))	False
PEX10	ENHA_ELK1;PSEN1	5.00838615964348	5.035804107679249e-16	False	((1.1333333333333335, -0.851304347826087), array([0.67057723, 0.17247674]))	False
PEX10	CDC5L;ENHA_ZBTB7C	4.56828647355653	1.0134389362407e-11	False	(array([ 0.74329979, -0.68969726]), (1.1, 1.0234782608695654))	False
PEX10	ENHA_ZBTB7C;SREBF1	6.31252887983395	7.83061018748751e-43	False	((1.1, 1.0234782608695654), array([-0.26241445, -0.9176067 ]))	False
PEX10	ENHA_SP1;SREBF1	4.13948591987776	1.58442908535877e-27	False	((1.1333333333333335, 0.5260869565217392), array([-0.26241445, -0.9176067 ]))	False
PEX10	ENHA_NFYB;NFYC	9.44863747155275	4.89202078295358e-66	False	((1.1, 0.04782608695652191), array([0.69470645, 0.62409044]))	False
PEX10	ENHA_SP1;NFYC	5.74499969194602	5.53298529959245e-42	False	((1.1333333333333335, 0.5260869565217392), array([0.69470645, 0.62409044]))	False
PEX10	BIRC2;ENHA_NFKB2	5.26142129920718	5.43173956510601e-37	False	(array([0.91872903, 0.28340339]), (1.1666666666666667, 0.02869565217391301))	False
PEX10	BIRC2;ENHA_NFKB2	5.26142129920718	5.43173956510601e-37	False	(array([0.91872903, 0.28340339]), (1.1666666666666667, 0.02869565217391301))	False
PEX10	BIRC2;ENHA_E2F1	5.27910345460247	1.96932307090765e-21	False	(array([0.91872903, 0.28340339]), (1.1333333333333335, -0.9660869565217391))	False
PEX10	BIRC2;ENHA_E2F1	5.27910345460247	1.96932307090765e-21	False	(array([0.91872903, 0.28340339]), (1.1333333333333335, -0.9660869565217391))	False
PEX10	ENHA_TEAD2;SMC3	6.48743977059164	9.91509216408534e-25	False	((1.1666666666666667, 0.7173913043478262), array([0.59450853, 0.66474312]))	False
PEX10	ENHA_TP53;OTUB1	21.5674618375632	2.76113946173582e-101	False	((1.1333333333333335, 0.8704347826086958), array([-0.56330142,  0.62472522]))	False
PEX10	ENHA_TP53;PSMD11	4.67637172159854	1.24504929915592e-21	False	((1.1333333333333335, 0.8704347826086958), array([-0.38569062, -0.84733066]))	False
PEX10	ENHA_TP53;NFKBIA	6.37243846739284	2.1530129380552102e-44	False	((1.1333333333333335, 0.8704347826086958), array([0.96096363, 0.06916634]))	True
PEX10	ENHA_TP53;TSC22D3	6.59934379897537	3.32921322127705e-45	False	((1.1333333333333335, 0.8704347826086958), array([-0.99267608,  0.13853949]))	False
PEX10	ENHA_NFKB1;NR3C1	3.37010992928486	1.26525691645614e-21	False	((1.1333333333333335, 0.009565217391304337), array([ 0.92865172, -0.19610322]))	False
PEX10	ENHA_STAT3;NR3C1	3.47568250470411	8.30398026169409e-17	False	((1.1333333333333335, 0.6408695652173915), array([ 0.92865172, -0.19610322]))	False
PEX10	ENHA_NFKB1;NR3C1	3.37010992928486	1.26525691645614e-21	False	((1.1333333333333335, 0.009565217391304337), array([ 0.92865172, -0.19610322]))	False
PEX10	ENHA_RELA;NR3C1	3.95577828573816	8.10454937832649e-14	False	((1.1, 0.33478260869565224), array([ 0.92865172, -0.19610322]))	False
PEX10	ENHA_NFKB1;NR3C1	3.37010992928486	1.26525691645614e-21	False	((1.1333333333333335, 0.009565217391304337), array([ 0.92865172, -0.19610322]))	False
PEX10	ENHA_NFKB1;NR3C1	3.37010992928486	1.26525691645614e-21	False	((1.1333333333333335, 0.009565217391304337), array([ 0.92865172, -0.19610322]))	False
PEX10	ENHA_RELA;NR3C1	3.95577828573816	8.10454937832649e-14	False	((1.1, 0.33478260869565224), array([ 0.92865172, -0.19610322]))	False
PEX10	ENHA_TEAD2;NR3C1	5.70658454504915	1.75915968612918e-37	False	((1.1666666666666667, 0.7173913043478262), array([ 0.92865172, -0.19610322]))	False
PEX10	ENHA_NFKB1;NR3C1	3.37010992928486	1.26525691645614e-21	False	((1.1333333333333335, 0.009565217391304337), array([ 0.92865172, -0.19610322]))	False
PEX10	ENHA_TEAD2;INTS3	9.48265965850263	2.45871837334485e-63	False	((1.1666666666666667, 0.7173913043478262), array([-0.85371502,  0.59941485]))	False
PEX10	ENHA_TP53;RPS7	13.3121602982461	6.30976243904918e-84	False	((1.1333333333333335, 0.8704347826086958), array([0.2741729 , 0.96295266]))	False
PEX10	ENHA_TP53;MAD2L1BP	13.3121602982461	6.30976243904918e-84	False	((1.1333333333333335, 0.8704347826086958), array([-0.71004498, -0.70475199]))	False
PEX10	ENHA_KLF4;VHL	9.94993452892655	4.11359203034159e-65	False	((1.1333333333333335, -0.33478260869565213), array([-0.86047914,  0.50539319]))	False
PEX10	ENHA_SP1;VHL	6.39999860425445	1.98852275621145e-44	False	((1.1333333333333335, 0.5260869565217392), array([-0.86047914,  0.50539319]))	False
PEX10	ENHA_NR4A1;VHL	7.76834347616115	4.67781800042197e-55	False	((1.1666666666666667, 0.14347826086956528), array([-0.86047914,  0.50539319]))	False
PEX10	ENHA_KLF4;VHL	9.94993452892655	4.11359203034159e-65	False	((1.1333333333333335, -0.33478260869565213), array([-0.86047914,  0.50539319]))	False
PEX10	ENHA_TP53;VHL	26.4103876089007	1.74268469196868e-104	False	((1.1333333333333335, 0.8704347826086958), array([-0.86047914,  0.50539319]))	False
PEX10	ENHA_HES1;RUNX2	4.50291419292873	7.99000567559258e-12	False	((1.1666666666666667, -0.6026086956521739), array([-0.75904647, -0.74144851]))	False
PEX10	ENHA_TP73;RUNX2	5.26589548790381	1.0834660094896201e-23	False	((1.1666666666666667, 0.8895652173913045), array([-0.75904647, -0.74144851]))	False
PEX10	ENHA_REST;SMARCE1	4.27542037730066	7.50368569886578e-30	False	((1.1666666666666667, 0.3730434782608696), array([0.1477984 , 0.92996279]))	False
PEX10	ENHA_TCF4;SMARCE1	3.88745962824343	3.94475567080536e-26	False	((1.1, 0.6791304347826088), array([0.1477984 , 0.92996279]))	False
PEX10	ENHA_REST;SMARCE1	4.27542037730066	7.50368569886578e-30	False	((1.1666666666666667, 0.3730434782608696), array([0.1477984 , 0.92996279]))	False
PEX10	ENHA_TCF4;SMARCE1	3.88745962824343	3.94475567080536e-26	False	((1.1, 0.6791304347826088), array([0.1477984 , 0.92996279]))	False
PEX10	ENHA_REST;SMARCE1	4.27542037730066	7.50368569886578e-30	False	((1.1666666666666667, 0.3730434782608696), array([0.1477984 , 0.92996279]))	False
PEX10	ENHA_REST;SMARCE1	4.27542037730066	7.50368569886578e-30	False	((1.1666666666666667, 0.3730434782608696), array([0.1477984 , 0.92996279]))	False
