Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
PPP2R2A	ENHA_BHLHE40;TCF3	2.19817328282881	0.0969979272941108	False	((1.1666666666666667, -1.0078534031413613), array([-0.97192514, -0.27184391]))	False
PPP2R2A	ENHA_BHLHE40;TXNL4B	5.08623465173462	3.9073015636604e-18	False	((1.1666666666666667, -1.0078534031413613), array([-0.67134857, -0.75265831]))	False
PPP2R2A	EIF3A;ENHA_TFE3	3.63549115912627	5.42130324673393e-05	False	(array([-0.84442097, -0.42974553]), (1.1, 0.8350785340314137))	False
PPP2R2A	EIF3A;ENHA_JUN	3.83166053516712	1.61526117220351e-07	False	(array([-0.84442097, -0.42974553]), (1.1, -0.3743455497382199))	False
PPP2R2A	ENHA_ATF2;ENO1	3.03372489257478	0.0039124289671072	False	((1.1333333333333335, -1.0884816753926703), array([-0.97107756,  0.23814893]))	False
PPP2R2A	ENHA_BHLHE40;ENO1	4.61494905099752	0.0002587899344101	False	((1.1666666666666667, -1.0078534031413613), array([-0.97107756,  0.23814893]))	False
PPP2R2A	ENHA_SP3;STK19	4.38100147767207	1.12284826208683e-16	False	((1.1666666666666667, 0.6162303664921467), array([-0.78237659, -0.60139579]))	False
PPP2R2A	ENHA_BHLHE40;STK19	6.75910096321101	5.9952493544915694e-40	False	((1.1666666666666667, -1.0078534031413613), array([-0.78237659, -0.60139579]))	False
PPP2R2A	ENHA_BHLHE40;ZHX1	4.2209450433292	1.14964782564306e-13	False	((1.1666666666666667, -1.0078534031413613), array([0.45341945, 0.91501701]))	False
PPP2R2A	ENHA_CREB1;ZHX1	3.34955393887993	8.2316277854701e-06	False	((1.1, -0.9272251308900524), array([0.45341945, 0.91501701]))	False
PPP2R2A	ATAD2;ENHA_E2F1	7.49340611627278	4.83878617792617e-51	False	(array([0.75856775, 0.67749238]), (1.1, -0.8926701570680629))	False
PPP2R2A	BIRC2;ENHA_E2F1	5.27910345460247	1.96932307090765e-21	False	(array([-0.68474442,  0.7326768 ]), (1.1, -0.8926701570680629))	False
PPP2R2A	ENHA_FOXO3;PNKP	7.68153413487986	1.03641349812713e-51	False	((1.1666666666666667, -0.6277486910994765), array([ 0.98399198, -0.05405828]))	False
PPP2R2A	ENHA_CEBPG;MLLT6	6.87059058703904	1.0887080912876499e-22	False	((1.1333333333333335, -0.9502617801047121), array([0.4789755 , 0.83799607]))	False
PPP2R2A	ENHA_ELK1;SNCA	6.6495408983544	9.187350722641879e-16	False	((1.1333333333333335, -0.812041884816754), array([0.94536269, 0.37378174]))	False
PPP2R2A	ENHA_FOXO3;YWHAB	4.37202060959496	1.49818304122043e-05	False	((1.1666666666666667, -0.6277486910994765), array([-0.58510774,  0.75445354]))	False
PPP2R2A	DRAP1;ENHA_FOXK2	3.2909062512328	1.03372678543996e-07	False	(array([-0.96586406, -0.01065807]), (1.1333333333333335, -0.6392670157068063))	False
