Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
PRMT9	COMMD1;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.10428397,  0.90513213]), (1.1666666666666667, 0.18333333333333335))	False
PRMT9	COMMD8;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.63367875, -0.77697155]), (1.1666666666666667, 0.18333333333333335))	False
PRMT9	COMMD4;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.82389606, -0.45127067]), (1.1666666666666667, 0.18333333333333335))	False
PRMT9	COMMD6;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.725436 , -0.3720734]), (1.1666666666666667, 0.18333333333333335))	False
PRMT9	ATXN1;ENHA_PRDM1	0.394926324128968	2.48856123515635e-31	False	(array([-0.67553468,  0.44714406]), (1.1333333333333335, 0.3666666666666667))	False
PRMT9	ATXN1;ENHA_KLF11	0.321606658634462	4.80685826842269e-32	False	(array([-0.67553468,  0.44714406]), (1.1, -0.33000000000000007))	False
PRMT9	ENHA_KLF2;WWP1	0.338537197555654	2.4969728223274597e-36	False	((1.1333333333333335, -0.29333333333333345), array([-0.80244821, -0.5610176 ]))	False
PRMT9	ENHA_KLF5;WWP1	0.358736348666986	1.78104643202902e-33	False	((1.1, -0.22000000000000008), array([-0.80244821, -0.5610176 ]))	False
PRMT9	ACTR5;ENHA_ZNF148	0.440632472082482	2.84662980901694e-24	False	(array([-0.53198762,  0.66236506]), (1.1666666666666667, 1.0633333333333335))	False
PRMT9	ACTR5;ENHA_KLF5	0.42733540656402	1.7077818837594098e-26	False	(array([-0.53198762,  0.66236506]), (1.1, -0.22000000000000008))	False
PRMT9	ENHA_KLF2;SMURF1	0.358610970416507	1.98010882116528e-17	False	((1.1333333333333335, -0.29333333333333345), array([-0.57949777, -0.84575709]))	False
PRMT9	ENHA_EGR1;YAP1	0.322126239239149	7.999565904590339e-33	False	((1.1, -0.9900000000000001), array([-0.93442999, -0.21940396]))	False
PRMT9	ENHA_KLF9;PGR	0.444949487937972	4.2936351353876e-25	False	((1.1333333333333335, -0.18333333333333346), array([ 0.6071385 , -0.69409921]))	False
PRMT9	ENHA_SP1;PGR	0.589275532246016	3.55146733224357e-11	False	((1.1333333333333335, 0.5866666666666667), array([ 0.6071385 , -0.69409921]))	False
PRMT9	ENHA_KLF5;ESR2	0.429213460217954	5.97363943858326e-24	False	((1.1, -0.22000000000000008), array([-0.92198925,  0.40864163]))	False
PRMT9	ENHA_SP1;ESR2	0.545106488428212	9.49835103651208e-15	False	((1.1333333333333335, 0.5866666666666667), array([-0.92198925,  0.40864163]))	False
PRMT9	ENHA_KLF10;KDM5B	0.335140737547594	1.97370252110221e-31	False	((1.1666666666666667, -0.3666666666666667), array([-0.44150642,  0.83837151]))	False
PRMT9	KDM5B;PROM_PAX9	0.661660614438737	0.175597352795931	False	(array([-0.44150642,  0.83837151]), (-1.1666666666666667, -0.7333333333333334))	False
PRMT9	ENHA_KLF2;PSME3	0.361619433145224	9.852799772582979e-11	False	((1.1333333333333335, -0.29333333333333345), array([ 0.84007809, -0.51909514]))	False
PRMT9	BANP;ENHA_SP2	0.426225343152894	1.26006914180161e-27	False	(array([-0.24869011, -0.92829378]), (1.1666666666666667, 0.6233333333333333))	False
PRMT9	ENHA_KLF5;ZBTB17	0.361576178541378	2.71117756369698e-27	False	((1.1, -0.22000000000000008), array([-0.74527888, -0.58494213]))	False
PRMT9	ENHA_KLF4;HUWE1	0.44578075766773	3.81364389188062e-19	False	((1.1666666666666667, -0.2566666666666667), array([ 0.21348378, -0.92446214]))	False
PRMT9	ENHA_NFKB1;HSP90AB1	0.515985379903522	1.78879389518134e-13	False	((1.1666666666666667, 0.18333333333333335), array([0.49941562, 0.76028568]))	False
PRMT9	ENHA_NFKB1;NFKBIA	0.298034096323632	4.02415095938614e-14	False	((1.1666666666666667, 0.18333333333333335), array([-0.88092545, -0.35654905]))	True
PRMT9	ENHA_NFKB1;IKBKB	0.507748329731714	1.12224748237543e-17	False	((1.1666666666666667, 0.18333333333333335), array([ 0.67847978, -0.58506851]))	True
PRMT9	ENHA_NFKB1;NR3C1	0.4914932698318	2.0323394566115102e-15	False	((1.1666666666666667, 0.18333333333333335), array([-0.97504766,  0.05559136]))	False
PRMT9	BTRC;ENHA_GLI3	0.345826823978196	6.0129702295020006e-33	False	(array([ 0.87293343, -0.14805076]), (1.1, -0.55))	False
PRMT9	BTRC;ENHA_NFKB1	0.439132933528186	1.22917866964506e-25	False	(array([ 0.87293343, -0.14805076]), (1.1666666666666667, 0.18333333333333335))	False
PRMT9	ENHA_NFKB1;RPS3	0.298034096323632	4.02415095938614e-14	False	((1.1666666666666667, 0.18333333333333335), array([ 0.75735365, -0.67556913]))	False
