Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
PRUNE2	CDK4;ENHA_MZF1	3.3621650817889	1.18182712500551e-35	False	(array([-0.30676099,  0.86364249]), (1.1333333333333335, -0.06734693877551012))	False
PRUNE2	ENHA_E2F6;TFDP2	4.13850870502777	6.297837870606821e-61	False	((1.1333333333333335, -1.0102040816326532), array([-0.86032832, -0.36687558]))	False
PRUNE2	ENHA_HIF1A;HIF1AN	2.0444407329105	9.43919848262889e-06	False	((1.1666666666666667, -0.6510204081632653), array([-0.56461645,  0.70290428]))	False
PRUNE2	ENHA_HIF1A;IKBKG	2.1063538740612	3.02480841593827e-07	False	((1.1666666666666667, -0.6510204081632653), array([-0.61666972,  0.77937738]))	False
PRUNE2	BCL3;ENHA_FOS	1.95630275935489	4.2999715598625e-08	False	(array([-0.96916705,  0.21466476]), (1.1333333333333335, -0.8755102040816327))	False
PRUNE2	CLU;ENHA_FOS	3.07252855816223	8.72552938179372e-28	False	(array([-0.77200405, -0.59642328]), (1.1333333333333335, -0.8755102040816327))	False
PRUNE2	ENHA_E2F6;RING1	4.04489611689846	2.36970134731326e-59	False	((1.1333333333333335, -1.0102040816326532), array([0.46167665, 0.91090143]))	False
PRUNE2	CARM1;ENHA_FOS	2.29247534729135	7.71037277812934e-13	False	(array([-0.66796942,  0.54236075]), (1.1333333333333335, -0.8755102040816327))	False
PRUNE2	ARNT;ENHA_HIF1A	2.04580391520324	8.74542805407229e-05	False	(array([0.69253687, 0.73673491]), (1.1666666666666667, -0.6510204081632653))	False
PRUNE2	CEP70;ENHA_ZNF410	2.6879912705607	1.2331357798133801e-20	False	(array([-0.63587649, -0.79932242]), (1.1333333333333335, 1.0775510204081633))	False
PRUNE2	ENHA_HIF1A;RUNX2	3.00852162014936	2.10185328044465e-09	False	((1.1666666666666667, -0.6510204081632653), array([-0.94984446, -0.1330697 ]))	False
PRUNE2	ENHA_FOS;RUNX2	2.76066634777765	1.2612355355821099e-12	False	((1.1333333333333335, -0.8755102040816327), array([-0.94984446, -0.1330697 ]))	False
PRUNE2	ENHA_HIF1A;NAA10	3.02915703952858	3.27030641509339e-17	False	((1.1666666666666667, -0.6510204081632653), array([ 0.96682244, -0.12118116]))	False
PRUNE2	ENHA_HIF1A;XBP1	2.07743290748362	0.184568263793559	False	((1.1666666666666667, -0.6510204081632653), array([ 0.58889743, -0.68846103]))	False
PRUNE2	ENHA_FOS;STK40	2.92476322674826	0.0021171789950381	False	((1.1333333333333335, -0.8755102040816327), array([0.39179443, 0.88238457]))	False
PRUNE2	ENHA_HIF1A;MCM7	2.85370140630153	4.51003277570817e-20	False	((1.1666666666666667, -0.6510204081632653), array([-0.91816437,  0.42199993]))	False
PRUNE2	ENHA_SP1;POU2F1	21.015671739347	8.3324251008573e-106	False	((1.1666666666666667, 0.5612244897959184), array([-0.47235844,  0.83165475]))	False
PRUNE2	ENHA_EHF;XRCC5	5.38135210570322	1.46001339664396e-72	False	((1.1, -0.9653061224489796), array([ 0.83967188, -0.48201137]))	False
PRUNE2	ENHA_ELF3;XRCC5	5.27447355527763	4.44302465785369e-76	False	((1.1666666666666667, -0.9204081632653062), array([ 0.83967188, -0.48201137]))	False
PRUNE2	ENHA_FOS;NFATC1	2.95764232839573	1.41920153341447e-33	False	((1.1333333333333335, -0.8755102040816327), array([-0.96627285,  0.23590913]))	True
PRUNE2	ENHA_HOXA10;NFATC1	2.1567518582077	1.49795361289331e-16	False	((1.1, -0.6285714285714286), array([-0.96627285,  0.23590913]))	False
PRUNE2	ENHA_EGR1;NFATC1	4.64795324930545	9.764637743193809e-70	False	((1.1666666666666667, -0.9877551020408164), array([-0.96627285,  0.23590913]))	False
PRUNE2	ENHA_HOXA10;NFATC1	2.1567518582077	1.49795361289331e-16	False	((1.1, -0.6285714285714286), array([-0.96627285,  0.23590913]))	False
PRUNE2	ENHA_CUX1;NFATC1	1.59279231426057	0.0083840522369204	False	((1.1, -1.03265306122449), array([-0.96627285,  0.23590913]))	False
PRUNE2	CDKN2A;ENHA_YY1	3.6958323753272	4.04706771339181e-51	False	(array([0.39607678, 0.81603629]), (1.1666666666666667, 0.8979591836734695))	False
PRUNE2	ENHA_AR;REL	2.12988784084296	5.06530755028088e-12	False	((1.1, -1.1), array([-0.97224185,  0.08255084]))	False
PRUNE2	ELF3;ENHA_AR	1.77460875790181	1.54022576315045e-05	False	(array([0.84246317, 0.23868706]), (1.1, -1.1))	False
PRUNE2	ENHA_YY1;RUVBL2	2.37898197040604	4.06898917567676e-16	False	((1.1666666666666667, 0.8979591836734695), array([0.97166367, 0.13800745]))	False
PRUNE2	ENHA_YY1;YAF2	3.39072748065901	6.4497865267013394e-43	False	((1.1666666666666667, 0.8979591836734695), array([ 0.73229936, -0.68240464]))	False
PRUNE2	ENHA_AR;NONO	2.06748730227259	4.57173065367357e-06	False	((1.1, -1.1), array([-0.73793177,  0.66112632]))	False
PRUNE2	ENHA_MZF1;FHL3	3.10843802987706	2.83843475234562e-33	False	((1.1333333333333335, -0.06734693877551012), array([-0.14164391, -0.92169248]))	False
