Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
PSMC6	ENHA_ESRRA;NRIP1	0.723757748679561	0.112367981539731	False	((1.1333333333333335, -0.9482758620689655), array([-0.9517628 , -0.32419942]))	False
PSMC6	ENHA_TEAD1;SRF	0.585399049530031	1.7414216220977e-05	False	((1.1333333333333335, 0.8724137931034486), array([-0.80000553, -0.50024858]))	False
PSMC6	ENHA_TEAD1;MAX	0.618105652333775	1.16405397719959e-06	False	((1.1333333333333335, 0.8724137931034486), array([-0.70228249, -0.46451472]))	False
PSMC6	ENHA_TEAD3;YAP1	0.48361686859434	1.08479929134816e-09	False	((1.1666666666666667, 0.9103448275862069), array([-0.57287863,  0.78053831]))	False
PSMC6	ENHA_RUNX1;YAP1	0.423877935664986	2.51622375797692e-09	False	((1.1, 0.4931034482758623), array([-0.57287863,  0.78053831]))	False
PSMC6	ENHA_TEAD1;YAP1	0.426546502504955	1.07572502924988e-17	False	((1.1333333333333335, 0.8724137931034486), array([-0.57287863,  0.78053831]))	False
PSMC6	ENHA_RUNX2;YAP1	0.364238089138479	2.28694828802513e-24	False	((1.1333333333333335, 0.5310344827586209), array([-0.57287863,  0.78053831]))	False
PSMC6	ENHA_CREB3L1;RUNX1T1	0.403566697860451	4.35053095375332e-07	False	((1.1333333333333335, -1.0620689655172415), array([0.44369637, 0.88910018]))	False
PSMC6	ENHA_TEAD1;MEF2C	0.439041255553727	3.94055046037546e-15	False	((1.1333333333333335, 0.8724137931034486), array([-0.81661134,  0.31759612]))	False
PSMC6	ENHA_CREB3L1;PRKAB2	0.338662866616025	8.38590247204853e-08	False	((1.1333333333333335, -1.0620689655172415), array([0.82650972, 0.54265828]))	False
PSMC6	ENHA_PBX1;MEIS1	1.14564836633064	0.52774807280217	False	((1.1, 0.15172413793103456), array([-0.66732027,  0.71559726]))	False
PSMC6	ENHA_PPARG;NCOR1	0.41227839800212	1.2774099826403899e-11	False	((1.1666666666666667, 0.3413793103448277), array([ 0.954352  , -0.18468109]))	False
PSMC6	ENHA_PPARG;NCOA2	0.691482523262547	0.0298997912335472	False	((1.1666666666666667, 0.3413793103448277), array([ 0.60236091, -0.69485873]))	False
PSMC6	ENHA_SMAD3;RANBP9	1.02341331553444	1.0	False	((1.1, 0.606896551724138), array([-0.92998819,  0.35990057]))	False
