Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
PUDP	ENHA_RFX3;FHL3	0.380969686183641	3.08189003354615e-17	False	((1.1333333333333335, 0.5612244897959184), array([-0.98546465, -0.23991536]))	False
PUDP	ENHA_REL;NEDD9	0.432199662542809	1.82265810083152e-06	False	((1.1333333333333335, 0.42653061224489797), array([-0.88624711, -0.34507421]))	False
PUDP	ENHA_REL;POLR1A	0.367738733171719	5.29289885778007e-08	False	((1.1333333333333335, 0.42653061224489797), array([-0.81545545,  0.31108235]))	False
PUDP	ENHA_REL;ZNF688	0.387318745127311	1.17291884276221e-07	False	((1.1333333333333335, 0.42653061224489797), array([-0.48663807,  0.76403275]))	False
PUDP	ENHA_REL;HAT1	0.367738733171719	5.29289885778007e-08	False	((1.1333333333333335, 0.42653061224489797), array([-0.57959266,  0.81739841]))	False
PUDP	ENHA_REL;MAGOHB	0.367738733171719	5.29289885778007e-08	False	((1.1333333333333335, 0.42653061224489797), array([-0.97322654,  0.25779935]))	False
PUDP	ENHA_REL;MRPL10	0.367738733171719	5.29289885778007e-08	False	((1.1333333333333335, 0.42653061224489797), array([-0.71370594,  0.50589843]))	False
PUDP	ENHA_REL;RNF6	0.367738733171719	5.29289885778007e-08	False	((1.1333333333333335, 0.42653061224489797), array([-0.81614376, -0.56416206]))	False
PUDP	CHAF1A;ENHA_REL	0.340969975534798	2.7619762108681603e-09	False	(array([0.44557649, 0.92226629]), (1.1333333333333335, 0.42653061224489797))	False
PUDP	ENHA_REL;NOL9	0.367738733171719	5.29289885778007e-08	False	((1.1333333333333335, 0.42653061224489797), array([-0.71207123,  0.59615333]))	False
PUDP	ENHA_REL;EXOSC1	0.367738733171719	5.29289885778007e-08	False	((1.1333333333333335, 0.42653061224489797), array([0.74209367, 0.69944845]))	False
PUDP	ENHA_REL;PTGER3	0.367738733171719	5.29289885778007e-08	False	((1.1333333333333335, 0.42653061224489797), array([-0.64012658, -0.820088  ]))	False
PUDP	C1orf109;ENHA_REL	0.359708135752272	2.00142958613041e-08	False	(array([-0.63920702,  0.78058789]), (1.1333333333333335, 0.42653061224489797))	False
PUDP	ENHA_REL;NR2C2AP	0.385350929009075	3.47996222250054e-10	False	((1.1333333333333335, 0.42653061224489797), array([-0.9571469, -0.1865744]))	False
PUDP	ENHA_REL;TXNL4B	0.336270727498463	1.40202253175694e-09	False	((1.1333333333333335, 0.42653061224489797), array([ 0.98648075, -0.02919333]))	False
PUDP	CHCHD2;ENHA_REL	0.367738733171719	5.29289885778007e-08	False	(array([ 0.55480705, -0.73545107]), (1.1333333333333335, 0.42653061224489797))	False
PUDP	COMMD1;ENHA_REL	0.37299222923419	6.782102465067131e-14	False	(array([0.29818069, 0.8883102 ]), (1.1333333333333335, 0.42653061224489797))	False
PUDP	COMMD1;ENHA_RELA	0.416853544113604	4.52737893880079e-13	False	(array([0.29818069, 0.8883102 ]), (1.1666666666666667, 0.47142857142857153))	False
PUDP	COMMD1;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([0.29818069, 0.8883102 ]), (1.1333333333333335, 0.15714285714285725))	False
PUDP	COMMD8;ENHA_RELA	0.416853544113604	4.52737893880079e-13	False	(array([-0.54043444,  0.79278051]), (1.1666666666666667, 0.47142857142857153))	False
PUDP	COMMD8;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.54043444,  0.79278051]), (1.1333333333333335, 0.15714285714285725))	False
PUDP	COMMD4;ENHA_RELA	0.416853544113604	4.52737893880079e-13	False	(array([-0.9685727 , -0.02038599]), (1.1666666666666667, 0.47142857142857153))	False
PUDP	COMMD4;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.9685727 , -0.02038599]), (1.1333333333333335, 0.15714285714285725))	False
PUDP	COMMD6;ENHA_RELA	0.416853544113604	4.52737893880079e-13	False	(array([ 0.89552351, -0.41416946]), (1.1666666666666667, 0.47142857142857153))	False
PUDP	COMMD6;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([ 0.89552351, -0.41416946]), (1.1333333333333335, 0.15714285714285725))	False
PUDP	AES;ENHA_REL	0.380819794379894	1.3260876628332802e-09	False	(array([-0.36504588, -0.90431622]), (1.1333333333333335, 0.42653061224489797))	False
PUDP	AES;ENHA_RELA	0.627613029707934	0.0264452589258864	False	(array([-0.36504588, -0.90431622]), (1.1666666666666667, 0.47142857142857153))	False
