Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
RAB35	CHUK;ENHA_NFKB1	0.0578213821892307	5.651958769785809e-34	False	(array([-0.55381801,  0.38713358]), (1.1333333333333335, -0.1711111111111111))	False
RAB35	CHUK;ENHA_TP73	0.244539844199391	2.14773902316912e-09	False	(array([-0.55381801,  0.38713358]), (1.1333333333333335, 0.8555555555555556))	False
RAB35	ENHA_IRF5;GRB2	0.117069782075344	2.36767007486704e-07	False	((1.1333333333333335, -0.9044444444444445), array([-0.56542891, -0.61455268]))	False
RAB35	ENHA_NR3C2;TRIM24	0.145568392236783	8.91779146319802e-09	False	((1.1, -0.07333333333333347), array([-0.44963978,  0.86107262]))	False
RAB35	ENHA_VDR;MED12	0.307527228656849	5.71281502923832e-08	False	((1.1666666666666667, 0.9044444444444446), array([-0.82948816, -0.11542395]))	False
RAB35	COMMD1;ENHA_NFKB1	0.575708056056991	2.37587797910316e-07	False	(array([-0.74451095, -0.58927521]), (1.1333333333333335, -0.1711111111111111))	False
RAB35	COMMD8;ENHA_NFKB1	0.575708056056991	2.37587797910316e-07	False	(array([0.53771449, 0.85790979]), (1.1333333333333335, -0.1711111111111111))	False
RAB35	COMMD4;ENHA_NFKB1	0.575708056056991	2.37587797910316e-07	False	(array([-0.74956093,  0.15876768]), (1.1333333333333335, -0.1711111111111111))	False
RAB35	COMMD6;ENHA_NFKB1	0.575708056056991	2.37587797910316e-07	False	(array([0.84995738, 0.54684304]), (1.1333333333333335, -0.1711111111111111))	False
RAB35	CHD8;ENHA_CTCF	0.515056604828277	1.85553950791842e-06	False	(array([-0.63194777, -0.81876345]), (1.1333333333333335, -1.051111111111111))	False
RAB35	ENHA_NFKB1;NFKBIB	0.493597616772716	3.54484528394509e-09	False	((1.1333333333333335, -0.1711111111111111), array([-0.89425969, -0.33597887]))	False
RAB35	ENHA_NFKB1;FBXW11	0.395823287261637	7.9039717175527e-16	False	((1.1333333333333335, -0.1711111111111111), array([ 0.97676867, -0.20133529]))	False
RAB35	ENHA_NR3C1;SMARCA2	0.160735793155601	0.0011886027298768	False	((1.1666666666666667, -0.12222222222222223), array([0.5731243 , 0.76230439]))	False
RAB35	ENHA_NR3C1;RXRB	0.153136929920539	1.6930679272083201e-09	False	((1.1666666666666667, -0.12222222222222223), array([-0.91800943,  0.37770626]))	False
RAB35	COPS5;ENHA_NFKB1	0.21862709389788	4.04704798954614e-32	False	(array([0.99235683, 0.21550673]), (1.1333333333333335, -0.1711111111111111))	False
RAB35	ENHA_NR3C1;TXN2	0.197132291889152	8.61185979978569e-17	False	((1.1666666666666667, -0.12222222222222223), array([-0.48640678,  0.79911495]))	False
RAB35	ENHA_NFKB1;IKBKB	0.454653708077364	5.57041801120365e-13	False	((1.1333333333333335, -0.1711111111111111), array([-0.94238459, -0.12943646]))	True
RAB35	ENHA_NR3C1;TEAD2	0.11112633156103	3.42336263449029e-14	False	((1.1666666666666667, -0.12222222222222223), array([ 0.9003676, -0.4444062]))	False
RAB35	CSNK2A1;ENHA_TP73	0.360949915995685	2.43574861976209e-10	False	(array([-0.33933361, -0.91824674]), (1.1333333333333335, 0.8555555555555556))	False
RAB35	ENHA_NR3C1;HSP90AA1	0.179775663552767	1.70827078399978e-29	False	((1.1666666666666667, -0.12222222222222223), array([-0.94705642,  0.25848625]))	False
RAB35	CCNA2;ENHA_TP73	0.390860355820196	1.16352135897867e-10	False	(array([-0.6391605 , -0.70579671]), (1.1333333333333335, 0.8555555555555556))	False
RAB35	ENHA_NR3C1;SET	0.231918976807219	5.37191683732003e-19	False	((1.1666666666666667, -0.12222222222222223), array([ 0.0691695 , -0.99288198]))	False
RAB35	ENHA_NR3C1;NRIP1	0.213183951029361	2.64513569293136e-05	False	((1.1666666666666667, -0.12222222222222223), array([ 0.32551028, -0.90900318]))	False
RAB35	ENHA_NR3C1;NCOA3	0.138543839858713	8.11787162951778e-26	False	((1.1666666666666667, -0.12222222222222223), array([0.71976771, 0.48990362]))	False
RAB35	ENHA_VDR;NCOA3	0.283483375742637	7.20030852438333e-15	False	((1.1666666666666667, 0.9044444444444446), array([0.71976771, 0.48990362]))	False
RAB35	ENHA_VDR;SIRT1	0.316169839460887	2.25253561294148e-13	False	((1.1666666666666667, 0.9044444444444446), array([-0.80964363, -0.49322763]))	False
RAB35	ENHA_TP73;SIRT1	0.362603071929142	1.60241036406035e-09	False	((1.1333333333333335, 0.8555555555555556), array([-0.80964363, -0.49322763]))	False
RAB35	ENHA_NFKB1;MEN1	0.397623128839359	5.295915417225621e-15	False	((1.1333333333333335, -0.1711111111111111), array([ 0.63275604, -0.65404933]))	False
RAB35	ENHA_TCF3;MEN1	0.406529307154086	4.56050192933479e-14	False	((1.1666666666666667, 0.6111111111111112), array([ 0.63275604, -0.65404933]))	False
RAB35	BIRC3;ENHA_IRF1	0.358767474649287	1.99388512821643e-14	False	(array([ 0.89846536, -0.0998155 ]), (1.1, -0.9533333333333334))	False
RAB35	AURKA;ENHA_KLF4	0.791697875113672	0.0273082455671425	False	(array([ 0.69924053, -0.7578115 ]), (1.1666666666666667, -0.7088888888888889))	False
RAB35	AURKA;ENHA_NFKB1	0.508385414645854	2.1154976816619501e-10	False	(array([ 0.69924053, -0.7578115 ]), (1.1333333333333335, -0.1711111111111111))	False
