Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
RGMB-AS1	BCL6;ENHA_E2F3	0.430168669849381	0.0026747207387148	False	(array([-0.37640493,  0.83977095]), (1.1333333333333335, -1.0531914893617023))	False
RGMB-AS1	ENHA_E2F3;TFDP2	0.422215034233759	0.0003484539830364	False	((1.1333333333333335, -1.0531914893617023), array([-0.63420195, -0.81225623]))	False
RGMB-AS1	ENHA_MAZ;MAPK14	0.332887283410536	3.7174447875261604e-25	False	((1.1333333333333335, -0.49148936170212765), array([-0.73472933, -0.46740307]))	False
RGMB-AS1	ATAD2;ENHA_E2F3	0.309398183029402	3.75191458872633e-05	False	(array([-0.69956263,  0.52592319]), (1.1333333333333335, -1.0531914893617023))	False
RGMB-AS1	ENHA_TCF4;NR2C2AP	0.386120817546145	9.43984130149151e-16	False	((1.1333333333333335, 0.49148936170212765), array([-0.99368563,  0.22507044]))	False
RGMB-AS1	ENHA_TP53;PRKAB2	0.515785363628776	9.69085357527783e-11	False	((1.1333333333333335, 0.7723404255319151), array([-0.78213841, -0.63538483]))	True
RGMB-AS1	CRK;ENHA_TP53	0.528409181412626	2.16271954777314e-10	False	(array([0.49375381, 0.9011623 ]), (1.1333333333333335, 0.7723404255319151))	False
RGMB-AS1	APPL1;ENHA_TP53	0.524402301791377	2.97503956312241e-10	False	(array([-0.56585976,  0.71244721]), (1.1333333333333335, 0.7723404255319151))	False
RGMB-AS1	CHD3;ENHA_MAFG	0.651349027199416	3.41160600626918e-05	False	(array([0.82299534, 0.43019149]), (1.1, -0.5382978723404256))	False
RGMB-AS1	ENHA_TP53;TRRAP	0.67559785411027	0.0003314129027536	False	((1.1333333333333335, 0.7723404255319151), array([-0.73041617,  0.70720672]))	False
RGMB-AS1	ENHA_YY1;YAF2	0.37295615969838	1.2298754099616e-17	False	((1.1333333333333335, 0.9127659574468088), array([ 0.95648288, -0.24038254]))	False
RGMB-AS1	ENHA_TP53;WDR5	0.683904145040109	0.0001037569701134	False	((1.1333333333333335, 0.7723404255319151), array([ 0.61544074, -0.69457647]))	False
RGMB-AS1	ENHA_E2F3;TFDP1	1.10728115816763	0.669270962115033	False	((1.1333333333333335, -1.0531914893617023), array([-0.01583701,  0.45894485]))	False
RGMB-AS1	ENHA_TP53;TFDP1	1.05602139148629	0.658106182667357	False	((1.1333333333333335, 0.7723404255319151), array([-0.01583701,  0.45894485]))	False
RGMB-AS1	ENHA_E2F3;RYBP	0.506354806131438	0.0038909579916633	False	((1.1333333333333335, -1.0531914893617023), array([-0.97528803,  0.33462465]))	False
RGMB-AS1	ENHA_YY1;RYBP	0.371209108974222	6.98820506831625e-18	False	((1.1333333333333335, 0.9127659574468088), array([-0.97528803,  0.33462465]))	False
