Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
RHOF	ENHA_ESRRA;NRIP1	0.740877743091379	0.199196506420619	False	((1.1333333333333335, -0.8861111111111112), array([-0.96038222, -0.30601307]))	False
RHOF	ENHA_ESRRA;FUS	1.0955337032495	0.534005089669881	False	((1.1333333333333335, -0.8861111111111112), array([-0.62164747, -0.80207681]))	False
RHOF	ENHA_ESR2;NCOA2	0.790387935270101	0.0918142524918363	False	((1.1, -0.9166666666666667), array([-0.86064717,  0.02267108]))	True
RHOF	CCNG1;ENHA_HMBOX1	0.872640675609837	0.617860418395813	False	(array([-0.59891507,  0.65006175]), (1.1, -0.6416666666666667))	False
RHOF	CITED2;ENHA_TFAP2A	2.14297021967526	1.54483383824628e-14	False	(array([-0.96202908,  0.24452024]), (1.1, 0.7333333333333334))	False
RHOF	ENHA_RFX7;OTUB1	1.18254160544971	0.371288184942314	False	((1.1333333333333335, 0.21388888888888902), array([0.4642251 , 0.90233881]))	False
RHOF	ENHA_IRF1;KAT2A	0.548002988089469	6.25598059474879e-07	False	((1.1333333333333335, -0.5194444444444445), array([0.7487465 , 0.68635115]))	False
RHOF	ENHA_IRF1;KAT2A	0.548002988089469	6.25598059474879e-07	False	((1.1333333333333335, -0.5194444444444445), array([0.7487465 , 0.68635115]))	False
RHOF	ENHA_TEAD2;USF2	1.44633809158036	0.206281039071653	False	((1.1333333333333335, 0.6722222222222223), array([-0.69879969,  0.70249018]))	False
RHOF	DPF2;ENHA_HMBOX1	0.965580277352576	1.0	False	(array([-0.94737488, -0.18788994]), (1.1, -0.6416666666666667))	False
RHOF	ENHA_ZBTB7A;NFKBIB	1.3509924640428	0.0079596690123311	False	((1.1333333333333335, 0.9472222222222224), array([ 0.63095581, -0.6807999 ]))	False
RHOF	ENHA_ESR2;PELP1	1.3108123643802	0.0178037699345787	False	((1.1, -0.9166666666666667), array([0.34461413, 0.88879559]))	False
RHOF	BIRC3;ENHA_IRF1	1.5294557915116	2.76876665560693e-05	False	(array([-0.90383044,  0.43769639]), (1.1333333333333335, -0.5194444444444445))	False
RHOF	BIRC3;ENHA_IRF1	1.5294557915116	2.76876665560693e-05	False	(array([-0.90383044,  0.43769639]), (1.1333333333333335, -0.5194444444444445))	False
RHOF	ENHA_TEAD2;NR3C1	1.21797940386069	0.12928186414602	False	((1.1333333333333335, 0.6722222222222223), array([0.98048735, 0.27144928]))	False
