Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
RNU11	ENHA_KLF5;ESR2	0.0105327624775868	2.2876963041257802e-104	False	((1.1333333333333335, -0.2666666666666667), array([-0.95514634, -0.30031491]))	False
RNU11	ENHA_SP1;ESR2	0.0122889844362055	2.4586739963235298e-147	False	((1.1333333333333335, 0.5333333333333332), array([-0.95514634, -0.30031491]))	False
RNU11	CDC27;ENHA_HSF2	0.527392778565493	0.0530655447206916	False	(array([-0.65067453, -0.67589069]), (1.1666666666666667, -0.5333333333333334))	False
RNU11	ENHA_ZBTB14;INTS3	0.154060500115148	0.0007515761094836	False	((1.1, 1.0), array([-0.5732279 ,  0.77556063]))	False
RNU11	ENHA_ETV5;RFWD2	0.665622691424474	0.0427449431102129	False	((1.1333333333333335, -0.7666666666666668), array([-0.83476185,  0.05145319]))	False
RNU11	ENHA_TP53;RFWD2	0.645504245443786	0.0027953164234504	False	((1.1333333333333335, 0.9333333333333331), array([-0.83476185,  0.05145319]))	False
RNU11	ENHA_TP53;RFWD2	0.645504245443786	0.0027953164234504	False	((1.1333333333333335, 0.9333333333333331), array([-0.83476185,  0.05145319]))	False
RNU11	ENHA_KLF2;WWP1	0.0474321189756548	6.073451585204109e-83	False	((1.1666666666666667, -0.3333333333333335), array([-0.65337561,  0.55395246]))	False
RNU11	ENHA_KLF5;WWP1	0.0543187107280377	8.80488232239714e-82	False	((1.1333333333333335, -0.2666666666666667), array([-0.65337561,  0.55395246]))	False
RNU11	ENHA_KLF2;WWP1	0.0474321189756548	6.073451585204109e-83	False	((1.1666666666666667, -0.3333333333333335), array([-0.65337561,  0.55395246]))	False
RNU11	ENHA_KLF5;WWP1	0.0543187107280377	8.80488232239714e-82	False	((1.1333333333333335, -0.2666666666666667), array([-0.65337561,  0.55395246]))	False
RNU11	CEBPA;ENHA_KLF5	0.24725318587748	6.06116389067704e-23	False	(array([0.8038358 , 0.54547025]), (1.1333333333333335, -0.2666666666666667))	False
RNU11	CEBPA;ENHA_ATF4	0.209767795583337	1.90918214971771e-19	False	(array([0.8038358 , 0.54547025]), (1.1, -1.1))	False
RNU11	CEBPG;ENHA_KLF5	0.300662356831205	6.12828542220532e-11	False	(array([-0.75792171,  0.5874133 ]), (1.1333333333333335, -0.2666666666666667))	False
RNU11	CEBPG;ENHA_ATF4	0.145109963551447	1.82066095436308e-23	False	(array([-0.75792171,  0.5874133 ]), (1.1, -1.1))	False
RNU11	ENHA_TFAP2C;RARA	0.287678257704587	1.28970604999031e-30	False	((1.1, 0.8999999999999999), array([ 0.67691293, -0.25551219]))	False
RNU11	ENHA_KLF5;RARA	0.231154915038458	5.43877891505105e-43	False	((1.1333333333333335, -0.2666666666666667), array([ 0.67691293, -0.25551219]))	False
RNU11	ENHA_SP1;RARA	0.197846525292837	6.962626688558251e-58	False	((1.1333333333333335, 0.5333333333333332), array([ 0.67691293, -0.25551219]))	False
RNU11	ENHA_KLF5;RARA	0.231154915038458	5.43877891505105e-43	False	((1.1333333333333335, -0.2666666666666667), array([ 0.67691293, -0.25551219]))	False
RNU11	ENHA_SP1;RARA	0.197846525292837	6.962626688558251e-58	False	((1.1333333333333335, 0.5333333333333332), array([ 0.67691293, -0.25551219]))	False
RNU11	ENHA_KLF5;ZBTB17	0.164604698424367	6.9030093452153304e-37	False	((1.1333333333333335, -0.2666666666666667), array([ 0.61809122, -0.69512819]))	False
RNU11	ENHA_TP53;ZBTB17	0.0665942746926504	9.97354572678806e-52	False	((1.1333333333333335, 0.9333333333333331), array([ 0.61809122, -0.69512819]))	False
RNU11	ENHA_KLF5;ZBTB17	0.164604698424367	6.9030093452153304e-37	False	((1.1333333333333335, -0.2666666666666667), array([ 0.61809122, -0.69512819]))	False
RNU11	ENHA_TP53;ZBTB17	0.0665942746926504	9.97354572678806e-52	False	((1.1333333333333335, 0.9333333333333331), array([ 0.61809122, -0.69512819]))	False
RNU11	ENHA_KLF5;SET	0.300541335387895	4.02461087670735e-20	False	((1.1333333333333335, -0.2666666666666667), array([0.51370994, 0.77918784]))	False
RNU11	ENHA_TP53;SET	0.12758733245368	2.68017719010716e-41	False	((1.1333333333333335, 0.9333333333333331), array([0.51370994, 0.77918784]))	False
RNU11	ENHA_KLF5;SET	0.300541335387895	4.02461087670735e-20	False	((1.1333333333333335, -0.2666666666666667), array([0.51370994, 0.77918784]))	False
RNU11	ENHA_TP53;SET	0.12758733245368	2.68017719010716e-41	False	((1.1333333333333335, 0.9333333333333331), array([0.51370994, 0.77918784]))	False
RNU11	ENHA_RELA;USF2	1.43164073453447	0.406403659856818	False	((1.1, 0.3999999999999999), array([0.95769848, 0.30028973]))	False
RNU11	ENHA_TCF4;ORC4	0.519626500795715	0.0159809488689552	False	((1.1333333333333335, 0.7333333333333332), array([-0.94026944, -0.16330503]))	False
RNU11	ENHA_TCF4;ORC4	0.519626500795715	0.0159809488689552	False	((1.1333333333333335, 0.7333333333333332), array([-0.94026944, -0.16330503]))	False
RNU11	CHAF1A;ENHA_TCF4	0.568817942284608	0.0031531765629967	False	(array([ 0.85466222, -0.49832049]), (1.1333333333333335, 0.7333333333333332))	False
RNU11	CHAF1A;ENHA_TCF4	0.568817942284608	0.0031531765629967	False	(array([ 0.85466222, -0.49832049]), (1.1333333333333335, 0.7333333333333332))	False
RNU11	ENHA_TCF4;USP11	0.503610557620167	0.0001047838330169	False	((1.1333333333333335, 0.7333333333333332), array([-0.32391894, -0.92354361]))	False
RNU11	ENHA_TP53;USP11	0.407995972113797	0.0141005548381269	False	((1.1333333333333335, 0.9333333333333331), array([-0.32391894, -0.92354361]))	False
RNU11	ENHA_TCF4;USP11	0.503610557620167	0.0001047838330169	False	((1.1333333333333335, 0.7333333333333332), array([-0.32391894, -0.92354361]))	False
RNU11	ENHA_TP53;USP11	0.407995972113797	0.0141005548381269	False	((1.1333333333333335, 0.9333333333333331), array([-0.32391894, -0.92354361]))	False
RNU11	ENHA_KLF4;HUWE1	0.167066727198354	9.47027380166704e-38	False	((1.1, -0.30000000000000004), array([-0.47284888, -0.82201828]))	False
RNU11	ENHA_TP53;HUWE1	0.0632806454067267	1.24369657200365e-54	False	((1.1333333333333335, 0.9333333333333331), array([-0.47284888, -0.82201828]))	False
RNU11	ENHA_KLF4;HUWE1	0.167066727198354	9.47027380166704e-38	False	((1.1, -0.30000000000000004), array([-0.47284888, -0.82201828]))	False
RNU11	ENHA_TP53;HUWE1	0.0632806454067267	1.24369657200365e-54	False	((1.1333333333333335, 0.9333333333333331), array([-0.47284888, -0.82201828]))	False
RNU11	ENHA_NRF1;FOXK2	0.315363470203043	6.46424420322871e-07	False	((1.1, 0.19999999999999996), array([ 0.33627831, -0.8678533 ]))	False
RNU11	ENHA_NFYC;FOXK2	0.399118937808447	3.80681278148104e-06	False	((1.1666666666666667, 0.06666666666666665), array([ 0.33627831, -0.8678533 ]))	False
RNU11	ENHA_TP53;FOXK2	0.335356018030686	3.98423103851975e-17	False	((1.1333333333333335, 0.9333333333333331), array([ 0.33627831, -0.8678533 ]))	False
RNU11	ENHA_NFYC;FOXK2	0.399118937808447	3.80681278148104e-06	False	((1.1666666666666667, 0.06666666666666665), array([ 0.33627831, -0.8678533 ]))	False
RNU11	ENHA_TP53;FOXK2	0.335356018030686	3.98423103851975e-17	False	((1.1333333333333335, 0.9333333333333331), array([ 0.33627831, -0.8678533 ]))	False
RNU11	ENHA_TP53;SMARCA5	0.587076694128678	0.0171683168079655	False	((1.1333333333333335, 0.9333333333333331), array([-0.81124054, -0.50099846]))	False
RNU11	ENHA_TP53;SMARCA5	0.587076694128678	0.0171683168079655	False	((1.1333333333333335, 0.9333333333333331), array([-0.81124054, -0.50099846]))	False
