Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
SETMAR	ENHA_USF2;HSPA4L	0.609274696592508	0.0824305878385067	False	((1.1, 0.8555555555555556), array([-0.97669949, -0.26225528]))	False
SETMAR	ENHA_HSF1;HSPA4L	0.810955215835577	0.368889899989287	False	((1.1, -0.48888888888888893), array([-0.97669949, -0.26225528]))	False
SETMAR	ENHA_HSF2;PRMT1	0.868021994228225	0.464610275842255	False	((1.1333333333333335, -0.4481481481481482), array([-0.85733627,  0.10894199]))	False
SETMAR	ENHA_ZBTB7C;SREBF1	0.316091480553826	1.7865788498782903e-15	False	((1.1, 0.9777777777777779), array([-0.52869712,  0.84263755]))	False
SETMAR	ENHA_NFYB;NFYC	0.451140266421579	3.93622682940998e-11	False	((1.1666666666666667, 0.08148148148148149), array([-0.80854298,  0.31249982]))	False
SETMAR	ENHA_NFYB;GRB2	0.34094439706623	1.11023226222774e-09	False	((1.1666666666666667, 0.08148148148148149), array([-0.71711549, -0.67832965]))	False
SETMAR	ENHA_USF2;FUS	0.647869349446421	0.0144022118249504	False	((1.1, 0.8555555555555556), array([0.38972323, 0.93841078]))	False
SETMAR	ENHA_REST;KDM5C	0.361331008817172	4.0415471763832e-28	False	((1.1666666666666667, 0.32592592592592595), array([0.73364421, 0.70228259]))	False
SETMAR	CDK4;ENHA_MZF1	0.257024860724503	3.25079336065457e-20	False	(array([-0.68002555, -0.7847552 ]), (1.1333333333333335, -0.08148148148148149))	False
SETMAR	ENHA_EGR1;PSMD2	0.347316834544285	1.53726863204489e-14	False	((1.1333333333333335, -0.9370370370370371), array([ 0.97291882, -0.13921883]))	False
SETMAR	CDYL;ENHA_REST	0.543285065143945	5.2848378723679e-05	False	(array([ 0.5261253, -0.7477881]), (1.1666666666666667, 0.32592592592592595))	False
SETMAR	CDK6;ENHA_MZF1	0.342643191128973	2.00658893874584e-19	False	(array([0.26233026, 0.90694981]), (1.1333333333333335, -0.08148148148148149))	False
SETMAR	CDK6;ENHA_HSF1	0.499832796806615	3.6750350913811695e-11	False	(array([0.26233026, 0.90694981]), (1.1, -0.48888888888888893))	False
SETMAR	CDK6;ENHA_MEF2D	0.522606708541451	4.61865077665641e-13	False	(array([0.26233026, 0.90694981]), (1.1666666666666667, -0.16296296296296298))	False
SETMAR	EFTUD2;ENHA_HSF1	0.676139158025749	0.0718834045648992	False	(array([0.97476017, 0.26916789]), (1.1, -0.48888888888888893))	False
SETMAR	ENHA_USF2;FOXJ2	0.477463652301552	1.5298815925232e-14	False	((1.1, 0.8555555555555556), array([-0.64145923,  0.70318008]))	False
SETMAR	ENHA_MEF2D;SENP3	1.06506268765258	0.675089925256701	False	((1.1666666666666667, -0.16296296296296298), array([-0.96732495, -0.04528303]))	False
SETMAR	ENHA_HSF2;WDR5	0.491953493851432	9.02650280063784e-08	False	((1.1333333333333335, -0.4481481481481482), array([ 0.69503477, -0.46009501]))	False
SETMAR	ENHA_HSF2;RBBP6	0.800224715165331	0.47686011669617	False	((1.1333333333333335, -0.4481481481481482), array([-0.41309013, -0.8807944 ]))	False
SETMAR	ENHA_NFYB;TBP	0.522167364173306	1.34806341684411e-10	False	((1.1666666666666667, 0.08148148148148149), array([-0.95807866,  0.30690005]))	False
SETMAR	ENHA_REST;TBP	0.425477429228738	6.676286711145561e-23	False	((1.1666666666666667, 0.32592592592592595), array([-0.95807866,  0.30690005]))	False
SETMAR	ENHA_HSF1;KPNA4	0.761484471973044	0.125001484950786	False	((1.1, -0.48888888888888893), array([-0.7017829 , -0.64330649]))	False
SETMAR	ENHA_HSF1;HSPB1	0.684237910338818	0.007634137381276	False	((1.1, -0.48888888888888893), array([-0.06064043, -0.98079004]))	False
SETMAR	ENHA_HSF1;HSP90AA1	0.456284869823977	7.631455473340671e-15	False	((1.1, -0.48888888888888893), array([ 0.19767103, -0.92843266]))	False
SETMAR	ENHA_HSF1;MTA1	0.840643849551045	0.441588920267029	False	((1.1, -0.48888888888888893), array([0.37018318, 0.82647049]))	False
SETMAR	ENHA_HSF1;HSPA8	0.709827455887743	0.0309143292627858	False	((1.1, -0.48888888888888893), array([-0.89703203, -0.35364096]))	False
