Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
SGF29	CEP70;ENHA_ZNF410	0.436099925241721	1.9701085239329802e-10	False	(array([-0.40963958,  0.77026624]), (1.1, 1.0352941176470591))	False
SGF29	ENHA_KLF10;SIAH1	0.317087282390122	7.23188295308736e-37	False	((1.1333333333333335, -0.4529411764705883), array([-0.74860263, -0.55330337]))	False
SGF29	ACTR5;ENHA_KLF5	0.42733540656402	1.7077818837594098e-26	False	(array([-0.76993026, -0.25318028]), (1.1333333333333335, -0.2588235294117647))	False
SGF29	CEP70;PROM_ZNF148	0.485633321941331	4.30984400479852e-14	False	(array([-0.40963958,  0.77026624]), (-1.1333333333333335, 1.0371428571428574))	False
SGF29	PROM_ZNF148;SIAH1	0.51049300758304	6.90493092327615e-18	False	((-1.1333333333333335, 1.0371428571428574), array([-0.74860263, -0.55330337]))	False
SGF29	ACTR5;PROM_ZNF148	0.592883555047953	1.9475377143441898e-11	False	(array([-0.76993026, -0.25318028]), (-1.1333333333333335, 1.0371428571428574))	False
SGF29	ENHA_HIC2;FOXJ2	0.371649395059429	3.1454721536911796e-30	False	((1.1, -0.711764705882353), array([-0.8078912 ,  0.18384514]))	False
SGF29	FOXJ2;PROM_ZNF148	0.961239635846523	0.646859554200172	False	(array([-0.8078912 ,  0.18384514]), (-1.1333333333333335, 1.0371428571428574))	False
SGF29	FOXJ2;PROM_NRF1	0.888924976729548	0.131172828132267	False	(array([-0.8078912 ,  0.18384514]), (-1.1333333333333335, 0.2828571428571429))	False
SGF29	ENHA_MAX;FOXK2	0.399862080846399	8.55754751930779e-21	False	((1.1666666666666667, 0.0), array([-0.73389574,  0.48322848]))	False
SGF29	FOXK2;PROM_NRF1	0.627008202778983	6.23477766014441e-09	False	(array([-0.73389574,  0.48322848]), (-1.1333333333333335, 0.2828571428571429))	False
SGF29	ATF2;ENHA_CEBPG	0.35578490348672	0.0001347637316372	False	(array([0.89525407, 0.48205948]), (1.1666666666666667, -0.9705882352941178))	False
