Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
SLC25A28	ENHA_NFYB;GRB2	0.436262311727002	2.00647594851729e-08	False	((1.1, 0.3793103448275863), array([-0.98294526, -0.26790936]))	False
SLC25A28	AQP1;ENHA_CREB3	0.398405856088884	0.0049687180781237	False	(array([-0.62195765, -0.80393115]), (1.1333333333333335, -0.9482758620689655))	False
SLC25A28	ENHA_CREB3L1;RUNX1T1	0.386477730464282	2.51085353793474e-09	False	((1.1666666666666667, -0.9103448275862069), array([-0.5135531 ,  0.74209894]))	False
SLC25A28	CDK4;ENHA_MZF1	0.373866598213786	4.64336450615308e-16	False	(array([-0.51804526,  0.85756209]), (1.1, 0.26551724137931054))	False
SLC25A28	ATAD2;ENHA_E2F3	0.460313826602713	0.000854664780902	False	(array([-0.7728102 , -0.22380552]), (1.1333333333333335, -0.8344827586206898))	False
SLC25A28	ENHA_E2F3;TFDP2	0.373806774397438	7.55908450441327e-06	False	((1.1333333333333335, -0.8344827586206898), array([0.4297353 , 0.92843893]))	False
SLC25A28	APPBP2;ENHA_CREB3	0.648930407989646	0.0515560544173502	False	(array([-0.08522296,  0.55276995]), (1.1333333333333335, -0.9482758620689655))	False
SLC25A28	APPBP2;ENHA_NFYA	0.359275823258429	5.2787518045738504e-17	False	(array([-0.08522296,  0.55276995]), (1.1666666666666667, 0.3413793103448277))	False
SLC25A28	ENHA_TFAP2A;XRCC5	0.424140444409526	7.614958326837459e-28	False	((1.1666666666666667, 0.7965517241379312), array([-0.66358275,  0.76304448]))	False
SLC25A28	ENHA_CREB1;NFIA	0.37315299161892	5.877075328830381e-15	False	((1.1, -0.9862068965517242), array([ 0.97637363, -0.09973886]))	False
SLC25A28	ENHA_FOSL2;RPL30	0.423094798722482	1.15756146828207e-05	False	((1.1, -0.7586206896551724), array([0.49937922, 0.82636033]))	False
SLC25A28	BCL3;ENHA_JUN	0.271071923444394	9.30476638754187e-14	False	(array([-0.94206159,  0.40001315]), (1.1333333333333335, -0.15172413793103445))	False
SLC25A28	ENHA_REST;FBXW11	0.429881756526661	6.29829568684004e-23	False	((1.1666666666666667, 0.5689655172413794), array([-0.96302486, -0.13718697]))	False
SLC25A28	ENHA_MAX;FBXW11	0.439556651456781	3.3197740316252097e-18	False	((1.1333333333333335, 0.07586206896551739), array([-0.96302486, -0.13718697]))	False
SLC25A28	ENHA_TP53;PSMD11	0.470556851443449	1.98347021418835e-06	False	((1.1333333333333335, 0.8724137931034486), array([-0.97689691,  0.26948297]))	False
SLC25A28	ENHA_TP53;NFKBIA	0.387535012441221	1.2297093867535101e-15	False	((1.1333333333333335, 0.8724137931034486), array([-0.67750665, -0.67446426]))	True
SLC25A28	ENHA_TP53;TSC22D3	0.39795534138614	3.28935259788443e-14	False	((1.1333333333333335, 0.8724137931034486), array([-0.03030892, -0.98318915]))	False
SLC25A28	E2F3;ENHA_TFE3	0.422333852235506	9.23434172619598e-08	False	(array([ 0.17662038, -0.93478846]), (1.1, 0.83448275862069))	False
SLC25A28	ENHA_ATF2;MAPK14	0.270271763213566	2.28970086233552e-29	False	((1.1, -1.1), array([ 0.67806508, -0.57350821]))	False
SLC25A28	ENHA_MAX;MAPK14	0.415502703878173	3.0224845725899798e-22	False	((1.1333333333333335, 0.07586206896551739), array([ 0.67806508, -0.57350821]))	False
SLC25A28	ENHA_TP53;MAPK14	0.35716979709923	2.3231352708554897e-28	False	((1.1333333333333335, 0.8724137931034486), array([ 0.67806508, -0.57350821]))	False
